xml_id	midi_id	track	channel	pitch	onset
n17-1	n8	1	0	34	1.4531249999999998
n18-1	n6	1	0	46	1.4343749999999997
n5-1	n4	1	0	53	1.3270833333333332
n3-1	n2	1	0	57	1.1218749999999997
n2-1	n1	1	0	58	1.0458333333333332
n4-1	n3	1	0	58	1.227083333333333
n1-1	n0	1	0	62	1.0322916666666666
n11-1	n7	1	0	62	1.4499999999999997
n7-1	n5	1	0	65	1.430208333333333
n19-1	n12	1	0	34	1.9364583333333332
n20-1	n11	1	0	46	1.9229166666666666
n12-1	n10	1	0	58	1.91875
n8-1	n9	1	0	62	1.8968749999999999
n16-1	n17	1	0	53	3.040625
n14-1	n15	1	0	57	2.8614583333333337
n13-1	n13	1	0	58	2.7552083333333335
n15-1	n16	1	0	58	2.9614583333333333
n10-1	n14	1	0	62	2.7687500000000003
n32-1	n19	1	0	34	3.153125
n33-1	n18	1	0	46	3.1489583333333333
n26-1	n21	1	0	62	3.1583333333333337
n22-1	n20	1	0	65	3.153125
n34-1	n25	1	0	34	3.642708333333334
n35-1	n23	1	0	46	3.630208333333334
n27-1	n24	1	0	58	3.6375000000000006
n23-1	n22	1	0	62	3.627083333333334
n31-1	n30	1	0	53	4.765625
n29-1	n28	1	0	57	4.578125
n28-1	n26	1	0	58	4.4750000000000005
n30-1	n29	1	0	58	4.665625
n25-1	n27	1	0	62	4.480208333333334
n44-1	n35	1	0	58	5.1625
n42-1	n33	1	0	61	4.955208333333334
n41-1	n32	1	0	62	4.880208333333334
n43-1	n34	1	0	62	5.066666666666667
n37-1	n31	1	0	65	4.86875
n48-1	n40	1	0	62	5.545833333333331
n46-1	n38	1	0	64	5.361458333333332
n45-1	n37	1	0	65	5.279166666666666
n47-1	n39	1	0	65	5.452083333333332
n38-1	n36	1	0	70	5.244791666666666
n52-1	n45	1	0	65	5.910416666666661
n50-1	n43	1	0	69	5.7135416666666625
n49-1	n41	1	0	70	5.631249999999997
n51-1	n44	1	0	70	5.8104166666666615
n39-1	n42	1	0	74	5.631249999999997
n56-1	n50	1	0	70	6.288541666666662
n54-1	n48	1	0	73	6.0968749999999945
n53-1	n46	1	0	74	6.011458333333328
n55-1	n49	1	0	74	6.193749999999995
n40-1	n47	1	0	77	6.011458333333328
n63-1	n51	1	0	46	6.480208333333328
n64-1	n55	1	0	50	6.749999999999993
n65-1	n56	1	0	53	6.872916666666659
n66-1	n57	1	0	58	6.996874999999992
n58-1	n52	1	0	82	6.576041666666661
n67-1	n58	1	0	46	7.086458333333325
n68-1	n59	1	0	50	7.172916666666658
n69-1	n60	1	0	53	7.274999999999991
n70-1	n61	1	0	58	7.390624999999991
n71-1	n62	1	0	46	7.477083333333324
n72-1	n63	1	0	50	7.58124999999999
n73-1	n64	1	0	53	7.688541666666656
n74-1	n65	1	0	58	7.793749999999989
n75-1	n66	1	0	46	7.8854166666666545
n76-1	n68	1	0	50	7.972916666666654
n77-1	n71	1	0	53	8.078124999999986
n78-1	n72	1	0	58	8.173958333333319
n59-1	n67	1	0	81	7.889583333333321
n60-1	n69	1	0	82	7.98020833333332
n62-1	n73	1	0	82	8.173958333333319
n61-1	n70	1	0	84	8.071874999999986
n87-1	n74	1	0	46	8.270833333333318
n88-1	n76	1	0	51	8.374999999999984
n89-1	n78	1	0	55	8.486458333333317
n90-1	n79	1	0	58	8.583333333333318
n80-1	n77	1	0	79	8.48229166666665
n79-1	n75	1	0	81	8.270833333333318
n91-1	n80	1	0	46	8.680208333333319
n92-1	n82	1	0	51	8.769791666666652
n93-1	n83	1	0	55	8.885416666666654
n94-1	n85	1	0	58	8.983333333333322
n82-1	n84	1	0	75	8.901041666666654
n81-1	n81	1	0	77	8.693749999999985
n95-1	n86	1	0	46	9.104166666666655
n96-1	n88	1	0	51	9.182291666666655
n97-1	deletion
n98-1	n91	1	0	57	9.451041666666656
n84-1	n90	1	0	72	9.320833333333322
n83-1	n87	1	0	74	9.112499999999988
n99-1	n92	1	0	46	9.532291666666657
n100-1	n94	1	0	51	9.613541666666658
n101-1	deletion
n102-1	n97	1	0	57	9.856249999999992
n86-1	n96	1	0	77	9.755208333333325
n85-1	n93	1	0	79	9.53749999999999
n110-1	n98	1	0	46	9.939583333333326
n111-1	n100	1	0	50	10.053124999999993
n112-1	n101	1	0	53	10.166666666666659
n113-1	n102	1	0	58	10.278124999999992
n103-1	n99	1	0	75	9.969791666666659
n114-1	n103	1	0	46	10.36562499999999
n115-1	n105	1	0	50	10.453124999999991
n116-1	n106	1	0	53	10.572916666666657
n117-1	n107	1	0	58	10.672916666666659
n104-1	n104	1	0	74	10.370833333333325
n118-1	n108	1	0	46	10.765624999999993
n119-1	n109	1	0	50	10.856249999999992
n120-1	n110	1	0	53	10.959374999999993
n121-1	n111	1	0	56	11.06041666666666
n122-1	n112	1	0	46	11.158333333333326
n123-1	n115	1	0	50	11.247916666666658
n124-1	n117	1	0	53	11.355208333333325
n125-1	n119	1	0	56	11.443749999999993
n106-1	n113	1	0	69	11.170833333333325
n107-1	n114	1	0	70	11.243749999999991
n109-1	n118	1	0	70	11.427083333333325
n108-1	n116	1	0	72	11.343749999999991
n134-1	n120	1	0	46	11.51979166666666
n135-1	n122	1	0	51	11.634374999999993
n137-1	n125	1	0	51	11.814583333333328
n136-1	n123	1	0	55	11.727083333333326
n127-1	n124	1	0	67	11.753124999999992
n126-1	n121	1	0	68	11.530208333333325
n138-1	n126	1	0	46	11.912499999999994
n139-1	n128	1	0	51	12.035416666666663
n141-1	n131	1	0	51	12.239583333333329
n140-1	n129	1	0	55	12.137499999999996
n129-1	n130	1	0	63	12.157291666666662
n128-1	n127	1	0	65	11.958333333333329
n142-1	n132	1	0	46	12.35416666666666
n143-1	n134	1	0	48	12.45416666666666
n144-1	n136	1	0	51	12.57916666666666
n145-1	n137	1	0	53	12.665624999999993
n131-1	n135	1	0	60	12.564583333333328
n130-1	n133	1	0	62	12.374999999999995
n146-1	n139	1	0	46	12.783333333333326
n147-1	n140	1	0	48	12.87916666666666
n148-1	n141	1	0	51	12.981249999999992
n149-1	n143	1	0	53	13.078124999999993
n133-1	n142	1	0	57	12.986458333333326
n132-1	n138	1	0	63	12.768749999999994
n164-1	n144	1	0	46	13.174999999999992
n150-1	n145	1	0	58	13.177083333333325
n152-1	n147	1	0	60	13.49687499999999
n151-1	n146	1	0	62	13.408333333333324
n168-1	n155	1	0	43	13.885416666666659
n166-1	n151	1	0	45	13.683333333333325
n165-1	n149	1	0	46	13.587499999999991
n167-1	n153	1	0	46	13.777083333333326
n156-1	n154	1	0	55	13.870833333333326
n154-1	n150	1	0	57	13.679166666666658
n153-1	n148	1	0	58	13.582291666666658
n155-1	n152	1	0	58	13.767708333333326
n169-1	n156	1	0	41	13.976041666666656
n157-1	n157	1	0	53	13.976041666666656
n159-1	n159	1	0	65	14.310416666666656
n158-1	n158	1	0	67	14.214583333333323
n173-1	n166	1	0	48	14.672916666666659
n171-1	n162	1	0	50	14.492708333333322
n170-1	n161	1	0	51	14.39999999999999
n172-1	n164	1	0	51	14.585416666666656
n163-1	n167	1	0	60	14.682291666666659
n161-1	n163	1	0	62	14.492708333333322
n160-1	n160	1	0	63	14.394791666666656
n162-1	n165	1	0	63	14.586458333333324
n188-1	n168	1	0	46	14.782291666666659
n174-1	n169	1	0	58	14.790624999999991
n176-1	n171	1	0	72	15.11354166666666
n175-1	n170	1	0	74	15.027083333333326
n192-1	n179	1	0	55	15.51354166666666
n190-1	n175	1	0	57	15.308333333333326
n189-1	n173	1	0	58	15.218749999999993
n191-1	n176	1	0	58	15.41041666666666
n180-1	n178	1	0	67	15.494791666666659
n178-1	n174	1	0	69	15.305208333333326
n177-1	n172	1	0	70	15.212499999999993
n179-1	n177	1	0	70	15.41041666666666
n193-1	n181	1	0	53	15.601041666666658
n181-1	n180	1	0	65	15.596874999999992
n183-1	n183	1	0	77	15.926041666666658
n182-1	n182	1	0	79	15.84062499999999
n197-1	n191	1	0	60	16.309374999999992
n195-1	n187	1	0	62	16.12291666666666
n194-1	n185	1	0	63	16.033333333333328
n196-1	n189	1	0	63	16.22604166666666
n187-1	n190	1	0	72	16.30416666666666
n185-1	n186	1	0	74	16.11770833333333
n184-1	n184	1	0	75	16.02604166666666
n186-1	n188	1	0	75	16.218749999999993
n219-1	n193	1	0	58	16.436458333333324
n220-1	n194	1	0	60	16.658333333333324
n221-1	n196	1	0	62	16.757291666666656
n198-1	n192	1	0	70	16.43124999999999
n199-1	n195	1	0	72	16.66249999999999
n200-1	n197	1	0	74	16.757291666666656
n222-1	n199	1	0	63	16.85937499999999
n223-1	n200	1	0	65	16.943749999999987
n224-1	n202	1	0	67	17.028124999999985
n225-1	n204	1	0	69	17.124999999999986
n201-1	n198	1	0	75	16.854166666666657
n202-1	n201	1	0	77	16.94895833333332
n203-1	n203	1	0	79	17.028124999999985
n204-1	n205	1	0	81	17.131249999999987
n227-1	n209	1	0	69	17.298958333333317
n226-1	n207	1	0	70	17.213541666666654
n228-1	n211	1	0	70	17.40624999999998
n229-1	n213	1	0	72	17.49270833333331
n206-1	n210	1	0	81	17.32499999999998
n205-1	n208	1	0	82	17.23020833333332
n215-1	deletion
n207-1	n212	1	0	82	17.415624999999977
n214-1	n206	1	0	84	17.206249999999986
n208-1	n214	1	0	84	17.530208333333313
n231-1	n219	1	0	72	17.697916666666643
n230-1	n216	1	0	74	17.59687499999998
n232-1	n221	1	0	74	17.80833333333331
n233-1	n223	1	0	76	17.917708333333312
n210-1	n220	1	0	84	17.71770833333331
n209-1	n217	1	0	86	17.610416666666644
n218-1	deletion
n211-1	n222	1	0	86	17.81458333333331
n217-1	n218	1	0	87	17.610416666666644
n212-1	n224	1	0	88	17.917708333333312
n237-1	n226	1	0	77	18.019791666666645
n234-1	n225	1	0	89	18.00520833333331
n238-1	n227	1	0	53	18.50833333333331
n235-1	n228	1	0	65	18.516666666666644
n243-1	n232	1	0	41	19.593749999999986
n241-1	n230	1	0	45	19.41354166666665
n240-1	n229	1	0	46	19.322916666666647
n242-1	n231	1	0	46	19.502083333333317
n248-1	n236	1	0	46	19.99895833333332
n246-1	n234	1	0	49	19.80208333333332
n245-1	n233	1	0	50	19.71458333333332
n247-1	n235	1	0	50	19.915624999999988
n252-1	n240	1	0	50	20.404166666666654
n250-1	n238	1	0	52	20.206249999999986
n249-1	n237	1	0	53	20.114583333333318
n251-1	n239	1	0	53	20.31770833333332
n256-1	n244	1	0	53	20.804166666666656
n254-1	n242	1	0	57	20.60833333333332
n253-1	n241	1	0	58	20.521874999999987
n255-1	n243	1	0	58	20.713541666666654
n260-1	n248	1	0	58	21.20624999999999
n258-1	n246	1	0	61	21.01458333333332
n257-1	n245	1	0	62	20.919791666666654
n259-1	n247	1	0	62	21.11458333333332
n263-1	n249	1	0	65	21.355208333333323
n264-1	n250	1	0	63	22.066666666666656
n266-1	n253	1	0	60	22.555208333333326
n265-1	n252	1	0	62	22.26562499999999
n262-1	n251	1	0	77	22.230208333333323
n268-1	n255	1	0	56	23.024999999999988
n267-1	n254	1	0	58	22.692708333333325
n275-1	n256	1	0	55	23.170833333333324
n272-1	n257	1	0	71	23.61041666666666
n276-1	n259	1	0	56	24.042708333333323
n273-1	n260	1	0	72	24.05208333333332
n270-1	n258	1	0	75	24.030208333333324
n277-1	n263	1	0	54	24.47395833333332
n274-1	n262	1	0	69	24.464583333333323
n271-1	n261	1	0	74	24.460416666666656
n286-1	n265	1	0	55	24.902083333333316
n282-1	n264	1	0	70	24.89791666666665
n287-1	n268	1	0	52	25.34687499999998
n283-1	n267	1	0	67	25.341666666666647
n279-1	n266	1	0	72	25.317708333333314
n288-1	n269	1	0	53	25.73437499999997
n284-1	n270	1	0	69	25.747916666666637
n289-1	n274	1	0	50	26.178124999999973
n285-1	n273	1	0	65	26.176041666666638
n281-1	n272	1	0	71	26.15624999999997
n314-1	n275	1	0	36	26.560416666666637
n315-1	n276	1	0	48	26.560416666666637
n316-1	n281	1	0	60	26.77708333333331
n291-1	n279	1	0	64	26.683333333333312
n294-1	n283	1	0	64	26.906249999999975
n292-1	n278	1	0	67	26.665624999999977
