xml_id	midi_id	track	channel	pitch	onset
n11-1	n2	0	0	51	0.5542195312500001
n14-1	n5	0	0	51	1.3314623437500002
n17-1	n6	0	0	51	2.0793248437500003
n20-1	n10	0	0	51	2.8485548437499997
n12-1	n0	0	0	55	0.5194973437500001
n15-1	n3	0	0	55	1.3221140625
n18-1	n8	0	0	55	2.08466671875
n21-1	n11	0	0	55	2.8512257812499997
n13-1	n1	0	0	58	0.5288456250000001
n16-1	n4	0	0	58	1.3287914062500001
n19-1	n7	0	0	58	2.0806603125
n22-1	n9	0	0	58	2.8432129687499996
n23-1	n13	0	0	51	3.5897400000000004
n26-1	n17	0	0	51	4.361640937500001
n29-1	n20	0	0	51	5.18295421875
n24-1	n12	0	0	55	3.5870690625000003
n27-1	n15	0	0	55	4.338937968750001
n30-1	n19	0	0	55	5.18161875
n25-1	n14	0	0	58	3.6097720312500003
n28-1	n16	0	0	58	4.3456153125000005
n31-1	n21	0	0	58	5.1923025
n5-1	n18	0	0	67	5.1455610937500005
n32-1	n25	0	0	51	5.8880817187500005
n35-1	n31	0	0	51	6.561157968750002
n55-1	n34	0	0	51	7.314362343750003
n33-1	n26	0	0	55	5.8880817187500005
n36-1	n30	0	0	55	6.554480625000002
n56-1	n36	0	0	55	7.318368750000003
n34-1	n24	0	0	58	5.8840753125
n37-1	n29	0	0	58	6.539790468750002
n46-1	n35	0	0	58	7.314362343750003
n8-1	n27	0	0	65	6.184555781250003
n7-1	n23	0	0	67	5.8600368750000005
n9-1	n28	0	0	67	6.503732812500003
n6-1	n22	0	0	68	5.749192968750001
n10-1	n32	0	0	68	6.837600000000003
n38-1	n33	0	0	69	7.250259843750002
n57-1	n39	0	0	51	7.990109531250003
n59-1	n41	0	0	51	8.700578906250001
n61-1	n45	0	0	51	9.504531093750002
n58-1	n37	0	0	55	7.968742031250003
n60-1	n42	0	0	55	8.708591718750002
n62-1	n46	0	0	55	9.508537500000001
n47-1	n38	0	0	58	7.976754843750003
n48-1	n40	0	0	58	8.699243437500002
n49-1	n44	0	0	58	9.496518281250001
n39-1	n43	0	0	70	9.439093125000001
n65-1	n49	0	0	51	10.20298125
n67-1	n52	0	0	51	10.93882453125
n63-1	deletion
n66-1	n48	0	0	55	10.197639375000001
n68-1	n51	0	0	55	10.933482656250002
n64-1	deletion
n51-1	n47	0	0	58	10.192297500000002
n52-1	n50	0	0	58	10.914786093750001
n50-1	deletion
n96-1	n68	0	0	50	13.944964687500011
n69-1	n53	0	0	51	11.669325937500007
n71-1	n65	0	0	51	13.079580937500012
n70-1	n55	0	0	55	11.693364375000007
n72-1	n64	0	0	55	13.064890781250012
n97-1	n69	0	0	56	13.946300156250011
n53-1	n54	0	0	58	11.670661406250007
n54-1	n63	0	0	58	13.031504062500014
n87-1	n70	0	0	58	13.946300156250011
n43-1	n61	0	0	69	12.692295000000014
n42-1	n57	0	0	70	12.36510515625001
n44-1	n62	0	0	70	13.020820312500014
n45-1	n66	0	0	71	13.338661875000012
n73-1	n67	0	0	71	13.87952671875001
n41-1	n56	0	0	72	12.21152625000001
n98-1	n72	0	0	50	14.779632656250014
n100-1	n79	0	0	50	15.546191718750016
n102-1	n85	0	0	50	16.38753703125002
n99-1	n73	0	0	56	14.779632656250014
n101-1	n81	0	0	56	15.555540000000017
n103-1	n86	0	0	56	16.39955625000002
n88-1	n71	0	0	58	14.767613437500014
n89-1	n80	0	0	58	15.547527187500016
n90-1	n84	0	0	58	16.38353062500002
n76-1	n83	0	0	65	16.35949218750002
n85-1	n76	0	0	69	15.101480625000017
n84-1	deletion
n86-1	deletion
n83-1	n74	0	0	72	14.875786406250015
n75-1	n82	0	0	72	16.13246250000002
n74-1	n78	0	0	74	15.488766562500016
n104-1	n88	0	0	50	17.11269656250002
n106-1	n92	0	0	50	17.867236406250015
n108-1	n94	0	0	50	18.601744218750017
n105-1	n89	0	0	56	17.14074140625002
n107-1	n91	0	0	56	17.865900937500015
n109-1	n95	0	0	56	18.616434375000015
n91-1	n87	0	0	58	17.10334828125002
n92-1	n90	0	0	58	17.836520625000016
n93-1	n93	0	0	58	18.583047656250017
n110-1	n99	0	0	50	19.346935781250014
n112-1	n103	0	0	50	20.010663750000013
n136-1	n110	0	0	50	20.901421406250016
n137-1	n109	0	0	53	20.894744062500017
n111-1	n100	0	0	56	19.370974218750014
n113-1	n105	0	0	56	20.042715000000012
n138-1	n111	0	0	56	20.917447031250017
n94-1	n98	0	0	58	19.336252031250016
n95-1	n104	0	0	58	20.02134750000001
n127-1	n108	0	0	58	20.874712031250017
n80-1	n101	0	0	64	19.66477734375001
n79-1	n97	0	0	65	19.333581093750016
n81-1	n102	0	0	65	19.982618906250014
n78-1	n96	0	0	67	19.242769218750016
n82-1	n106	0	0	67	20.301795937500014
n114-1	n107	0	0	68	20.807938593750016
n139-1	n113	0	0	50	21.68801250000002
n142-1	n118	0	0	50	22.40515921875002
n145-1	n121	0	0	50	23.13298968750002
n140-1	n114	0	0	53	21.69068343750002
n143-1	n117	0	0	53	22.39447546875002
n146-1	n122	0	0	53	23.13966703125002
n141-1	n115	0	0	56	21.71338640625002
n144-1	n119	0	0	56	22.407830156250018
n147-1	n123	0	0	56	23.154357187500022
n128-1	n112	0	0	58	21.66931593750002
n129-1	n116	0	0	58	22.38379171875002
n130-1	n120	0	0	58	23.11562859375002
n116-1	n124	0	0	67	23.513598281250022
n148-1	n127	0	0	50	23.898213281250023
n151-1	n134	0	0	50	24.527219062500016
n154-1	n140	0	0	50	25.185605156250016
n149-1	n128	0	0	53	23.902219687500022
n152-1	n133	0	0	53	24.516535312500018
n155-1	n139	0	0	53	25.17091500000002
n150-1	n129	0	0	56	23.91156796875002
n153-1	n135	0	0	56	24.543244687500017
n156-1	n141	0	0	56	25.185605156250016
n131-1	n126	0	0	58	23.875510312500023
n132-1	n132	0	0	58	24.50718703125002
n133-1	n138	0	0	58	25.16957953125002
n118-1	n130	0	0	64	24.13726218750002
n117-1	n125	0	0	65	23.830104375000023
n119-1	n131	0	0	65	24.46845843750002
n120-1	n136	0	0	67	24.79564828125002
n121-1	n137	0	0	68	25.11482531250002
n122-1	n142	0	0	70	25.425989531250018
n157-1	n145	0	0	50	25.806598125000015
n160-1	n151	0	0	50	26.451629531250017
n180-1	n157	0	0	51	27.279620156250015
n158-1	n144	0	0	53	25.779888750000016
n161-1	n150	0	0	53	26.447623125000018
n159-1	n147	0	0	56	25.821288281250013
n162-1	n153	0	0	56	26.485016250000015
n181-1	n156	0	0	56	27.275613750000016
n134-1	n146	0	0	58	25.815946406250013
n135-1	n152	0	0	58	26.455635937500016
n171-1	n158	0	0	58	27.279620156250015
n163-1	n155	0	0	66	27.219524062500017
n126-1	n154	0	0	68	26.722729687500017
n124-1	n148	0	0	71	26.061672656250014
n123-1	n143	0	0	72	25.754514843750016
n125-1	n149	0	0	72	26.38752703125002
n182-1	n161	0	0	51	28.070217656250012
n184-1	n164	0	0	51	28.786028906250014
n186-1	n168	0	0	51	29.60600671875001
n187-1	n166	0	0	55	29.59932937500001
n183-1	n160	0	0	56	28.066211250000013
n185-1	n163	0	0	56	28.771338750000012
n172-1	n159	0	0	58	28.040837343750013
n173-1	n162	0	0	58	28.767332343750013
n174-1	n167	0	0	58	29.59932937500001
n164-1	n165	0	0	67	29.54724609375001
n188-1	n171	0	0	51	30.32983078125001
n190-1	n173	0	0	51	31.08303515625002
n177-1	n175	0	0	51	31.889658281250018
n189-1	n169	0	0	55	30.31914703125001
n191-1	n174	0	0	55	31.08303515625002
n175-1	n170	0	0	58	30.32448890625001
n176-1	n172	0	0	58	31.05632578125002
n166-1	n176	0	0	63	32.24088656250001
n199-1	n183	0	0	43	34.01572453124995
n179-1	n181	0	0	44	33.23180437499997
n178-1	n177	0	0	46	32.57074734375
n167-1	n178	0	0	67	32.57475375
n168-1	n179	0	0	70	32.90194359374999
n169-1	n180	0	0	75	33.21177234374997
n170-1	n182	0	0	79	33.542968593749954
n192-1	n184	0	0	82	34.10787187499995
n208-1	n186	0	0	43	34.981268437499914
n210-1	n190	0	0	43	35.72512453124991
n212-1	n192	0	0	43	36.446277656249904
n209-1	n187	0	0	46	35.00664234374992
n211-1	n189	0	0	46	35.72378906249991
n213-1	n193	0	0	46	36.451619531249904
n200-1	n185	0	0	51	34.969249218749916
n201-1	n188	0	0	51	35.703757031249914
n202-1	n191	0	0	51	36.42223921874991
n214-1	n196	0	0	43	37.15274062499987
n216-1	n200	0	0	43	37.79376562499986
n218-1	n204	0	0	43	38.50690593749985
n215-1	n197	0	0	46	37.17277265624987
n217-1	n201	0	0	46	37.82715234374986
n219-1	n205	0	0	46	38.538957187499854
n203-1	n195	0	0	51	37.12336031249987
n204-1	n199	0	0	51	37.78708828124986
n205-1	n203	0	0	51	38.492215781249854
n196-1	n202	0	0	70	38.46550640624986
n195-1	n198	0	0	75	37.76572078124986
n194-1	n194	0	0	79	37.09665093749987
n220-1	n207	0	0	43	39.17464031249986
n222-1	n212	0	0	43	39.871754999999844
n240-1	n216	0	0	44	40.7171067187498
n221-1	n209	0	0	46	39.19867874999986
n223-1	n213	0	0	46	39.873090468749844
n241-1	n215	0	0	48	40.7117648437498
n206-1	n208	0	0	51	39.18665953124986
n207-1	n211	0	0	51	39.870419531249844
n231-1	n217	0	0	51	40.726454999999795
n224-1	n214	0	0	60	40.6516687499998
n198-1	n210	0	0	63	39.84504562499985
n197-1	n206	0	0	67	39.14125359374986
n242-1	n219	0	0	44	41.45962734374977
n244-1	n223	0	0	44	42.18211593749977
n246-1	n226	0	0	44	42.96470062499978
n243-1	n220	0	0	48	41.46096281249977
n245-1	n222	0	0	48	42.15674203124977
n247-1	n227	0	0	48	42.97271343749978
n232-1	n218	0	0	51	41.43558890624977
n233-1	n221	0	0	51	42.13670999999977
n234-1	n225	0	0	52	42.94733953124978
n225-1	n224	0	0	84	42.89926265624978
n248-1	n230	0	0	44	43.71656953124975
n250-1	n233	0	0	44	44.42837437499975
n252-1	n236	0	0	44	45.212294531249746
n249-1	n229	0	0	48	43.69653749999976
n251-1	n232	0	0	48	44.42169703124975
n253-1	n235	0	0	48	45.20561718749975
n235-1	n228	0	0	52	43.67516999999976
n236-1	n231	0	0	52	44.36827828124975
n237-1	n234	0	0	53	45.14952749999975
n254-1	n239	0	0	44	45.90273187499973
n256-1	n245	0	0	44	46.52773124999972
n289-1	n249	0	0	46	47.34370265624972
n255-1	n240	0	0	48	45.91475109374973
n257-1	n244	0	0	48	46.51037015624972
n271-1	n250	0	0	51	47.359728281249716
n238-1	n238	0	0	53	45.87201609374973
n239-1	n243	0	0	53	46.50102187499972
n272-1	n248	0	0	55	47.32367062499972
n230-1	n246	0	0	77	46.802837812499725
n258-1	n247	0	0	77	47.27158734374972
n229-1	n242	0	0	79	46.491673593749724
n228-1	n241	0	0	80	46.18184484374973
n227-1	n237	0	0	82	45.85999687499973
n290-1	n253	0	0	46	48.14631937499967
n291-1	n256	0	0	46	48.87682078124966
n292-1	n259	0	0	46	49.588625624999665
n273-1	n254	0	0	51	48.16501593749967
n275-1	n257	0	0	51	48.87949171874966
n277-1	n260	0	0	51	49.588625624999665
n274-1	n252	0	0	55	48.13964203124967
n276-1	n255	0	0	55	48.85278234374966
n278-1	n258	0	0	55	49.580612812499666
n259-1	n251	0	0	75	48.074204062499675
n293-1	n263	0	0	46	50.264372812499644
n294-1	n268	0	0	46	50.97751312499962
n295-1	n269	0	0	46	51.658602187499575
n279-1	n264	0	0	51	50.27772749999964
n281-1	n267	0	0	51	50.97350671874962
n283-1	n272	0	0	53	51.69465984374957
n280-1	n262	0	0	55	50.24968265624965
n282-1	n266	0	0	55	50.95748109374962
n284-1	n270	0	0	56	51.666614999999574
n269-1	n277	0	0	74	51.99246937499956
n261-1	n261	0	0	75	50.22965062499965
n262-1	n265	0	0	75	50.932107187499625
n263-1	n271	0	0	75	51.67729874999957
n268-1	n276	0	0	75	51.92569593749956
n270-1	n278	0	0	75	52.07660390624955
n267-1	n275	0	0	77	51.861593437499565
n296-1	n282	0	0	46	52.40913562499952
n297-1	n285	0	0	46	53.13563062499951
n315-1	n289	0	0	51	54.1105228124995
n285-1	n280	0	0	53	52.391774531249524
n287-1	n286	0	0	53	53.13563062499951
n309-1	n288	0	0	55	54.08781984374949
n286-1	n281	0	0	56	52.40112281249952
n288-1	n284	0	0	56	53.11960499999951
n265-1	n283	0	0	74	53.10357937499951
n298-1	n287	0	0	75	54.05309765624949
n264-1	n279	0	0	77	52.342362187499525
n299-1	n290	0	0	70	54.75288328124945
n300-1	n291	0	0	70	55.43664328124938
n301-1	n292	0	0	70	56.13909984374935
n316-1	n297	0	0	46	58.274514374999306
n313-1	n298	0	0	58	58.287869062499304
n307-1	n296	0	0	63	58.238456718749305
n304-1	n295	0	0	67	58.22243109374931
n303-1	n294	0	0	68	57.53867109374933
n302-1	n293	0	0	72	56.833543593749326
n344-1	deletion
n338-1	deletion
n314-1	n302	0	0	56	59.63535703124926
n308-1	n301	0	0	62	59.60197031249926
n317-1	n303	0	0	63	60.34849734374924
n306-1	n300	0	0	65	59.581938281249265
n305-1	n299	0	0	68	58.911532968749285
n331-1	n313	0	0	57	62.6535164062491
n318-1	n306	0	0	58	61.05228937499922
n319-1	n307	0	0	58	61.718688281249186
n320-1	n308	0	0	58	62.32899749999912
n330-1	n312	0	0	58	62.57873015624911
n332-1	n314	0	0	58	62.7416573437491
n329-1	n311	0	0	60	62.52531140624911
n345-1	n317	0	0	34	64.49913421874905
n342-1	n318	0	0	46	64.51115343749905
n326-1	n319	0	0	51	64.51248890624905
n336-1	n325	0	0	53	64.865052656249
n323-1	n320	0	0	55	64.51916624999905
n335-1	n324	0	0	55	64.787595468749
n337-1	n326	0	0	55	64.953193593749
n322-1	n316	0	0	56	63.72456234374907
n334-1	n323	0	0	56	64.71147374999902
n321-1	n315	0	0	60	63.02077031249908
n356-1	n333	0	0	39	66.63855515624886
n357-1	n332	0	0	43	66.59982656249886
n343-1	n330	0	0	44	65.87466703124893
n327-1	n329	0	0	50	65.84929312499894
n346-1	n331	0	0	51	66.56777531249887
n325-1	n328	0	0	53	65.82391921874894
n324-1	n327	0	0	56	65.161526718749
n358-1	n337	0	0	34	68.01008156249877
