onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.5144216,1.1071036,63,38,0,0,n0,-10.0,-10.0
1.5264407,1.0950844,51,32,0,0,n1,-10.0,-10.0
2.5173585,1.8402759,63,43,0,0,n2,-10.0,-10.0
2.538726,1.4743575,60,32,0,0,n3,-10.0,-10.0
2.5467389,1.6907034,44,29,0,0,n4,2.5427325,0.0
2.5547516,1.7721671,51,28,0,0,n5,2.5427325,0.0
3.3279881,0.35256374,68,50,0,0,n6,2.5427325,0.0
3.3667166,0.29380313,56,35,0,0,n7,3.3473525,1.0
4.0665026,0.3378736,68,51,0,0,n8,3.3473525,1.0
4.0945473,0.37126032,56,38,0,0,n9,4.0805244,2.0
4.833061,0.46340767,68,52,0,0,n10,4.0805244,2.0
4.843745,1.5518147,63,39,0,0,n11,4.0805244,2.0
4.8504224,1.493054,51,33,0,0,n12,4.0805244,2.0
4.8611064,0.3806086,56,34,0,0,n13,4.8557644,3.0
4.863777,2.3958309,46,34,0,0,n14,4.8557644,3.0
4.866448,2.2970064,61,35,0,0,n15,4.8557644,3.0
5.2150054,0.19364297,67,55,0,0,n16,4.8557644,3.0
5.253734,0.17895281,55,36,0,0,n17,4.8557644,3.0
5.6196523,0.6116447,67,53,0,0,n18,4.8557644,3.0
5.651704,0.5689097,55,31,0,0,n19,5.6356783,4.0
6.2232842,0.213675,65,52,0,0,n20,5.6356783,4.0
6.249994,0.20566219,53,32,0,0,n21,5.6356783,4.0
6.3968954,0.73717874,67,57,0,0,n22,5.6356783,4.0
6.404908,0.58359987,55,42,0,0,n23,6.4009013,5.0
7.0218945,0.25373906,63,57,0,0,n24,6.4009013,5.0
7.0405912,0.16159172,51,44,0,0,n25,6.4009013,5.0
7.174138,1.7387803,68,61,0,0,n26,6.4009013,5.0
7.2035184,1.5758531,56,49,0,0,n27,7.188828,6.0
7.986103,0.79326844,63,38,0,0,n28,7.188828,6.0
8.012813,0.76655906,48,37,0,0,n29,7.999458,7.0
8.772695,0.74919796,70,67,0,0,n30,7.999458,7.0
8.790055,0.35256374,63,47,0,0,n31,7.999458,7.0
8.814094,0.7077984,43,38,0,0,n32,8.814094,8.0
8.8181,0.29647407,58,44,0,0,n33,8.814094,8.0
8.835462,0.68643093,51,38,0,0,n34,8.814094,8.0
9.638078,0.39129233,73,67,0,0,n35,8.814094,8.0
9.65811,0.36191204,68,55,0,0,n36,8.814094,8.0
9.671465,0.65571517,63,50,0,0,n37,8.814094,8.0
9.675471,0.5582259,60,41,0,0,n38,9.673468,9.0
9.678142,0.30582234,44,39,0,0,n39,9.673468,9.0
9.695503,0.25908095,51,34,0,0,n40,9.673468,9.0
10.28578,0.049412344,72,51,0,0,n41,9.673468,9.0
10.49812,0.4059825,70,52,0,0,n42,9.673468,9.0
10.507468,0.36858937,67,52,0,0,n43,9.673468,9.0
10.5275,0.32451892,63,20,0,0,n44,9.673468,9.0
10.530171,0.35790563,51,33,0,0,n45,10.528835,10.0
10.530171,0.27911296,58,25,0,0,n46,10.528835,10.0
10.540854,0.33119625,39,34,0,0,n47,10.528835,10.0
11.430277,0.11752125,72,41,0,0,n48,11.430277,11.0
11.481025,0.16559812,70,50,0,0,n49,11.430277,11.0
11.642616,0.19898485,69,55,0,0,n50,11.430277,11.0
11.802873,0.16025625,70,65,0,0,n51,11.430277,11.0
11.952445,0.30181593,72,62,0,0,n52,11.430277,11.0
12.215532,1.7694961,73,54,0,0,n53,11.430277,11.0
12.242242,1.0723814,68,38,0,0,n54,12.242242,12.0
12.250255,0.98824686,53,28,0,0,n55,12.242242,12.0
13.056878,0.9788986,65,49,0,0,n56,13.056878,13.0
13.834121,0.6971147,72,55,0,0,n57,13.056878,13.0
13.862165,0.9147961,63,37,0,0,n58,13.056878,13.0
13.875521,0.47142047,68,38,0,0,n59,13.862166,14.0
14.642079,0.84000987,77,67,0,0,n60,13.862166,14.0
14.675467,0.10817297,70,44,0,0,n61,13.862166,14.0
