onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.84270835,0.033854168,46,61,1,0,n0,-10.0,-10.0
1.0885416,0.41666666,51,54,1,0,n1,-10.0,-10.0
1.1979166,0.0875,39,51,1,0,n2,1.088542,0.0
1.3135417,0.058854166,41,54,1,0,n3,1.088542,0.0
1.421875,0.069270834,43,57,1,0,n4,1.088542,0.0
1.5234375,0.328125,48,61,1,0,n5,1.088542,0.0
1.5354167,0.050520834,44,57,1,0,n6,1.529427,1.0
1.6276041,0.0625,43,66,1,0,n7,1.529427,1.0
1.7630209,0.0546875,41,52,1,0,n8,1.529427,1.0
1.8734375,0.34166667,39,52,1,0,n9,1.529427,1.0
2.00625,0.20885417,46,80,1,0,n10,1.529427,1.0
2.0208333,0.19427083,38,42,1,0,n11,2.013542,2.0
2.1328125,0.08229167,36,54,1,0,n12,2.013542,2.0
2.140625,0.07447917,44,69,1,0,n13,2.013542,2.0
2.2171874,0.0546875,46,74,1,0,n14,2.013542,2.0
2.2328124,0.043229166,40,42,1,0,n15,2.013542,2.0
2.2838542,0.058333334,44,74,1,0,n16,2.013542,2.0
2.3203125,0.098958336,34,59,1,0,n17,2.013542,2.0
2.3567708,0.059895832,43,70,1,0,n18,2.013542,2.0
2.4088542,0.080729164,44,72,1,0,n19,2.013542,2.0
2.4635417,0.041666668,39,50,1,0,n20,2.013542,2.0
2.4885416,0.45052084,43,83,1,0,n21,2.476042,3.0
2.5989583,0.34010416,38,54,1,0,n22,2.476042,3.0
2.7317708,0.20729166,39,58,1,0,n23,2.476042,3.0
2.8619792,0.077083334,40,59,1,0,n24,2.476042,3.0
3.0078125,0.07447917,44,75,1,0,n25,2.476042,3.0
3.0234375,0.044270832,41,63,1,0,n26,3.015625,4.0
3.1145833,0.0546875,46,75,1,0,n27,3.015625,4.0
3.1223958,0.069270834,43,60,1,0,n28,3.015625,4.0
3.2135417,0.098958336,48,75,1,0,n29,3.015625,4.0
3.2395833,0.063541666,44,66,1,0,n30,3.015625,4.0
3.3166666,0.109375,50,78,1,0,n31,3.015625,4.0
3.334375,0.061458334,46,64,1,0,n32,3.015625,4.0
3.4140625,0.0859375,51,78,1,0,n33,3.015625,4.0
3.453125,0.053125,48,60,1,0,n34,3.433594,5.0
3.5286458,0.091145836,53,74,1,0,n35,3.433594,5.0
3.5520833,0.06666667,50,72,1,0,n36,3.433594,5.0
3.6432292,0.123958334,55,73,1,0,n37,3.433594,5.0
3.652604,0.091145836,51,69,1,0,n38,3.433594,5.0
3.7541666,0.1015625,57,85,1,0,n39,3.433594,5.0
3.7552083,0.096354164,48,78,1,0,n40,3.433594,5.0
3.8619792,0.0953125,58,76,1,0,n41,3.433594,5.0
3.8697917,0.083333336,50,74,1,0,n42,3.865886,6.0
3.96875,0.111979164,60,73,1,0,n43,3.865886,6.0
3.9703126,0.063541666,51,75,1,0,n44,3.865886,6.0
4.075521,0.07395833,57,79,1,0,n45,3.865886,6.0
4.077083,0.046875,53,72,1,0,n46,3.865886,6.0
4.1786456,0.08802083,53,78,1,0,n47,3.865886,6.0
4.186458,0.063541666,51,73,1,0,n48,3.865886,6.0
4.2760415,0.026041666,58,86,1,0,n49,3.865886,6.0
4.2864585,0.06614583,50,79,1,0,n50,4.28125,7.0
4.386979,0.041666668,58,34,1,0,n51,4.28125,7.0
4.407292,0.065625,48,65,1,0,n52,4.28125,7.0
4.4921875,0.047916666,70,90,1,0,n53,4.28125,7.0
4.496354,0.09375,46,71,1,0,n54,4.28125,7.0
4.513021,0.026041666,58,68,1,0,n55,4.28125,7.0
4.6302085,0.075520836,44,63,1,0,n56,4.28125,7.0
4.748958,0.4671875,75,92,1,0,n57,4.28125,7.0
