xml_id	midi_id	track	channel	pitch	onset
n16-1	n0	0	0	37	1.5090796875000003
n18-1	n5	0	0	37	1.9123912500000007
n1-1	n1	0	0	44	1.6185881250000005
n19-1	n7	0	0	44	2.0299125000000005
n17-1	deletion
n2-1	n2	0	0	49	1.7053935937500004
n5-1	n6	0	0	49	1.9671454687500005
n3-1	n3	0	0	52	1.7801798437500005
n6-1	n8	0	0	52	2.0365898437500003
n4-1	n4	0	0	56	1.8669853125000007
n7-1	n9	0	0	56	2.1274017187500003
n20-1	n11	0	0	37	2.2088653125000004
n21-1	n13	0	0	44	2.3611087500000005
n9-1	n12	0	0	52	2.2809806250000007
n10-1	n14	0	0	56	2.3691215625000006
n8-1	n10	0	0	61	2.1981815625000003
n11-1	n15	0	0	61	2.4452432812500007
n22-1	n17	0	0	37	2.5307132812500006
n23-1	n20	0	0	44	2.6963114062500004
n13-1	n18	0	0	56	2.6095059375000007
n14-1	n19	0	0	61	2.688298593750001
n12-1	n16	0	0	64	2.5133521875000007
n15-1	n21	0	0	64	2.7897942187500004
n44-1	n23	0	0	37	2.8712578125
n45-1	n26	0	0	44	3.0301785937500005
n25-1	n24	0	0	61	2.9607342187500003
n26-1	n25	0	0	64	3.0074756250000005
n24-1	n22	0	0	68	2.84855484375
n27-1	n27	0	0	68	3.0902746875000005
n46-1	n29	0	0	37	3.1904348437500007
n47-1	n31	0	0	44	3.3440137500000007
n29-1	n30	0	0	64	3.2705629687500006
n30-1	n32	0	0	68	3.3533620312500005
n28-1	n28	0	0	73	3.1597190625000007
n31-1	n33	0	0	73	3.4281482812500004
n34-1	n38	0	0	73	3.675209999999999
n37-1	n44	0	0	73	3.8194406249999986
n41-1	deletion
n48-1	n35	0	0	37	3.51495375
n49-1	n37	0	0	44	3.651171562499999
n33-1	n36	0	0	68	3.589739999999999
n32-1	n34	0	0	76	3.4762251562500004
n35-1	n39	0	0	76	3.741983437499999
n50-1	n43	0	0	37	3.8194406249999986
n52-1	n47	0	0	44	3.998393437499998
n51-1	n40	0	0	49	3.8154342187499988
n36-1	n42	0	0	68	3.8167696874999986
n40-1	n49	0	0	68	4.022431874999998
n38-1	n45	0	0	76	3.8274534374999987
n42-1	n48	0	0	76	4.013083593749998
n39-1	n41	0	0	80	3.8154342187499988
n43-1	n46	0	0	80	3.993051562499998
n68-1	n50	0	0	36	4.229429531249998
n53-1	n51	0	0	44	4.280177343749998
n69-1	deletion
n54-1	n52	0	0	48	4.396363124999999
n55-1	n53	0	0	51	4.5058715624999985
n70-1	n55	0	0	36	4.595347968749998
n71-1	n58	0	0	44	4.742249531249998
n57-1	n56	0	0	48	4.656779531249998
n58-1	n57	0	0	51	4.736907656249998
n56-1	n54	0	0	56	4.5459356249999985
n59-1	n59	0	0	56	4.822377656249998
n72-1	n61	0	0	36	4.913189531249997
n73-1	n64	0	0	44	5.085464999999997
n61-1	n62	0	0	51	4.987975781249997
n62-1	n63	0	0	56	5.068103906249997
n60-1	n60	0	0	60	4.894492968749997
n63-1	n65	0	0	60	5.168264062499997
n74-1	n67	0	0	36	5.260411406249997
n75-1	n70	0	0	44	5.420667656249997
n65-1	n68	0	0	56	5.324513906249997
n66-1	n69	0	0	60	5.383274531249997
n64-1	n66	0	0	63	5.232366562499997
n67-1	n71	0	0	63	5.486105624999998
n96-1	n73	0	0	36	5.6062978124999985
n97-1	n76	0	0	44	5.7652185937499985
n77-1	n74	0	0	60	5.673071249999999
n78-1	n75	0	0	63	5.754534843749998
n76-1	n72	0	0	68	5.556885468749998
n79-1	n77	0	0	68	5.841340312499999
n98-1	n79	0	0	36	5.921468437499999
n99-1	n82	0	0	44	6.087066562499999
n81-1	n80	0	0	63	6.000261093749999
n82-1	n81	0	0	68	6.080389218749999
n80-1	n78	0	0	72	5.914791093749999
n83-1	n83	0	0	72	6.159181874999999
n100-1	n85	0	0	36	6.251329218749999
n101-1	n87	0	0	44	6.391553437499998
n85-1	n86	0	0	68	6.340805624999998
n86-1	n88	0	0	72	6.406243593749998
n84-1	n84	0	0	75	6.2353035937499985
n87-1	n89	0	0	75	6.465004218749999
n102-1	n94	0	0	36	6.562493437499998
n104-1	n96	0	0	44	6.745452656249999
n103-1	n95	0	0	48	6.563828906249998
n88-1	n92	0	0	68	6.546467812499998
n92-1	n98	0	0	68	6.756136406249999
n89-1	n91	0	0	72	6.545132343749998
n93-1	n99	0	0	72	6.758807343749998
n90-1	n93	0	0	75	6.561157968749998
n94-1	n100	0	0	75	6.769491093749998
n91-1	n90	0	0	80	6.543796874999998
n95-1	n97	0	0	80	6.749459062499999
n120-1	n101	0	0	35	6.956456718749999
n121-1	n103	0	0	44	7.116712968749999
n105-1	n102	0	0	49	7.051274999999999
n106-1	n104	0	0	53	7.142086874999999
n107-1	n105	0	0	56	7.220879531249999
n122-1	n107	0	0	35	7.290323906249999
n123-1	n109	0	0	44	7.4572575
n109-1	n108	0	0	53	7.39449046875
n110-1	n110	0	0	56	7.4652703124999995
n108-1	n106	0	0	61	7.2836465624999995
n111-1	n111	0	0	61	7.546733906249998
n124-1	n113	0	0	35	7.640216718749998
n125-1	n116	0	0	44	7.808485781249997
n113-1	n114	0	0	56	7.710996562499997
n114-1	n115	0	0	61	7.791124687499997
n112-1	n112	0	0	65	7.624191093749998
n115-1	n117	0	0	65	7.863239999999998
n126-1	n119	0	0	35	7.9754193749999995
n127-1	n122	0	0	44	8.145023906250003
n117-1	n120	0	0	61	8.03284453125
n118-1	n121	0	0	65	8.102288906250001
n116-1	n118	0	0	68	7.947374531249999
n119-1	n123	0	0	68	8.193100781250001
n148-1	n125	0	0	35	8.307951093750003
n149-1	n128	0	0	44	8.468207343750002
n129-1	n126	0	0	65	8.384072812500001
n130-1	n127	0	0	68	8.457523593750002
n128-1	n124	0	0	73	8.263880625000002
n131-1	n129	0	0	73	8.544329062500003
n150-1	n131	0	0	35	8.6404828125
n151-1	n134	0	0	44	8.79940359375
n133-1	n132	0	0	68	8.72995921875
n134-1	n133	0	0	73	8.7900553125
n132-1	n130	0	0	77	8.629799062500002
n135-1	n135	0	0	77	8.886209062499999
n152-1	n137	0	0	35	8.965001718749999
n153-1	n139	0	0	44	9.09854859375
n137-1	n138	0	0	73	9.05982
n138-1	n140	0	0	77	9.129264375
n136-1	n136	0	0	80	8.942298749999999
n139-1	n141	0	0	80	9.1800121875
n154-1	n146	0	0	35	9.277501406249998
n156-1	n148	0	0	44	9.443099531249995
n155-1	n147	0	0	47	9.280172343749998
n140-1	n145	0	0	73	9.276165937499998
n144-1	n149	0	0	73	9.469808906249995
n141-1	n142	0	0	77	9.26948859375
n145-1	n151	0	0	77	9.480492656249995
n142-1	n143	0	0	80	9.2708240625
n146-1	n152	0	0	80	9.495182812499994
n143-1	n144	0	0	85	9.2708240625
n147-1	n150	0	0	85	9.476486249999995
n174-1	n153	0	0	33	9.706186874999997
n175-1	n156	0	0	45	9.889146093749995
n157-1	n155	0	0	49	9.807682499999995
n158-1	n157	0	0	54	9.891817031249994
n159-1	n158	0	0	57	9.958590468749993
n176-1	n160	0	0	33	10.065427968749992
n177-1	n162	0	0	45	10.224348749999992
n160-1	n159	0	0	61	10.041389531249992
n161-1	n161	0	0	61	10.156239843749992
n162-1	n163	0	0	66	10.249722656249991
n163-1	n164	0	0	69	10.32584437499999
n178-1	n166	0	0	33	10.39662421874999
n179-1	n168	0	0	45	10.567564218749991
n164-1	n165	0	0	73	10.38460499999999
n165-1	n167	0	0	73	10.510139062499992
n166-1	n169	0	0	78	10.578247968749992
n167-1	n170	0	0	81	10.653034218749992
n180-1	n171	0	0	33	10.733162343749992
n181-1	n178	0	0	45	10.925469843749994
n168-1	n174	0	0	73	10.735833281249992
n171-1	n177	0	0	73	10.924134374999994
n169-1	n172	0	0	78	10.733162343749992
n172-1	n179	0	0	78	10.928140781249994
n170-1	n173	0	0	85	10.734497812499992
n173-1	n176	0	0	85	10.921463437499995
n199-1	n180	0	0	33	11.127125624999993
n200-1	n182	0	0	45	11.300736562499992
n182-1	n181	0	0	49	11.227285781249993
n183-1	n183	0	0	52	11.327445937499991
n184-1	n184	0	0	55	11.420928749999991
n201-1	n186	0	0	33	11.489037656249993
n202-1	n188	0	0	45	11.681345156249991
n185-1	n185	0	0	61	11.473012031249992
n186-1	n187	0	0	61	11.609229843749992
n187-1	n189	0	0	64	11.689357968749992
n188-1	n190	0	0	67	11.76414421874999
n203-1	n192	0	0	33	11.85762703124999
n204-1	n195	0	0	45	12.043257187499991
n189-1	n191	0	0	73	11.840265937499991
n190-1	n193	0	0	73	11.976483749999991
n191-1	n194	0	0	76	12.032573437499991
n192-1	n196	0	0	79	12.107359687499994
n205-1	n197	0	0	33	12.226216406249993
n206-1	n201	0	0	45	12.425201249999995
n193-1	n198	0	0	73	12.234229218749993
n196-1	n203	0	0	73	12.435884999999995
n194-1	n200	0	0	79	12.238235624999993
n197-1	n204	0	0	79	12.439891406249995
n195-1	n199	0	0	85	12.236900156249993
n198-1	n202	0	0	85	12.434549531249996
n224-1	n207	0	0	32	12.686953124999995
n225-1	n205	0	0	44	12.682946718749996
n233-1	n211	0	0	56	13.048865156249994
n226-1	n212	0	0	60	13.050200624999993
n210-1	n210	0	0	68	13.044858749999994
n207-1	n209	0	0	72	12.690959531249995
n208-1	n208	0	0	80	12.689624062499995
n211-1	n213	0	0	80	13.132999687499993
n209-1	n206	0	0	84	12.684282187499996
n227-1	n215	0	0	60	13.241172656249992
n228-1	n218	0	0	61	13.414783593749991
n212-1	n214	0	0	68	13.226482499999992
n214-1	n217	0	0	70	13.404099843749991
n213-1	n216	0	0	80	13.325307187499991
n215-1	n219	0	0	80	13.496247187499993
n217-1	n222	0	0	80	13.669858124999992
n229-1	n221	0	0	63	13.600413749999992
n230-1	n224	0	0	64	13.768682812499994
n216-1	n220	0	0	72	13.593736406249993
n218-1	n223	0	0	73	13.760669999999994
n219-1	n225	0	0	80	13.850146406249996
n232-1	n229	0	0	63	14.129259375
n231-1	n226	0	0	66	13.951642031249996
n222-1	n230	0	0	72	14.1372721875
n220-1	n227	0	0	75	13.959654843749997
n221-1	n228	0	0	80	14.033105624999997
n223-1	n231	0	0	80	14.225413125000003
n252-1	n235	0	0	64	14.475145781250003
n251-1	n232	0	0	66	14.304205781250003
n237-1	n236	0	0	73	14.495177812500003
n235-1	n233	0	0	75	14.312218593750002
n236-1	n234	0	0	80	14.392346718750003
n238-1	n237	0	0	80	14.579312343750004
n254-1	n241	0	0	68	14.842399687500006
n253-1	n238	0	0	69	14.667453281250005
n241-1	n242	0	0	76	14.857089843750005
n239-1	n239	0	0	78	14.679472500000005
n240-1	n240	0	0	80	14.754258750000004
n242-1	n243	0	0	80	14.933211562500006
n256-1	n247	0	0	64	15.188286093750007
n255-1	n244	0	0	66	15.016010625000007
n245-1	n248	0	0	73	15.193627968750006
n243-1	n245	0	0	75	15.025358906250007
n244-1	n246	0	0	80	15.104151562500007
n246-1	n249	0	0	80	15.292452656250006
n258-1	n254	0	0	61	15.538178906250003
n257-1	n251	0	0	63	15.360561562500004
n249-1	n255	0	0	69	15.562217343750001
n247-1	n252	0	0	72	15.364567968750004
n250-1	n256	0	0	79	15.657035625000002
n248-1	n253	0	0	80	15.444696093750004
n276-1	n258	0	0	56	15.755860312500001
n277-1	n259	0	0	60	15.757195781250001
n278-1	n261	0	0	60	15.952174218750002
n260-1	n257	0	0	68	15.749182968750002
n262-1	n262	0	0	68	15.952174218750002
n261-1	n260	0	0	80	15.87471703125
n263-1	n263	0	0	80	16.042986093750006
n279-1	n265	0	0	60	16.133797968750006
n280-1	n268	0	0	61	16.303402500000004
n264-1	n264	0	0	68	16.128456093750007
n266-1	n267	0	0	70	16.294054218750006
n265-1	n266	0	0	80	16.217932500000007
n267-1	n269	0	0	80	16.386201562500005
n281-1	n270	0	0	63	16.469000625000007
n282-1	n273	0	0	64	16.64127609375
n268-1	n271	0	0	72	16.478348906250005
n270-1	n274	0	0	73	16.64394703125
n269-1	n272	0	0	80	16.566489843750002
n271-1	n275	0	0	80	16.736094375
n284-1	n279	0	0	63	16.993839843749996
n283-1	n276	0	0	66	16.81755796875
n274-1	n280	0	0	72	17.004523593749994
n272-1	n277	0	0	75	16.841596406249995
n273-1	n278	0	0	80	16.904363437499995
n275-1	n281	0	0	80	17.09132906249999
n303-1	n286	0	0	64	17.369106562499994
n302-1	n282	0	0	66	17.17012171874999
n287-1	n285	0	0	73	17.354416406249992
n285-1	n283	0	0	75	17.17279265624999
n286-1	n284	0	0	80	17.25425624999999
n288-1	n287	0	0	80	17.445228281249992
n305-1	n291	0	0	68	17.760398906249996
n304-1	n289	0	0	69	17.566755937499995
n291-1	n292	0	0	76	17.768411718749995
n289-1	n288	0	0	78	17.552065781249993
n290-1	n290	0	0	80	17.656232343749995
n292-1	n293	0	0	80	17.839191562499995
n307-1	n298	0	0	64	18.12097546875
n306-1	n295	0	0	66	17.938016249999997
n295-1	n297	0	0	73	18.0982725
