onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
2.0491433,2.1239295,38,22,0,0,n0,2.049143,0.0
2.3824763,1.7905965,38,20,0,0,n1,2.382476,1.0
2.700852,1.4722208,38,28,0,0,n2,2.700852,2.0
3.011749,1.1613237,69,51,0,0,n3,2.700852,2.0
3.0235012,1.1495715,38,19,0,0,n4,2.700852,2.0
3.0352533,1.1378194,66,39,0,0,n5,3.029377,3.0
3.0373902,1.1356826,60,37,0,0,n6,3.029377,3.0
3.6485007,0.52457213,38,24,0,0,n7,3.029377,3.0
3.9946542,2.1207244,69,54,0,0,n8,3.825851,5.0
4.003201,2.1121774,62,36,0,0,n9,4.003201,6.0
4.0181584,2.0972202,59,38,0,0,n10,4.003201,6.0
4.4978585,1.6175197,67,48,0,0,n11,4.003201,6.0
5.12179,0.99358875,38,29,0,0,n12,5.12179,8.0
5.4455075,0.66987115,38,35,0,0,n13,5.445507,9.0
5.702986,0.41239274,38,33,0,0,n14,5.702986,10.0
5.7040544,0.41132438,66,54,0,0,n15,5.702986,10.0
5.7531996,0.36217913,59,24,0,0,n16,5.753199,11.0
5.7756352,0.33974326,55,21,0,0,n17,5.753199,11.0
5.8493533,0.26602536,64,55,0,0,n18,5.753199,11.0
6.002131,1.1132468,55,39,0,0,n19,5.753199,11.0
6.010678,1.1046997,62,57,0,0,n20,5.753199,11.0
6.0299087,1.085469,52,42,0,0,n21,6.0202937,12.0
6.0384555,0.162393,38,20,0,0,n22,6.0202937,12.0
6.341874,0.7735035,38,26,0,0,n23,6.341874,13.0
6.6677284,0.51282,61,58,0,0,n24,6.341874,13.0
6.675207,0.4401705,38,36,0,0,n25,6.6714673,14.0
6.986104,1.0715802,59,56,0,0,n26,6.6714673,14.0
7.0074716,1.0502126,49,33,0,0,n27,6.6714673,14.0
7.010677,1.0470074,55,36,0,0,n28,7.007472,15.0
7.300206,0.7574779,38,33,0,0,n29,7.300206,16.0
7.6175137,0.4401705,57,54,0,0,n30,7.300206,16.0
7.6484966,0.40918761,38,31,0,0,n31,7.6330056,17.0
7.9903765,2.008545,57,47,0,0,n32,7.6330056,17.0
8.009607,2.8525612,50,30,0,0,n33,7.6330056,17.0
8.012813,1.9861091,54,36,0,0,n34,8.01121,18.0
8.013881,0.14316225,38,25,0,0,n35,8.01121,18.0
8.319436,1.6794856,38,21,0,0,n36,8.319436,19.0
8.648496,1.350426,38,41,0,0,n37,8.648496,20.0
8.958324,1.0405972,62,55,0,0,n38,8.648496,20.0
8.96153,1.059828,42,36,0,0,n39,8.648496,20.0
8.992513,1.1046997,57,36,0,0,n40,8.977021,21.0
9.011744,0.9871785,38,18,0,0,n41,8.977021,21.0
9.287384,0.7115378,38,20,0,0,n42,9.287384,22.0
9.582255,0.41666624,38,32,0,0,n43,9.582255,23.0
9.907042,0.95512724,64,52,0,0,n44,9.582255,23.0
9.90811,1.0576912,45,36,0,0,n45,9.90811,24.0
9.930546,0.931623,61,37,0,0,n46,9.90811,24.0
10.220076,0.64209336,38,30,0,0,n47,10.220075,25.0
10.537383,0.324786,66,45,0,0,n48,10.220075,25.0
10.548066,0.31410226,62,37,0,0,n49,10.542725,26.0
10.68375,0.19017075,67,42,0,0,n50,10.542725,26.0
10.6976385,0.16452976,64,46,0,0,n51,10.542725,26.0
10.836528,0.5619652,66,36,0,0,n52,10.542725,26.0
10.852553,0.5459396,62,35,0,0,n53,10.852553,27.0
10.855759,0.5427345,50,26,0,0,n54,10.852553,27.0
11.183749,0.21474338,50,38,0,0,n55,10.852553,27.0
11.496783,0.34829026,50,49,0,0,n56,11.496783,29.0
11.822638,0.14743575,50,30,0,0,n57,11.822638,30.0
11.822638,2.1987157,62,50,0,0,n58,11.822638,30.0
12.108962,1.9123913,50,45,0,0,n59,12.108962,31.0
12.416655,1.6046993,50,41,0,0,n60,12.416654,32.0
12.776696,1.2446569,81,65,0,0,n61,12.416654,32.0
12.783107,1.2382467,54,33,0,0,n62,12.416654,32.0
12.802338,1.2190158,50,15,0,0,n63,12.792723,33.0
12.823705,1.1976484,72,40,0,0,n64,12.792723,33.0
13.099346,0.9220076,50,32,0,0,n65,13.099346,34.0
13.416654,0.60470027,50,35,0,0,n66,13.416653,35.0
13.763875,1.179486,81,59,0,0,n67,13.416653,35.0
13.779901,1.1912382,55,34,0,0,n68,13.416653,35.0
13.788447,1.1549134,71,39,0,0,n69,13.784175,36.0
13.807678,0.27884588,50,32,0,0,n70,13.784175,36.0
