xml_id	midi_id	track	channel	pitch	onset
n2-1	n0	1	0	38	2.01789328125
n3-1	n1	1	0	38	2.37045703125
n4-1	n2	1	0	38	2.6549118750000003
n8-1	n4	1	0	38	2.96340515625
n6-1	n6	1	0	60	2.9874435937499997
n7-1	n5	1	0	66	2.9700824999999997
n5-1	n3	1	0	69	2.954056875
n9-1	n7	1	0	38	3.28391765625
n10-1	n8	1	0	38	3.5803917187499996
n15-1	n12	1	0	38	3.8888849999999993
n13-1	n10	1	0	59	3.8862140624999992
n14-1	n11	1	0	62	3.8862140624999992
n11-1	n9	1	0	69	3.8728593749999995
n16-1	n13	1	0	38	4.177346249999999
n12-1	n14	1	0	67	4.19871375
n17-1	n15	1	0	38	4.479162187500002
n25-1	n16	1	0	38	4.778307187500002
n26-1	n17	1	0	38	5.062762031250002
n27-1	n18	1	0	38	5.351223281250002
n23-1	n21	1	0	55	5.3712553125000015
n24-1	n20	1	0	59	5.359236093750002
n20-1	n22	1	0	64	5.459396250000001
n19-1	n19	1	0	66	5.353894218750002
n32-1	n23	1	0	38	5.669064843750001
n31-1	n26	1	0	52	5.687761406250001
n30-1	n25	1	0	55	5.686425937500001
n28-1	n24	1	0	62	5.675742187500001
n33-1	n27	1	0	38	5.9708807812500035
n34-1	n29	1	0	38	6.240645468750004
n29-1	n28	1	0	61	6.239310000000004
n39-1	n31	1	0	38	6.566499843750003
n38-1	n32	1	0	49	6.587867343750003
n37-1	n33	1	0	55	6.625260468750003
n35-1	n30	1	0	59	6.565164375000003
n40-1	n34	1	0	38	6.887012343750004
n41-1	n36	1	0	38	7.174138125000005
n36-1	n35	1	0	57	7.147428750000005
n45-1	n38	1	0	38	7.4612639062500055
n44-1	n39	1	0	50	7.463934843750005
n42-1	n40	1	0	54	7.489308750000005
n43-1	n37	1	0	57	7.457257500000005
n46-1	n41	1	0	38	7.741712343750005
n47-1	n42	1	0	38	8.048870156250008
n51-1	n44	1	0	38	8.348015156250007
n50-1	n45	1	0	42	8.353357031250006
n48-1	n46	1	0	57	8.376060000000006
n49-1	n43	1	0	62	8.346679687500007
n52-1	n47	1	0	38	8.641818281250009
n53-1	n48	1	0	38	8.92093125000001
n61-1	n52	1	0	38	9.24678562500001
n60-1	n50	1	0	45	9.22942453125001
n54-1	n51	1	0	61	9.23610187500001
n55-1	n49	1	0	64	9.21339890625001
n62-1	n53	1	0	38	9.497853750000012
n63-1	n56	1	0	38	9.805011562500013
n56-1	n54	1	0	62	9.783644062500013
n58-1	n57	1	0	64	9.913184531250012
n57-1	n55	1	0	66	9.790321406250014
n59-1	n58	1	0	67	9.929210156250011
n71-1	n62	1	0	38	10.112169375000013
n68-1	n60	1	0	50	10.092137343750013
n64-1	n61	1	0	62	10.092137343750013
n65-1	n59	1	0	66	10.060086093750012
n69-1	n63	1	0	50	10.385940468750015
n70-1	n64	1	0	50	10.653034218750014
n74-1	n66	1	0	50	10.960192031250013
n73-1	n65	1	0	62	10.937489062500013
n75-1	n67	1	0	50	11.228621250000018
n76-1	n68	1	0	50	11.517082500000019
n80-1	n71	1	0	50	11.822904843750019
n79-1	n72	1	0	54	11.824240312500018
n78-1	n70	1	0	72	11.81889843750002
n77-1	n69	1	0	81	11.79352453125002
n81-1	n73	1	0	50	12.08599218750002
n82-1	n74	1	0	50	12.377124375000019
n87-1	n78	1	0	50	12.668256562500018
n86-1	n76	1	0	55	12.65757281250002
n85-1	n77	1	0	71	12.662914687500018
n83-1	n75	1	0	81	12.638876250000019
n88-1	n80	1	0	50	12.955382343750019
n84-1	n79	1	0	79	12.935350312500018
n89-1	n81	1	0	50	13.205115000000022
n95-1	n83	1	0	50	13.492240781250024
n94-1	n84	1	0	59	13.492240781250024
n93-1	n82	1	0	67	13.485563437500023
