onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.5210989,0.4447111,45,34,0,0,n0,-10.0,-10.0
1.968481,0.59962547,38,31,0,0,n1,1.968481,0.0
2.5600936,0.3124997,45,37,0,0,n2,1.968481,0.0
2.8846126,0.55956143,38,42,0,0,n3,1.968481,0.0
3.4054453,0.32451892,47,50,0,0,n4,2.884613,3.0
3.7326353,0.58359987,38,49,0,0,n5,3.732635,6.0
4.2721643,0.2871258,49,55,0,0,n6,3.732635,6.0
4.5472713,0.5515486,38,48,0,0,n7,4.547271,9.0
5.07211,1.0149562,81,69,0,0,n8,4.547271,9.0
5.1068325,0.9802341,50,38,0,0,n9,4.547271,9.0
5.3886166,0.69845015,38,38,0,0,n10,4.547271,9.0
5.4086485,0.6784181,69,49,0,0,n11,5.398632,12.0
5.6343427,0.45272392,79,75,0,0,n12,5.398632,12.0
5.860037,0.22702968,78,92,0,0,n13,5.398632,12.0
5.889417,0.19764937,42,61,0,0,n14,5.398632,12.0
6.103092,0.7478625,76,81,0,0,n15,5.398632,12.0
6.1257954,0.7251595,71,62,0,0,n16,6.125795,15.0
6.148498,0.70245653,38,57,0,0,n17,6.125795,15.0
6.3394704,0.5114845,78,84,0,0,n18,6.125795,15.0
6.5731773,0.2777775,74,84,0,0,n19,6.125795,15.0
6.614577,0.29380313,43,52,0,0,n20,6.125795,15.0
6.8389354,0.21233954,71,76,0,0,n21,6.125795,15.0
6.8416066,0.47943327,38,56,0,0,n22,6.841606,18.0
6.8429418,0.20165578,67,74,0,0,n23,6.841606,18.0
7.0445976,0.03205125,76,79,0,0,n24,6.841606,18.0
7.292995,0.03205125,67,69,0,0,n25,6.841606,18.0
7.3010077,0.024038438,73,62,0,0,n26,6.841606,18.0
7.313027,0.26041642,45,43,0,0,n27,6.841606,18.0
7.6001525,0.67708266,66,49,0,0,n28,6.841606,18.0
7.6054945,0.77724284,74,56,0,0,n29,6.841606,18.0
7.6281977,0.08146359,38,44,0,0,n30,7.605495,21.0
8.174404,0.28579032,45,43,0,0,n31,7.605495,21.0
8.47622,0.5475422,38,42,0,0,n32,8.47622,24.0
8.969008,0.33920905,45,45,0,0,n33,8.47622,24.0
9.27216,0.55288404,38,38,0,0,n34,9.27216,27.0
9.75827,0.32585436,47,50,0,0,n35,9.27216,27.0
10.048067,0.5849353,38,43,0,0,n36,10.048067,30.0
10.566229,0.3538992,49,59,0,0,n37,10.048067,30.0
10.861367,1.5932143,38,62,0,0,n38,10.861367,33.0
11.45298,1.0016016,81,80,0,0,n39,10.861367,33.0
11.502393,0.9521892,50,42,0,0,n40,10.861367,33.0
11.778834,0.6757472,38,54,0,0,n41,10.861367,33.0
11.8015375,0.6530442,69,51,0,0,n42,11.790186,36.0
12.027231,0.42735,79,77,0,0,n43,11.790186,36.0
12.244913,0.20966859,78,86,0,0,n44,11.790186,36.0
12.271623,0.18295921,42,64,0,0,n45,11.790186,36.0
12.278299,0.17628187,81,13,0,0,n46,11.790186,36.0
