xml_id	midi_id	track	channel	pitch	onset
n6-1	n3	0	0	55	1.6212590625000003
n7-1	n2	0	0	59	1.6172526562500003
n8-1	n1	0	0	62	1.6159171875000002
n5-1	n5	0	0	76	2.3197092187500004
n4-1	n4	0	0	78	2.2315682812500004
n1-1	n0	0	0	79	1.5077442187500003
n13-1	n9	0	0	71	2.7029887500000007
n10-1	n6	0	0	74	2.4158629687500004
n11-1	n7	0	0	75	2.5173585937500005
n12-1	n8	0	0	76	2.5854675000000005
n17-1	n13	0	0	69	3.0982875000000005
n16-1	n12	0	0	71	3.0074756250000005
n15-1	n11	0	0	72	2.9099864062500007
n14-1	n10	0	0	74	2.801813437500001
n19-1	n14	0	0	67	3.1957767187500004
n21-1	n16	0	0	59	3.9423037500000007
n22-1	n17	0	0	62	3.9516520312500005
n23-1	n15	0	0	67	3.9396328125000006
n37-1	n18	0	0	43	4.059825000000001
n38-1	n19	0	0	55	4.063831406250001
n28-1	n22	0	0	59	4.36564734375
n29-1	n21	0	0	62	4.364311875
n30-1	n20	0	0	71	4.3629764062500005
n40-1	n24	0	0	43	4.495187812500001
n41-1	n23	0	0	55	4.481833125000001
n34-1	n27	0	0	59	4.803681093750001
n35-1	n25	0	0	62	4.795668281250001
n36-1	n26	0	0	67	4.797003750000001
n51-1	n28	0	0	43	4.92520875
n52-1	n29	0	0	55	4.92520875
n48-1	n30	0	0	59	5.6623875
n49-1	n31	0	0	62	5.66372296875
n50-1	n32	0	0	67	5.66372296875
n69-1	n33	0	0	43	5.77990875
n70-1	n34	0	0	55	5.785250625
n58-1	n37	0	0	62	6.07237640625
n59-1	n36	0	0	67	6.06837
n60-1	n38	0	0	71	6.0817246875
n61-1	n35	0	0	74	6.06169265625
n72-1	n40	0	0	43	6.2179424999999995
n73-1	n39	0	0	55	6.21660703125
n66-1	n43	0	0	59	6.506403749999999
n67-1	n41	0	0	62	6.495719999999999
n68-1	n42	0	0	67	6.501061874999999
n84-1	n44	0	0	43	6.635944218749999
n85-1	n45	0	0	55	6.639950624999999
n80-1	n47	0	0	59	7.39983234375
n81-1	n46	0	0	62	7.3958259375
n82-1	n49	0	0	67	7.40784515625
n83-1	n48	0	0	71	7.39983234375
n104-1	n51	0	0	43	7.528037343749999
n105-1	n50	0	0	55	7.522695468749999
n92-1	n52	0	0	67	7.797802031250001
n93-1	n54	0	0	71	7.8044793750000006
n94-1	n55	0	0	76	7.80581484375
n95-1	n53	0	0	79	7.797802031250001
n107-1	n57	0	0	40	7.932684375000001
n108-1	n56	0	0	52	7.928677968750001
n100-1	n58	0	0	66	8.242513125000002
n101-1	n60	0	0	69	8.250525937500003
n102-1	n61	0	0	74	8.253196875000002
n103-1	n59	0	0	78	8.242513125000002
n116-1	n63	0	0	45	8.374724531250004
n117-1	n62	0	0	57	8.372053593750005
n129-1	n64	0	0	45	9.282843281250004
n130-1	n65	0	0	57	9.282843281250004
n120-1	n66	0	0	66	9.282843281250004
n121-1	n68	0	0	69	9.296197968750004
n122-1	n67	0	0	74	9.282843281250004
n132-1	n71	0	0	33	9.708857812500005
n133-1	n69	0	0	45	9.696838593750005
n124-1	n72	0	0	64	9.708857812500005
n125-1	n74	0	0	67	9.742244531250003
n126-1	n73	0	0	69	9.724883437500004
n127-1	n70	0	0	73	9.698174062500005
n142-1	n79	0	0	38	10.182949218750004
n143-1	n80	0	0	50	10.185620156250003
n135-1	n76	0	0	62	10.170930000000004
n136-1	n78	0	0	66	10.181613750000004
n137-1	n77	0	0	69	10.180278281250004
n138-1	n75	0	0	74	10.158910781250004
n141-1	n81	0	0	77	10.98690140625
n149-1	n82	0	0	65	11.11510640625
n151-1	n86	0	0	62	11.79352453125
n150-1	n83	0	0	64	11.6880225
n148-1	n85	0	0	74	11.7921890625
n147-1	n84	0	0	76	11.693364375
n163-1	n94	0	0	57	12.206184375000001
n160-1	n88	0	0	60	11.896355625
n161-1	n90	0	0	61	12.02856703125
n162-1	n92	0	0	62	12.09534046875
n155-1	n93	0	0	69	12.19683609375
n152-1	n87	0	0	72	11.88967828125
n153-1	n89	0	0	73	11.9898384375
n154-1	n91	0	0	74	12.088663125
n167-1	n102	0	0	55	12.590799375000001
n166-1	n100	0	0	57	12.49331015625
n165-1	n97	0	0	58	12.383801718750002
n164-1	n96	0	0	60	12.317028281250002
n159-1	n101	0	0	67	12.5827865625
n158-1	n99	0	0	69	12.4919746875
n157-1	n98	0	0	70	12.383801718750002
n156-1	n95	0	0	72	12.291654375000002
n173-1	n103	0	0	53	12.678940312500002
n168-1	n104	0	0	65	12.689624062500002
n170-1	n106	0	0	57	13.462860468750002
n171-1	n105	0	0	60	13.457518593750002
n172-1	n107	0	0	65	13.464195937500001
n187-1	n108	0	0	41	13.58038171875
n188-1	n109	0	0	53	13.58305265625
n178-1	n111	0	0	57	13.89555234375
n179-1	n112	0	0	60	13.89555234375
n180-1	n110	0	0	69	13.89021046875
n190-1	n114	0	0	41	14.02776375
n191-1	n113	0	0	53	14.02108640625
n184-1	n117	0	0	57	14.345605312500002
n185-1	n115	0	0	60	14.342934375000002
n186-1	n116	0	0	65	14.342934375000002
n201-1	n119	0	0	41	14.481823125000002
n202-1	n118	0	0	53	14.475145781250001
n198-1	n122	0	0	57	15.193627968750006
n199-1	n121	0	0	60	15.190957031250006
n200-1	n120	0	0	65	15.186950625000007
n219-1	n123	0	0	41	15.317826562500006
n220-1	n124	0	0	53	15.317826562500006
n208-1	n127	0	0	60	15.615636093750007
n209-1	n126	0	0	65	15.612965156250008
n210-1	n128	0	0	69	15.635668125000008
n211-1	n125	0	0	72	15.604952343750007
n222-1	n129	0	0	41	15.757195781250008
n223-1	n130	0	0	53	15.757195781250008
n216-1	n132	0	0	57	16.057676250000007
n217-1	n133	0	0	60	16.060347187500007
n218-1	n131	0	0	65	16.04699250000001
n234-1	n135	0	0	41	16.20057140625001
n235-1	n134	0	0	53	16.19656500000001
n230-1	n137	0	0	57	16.90302796875001
n231-1	n136	0	0	60	16.90169250000001
n232-1	n138	0	0	65	16.90569890625001
n233-1	n139	0	0	69	16.90569890625001
n254-1	n141	0	0	41	17.04859406250001
n255-1	n140	0	0	53	17.04191671875001
n242-1	n142	0	0	65	17.319694218750005
n243-1	n145	0	0	69	17.327707031250004
n244-1	n144	0	0	74	17.323700625000004
n245-1	n143	0	0	77	17.321029687500005
n257-1	n147	0	0	38	17.455912031249998
n258-1	n146	0	0	50	17.453241093749998
n250-1	n150	0	0	64	17.763069843749996
n251-1	n151	0	0	67	17.764405312499996
n252-1	n149	0	0	72	17.761734374999996
n253-1	n148	0	0	76	17.760398906249996
n266-1	n153	0	0	43	17.895281249999996
n267-1	n152	0	0	55	17.888603906249998
n279-1	n157	0	0	43	18.800729062499993
n280-1	n156	0	0	55	18.796722656249994
n270-1	n158	0	0	64	18.800729062499993
n271-1	n155	0	0	67	18.795387187499994
n272-1	n154	0	0	72	18.787374374999995
n282-1	n162	0	0	31	19.236091874999993
n283-1	n161	0	0	43	19.230749999999993
n274-1	n160	0	0	62	19.225408124999994
n275-1	n164	0	0	65	19.240098281249992
n276-1	n163	0	0	67	19.237427343749992
n277-1	n159	0	0	71	19.210717968749993
n295-1	n168	0	0	36	19.68213843749999
n296-1	n169	0	0	48	19.68614484374999
n285-1	deletion
n286-1	n166	0	0	64	19.67279015624999
n287-1	n167	0	0	67	19.67546109374999
n288-1	n165	0	0	72	19.65943546874999
n291-1	n171	0	0	64	20.435342812499986
n292-1	deletion
n293-1	n173	0	0	72	20.446026562499984
n294-1	n170	0	0	76	20.432671874999986
n315-1	n175	0	0	48	20.55553499999998
n316-1	n174	0	0	60	20.548857656249982
n303-1	n177	0	0	72	20.830641562499977
n304-1	n178	0	0	76	20.834647968749977
n305-1	n179	0	0	81	20.834647968749977
n306-1	n176	0	0	84	20.827970624999978
n318-1	n181	0	0	45	20.950833749999976
n319-1	n180	0	0	57	20.944156406249977
n311-1	n183	0	0	71	21.26466890624997
n312-1	n184	0	0	74	21.26867531249997
n313-1	n185	0	0	79	21.27268171874997
n314-1	n182	0	0	83	21.26199796874997
n327-1	n187	0	0	50	21.38486109374997
n328-1	n186	0	0	62	21.38219015624997
n339-1	n191	0	0	50	22.26894140624996
n340-1	n192	0	0	62	22.27027687499996
n331-1	n188	0	0	71	22.258257656249963
n332-1	n190	0	0	74	22.263599531249962
n333-1	n189	0	0	79	22.260928593749963
n342-1	n193	0	0	38	22.698962343749958
n343-1	n196	0	0	50	22.702968749999958
n335-1	n194	0	0	69	22.698962343749958
n336-1	n197	0	0	74	22.702968749999958
n337-1	n195	0	0	78	22.698962343749958
n350-1	n199	0	0	43	23.14767984374996
n351-1	n200	0	0	55	23.15168624999996
n345-1	n201	0	0	71	23.15168624999996
n346-1	n202	0	0	74	23.153021718749958
n347-1	n198	0	0	79	23.13833156249996
n364-1	n207	0	0	50	24.017069999999947
n365-1	n206	0	0	62	24.010392656249948
n354-1	n204	0	0	71	23.99970890624995
n355-1	n205	0	0	74	24.00104437499995
n356-1	n208	0	0	79	24.050456718749945
n357-1	n203	0	0	83	23.99169609374995
n367-1	n212	0	0	38	24.436407187499942
n368-1	n210	0	0	50	24.435071718749942
n359-1	n211	0	0	69	24.435071718749942
n360-1	n214	0	0	74	24.44575546874994
n361-1	n213	0	0	78	24.43907812499994
n362-1	n209	0	0	81	24.431065312499943
n376-1	n218	0	0	43	24.875776406249937
n377-1	n219	0	0	55	24.875776406249937
n370-1	n217	0	0	71	24.867763593749938
n371-1	n216	0	0	74	24.86375718749994
n372-1	n220	0	0	79	24.895808437499937
n373-1	n215	0	0	83	24.85440890624994
n390-1	n225	0	0	50	25.72379906249994
n391-1	n222	0	0	62	25.70777343749994
n380-1	n223	0	0	74	25.70777343749994
n381-1	n224	0	0	79	25.71445078124994
n382-1	deletion
n383-1	n221	0	0	86	25.69575421874994
n393-1	n228	0	0	38	26.121768749999937
n394-1	n229	0	0	50	26.124439687499937
n385-1	n227	0	0	74	26.117762343749938
n386-1	n231	0	0	78	26.153819999999936
n387-1	n230	0	0	81	26.127110624999936
n388-1	n226	0	0	86	26.11375593749994
n404-1	n234	0	0	43	26.561137968749936
n405-1	n233	0	0	55	26.545112343749935
