onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
-0.25,1.75,-0.25,1.75,0,840,79,1,n1-1,-10.0,-10.0
0.0,1.0,0.0,1.0,120,480,55,5,n6-1,0.0,1.08724
0.0,1.0,0.0,1.0,120,480,59,5,n7-1,0.0,1.08724
0.0,1.0,0.0,1.0,120,480,62,5,n8-1,0.0,1.08724
1.5,0.25,1.5,0.25,840,120,78,1,n4-1,1.0,1.494141
1.75,0.25,1.75,0.25,960,120,76,1,n5-1,1.0,1.494141
2.0,0.25,2.0,0.25,1080,120,74,1,n10-1,2.0,1.901042
2.25,0.25,2.25,0.25,1200,120,75,1,n11-1,2.0,1.901042
2.5,0.25,2.5,0.25,1320,120,76,1,n12-1,2.0,1.901042
2.75,0.25,2.75,0.25,1440,120,71,1,n13-1,2.0,1.901042
3.0,0.25,3.0,0.25,1560,120,74,1,n14-1,3.0,2.28776
3.25,0.25,3.25,0.25,1680,120,72,1,n15-1,3.0,2.28776
3.5,0.25,3.5,0.25,1800,120,71,1,n16-1,3.0,2.28776
3.75,0.25,3.75,0.25,1920,120,69,1,n17-1,3.0,2.28776
4.0,1.0,4.0,1.0,2040,480,67,1,n19-1,4.0,2.66276
5.75,1.0,5.75,1.0,2880,480,59,1,n21-1,5.0,3.073893
5.75,1.0,5.75,1.0,2880,480,62,1,n22-1,5.0,3.073893
5.75,1.0,5.75,1.0,2880,480,67,1,n23-1,5.0,3.073893
6.0,0.5,6.0,0.5,3000,240,43,5,n37-1,6.0,3.485026
6.0,0.5,6.0,0.5,3000,240,55,5,n38-1,6.0,3.485026
6.75,1.0,6.75,1.0,3360,480,59,1,n28-1,6.0,3.485026
6.75,1.0,6.75,1.0,3360,480,62,1,n29-1,6.0,3.485026
6.75,1.0,6.75,1.0,3360,480,71,1,n30-1,6.0,3.485026
7.0,0.5,7.0,0.5,3480,240,43,5,n40-1,7.0,3.901042
7.0,0.5,7.0,0.5,3480,240,55,5,n41-1,7.0,3.901042
7.75,0.75,7.75,0.75,3840,360,59,1,n34-1,7.0,3.901042
7.75,0.75,7.75,0.75,3840,360,62,1,n35-1,7.0,3.901042
7.75,0.75,7.75,0.75,3840,360,67,1,n36-1,7.0,3.901042
8.0,0.5,8.0,0.5,3960,240,43,5,n51-1,8.0,4.324218
8.0,0.5,8.0,0.5,3960,240,55,5,n52-1,8.0,4.324218
9.75,1.0,9.75,1.0,4800,480,59,1,n48-1,9.0,4.743164
9.75,1.0,9.75,1.0,4800,480,62,1,n49-1,9.0,4.743164
9.75,1.0,9.75,1.0,4800,480,67,1,n50-1,9.0,4.743164
10.0,0.5,10.0,0.5,4920,240,43,5,n69-1,10.0,5.162109
10.0,0.5,10.0,0.5,4920,240,55,5,n70-1,10.0,5.162109
10.75,1.0,10.75,1.0,5280,480,62,1,n58-1,10.0,5.162109
10.75,1.0,10.75,1.0,5280,480,67,1,n59-1,10.0,5.162109
10.75,1.0,10.75,1.0,5280,480,71,1,n60-1,10.0,5.162109
10.75,1.0,10.75,1.0,5280,480,74,1,n61-1,10.0,5.162109
11.0,0.5,11.0,0.5,5400,240,43,5,n72-1,11.0,5.566406
11.0,0.5,11.0,0.5,5400,240,55,5,n73-1,11.0,5.566406
11.75,0.75,11.75,0.75,5760,360,59,1,n66-1,11.0,5.566406
11.75,0.75,11.75,0.75,5760,360,62,1,n67-1,11.0,5.566406
11.75,0.75,11.75,0.75,5760,360,67,1,n68-1,11.0,5.566406
12.0,0.5,12.0,0.5,5880,240,43,5,n84-1,12.0,5.990885
12.0,0.5,12.0,0.5,5880,240,55,5,n85-1,12.0,5.990885
13.75,1.0,13.75,1.0,6720,480,59,1,n80-1,13.0,6.400716
13.75,1.0,13.75,1.0,6720,480,62,1,n81-1,13.0,6.400716
13.75,1.0,13.75,1.0,6720,480,67,1,n82-1,13.0,6.400716
13.75,1.0,13.75,1.0,6720,480,71,1,n83-1,13.0,6.400716
14.0,0.5,14.0,0.5,6840,240,43,5,n104-1,14.0,6.810547
14.0,0.5,14.0,0.5,6840,240,55,5,n105-1,14.0,6.810547
14.75,1.0,14.75,1.0,7200,480,67,1,n92-1,14.0,6.810547
14.75,1.0,14.75,1.0,7200,480,71,1,n93-1,14.0,6.810547
14.75,1.0,14.75,1.0,7200,480,76,1,n94-1,14.0,6.810547
14.75,1.0,14.75,1.0,7200,480,79,1,n95-1,14.0,6.810547
15.0,0.5,15.0,0.5,7320,240,40,5,n107-1,15.0,7.209636
15.0,0.5,15.0,0.5,7320,240,52,5,n108-1,15.0,7.209636
15.75,0.75,15.75,0.75,7680,360,66,1,n100-1,15.0,7.209636
15.75,0.75,15.75,0.75,7680,360,69,1,n101-1,15.0,7.209636
15.75,0.75,15.75,0.75,7680,360,74,1,n102-1,15.0,7.209636
15.75,0.75,15.75,0.75,7680,360,78,1,n103-1,15.0,7.209636
16.0,0.5,16.0,0.5,7800,240,45,5,n116-1,16.0,7.656901
16.0,0.5,16.0,0.5,7800,240,57,5,n117-1,16.0,7.656901
18.0,0.5,18.0,0.5,8760,240,45,5,n129-1,18.0,8.540365
18.0,0.5,18.0,0.5,8760,240,57,5,n130-1,18.0,8.540365
18.0,0.5,18.0,0.5,8760,240,66,1,n120-1,18.0,8.540365
18.0,0.5,18.0,0.5,8760,240,69,1,n121-1,18.0,8.540365
18.0,0.5,18.0,0.5,8760,240,74,1,n122-1,18.0,8.540365
19.0,0.5,19.0,0.5,9240,240,33,5,n132-1,19.0,8.975911
19.0,0.5,19.0,0.5,9240,240,45,5,n133-1,19.0,8.975911
19.0,0.5,19.0,0.5,9240,240,64,1,n124-1,19.0,8.975911
19.0,0.5,19.0,0.5,9240,240,67,1,n125-1,19.0,8.975911
19.0,0.5,19.0,0.5,9240,240,69,1,n126-1,19.0,8.975911
19.0,0.5,19.0,0.5,9240,240,73,1,n127-1,19.0,8.975911
20.0,0.5,20.0,0.5,9720,240,38,5,n142-1,20.0,9.392578
