onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.98307294,0.74869794,79,75,1,0,n0,-10.0,-10.0
1.0742188,0.125,62,58,1,0,n1,-10.0,-10.0
1.0872396,0.110677086,59,56,1,0,n2,-10.0,-10.0
1.0885416,0.110677086,55,57,1,0,n3,1.08724,0.0
1.7291666,0.08203125,78,66,1,0,n4,1.494141,1.0
1.8098959,0.0625,76,65,1,0,n5,1.494141,1.0
1.9010416,0.095052086,74,67,1,0,n6,1.494141,1.0
1.9960938,0.09375,75,70,1,0,n7,1.901042,2.0
2.092448,0.076822914,76,74,1,0,n8,1.901042,2.0
2.1966145,0.084635414,71,68,1,0,n9,1.901042,2.0
2.2877605,0.111979164,74,69,1,0,n10,2.28776,3.0
2.389323,0.12109375,72,75,1,0,n11,2.28776,3.0
2.483073,0.07421875,71,65,1,0,n12,2.28776,3.0
2.5677083,0.075520836,69,74,1,0,n13,2.28776,3.0
2.6627605,0.33854166,67,71,1,0,n14,2.66276,4.0
3.390625,0.115885414,62,43,1,0,n15,3.073893,5.0
3.3945312,0.125,67,48,1,0,n16,3.073893,5.0
3.404948,0.122395836,59,39,1,0,n17,3.073893,5.0
3.4817708,0.0390625,43,61,1,0,n18,3.073893,5.0
3.4882812,0.033854168,55,52,1,0,n19,3.485026,6.0
3.7851562,0.111979164,71,52,1,0,n20,3.485026,6.0
3.798177,0.108072914,59,44,1,0,n21,3.485026,6.0
3.8007812,0.0859375,62,47,1,0,n22,3.485026,6.0
3.9010417,0.040364582,43,52,1,0,n23,3.485026,6.0
3.9010417,0.03125,55,56,1,0,n24,3.485026,6.0
4.2083335,0.30859375,67,51,1,0,n25,3.901042,7.0
4.216146,0.28515625,62,45,1,0,n26,3.901042,7.0
4.2226562,0.25390625,59,41,1,0,n27,3.901042,7.0
4.3190103,0.040364582,43,62,1,0,n28,3.901042,7.0
4.3294272,0.032552082,55,51,1,0,n29,4.324218,8.0
5.0455728,0.12890625,67,54,1,0,n30,4.743164,9.0
5.0507812,0.08984375,62,54,1,0,n31,4.743164,9.0
5.0625,0.05859375,59,52,1,0,n32,4.743164,9.0
5.158854,0.049479168,43,62,1,0,n33,4.743164,9.0
5.1653647,0.040364582,55,57,1,0,n34,5.162109,10.0
5.4635415,0.084635414,74,61,1,0,n35,5.162109,10.0
5.4752603,0.110677086,62,58,1,0,n36,5.162109,10.0
5.4765625,0.063802086,67,54,1,0,n37,5.162109,10.0
5.4960938,0.04296875,71,46,1,0,n38,5.162109,10.0
5.5664062,0.04296875,43,62,1,0,n39,5.566406,11.0
5.5664062,0.040364582,55,61,1,0,n40,5.566406,11.0
5.8736978,0.328125,67,60,1,0,n41,5.566406,11.0
5.8802085,0.3059896,62,56,1,0,n42,5.566406,11.0
5.8815103,0.26041666,59,57,1,0,n43,5.566406,11.0
5.9908853,0.036458332,43,67,1,0,n44,5.990885,12.0
5.9908853,0.036458332,55,67,1,0,n45,5.990885,12.0
6.7174478,0.43489584,71,87,1,0,n46,6.400716,13.0
6.71875,0.048177082,59,85,1,0,n47,6.400716,13.0
6.71875,0.0703125,62,90,1,0,n48,6.400716,13.0
6.7304688,0.421875,67,79,1,0,n49,6.400716,13.0
6.8072915,0.3450521,55,90,1,0,n50,6.400716,13.0
6.8138022,0.33854166,43,91,1,0,n51,6.810547,14.0
7.1236978,0.083333336,67,98,1,0,n52,6.810547,14.0
7.1236978,0.08984375,79,91,1,0,n53,6.810547,14.0
7.1354165,0.088541664,71,84,1,0,n54,6.810547,14.0
7.1354165,0.54296875,76,80,1,0,n55,6.810547,14.0
7.2083335,0.4700521,52,96,1,0,n56,6.810547,14.0
7.2109375,0.4674479,40,93,1,0,n57,7.209636,15.0
7.5559897,0.21223958,66,100,1,0,n58,7.209636,15.0
7.5572915,0.25260416,78,97,1,0,n59,7.209636,15.0
7.5625,0.25,69,88,1,0,n60,7.209636,15.0
7.5677085,0.26041666,74,80,1,0,n61,7.209636,15.0
7.6549478,0.053385418,57,100,1,0,n62,7.209636,15.0
7.658854,0.05078125,45,96,1,0,n63,7.656901,16.0
8.536458,0.036458332,74,66,1,0,n64,8.098633,17.0
8.5390625,0.044270832,66,61,1,0,n65,8.098633,17.0
8.540364,0.036458332,69,65,1,0,n66,8.098633,17.0
8.548177,0.029947916,57,55,1,0,n67,8.540365,18.0
8.550781,0.037760418,45,64,1,0,n68,8.540365,18.0
8.957031,0.078125,73,77,1,0,n69,8.540365,18.0
8.975261,0.037760418,33,67,1,0,n70,8.540365,18.0
8.975261,0.044270832,64,62,1,0,n71,8.540365,18.0
8.9765625,0.033854168,45,67,1,0,n72,8.975911,19.0
8.988281,0.029947916,67,52,1,0,n73,8.975911,19.0
8.993489,0.029947916,69,53,1,0,n74,8.975911,19.0
9.3828125,0.084635414,74,63,1,0,n75,8.975911,19.0
9.391927,0.0546875,66,58,1,0,n76,8.975911,19.0
9.391927,0.0625,69,50,1,0,n77,8.975911,19.0
9.3932295,0.044270832,62,52,1,0,n78,9.392578,20.0
9.40625,0.044270832,38,72,1,0,n79,9.392578,20.0
9.407552,0.04296875,50,69,1,0,n80,9.392578,20.0
10.157552,0.68619794,77,92,1,0,n81,9.831705,21.0
10.270833,0.54557294,65,89,1,0,n82,10.270833,22.0
10.821614,0.106770836,64,61,1,0,n83,10.650716,23.0
10.826823,0.092447914,76,70,1,0,n84,10.650716,23.0
10.925781,0.067708336,74,64,1,0,n85,10.650716,23.0
10.936198,0.092447914,62,60,1,0,n86,10.650716,23.0
11.0078125,0.096354164,72,74,1,0,n87,10.650716,23.0
11.053386,0.088541664,60,52,1,0,n88,11.030598,24.0
11.1067705,0.110677086,73,74,1,0,n89,11.030598,24.0
11.1380205,0.053385418,61,64,1,0,n90,11.030598,24.0
11.201823,0.07421875,62,67,1,0,n91,11.030598,24.0
11.2213545,0.108072914,74,68,1,0,n92,11.030598,24.0
11.2994795,0.084635414,57,70,1,0,n93,11.030598,24.0
11.328125,0.118489586,69,77,1,0,n94,11.030598,24.0
11.4192705,0.069010414,60,61,1,0,n95,11.030598,24.0
11.428386,0.1171875,72,77,1,0,n96,11.423828,25.0
11.4921875,0.111979164,58,60,1,0,n97,11.423828,25.0
11.5234375,0.102864586,70,77,1,0,n98,11.423828,25.0
11.597656,0.09765625,57,69,1,0,n99,11.423828,25.0
11.623698,0.078125,69,74,1,0,n100,11.423828,25.0
11.691406,0.095052086,55,70,1,0,n101,11.423828,25.0
11.7057295,0.110677086,67,79,1,0,n102,11.423828,25.0
11.792969,0.3502604,53,73,1,0,n103,11.423828,25.0
11.803386,0.3346354,65,78,1,0,n104,11.798177,26.0
12.540364,0.10546875,65,47,1,0,n105,12.219075,27.0
12.550781,0.08984375,57,42,1,0,n106,12.219075,27.0
12.550781,0.065104164,60,43,1,0,n107,12.219075,27.0
