idx,matchtype,partid,ppartid
0,0,n6-1,n3
1,0,n7-1,n2
2,0,n8-1,n1
3,0,n5-1,n5
4,0,n4-1,n4
5,0,n1-1,n0
6,0,n13-1,n9
7,0,n10-1,n6
8,0,n11-1,n7
9,0,n12-1,n8
10,0,n17-1,n13
11,0,n16-1,n12
12,0,n15-1,n11
13,0,n14-1,n10
14,0,n19-1,n14
15,0,n21-1,n17
16,0,n22-1,n16
17,0,n23-1,n15
18,0,n37-1,n19
19,0,n38-1,n18
20,0,n28-1,n20
21,0,n29-1,n22
22,0,n30-1,n21
23,0,n40-1,n23
24,0,n41-1,n24
25,0,n34-1,n27
26,0,n35-1,n26
27,0,n36-1,n25
28,0,n51-1,n29
29,0,n52-1,n28
30,0,n48-1,n31
31,0,n49-1,n32
32,0,n50-1,n30
33,0,n69-1,n34
34,0,n70-1,n33
35,0,n58-1,n38
36,0,n59-1,n37
37,0,n60-1,n36
38,0,n61-1,n35
39,0,n72-1,n40
40,0,n73-1,n39
41,0,n66-1,n42
42,0,n67-1,n43
43,0,n68-1,n41
44,0,n84-1,n44
45,0,n85-1,n45
46,0,n80-1,n47
47,0,n81-1,n48
48,0,n82-1,n49
49,0,n83-1,n46
50,0,n104-1,n51
51,0,n105-1,n50
52,0,n92-1,n53
53,0,n93-1,n55
54,0,n94-1,n54
55,0,n95-1,n52
56,0,n107-1,n57
57,0,n108-1,n56
58,0,n100-1,n58
59,0,n101-1,n60
60,0,n102-1,n61
61,0,n103-1,n59
62,0,n116-1,n63
63,0,n117-1,n62
64,0,n129-1,n68
65,0,n130-1,n65
66,0,n120-1,n66
67,0,n121-1,n67
68,0,n122-1,n64
69,0,n132-1,n71
70,0,n133-1,n70
71,0,n124-1,n72
72,0,n125-1,n74
73,0,n126-1,n73
74,0,n127-1,n69
75,0,n142-1,n77
76,0,n143-1,n78
77,0,n135-1,n80
78,0,n136-1,n79
79,0,n137-1,n76
80,0,n138-1,n75
81,0,n141-1,n81
82,0,n149-1,n82
83,0,n151-1,n86
84,0,n150-1,n84
85,0,n148-1,n85
86,0,n147-1,n83
87,0,n163-1,n94
88,0,n160-1,n87
89,0,n161-1,n90
90,0,n162-1,n92
91,0,n155-1,n93
92,0,n152-1,n88
93,0,n153-1,n89
94,0,n154-1,n91
95,0,n167-1,n102
96,0,n166-1,n100
97,0,n165-1,n97
98,0,n164-1,n96
99,0,n159-1,n101
100,0,n158-1,n99
101,0,n157-1,n98
102,0,n156-1,n95
103,0,n173-1,n104
104,0,n168-1,n103
105,0,n170-1,n106
106,0,n171-1,n107
107,0,n172-1,n105
108,0,n187-1,n108
109,0,n188-1,n109
110,0,n178-1,n112
111,0,n179-1,n111
112,0,n180-1,n110
113,0,n190-1,n113
114,0,n191-1,n114
115,0,n184-1,n116
116,0,n185-1,n117
117,0,n186-1,n115
118,0,n201-1,n119
119,0,n202-1,n118
120,0,n198-1,n121
121,0,n199-1,n122
122,0,n200-1,n120
123,0,n219-1,n124
124,0,n220-1,n123
125,0,n208-1,n126
126,0,n209-1,n128
127,0,n210-1,n127
128,0,n211-1,n125
129,0,n222-1,n129
130,0,n223-1,n130
131,0,n216-1,n132
132,0,n217-1,n133
133,0,n218-1,n131
134,0,n234-1,n134
135,0,n235-1,n135
136,0,n230-1,n137
137,0,n231-1,n139
138,0,n232-1,n138
139,0,n233-1,n136
140,0,n254-1,n141
141,0,n255-1,n140
142,0,n242-1,n143
143,0,n243-1,n144
144,0,n244-1,n145
145,0,n245-1,n142
146,0,n257-1,n147
147,0,n258-1,n146
148,0,n250-1,n149
149,0,n251-1,n151
150,0,n252-1,n150
151,0,n253-1,n148
152,0,n266-1,n153
153,0,n267-1,n152
154,0,n279-1,n158
155,0,n280-1,n155
156,0,n270-1,n156
157,0,n271-1,n157
158,0,n272-1,n154
159,0,n282-1,n162
160,0,n283-1,n161
161,0,n274-1,n160
162,1,n275-1,undefined
163,0,n276-1,n163
164,0,n277-1,n159
165,0,n295-1,n166
166,0,n296-1,n165
167,0,n285-1,n167
168,0,n286-1,n168
169,0,n287-1,n169
170,0,n288-1,n164
171,0,n291-1,n171
172,0,n292-1,n173
173,0,n293-1,n172
174,0,n294-1,n170
175,0,n315-1,n175
176,0,n316-1,n174
177,0,n303-1,n177
178,0,n304-1,n178
179,0,n305-1,n179
180,0,n306-1,n176
181,0,n318-1,n181
182,0,n319-1,n180
183,0,n311-1,n182
184,0,n312-1,n185
185,0,n313-1,n184
186,0,n314-1,n183
187,0,n327-1,n187
188,0,n328-1,n186
189,0,n339-1,n191
