onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
2.0072095,0.8293261,79,80,0,0,n0,-10.0,-10.0
2.0980215,0.40464702,59,47,0,0,n1,-10.0,-10.0
2.1060343,0.39663422,62,48,0,0,n2,2.106034,0.0
2.1073697,0.39529875,55,53,0,0,n3,2.106034,0.0
2.8458838,0.08947641,78,63,0,0,n4,2.570777,1.0
2.9340248,0.06143156,76,67,0,0,n5,2.570777,1.0
3.0355206,0.07612172,74,65,0,0,n6,3.03552,2.0
3.1209905,0.084134534,75,64,0,0,n7,3.03552,2.0
3.2118022,0.07745719,76,71,0,0,n8,3.03552,2.0
3.315969,0.057425156,71,71,0,0,n9,3.03552,2.0
3.4228065,0.110843904,74,70,0,0,n10,3.422806,3.0
3.5189602,0.09882469,72,66,0,0,n11,3.422806,3.0
3.6111076,0.080128126,71,66,0,0,n12,3.422806,3.0
3.7085967,0.06944437,69,66,0,0,n13,3.422806,3.0
3.8181052,0.4366983,67,69,0,0,n14,3.818105,4.0
4.668799,0.5341875,67,47,0,0,n15,4.278842,5.0
4.687495,0.10550203,62,41,0,0,n16,4.278842,5.0
4.706192,0.08547,59,30,0,0,n17,4.278842,5.0
4.7369075,0.036057655,55,50,0,0,n18,4.278842,5.0
4.7422495,0.037393127,43,51,0,0,n19,4.739579,6.0
5.116181,0.5462067,71,56,0,0,n20,4.739579,6.0
5.1522384,0.09882469,59,36,0,0,n21,4.739579,6.0
5.1522384,0.07345078,62,41,0,0,n22,4.739579,6.0
5.1949735,0.038728595,55,55,0,0,n23,4.739579,6.0
5.196309,0.040064063,43,57,0,0,n24,5.195641,7.0
5.606298,0.39663422,67,54,0,0,n25,5.195641,7.0
5.6223235,0.38194406,59,29,0,0,n26,5.195641,7.0
5.6249943,0.38728595,62,38,0,0,n27,5.195641,7.0
5.658381,0.05341875,55,53,0,0,n28,5.195641,7.0
5.6663938,0.04540594,43,54,0,0,n29,5.6623874,8.0
6.5023975,0.27510655,67,55,0,0,n30,6.105429,9.0
6.507739,0.18563016,62,38,0,0,n31,6.105429,9.0
6.5291066,0.14423062,59,43,0,0,n32,6.105429,9.0
6.5424614,0.04139953,55,53,0,0,n33,6.105429,9.0
6.5544806,0.038728595,43,49,0,0,n34,6.548471,10.0
