idx,matchtype,partid,ppartid
0,0,n64-1,n1
1,0,n55-1,n0
2,0,n58-1,n22
3,0,n56-1,n7
4,0,n57-1,n15
5,0,n1-1,n2
6,0,n11-1,n4
7,0,n13-1,n6
8,0,n17-1,n9
9,0,n19-1,n11
10,0,n21-1,n13
11,0,n23-1,n16
12,0,n25-1,n18
13,0,n27-1,n20
14,1,n29-1,undefined
15,0,n31-1,n23
16,0,n33-1,n25
17,0,n35-1,n27
18,1,n5-1,undefined
19,1,n7-1,undefined
20,1,n9-1,undefined
21,1,n15-1,undefined
22,0,n8-1,n3
23,0,n12-1,n5
24,0,n16-1,n8
25,0,n18-1,n10
26,0,n20-1,n12
27,0,n22-1,n14
28,0,n24-1,n17
29,0,n26-1,n19
30,0,n28-1,n21
31,0,n30-1,n24
32,0,n32-1,n26
33,0,n34-1,n28
34,0,n36-1,n30
35,1,n6-1,undefined
36,1,n10-1,undefined
37,1,n14-1,undefined
38,0,n61-1,n45
39,0,n59-1,n31
40,0,n60-1,n40
41,0,n52-1,n43
42,0,n37-1,n29
43,0,n39-1,n33
44,0,n41-1,n35
45,0,n43-1,n37
46,0,n45-1,n39
47,0,n47-1,n42
48,0,n51-1,n44
49,1,n49-1,undefined
50,1,n53-1,undefined
51,0,n38-1,n32
52,0,n40-1,n34
53,0,n42-1,n36
54,0,n44-1,n38
55,0,n46-1,n41
56,1,n48-1,undefined
57,1,n50-1,undefined
58,0,n2-1,n46
59,0,n86-1,n50
60,0,n77-1,n52
61,0,n62-1,n47
62,0,n63-1,n48
63,0,n67-1,n51
64,0,n4-1,n49
65,0,n80-1,n55
66,0,n78-1,n53
67,0,n79-1,n54
68,0,n83-1,n60
69,0,n81-1,n56
70,0,n82-1,n58
71,0,n69-1,n57
72,0,n70-1,n59
73,0,n71-1,n61
74,0,n72-1,n62
75,0,n152-1,n71
76,0,n143-1,n69
77,0,n84-1,n64
78,0,n85-1,n67
79,0,n73-1,n63
80,0,n74-1,n65
81,0,n75-1,n66
82,0,n76-1,n68
83,0,n93-1,n70
84,0,n97-1,n73
85,0,n101-1,n75
86,1,n99-1,undefined
87,1,n89-1,undefined
88,1,n95-1,undefined
89,0,n96-1,n72
90,0,n100-1,n74
91,1,n94-1,undefined
92,1,n98-1,undefined
93,0,n146-1,n91
94,0,n144-1,n76
95,0,n145-1,n83
96,0,n103-1,n78
97,0,n105-1,n80
98,0,n109-1,n82
99,0,n111-1,n85
100,0,n113-1,n87
101,0,n115-1,n89
102,0,n119-1,n92
103,0,n121-1,n94
104,0,n123-1,n96
105,1,n107-1,undefined
106,1,n117-1,undefined
107,0,n102-1,n77
108,0,n104-1,n79
109,0,n108-1,n81
110,0,n110-1,n84
111,0,n112-1,n86
112,0,n114-1,n88
113,0,n118-1,n90
114,0,n120-1,n93
115,0,n122-1,n95
116,0,n124-1,n97
117,1,n106-1,undefined
118,1,n116-1,undefined
119,0,n149-1,n115
120,0,n147-1,n100
121,0,n148-1,n108
122,0,n140-1,n113
123,0,n125-1,n98
124,0,n127-1,n101
125,0,n129-1,n103
126,0,n131-1,n105
127,0,n133-1,n107
128,0,n135-1,n110
129,0,n137-1,n112
130,0,n139-1,n114
131,1,n141-1,undefined
132,0,n126-1,n99
133,0,n128-1,n102
134,0,n130-1,n104
135,0,n132-1,n106
136,0,n134-1,n109
137,0,n136-1,n111
138,1,n138-1,undefined
139,0,n90-1,n116
140,0,n174-1,n120
141,0,n165-1,n122
142,0,n150-1,n117
143,0,n151-1,n118
144,0,n155-1,n121
145,0,n92-1,n119
146,0,n168-1,n125
147,0,n166-1,n123
148,0,n167-1,n124
149,0,n176-1,n130
150,0,n171-1,n132
151,0,n169-1,n126
152,0,n170-1,n127
153,0,n157-1,n128
