xml_id	midi_id	track	channel	pitch	onset
n7-1	n0	1	0	37	0.6427083333333333
n8-1	n1	1	0	40	0.9739583333333334
n9-1	n2	1	0	45	1.2354166666666666
n10-1	n3	1	0	49	1.4312499999999997
n1-1	deletion
n2-1	n4	1	0	52	1.6760416666666662
n11-1	deletion
n3-1	n5	1	0	57	2.1781249999999996
n12-1	deletion
n4-1	n6	1	0	61	5.252083333333335
n5-1	n7	1	0	64	6.658333333333335
n13-1	n8	1	0	69	8.430208333333335
n20-1	n9	1	0	49	12.778125000000003
n21-1	n11	1	0	57	12.800000000000002
n32-1	n13	1	0	57	12.98541666666667
n34-1	deletion
n15-1	n12	1	0	67	12.890625000000004
n29-1	n27	1	0	67	13.783333333333339
n14-1	n10	1	0	69	12.783333333333337
n31-1	n14	1	0	50	13.00104166666667
n23-1	n16	1	0	65	13.115625000000003
n22-1	n15	1	0	67	13.011458333333335
n33-1	n17	1	0	52	13.211458333333336
n25-1	n19	1	0	64	13.331250000000004
n24-1	n18	1	0	65	13.234375000000004
n35-1	n22	1	0	53	13.459375000000005
n36-1	n21	1	0	57	13.453125000000005
n27-1	n23	1	0	62	13.554166666666672
n26-1	n20	1	0	64	13.450000000000005
n37-1	n24	1	0	49	13.667708333333339
n38-1	n26	1	0	57	13.689583333333339
n28-1	n25	1	0	69	13.67708333333334
n48-1	n30	1	0	50	13.906250000000007
n49-1	n28	1	0	57	13.900000000000006
n40-1	n31	1	0	65	14.019791666666674
n39-1	n29	1	0	67	13.903125000000006
n50-1	n32	1	0	52	14.13645833333334
n51-1	n34	1	0	57	14.147916666666674
n42-1	n35	1	0	64	14.24583333333334
n41-1	n33	1	0	65	14.13645833333334
n52-1	deletion
n53-1	n36	1	0	57	14.357291666666674
n44-1	n38	1	0	62	14.46250000000001
n43-1	n37	1	0	64	14.364583333333341
n54-1	n39	1	0	54	14.589583333333342
n55-1	n40	1	0	62	14.589583333333342
n46-1	n42	1	0	72	14.701041666666674
n45-1	n41	1	0	74	14.600000000000009
n65-1	n44	1	0	55	14.83645833333334
n66-1	n45	1	0	62	14.837500000000007
n57-1	n46	1	0	70	14.934375000000008
n56-1	n43	1	0	72	14.828125000000007
n67-1	n47	1	0	57	15.04270833333334
n68-1	n48	1	0	62	15.045833333333341
n59-1	n50	1	0	69	15.156250000000007
n58-1	n49	1	0	70	15.063541666666675
n69-1	n51	1	0	58	15.278125000000008
n70-1	n52	1	0	62	15.278125000000008
n61-1	n54	1	0	67	15.390625000000009
n60-1	n53	1	0	69	15.287500000000009
n78-1	n63	1	0	69	18.035416666666677
n71-1	n55	1	0	58	15.517708333333344
n72-1	n57	1	0	62	15.525000000000011
n62-1	n56	1	0	67	15.517708333333344
n63-1	n58	1	0	68	15.652083333333342
n73-1	n59	1	0	68	15.922916666666675
n77-1	deletion
n84-1	n61	1	0	57	15.926041666666675
n85-1	n62	1	0	62	15.928125000000009
n82-1	n60	1	0	65	15.925000000000008
n79-1	n64	1	0	68	18.38125000000001
n80-1	n65	1	0	66	18.61562500000001
n81-1	n66	1	0	68	18.814583333333342
n75-1	n68	1	0	69	19.72604166666667
n76-1	n69	1	0	69	20.644791666666663
n74-1	n67	1	0	71	19.10833333333334
n86-1	n70	1	0	57	20.65833333333333
n87-1	n71	1	0	61	20.660416666666666
n83-1	n72	1	0	64	20.677083333333332
n94-1	n73	1	0	40	25.183333333333284
n95-1	n74	1	0	43	25.465624999999942
n96-1	n75	1	0	48	25.667708333333273
n88-1	n76	1	0	52	25.864583333333275
n97-1	deletion
n98-1	n77	1	0	55	26.06979166666661
n89-1	deletion
n90-1	n78	1	0	60	26.373958333333274
n99-1	deletion
n91-1	n79	1	0	64	29.213541666666586
n92-1	n80	1	0	67	30.52812499999992
n100-1	n81	1	0	72	32.40416666666659
n107-1	n82	1	0	52	36.34062499999993
n108-1	n83	1	0	60	36.351041666666596
n102-1	n85	1	0	70	36.462499999999935
n109-1	n86	1	0	70	36.58645833333327
n101-1	n84	1	0	72	36.351041666666596
n118-1	n88	1	0	53	36.59999999999993
n119-1	n87	1	0	60	36.5885416666666
n110-1	n89	1	0	68	36.698958333333266
n111-1	n90	1	0	68	36.823958333333266
n112-1	n91	1	0	69	36.92812499999993
n113-1	n92	1	0	69	37.04062499999993
n114-1	n93	1	0	74	37.16249999999993
n122-1	n94	1	0	54	37.2916666666666
n123-1	n95	1	0	62	37.29895833333327
n116-1	n97	1	0	72	37.415624999999935
n115-1	n96	1	0	74	37.3041666666666
n133-1	n98	1	0	55	37.5416666666666
n134-1	n100	1	0	62	37.54583333333326
n125-1	n101	1	0	69	37.6729166666666
n124-1	n99	1	0	72	37.542708333333266
n126-1	n102	1	0	69	37.79270833333327
n127-1	n103	1	0	70	37.92187499999994
n128-1	n104	1	0	70	38.028124999999946
n129-1	n105	1	0	75	38.141666666666616
n137-1	n108	1	0	55	38.28333333333328
n138-1	n109	1	0	58	38.28854166666662
n139-1	n107	1	0	63	38.278124999999946
n131-1	n110	1	0	74	38.380208333333286
n130-1	n106	1	0	75	38.27499999999995
n141-1	n112	1	0	73	38.62187499999995
n140-1	n111	1	0	74	38.52187499999995
n150-1	n117	1	0	55	38.76041666666662
n151-1	n116	1	0	58	38.753124999999955
n152-1	n115	1	0	61	38.748958333333285
n153-1	n114	1	0	64	38.74687499999995
n142-1	n113	1	0	73	38.73541666666662
n143-1	n118	1	0	82	38.86354166666663
n145-1	n120	1	0	76	39.12187499999996
n144-1	n119	1	0	82	38.991666666666625
n155-1	n123	1	0	55	39.23541666666662
n156-1	n125	1	0	58	39.24062499999996
n157-1	n124	1	0	61	39.23541666666662
n158-1	n122	1	0	64	39.228124999999956
n146-1	n121	1	0	76	39.22499999999996
n147-1	n126	1	0	85	39.35520833333329
n160-1	n128	1	0	77	39.588541666666615
n159-1	n127	1	0	85	39.467708333333285
n169-1	n131	1	0	56	39.72812499999995
n170-1	n133	1	0	59	39.733333333333285
n171-1	n132	1	0	62	39.729166666666615
n172-1	n130	1	0	65	39.72187499999995
n161-1	n129	1	0	77	39.70624999999995
n162-1	n134	1	0	86	39.82291666666663
n164-1	n136	1	0	77	40.07187499999996
n163-1	n135	1	0	86	39.94270833333329
n174-1	n138	1	0	56	40.1989583333333
n175-1	n140	1	0	59	40.211458333333304
n176-1	n141	1	0	62	40.22499999999997
n177-1	n139	1	0	65	40.1989583333333
n165-1	n137	1	0	77	40.19687499999997
n166-1	n142	1	0	89	40.324999999999974
n187-1	n146	1	0	57	40.47812499999998
n188-1	n143	1	0	62	40.473958333333314
n189-1	n145	1	0	65	40.47499999999998
n179-1	n147	1	0	85	40.62812499999997
n178-1	n144	1	0	89	40.473958333333314
n180-1	n148	1	0	85	40.7708333333333
n181-1	n149	1	0	86	40.88437499999998
n183-1	n151	1	0	80	41.13229166666666
n182-1	n150	1	0	86	41.01666666666665
n184-1	n152	1	0	80	41.255208333333336
n185-1	n153	1	0	81	41.359375
n193-1	n155	1	0	76	41.61041666666668
n192-1	n154	1	0	81	41.48854166666668
n194-1	n156	1	0	76	41.73229166666668
n195-1	n157	1	0	77	41.85625000000003
n197-1	n159	1	0	73	42.09375000000004
n196-1	n158	1	0	77	41.97708333333337
n198-1	n160	1	0	73	42.21875000000005
n199-1	n161	1	0	74	42.31979166666672
n203-1	n163	1	0	68	42.5552083333334
n202-1	n162	1	0	74	42.43958333333339
n204-1	n164	1	0	68	42.68020833333339
n205-1	n165	1	0	69	42.77916666666672
n207-1	n167	1	0	64	43.015625000000064
n206-1	n166	1	0	69	42.90520833333339
n208-1	n168	1	0	64	43.14062500000008
n209-1	n169	1	0	65	43.250000000000085
n213-1	n171	1	0	61	43.50000000000009
n212-1	n170	1	0	65	43.38541666666676
n214-1	n172	1	0	61	43.62916666666676
n215-1	n173	1	0	62	43.735416666666765
n217-1	n175	1	0	58	43.970833333333445
n216-1	n174	1	0	62	43.85833333333344
n224-1	n178	1	0	45	44.211458333333454
n223-1	n176	1	0	46	44.082291666666784
n219-1	n179	1	0	57	44.21666666666679
n218-1	n177	1	0	58	44.086458333333454
n234-1	n181	1	0	45	44.3885416666668
n235-1	n183	1	0	49	44.5104166666668
n225-1	n180	1	0	57	44.35416666666679
n226-1	n182	1	0	61	44.4791666666668
n236-1	n185	1	0	49	44.64062500000013
n237-1	n187	1	0	50	44.75729166666679
n227-1	n184	1	0	61	44.6072916666668
n228-1	n186	1	0	62	44.72395833333346
n239-1	n190	1	0	46	44.965625000000124
n238-1	n189	1	0	50	44.87291666666679
n230-1	n191	1	0	58	44.98020833333346
n229-1	n188	1	0	62	44.85520833333346
