onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.5197635,13.717935,37,29,0,0,n0,1.519763,0.0
1.9618036,13.275895,40,36,0,0,n1,1.519763,0.0
2.2355747,13.002124,45,42,0,0,n2,1.519763,0.0
2.5200295,12.717669,49,43,0,0,n3,1.519763,0.0
2.863245,12.374454,52,41,0,0,n4,1.519763,0.0
3.5777209,11.659978,57,46,0,0,n5,1.519763,0.0
6.3488183,8.88888,61,32,0,0,n6,6.348818,2.0
7.5280375,7.709661,64,44,0,0,n7,7.528037,3.0
9.871785,5.3659134,69,40,0,0,n8,9.871785,4.0
15.16959,0.13621782,69,53,0,0,n9,13.4179,6.0
15.190957,0.09081188,57,38,0,0,n10,15.190957,7.0
15.192292,0.11752125,49,40,0,0,n11,15.190957,7.0
15.29913,0.05074781,67,45,0,0,n12,15.190957,7.0
15.44336,0.09481828,67,72,0,0,n13,15.190957,7.0
15.464728,0.060096093,50,44,0,0,n14,15.464728,8.0
15.468735,0.04139953,57,37,0,0,n15,15.464728,8.0
15.548862,0.03338672,65,56,0,0,n16,15.464728,8.0
15.647687,0.070779845,57,45,0,0,n17,15.464728,8.0
15.66772,0.06677344,52,50,0,0,n18,15.667719,9.0
15.671726,0.07612172,65,74,0,0,n19,15.667719,9.0
15.769215,0.034722187,64,55,0,0,n20,15.667719,9.0
15.877388,0.044070467,57,43,0,0,n21,15.667719,9.0
15.890742,0.037393127,53,47,0,0,n22,15.667719,9.0
15.894749,0.040064063,64,61,0,0,n23,15.890743,10.0
15.988232,0.065437965,62,64,0,0,n24,15.890743,10.0
16.107088,0.09081188,69,75,0,0,n25,15.890743,10.0
16.1151,0.078792654,49,53,0,0,n26,16.1151,11.0
16.119108,0.046741407,57,36,0,0,n27,16.1151,11.0
16.211256,0.037393127,67,60,0,0,n28,16.1151,11.0
16.319427,0.088140935,67,82,0,0,n29,16.1151,11.0
16.3221,0.058760624,57,48,0,0,n30,16.3221,12.0
16.344803,0.056089688,50,54,0,0,n31,16.3221,12.0
16.430271,0.036057655,65,77,0,0,n32,16.3221,12.0
16.547792,0.05208328,65,83,0,0,n33,16.3221,12.0
16.55447,0.049412344,57,54,0,0,n34,16.55447,13.0
16.56916,0.04139953,52,49,0,0,n35,16.55447,13.0
16.642612,0.037393127,64,75,0,0,n36,16.55447,13.0
16.744106,0.04139953,57,54,0,0,n37,16.55447,13.0
16.750784,0.03338672,53,58,0,0,n38,16.55447,13.0
16.75212,0.042735,64,74,0,0,n39,16.750786,14.0
16.858957,0.05074781,62,68,0,0,n40,16.750786,14.0
17.027227,0.110843904,74,76,0,0,n41,16.750786,14.0
17.036575,0.088140935,54,46,0,0,n42,17.036575,15.0
17.044588,0.07345078,62,42,0,0,n43,17.036575,15.0
17.139406,0.036057655,72,73,0,0,n44,17.036575,15.0
17.244907,0.09481828,72,96,0,0,n45,17.036575,15.0
17.255592,0.057425156,62,62,0,0,n46,17.255592,16.0
17.26761,0.07345078,55,60,0,0,n47,17.255592,16.0
17.371777,0.038728595,70,82,0,0,n48,17.255592,16.0
17.481285,0.1322114,70,87,0,0,n49,17.255592,16.0
17.482622,0.080128126,62,66,0,0,n50,17.48262,17.0
17.489298,0.08146359,57,66,0,0,n51,17.48262,17.0
17.596136,0.05074781,69,87,0,0,n52,17.48262,17.0
17.723005,0.14556609,69,88,0,0,n53,17.48262,17.0
17.727013,0.093482815,58,71,0,0,n54,17.727013,18.0
17.727013,0.10149562,62,65,0,0,n55,17.727013,18.0
17.837856,0.0641025,67,88,0,0,n56,17.727013,18.0
17.979416,0.7051275,58,69,0,0,n57,17.727013,18.0
