onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.5,0.19479166,69,38,1,0,n0,-10.0,-10.0
0.646875,0.088541664,77,48,1,0,n1,0.646875,-1.0
0.775,0.108333334,76,50,1,0,n2,0.646875,-1.0
0.84791666,0.08020833,50,41,1,0,n3,0.646875,-1.0
0.884375,0.59166664,74,49,1,0,n4,0.866146,0.0
0.975,0.50104165,57,45,1,0,n5,0.866146,0.0
1.084375,0.39166668,62,44,1,0,n6,1.084375,1.0
1.203125,0.27291667,65,51,1,0,n7,1.084375,1.0
1.2260417,0.25,69,51,1,0,n8,1.084375,1.0
1.346875,0.12916666,77,58,1,0,n9,1.346875,2.0
1.45,0.108333334,76,65,1,0,n10,1.346875,2.0
1.56875,0.6145833,50,48,1,0,n11,1.346875,2.0
1.5791667,0.6041667,74,55,1,0,n12,1.573959,3.0
1.6916667,0.49166667,57,37,1,0,n13,1.573959,3.0
1.7833333,0.4,62,55,1,0,n14,1.783333,4.0
1.9072917,0.27604166,65,51,1,0,n15,1.783333,4.0
1.9239583,0.259375,69,57,1,0,n16,1.783333,4.0
2.0364583,0.146875,77,68,1,0,n17,2.036458,5.0
2.1333334,0.140625,76,72,1,0,n18,2.036458,5.0
2.2583334,0.078125,50,52,1,0,n19,2.036458,5.0
2.26875,0.58125,74,66,1,0,n20,2.263542,6.0
2.359375,0.490625,57,55,1,0,n21,2.263542,6.0
2.4635417,0.38645834,62,53,1,0,n22,2.263542,6.0
2.5864584,0.26354167,65,55,1,0,n23,2.463542,7.0
2.5875,0.2625,69,59,1,0,n24,2.463542,7.0
2.7072916,0.14270833,77,65,1,0,n25,2.463542,7.0
2.8135417,0.08229167,74,61,1,0,n26,2.707292,8.0
2.9197917,0.063541666,45,44,1,0,n27,2.707292,8.0
2.9291666,0.625,76,54,1,0,n28,2.924479,9.0
3.0333333,0.5208333,57,49,1,0,n29,2.924479,9.0
3.140625,0.41354167,61,53,1,0,n30,3.140625,10.0
3.1697917,0.384375,57,43,1,0,n31,3.140625,10.0
3.2552083,0.29895833,69,71,1,0,n32,3.140625,10.0
3.2875,0.26666668,64,52,1,0,n33,3.140625,10.0
3.378125,0.17604166,79,73,1,0,n34,3.378125,11.0
3.4760416,0.125,77,77,1,0,n35,3.378125,11.0
3.58125,0.06458333,45,67,1,0,n36,3.378125,11.0
3.5822916,0.6020833,76,78,1,0,n37,3.581771,12.0
3.6770833,0.5072917,57,63,1,0,n38,3.581771,12.0
3.778125,0.40625,61,68,1,0,n39,3.778125,13.0
3.8125,0.371875,57,45,1,0,n40,3.778125,13.0
3.8979166,0.28645834,64,62,1,0,n41,3.778125,13.0
3.8989584,0.28541666,69,74,1,0,n42,3.778125,13.0
4.009375,0.175,79,78,1,0,n43,4.009375,14.0
4.115625,0.15104167,77,80,1,0,n44,4.009375,14.0
4.23125,0.08125,45,64,1,0,n45,4.009375,14.0
4.233333,0.578125,76,81,1,0,n46,4.232292,15.0
4.336458,0.475,57,72,1,0,n47,4.232292,15.0
4.44375,0.36770833,57,40,1,0,n48,4.232292,15.0
4.4479165,0.36354166,61,75,1,0,n49,4.232292,15.0
4.546875,0.26458332,69,75,1,0,n50,4.447917,16.0
4.553125,0.25833333,64,62,1,0,n51,4.447917,16.0
4.6625,0.14895834,79,72,1,0,n52,4.6625,17.0
4.7635417,0.108333334,77,70,1,0,n53,4.6625,17.0
4.860417,0.061458334,45,59,1,0,n54,4.6625,17.0
4.8697915,0.609375,76,68,1,0,n55,4.865104,18.0
4.9822917,0.496875,57,43,1,0,n56,4.865104,18.0
5.085417,0.39375,61,55,1,0,n57,5.085417,19.0
5.1875,0.29166666,64,55,1,0,n58,5.085417,19.0
5.1989584,0.28020832,69,48,1,0,n59,5.085417,19.0
5.3125,0.16666667,79,55,1,0,n60,5.3125,20.0
5.420833,0.10104167,76,56,1,0,n61,5.3125,20.0
5.538542,0.044791665,50,43,1,0,n62,5.3125,20.0
5.547917,0.684375,77,48,1,0,n63,5.543229,21.0
5.634375,0.59791666,57,51,1,0,n64,5.543229,21.0
5.7552085,0.47708333,62,47,1,0,n65,5.755208,22.0
5.8458333,0.38645834,65,41,1,0,n66,5.755208,22.0
5.8541665,0.378125,74,57,1,0,n67,5.755208,22.0
5.969792,0.2625,81,50,1,0,n68,5.969792,23.0
6.0760417,0.15625,86,58,1,0,n69,5.969792,23.0
6.1739583,0.68958336,55,41,1,0,n70,5.969792,23.0
6.175,0.68854165,82,58,1,0,n71,6.174479,24.0
6.289583,0.57395834,62,49,1,0,n72,6.174479,24.0
6.397917,0.465625,67,50,1,0,n73,6.397917,25.0
6.508333,0.35520834,70,57,1,0,n74,6.397917,25.0
6.6,0.271875,74,63,1,0,n75,6.6,26.0
6.7,0.16354166,82,71,1,0,n76,6.6,26.0
6.804167,0.6625,51,58,1,0,n77,6.6,26.0
6.8125,0.65416664,79,73,1,0,n78,6.808333,27.0
6.90625,0.56041664,58,68,1,0,n79,6.808333,27.0
7.0135417,0.453125,63,71,1,0,n80,6.808333,27.0
7.10625,0.36041668,67,78,1,0,n81,7.013542,28.0
7.2395835,0.23229167,70,77,1,0,n82,7.239583,29.0
7.353125,0.1625,79,75,1,0,n83,7.239583,29.0
7.4479165,0.66875,49,68,1,0,n84,7.239583,29.0
7.4479165,0.66875,76,81,1,0,n85,7.239583,29.0
7.555208,0.56145835,57,78,1,0,n86,7.447917,30.0
7.6541667,0.4625,61,76,1,0,n87,7.447917,30.0
7.759375,0.35729167,64,77,1,0,n88,7.654167,31.0
7.8614583,0.25520834,69,78,1,0,n89,7.861458,32.0
7.971875,0.14479166,76,72,1,0,n90,7.861458,32.0
8.084375,0.65833336,77,67,1,0,n91,7.861458,32.0
8.088542,0.65416664,50,49,1,0,n92,8.086458,33.0
8.179167,0.56354165,57,54,1,0,n93,8.086458,33.0
8.298959,0.44375,62,55,1,0,n94,8.298958,34.0
8.389584,0.353125,65,67,1,0,n95,8.298958,34.0
8.516666,0.23125,69,61,1,0,n96,8.298958,34.0
8.608334,0.134375,77,54,1,0,n97,8.516667,35.0
8.709375,0.67604166,45,51,1,0,n98,8.516667,35.0
8.723958,0.6614583,74,54,1,0,n99,8.716666,36.0
8.829166,0.55625,53,47,1,0,n100,8.716666,36.0
8.920834,0.46458334,57,57,1,0,n101,8.920833,37.0
9.038542,0.346875,62,66,1,0,n102,8.920833,37.0
9.15625,0.22916667,69,65,1,0,n103,9.15625,38.0
9.266666,0.11875,74,60,1,0,n104,9.15625,38.0
9.364583,0.110416666,45,60,1,0,n105,9.15625,38.0
9.373959,0.6020833,73,68,1,0,n106,9.36927,39.0
9.445833,0.53020835,52,68,1,0,n107,9.36927,39.0
9.5625,0.41354167,55,69,1,0,n108,9.5625,40.0
9.670834,0.30520833,61,77,1,0,n109,9.5625,40.0
9.75625,0.21979167,59,13,1,0,n110,9.5625,40.0
9.782291,0.19375,69,77,1,0,n111,9.5625,40.0
9.867708,0.13854167,73,71,1,0,n112,9.782292,41.0
9.982291,1.2677083,74,79,1,0,n113,9.782292,41.0
9.986459,0.10208333,38,88,1,0,n114,9.984375,42.0
10.10625,1.14375,50,71,1,0,n115,9.984375,42.0
10.217709,1.0322917,53,79,1,0,n116,10.217708,43.0
10.335417,0.9145833,57,76,1,0,n117,10.217708,43.0
10.407291,0.84270835,65,78,1,0,n118,10.217708,43.0
10.413542,0.8364583,62,83,1,0,n119,10.410417,44.0
10.520833,0.7291667,69,80,1,0,n120,10.410417,44.0
10.621875,0.628125,74,85,1,0,n121,10.621875,45.0
10.717709,0.53229165,77,86,1,0,n122,10.621875,45.0
10.81875,0.43125,81,82,1,0,n123,10.81875,46.0
10.925,0.325,77,77,1,0,n124,10.81875,46.0
11.044791,0.20520833,86,69,1,0,n125,10.81875,46.0
11.165625,0.084375,81,48,1,0,n126,11.044792,47.0
11.265625,0.084375,82,60,1,0,n127,11.044792,47.0
11.302083,0.6791667,55,46,1,0,n128,11.283854,48.0
11.411458,0.5697917,62,49,1,0,n129,11.283854,48.0
11.511458,0.46979168,67,46,1,0,n130,11.511458,49.0
11.623959,0.35729167,70,54,1,0,n131,11.511458,49.0
11.725,0.25625,74,51,1,0,n132,11.725,50.0
11.809375,0.171875,82,49,1,0,n133,11.725,50.0
11.916667,0.70729166,51,50,1,0,n134,11.725,50.0
11.933333,0.690625,79,57,1,0,n135,11.925,51.0
12.0375,0.5864583,58,59,1,0,n136,11.925,51.0
12.127084,0.496875,63,64,1,0,n137,12.127083,52.0
12.265625,0.35833332,67,66,1,0,n138,12.127083,52.0
12.371875,0.25208333,70,65,1,0,n139,12.371875,53.0
12.476042,0.16145833,79,78,1,0,n140,12.371875,53.0
12.575,0.65833336,76,82,1,0,n141,12.371875,53.0
12.578125,0.65520835,49,74,1,0,n142,12.576562,54.0
12.685416,0.54791665,57,75,1,0,n143,12.576562,54.0
12.778125,0.45520833,61,81,1,0,n144,12.778125,55.0
12.877084,0.35625,64,79,1,0,n145,12.778125,55.0
12.985416,0.24791667,69,80,1,0,n146,12.778125,55.0
13.090625,0.14270833,76,71,1,0,n147,12.985417,56.0
13.197917,0.6822917,77,69,1,0,n148,12.985417,56.0
13.21875,0.6614583,50,53,1,0,n149,13.208334,57.0
13.322917,0.5572917,57,51,1,0,n150,13.208334,57.0
13.430208,0.45,62,53,1,0,n151,13.430208,58.0
13.542708,0.3375,65,62,1,0,n152,13.430208,58.0
13.65,0.23020834,69,60,1,0,n153,13.65,59.0
13.748959,0.13125,77,54,1,0,n154,13.65,59.0
13.84375,0.6645833,45,47,1,0,n155,13.65,59.0
13.858334,0.65,74,62,1,0,n156,13.851041,60.0
13.963542,0.54479164,53,41,1,0,n157,13.851041,60.0
14.042708,0.465625,57,55,1,0,n158,14.042708,61.0
14.1625,0.34583333,62,63,1,0,n159,14.042708,61.0
14.302083,0.21458334,69,60,1,0,n160,14.302083,62.0
14.383333,0.125,74,64,1,0,n161,14.302083,62.0
14.485416,0.115625,45,55,1,0,n162,14.302083,62.0
14.496875,0.69895834,73,69,1,0,n163,14.491146,63.0
14.570833,0.625,52,64,1,0,n164,14.491146,63.0
14.682292,0.51354164,55,63,1,0,n165,14.682292,64.0
14.76875,0.42708334,57,75,1,0,n166,14.682292,64.0
14.780209,0.415625,61,76,1,0,n167,14.682292,64.0
14.889584,0.30625,69,78,1,0,n168,14.889583,65.0
14.995833,0.2,73,81,1,0,n169,14.889583,65.0
15.071875,0.123958334,74,81,1,0,n170,14.889583,65.0
15.107291,0.32291666,50,78,1,0,n171,15.089583,66.0
15.232291,0.7260417,53,73,1,0,n172,15.089583,66.0
15.296875,0.16979167,69,82,1,0,n173,15.089583,66.0
15.375,0.5833333,57,71,1,0,n174,15.089583,66.0
15.389584,0.56875,81,94,1,0,n175,15.382291,67.0
15.50625,0.45208332,62,76,1,0,n176,15.382291,67.0
15.863542,0.125,80,59,1,0,n177,15.863542,69.0
15.95625,0.098958336,79,58,1,0,n178,15.863542,69.0
16.075,0.08541667,78,61,1,0,n179,16.075,70.0
16.16875,0.092708334,77,63,1,0,n180,16.075,70.0
16.288542,0.075,76,63,1,0,n181,16.288542,71.0
16.396875,0.098958336,75,51,1,0,n182,16.288542,71.0
16.490625,0.64375,74,56,1,0,n183,16.288542,71.0
16.498959,0.6354167,45,44,1,0,n184,16.494791,72.0
16.597918,0.5364583,53,48,1,0,n185,16.494791,72.0
16.698957,0.43541667,57,50,1,0,n186,16.698957,73.0
16.811459,0.32291666,62,54,1,0,n187,16.698957,73.0
16.909374,0.225,69,62,1,0,n188,16.909374,74.0
17.002083,0.13229166,74,61,1,0,n189,16.909374,74.0
17.098959,0.7125,73,65,1,0,n190,16.909374,74.0
17.102083,0.12083333,45,57,1,0,n191,17.100521,75.0
17.183332,0.628125,52,62,1,0,n192,17.100521,75.0
17.307291,0.50416666,55,65,1,0,n193,17.100521,75.0
17.378124,0.43333334,57,69,1,0,n194,17.307293,76.0
17.411459,0.4,61,71,1,0,n195,17.307293,76.0
17.514584,0.296875,69,77,1,0,n196,17.514584,77.0
17.5875,0.22395833,73,70,1,0,n197,17.514584,77.0
17.676043,0.13541667,74,80,1,0,n198,17.514584,77.0
17.708334,0.33229166,50,74,1,0,n199,17.692188,78.0
17.8125,0.29583332,53,73,1,0,n200,17.692188,78.0
17.896875,0.21875,74,80,1,0,n201,17.692188,78.0
17.964582,1.0833334,57,59,1,0,n202,17.692188,78.0
18.001041,1.046875,86,90,1,0,n203,17.982813,79.0
18.114584,0.93333334,62,72,1,0,n204,17.982813,79.0
18.467709,0.58020836,85,68,1,0,n205,18.467709,81.0
18.579166,0.46875,84,65,1,0,n206,18.467709,81.0
18.6875,0.36041668,83,65,1,0,n207,18.6875,82.0
18.779167,0.26875,82,68,1,0,n208,18.6875,82.0
18.879168,0.16875,81,61,1,0,n209,18.879168,83.0
18.977083,0.109375,80,61,1,0,n210,18.879168,83.0
19.084375,0.590625,45,53,1,0,n211,18.879168,83.0
19.090626,0.051041666,81,67,1,0,n212,19.0875,84.0
19.192709,0.48229167,53,60,1,0,n213,19.0875,84.0
19.322916,0.35208333,57,56,1,0,n214,19.0875,84.0
19.414583,0.26041666,62,68,1,0,n215,19.322918,85.0
19.515625,0.165625,69,68,1,0,n216,19.515625,86.0
19.602083,0.123958334,74,63,1,0,n217,19.515625,86.0
19.7,0.36770833,45,59,1,0,n218,19.515625,86.0
19.710417,0.035416666,73,66,1,0,n219,19.705208,87.0
19.8125,0.25520834,52,65,1,0,n220,19.705208,87.0
19.909374,0.15833333,55,54,1,0,n221,19.909374,88.0
20.030209,0.140625,73,85,1,0,n222,19.909374,88.0
20.042707,0.13125,33,83,1,0,n223,19.909374,88.0
20.047916,0.12916666,35,75,1,0,n224,19.909374,88.0
20.122917,0.15833333,41,80,1,0,n225,19.909374,88.0
20.13125,0.171875,81,80,1,0,n226,20.127085,89.0
20.241667,0.090625,85,79,1,0,n227,20.127085,89.0
