onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
2.0152223,0.5048072,72,43,0,0,n0,-10.0,-10.0
2.0419316,1.113781,60,18,0,0,n1,-10.0,-10.0
2.0419316,0.76923,63,21,0,0,n2,-10.0,-10.0
2.0472736,1.1084391,44,20,0,0,n3,-10.0,-10.0
2.0686412,1.0870715,51,12,0,0,n4,2.047274,0.0
2.076654,1.0790588,53,10,0,0,n5,2.047274,0.0
2.094015,1.0616976,56,6,0,0,n6,2.047274,0.0
2.5093458,0.034722187,65,48,0,0,n7,2.047274,0.0
2.6615891,0.49412343,65,49,0,0,n8,2.661589,1.0
3.649836,0.4059825,72,55,0,0,n9,3.17708,2.0
3.6792164,1.1378194,63,36,0,0,n10,3.17708,2.0
3.6899002,1.1271356,53,35,0,0,n11,3.17708,2.0
3.6925712,1.1244646,44,31,0,0,n12,3.692571,3.0
3.6939065,1.1231292,56,25,0,0,n13,3.692571,3.0
3.6939065,1.1231292,60,37,0,0,n14,3.692571,3.0
3.6965775,1.1204582,51,39,0,0,n15,3.692571,3.0
4.0865345,0.040064063,65,39,0,0,n16,3.692571,3.0
4.242784,0.5742516,65,55,0,0,n17,4.242784,4.0
5.3338623,2.0098805,65,38,0,0,n18,4.800342,5.0
5.339204,2.0045385,60,25,0,0,n19,4.800342,5.0
5.3579006,1.985842,39,22,0,0,n20,4.800342,5.0
5.3579006,1.985842,63,27,0,0,n21,4.800342,5.0
5.3592362,1.9845066,32,28,0,0,n22,5.357901,6.0
5.8787336,1.4650092,65,44,0,0,n23,5.357901,6.0
5.8880816,1.4556609,63,45,0,0,n24,5.357901,6.0
5.908114,1.4356289,60,37,0,0,n25,5.908114,7.0
5.9214683,1.4222742,32,31,0,0,n26,5.908114,7.0
5.922804,1.4209387,39,15,0,0,n27,5.908114,7.0
6.4316177,0.9121252,65,47,0,0,n28,5.908114,7.0
6.458327,0.8854158,60,42,0,0,n29,5.908114,7.0
6.463669,0.8800739,63,41,0,0,n30,6.463669,8.0
6.475688,0.8680547,32,32,0,0,n31,6.463669,8.0
6.5050683,0.83867437,39,21,0,0,n32,6.463669,8.0
7.17948,2.4011729,66,45,0,0,n33,6.463669,8.0
7.2088604,2.3717926,63,41,0,0,n34,6.463669,8.0
7.230228,2.350425,33,38,0,0,n35,7.230228,9.0
7.236905,2.3437476,60,37,0,0,n36,7.230228,9.0
7.2515955,2.3290575,39,34,0,0,n37,7.230228,9.0
9.412384,2.5253713,66,51,0,0,n38,8.70325,11.0
9.421732,2.5160232,63,41,0,0,n39,8.70325,11.0
9.433751,2.504004,60,36,0,0,n40,8.70325,11.0
9.44577,2.4919846,45,34,0,0,n41,9.43976,12.0
9.452448,2.4853075,51,36,0,0,n42,9.43976,12.0
9.457789,2.4799654,54,30,0,0,n43,9.43976,12.0
10.096144,1.8416114,66,67,0,0,n44,9.43976,12.0
10.118847,1.8189085,63,58,0,0,n45,9.43976,12.0
10.124188,1.8135666,45,48,0,0,n46,9.43976,12.0
10.124188,1.8135666,60,52,0,0,n47,9.43976,12.0
10.128195,1.8095602,54,44,0,0,n48,10.124189,13.0
10.14155,1.7962055,51,53,0,0,n49,10.124189,13.0
10.741175,1.19658,66,83,0,0,n50,10.124189,13.0
10.763878,1.173877,63,67,0,0,n51,10.124189,13.0
10.76922,1.1685351,45,58,0,0,n52,10.124189,13.0
10.771891,1.1658642,60,59,0,0,n53,10.770556,14.0
10.779903,1.1578515,51,59,0,0,n54,10.770556,14.0
10.790587,1.1471677,54,50,0,0,n55,10.770556,14.0
11.821569,1.7775089,67,81,0,0,n56,10.770556,14.0
11.846943,1.752135,63,63,0,0,n57,10.770556,14.0
11.862968,1.7361094,58,43,0,0,n58,10.770556,14.0
11.873652,1.7254256,55,52,0,0,n59,11.868311,15.0
11.8950205,1.7040582,46,49,0,0,n60,11.868311,15.0
11.904368,1.6947099,51,60,0,0,n61,11.868311,15.0
14.111898,0.044070467,46,48,0,0,n62,13.372939,17.0
14.11457,0.04139953,34,57,0,0,n63,13.372939,17.0
14.125253,0.1923075,67,51,0,0,n64,14.125253,18.0
