xml_id	midi_id	track	channel	pitch	onset
n7-1	n2	0	0	44	1.5464728125
n8-1	n6	0	0	51	1.5611629687500002
n9-1	n3	0	0	53	1.55047921875
n10-1	n4	0	0	56	1.55047921875
n5-1	n1	0	0	60	1.52777625
n6-1	n5	0	0	63	1.55047921875
n2-1	n7	0	0	65	1.9431070312499998
n3-1	n8	0	0	65	2.0713120312499997
n1-1	n0	0	0	72	1.5104151562500001
n18-1	n11	0	0	44	3.3239817187500003
n19-1	n12	0	0	51	3.34534921875
n20-1	n14	0	0	53	3.34802015625
n21-1	n15	0	0	56	3.34802015625
n16-1	n13	0	0	60	3.34534921875
n17-1	n10	0	0	63	3.30528515625
n13-1	n16	0	0	65	3.7139385937499996
n14-1	n17	0	0	65	3.8474854687499995
n12-1	n9	0	0	72	3.29193046875
n32-1	n22	0	0	32	5.11350984375001
n33-1	n20	0	0	39	5.1041615625000105
n23-1	n21	0	0	60	5.11083890625001
n24-1	n19	0	0	63	5.0814585937500105
n25-1	n18	0	0	65	5.07745218750001
n34-1	n26	0	0	32	5.737173750000012
n35-1	n23	0	0	39	5.718477187500012
n26-1	n27	0	0	60	5.749192968750012
n27-1	n25	0	0	63	5.721148125000012
n28-1	n24	0	0	65	5.718477187500012
n36-1	n31	0	0	32	6.2553356250000105
n37-1	n28	0	0	39	6.248658281250011
n29-1	n32	0	0	60	6.2726967187500104
n30-1	n29	0	0	63	6.248658281250011
n31-1	n30	0	0	65	6.25132921875001
n41-1	n37	0	0	33	7.01521734375001
n42-1	n36	0	0	39	6.99652078125001
n38-1	n35	0	0	60	6.99251437500001
n39-1	n34	0	0	63	6.983166093750009
n40-1	n33	0	0	66	6.972482343750009
n52-1	n43	0	0	45	8.943634218750017
n53-1	n42	0	0	51	8.940963281250017
n54-1	n40	0	0	54	8.922266718750016
n43-1	n41	0	0	60	8.931615000000017
n44-1	n39	0	0	63	8.911582968750016
n45-1	n38	0	0	66	8.904905625000016
n55-1	n46	0	0	45	9.580652812500022
n56-1	n49	0	0	51	9.58866562500002
n57-1	n48	0	0	54	9.583323750000021
n46-1	n47	0	0	60	9.580652812500022
n47-1	n45	0	0	63	9.568633593750022
n48-1	n44	0	0	66	9.567298125000022
n58-1	n53	0	0	45	10.295128593750018
n59-1	n54	0	0	51	10.299135000000017
n60-1	n55	0	0	54	10.300470468750017
n49-1	n52	0	0	60	10.293793125000018
n50-1	n51	0	0	63	10.289786718750019
n51-1	n50	0	0	66	10.28711578125002
n64-1	n61	0	0	46	11.315426718750016
n65-1	n59	0	0	51	11.295394687500018
n66-1	n60	0	0	55	11.299401093750017
n61-1	n58	0	0	58	11.288717343750017
n62-1	n57	0	0	63	11.287381875000017
n63-1	n56	0	0	67	11.286046406250017
n81-1	n63	0	0	34	13.770018281250024
n82-1	n66	0	0	46	13.779366562500023
n75-1	n64	0	0	56	13.775360156250024
n76-1	n65	0	0	62	13.775360156250024
n68-1	n67	0	0	65	13.955648437500026
n69-1	n68	0	0	65	14.157304218750028
n67-1	n62	0	0	67	13.751321718750024
n83-1	n69	0	0	34	14.169323437500028
n84-1	n70	0	0	46	14.178671718750028
n77-1	n71	0	0	56	14.181342656250028
n79-1	deletion
n78-1	n72	0	0	62	14.190690937500028
n72-1	n75	0	0	64	14.432410781250024
n71-1	n74	0	0	65	14.353618125000024
n70-1	n73	0	0	67	14.249451562500026
n85-1	n77	0	0	34	14.527229062500023
n86-1	n79	0	0	46	14.548596562500023
n80-1	n76	0	0	62	14.513874375000023
n73-1	n78	0	0	65	14.547261093750024
n74-1	n80	0	0	67	14.736897656250022
n98-1	n82	0	0	39	14.942559843750022
n99-1	n81	0	0	51	14.941224375000022
n87-1	n83	0	0	55	14.945230781250022
n91-1	n87	0	0	62	15.23235656250002
n88-1	n84	0	0	63	14.945230781250022
n90-1	n86	0	0	63	15.130860937500021
n89-1	n85	0	0	65	15.017346093750021
n92-1	n88	0	0	63	15.34186500000002
n93-1	n89	0	0	65	15.46739906250002
n94-1	n90	0	0	67	15.60628781250002
n95-1	n91	0	0	68	15.73582828125002
n96-1	n92	0	0	70	15.85735593750002
n97-1	n93	0	0	72	15.99758015625002
n102-1	n94	0	0	74	16.14848812500002
n103-1	n95	0	0	75	16.28871234375002
n104-1	n96	0	0	77	16.42359468750002
n105-1	n97	0	0	78	16.569160781250023
n106-1	n98	0	0	79	16.717397812500025
n107-1	n99	0	0	80	16.852280156250025
n108-1	n100	0	0	81	17.007194531250025
n109-1	n101	0	0	82	17.160773437500026
n110-1	n102	0	0	83	17.313016875000027
n116-1	n106	0	0	68	17.601478125000025
n117-1	n105	0	0	72	17.584117031250024
n118-1	n104	0	0	75	17.574768750000025
n113-1	n107	0	0	77	17.935345312500026
n114-1	n108	0	0	77	18.059543906250024
n112-1	n103	0	0	84	17.565420468750027
n125-1	n113	0	0	56	19.10254500000002
n126-1	n112	0	0	60	19.10120953125002
n127-1	n111	0	0	63	19.09987406250002
n122-1	n115	0	0	65	19.48448906250002
n120-1	n109	0	0	71	18.998378437500023
n121-1	n110	0	0	72	19.07450015625002
n123-1	n116	0	0	65	19.615365000000022
n138-1	n120	0	0	32	20.82129328125002
n139-1	n119	0	0	44	20.811945000000023
n129-1	deletion
n130-1	n118	0	0	51	20.793248437500022
n131-1	n117	0	0	53	20.777222812500025
n140-1	n124	0	0	32	21.399551250000023
n141-1	n123	0	0	44	21.395544843750024
n132-1	n125	0	0	48	21.399551250000023
n133-1	n122	0	0	51	21.370170937500024
n134-1	n121	0	0	53	21.367500000000025
n142-1	n129	0	0	32	21.98715750000002
n143-1	n128	0	0	44	21.97780921875002
n135-1	n130	0	0	48	21.98982843750002
n136-1	n127	0	0	51	21.972467343750022
n137-1	n126	0	0	53	21.96044812500002
n147-1	n135	0	0	33	22.727007187500014
n148-1	n133	0	0	45	22.716323437500016
n144-1	n134	0	0	48	22.720329843750015
n145-1	n131	0	0	51	22.706975156250017
n146-1	n132	0	0	54	22.706975156250017
n158-1	n137	0	0	69	25.005316875000027
n149-1	n138	0	0	72	25.005316875000027
n150-1	n139	0	0	75	25.005316875000027
n151-1	n136	0	0	78	24.989291250000026
n159-1	n142	0	0	69	25.65969656250003
n152-1	n141	0	0	72	25.65836109375003
n153-1	n143	0	0	75	25.65969656250003
n154-1	n140	0	0	78	25.649012812500033
n160-1	n147	0	0	69	26.38752703125003
n155-1	n146	0	0	72	26.38218515625003
n156-1	n145	0	0	75	26.374172343750033
n157-1	n144	0	0	78	26.363488593750034
n163-1	n150	0	0	70	27.346393593750033
n161-1	n149	0	0	75	27.342387187500034
n162-1	n148	0	0	79	27.339716250000034
n178-1	n153	0	0	34	29.80632703125004
n179-1	n155	0	0	46	29.819681718750036
n172-1	n154	0	0	56	29.814339843750037
n173-1	n152	0	0	62	29.79964968750004
n165-1	n156	0	0	65	29.991957187500034
n166-1	n157	0	0	65	30.196283906250034
n164-1	n151	0	0	67	29.79831421875004
n180-1	n158	0	0	34	30.205632187500033
n181-1	n159	0	0	46	30.21631593750003
n174-1	n160	0	0	56	30.243025312500034
n176-1	deletion
n177-1	n164	0	0	62	30.53148656250003
n175-1	deletion
n169-1	n163	0	0	64	30.46337765625003
n168-1	n162	0	0	65	30.383249531250033
n167-1	n161	0	0	67	30.279082968750032
n182-1	n165	0	0	34	30.563537812500034
n183-1	n166	0	0	46	30.571550625000032
n170-1	n167	0	0	65	30.58089890625003
n171-1	n168	0	0	67	30.778548281250036
n188-1	n169	0	0	39	30.96551390625003
n189-1	n171	0	0	51	30.96952031250003
n190-1	n173	0	0	51	31.176517968750026
n184-1	n170	0	0	55	30.96818484375003
n185-1	n172	0	0	63	30.97352671875003
n191-1	n174	0	0	51	31.363483593750026
n192-1	n175	0	0	51	31.559797500000027
n193-1	n176	0	0	51	31.74142125000003
n194-1	n177	0	0	51	31.94574796875003
