onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
2.0098805,0.39129233,72,66,0,0,n0,-10.0,-10.0
2.025906,0.9241444,60,50,0,0,n1,-10.0,-10.0
2.0379252,0.39396328,63,51,0,0,n2,-10.0,-10.0
2.0432673,0.93215716,44,42,0,0,n3,2.043267,0.0
2.0432673,0.93349266,56,39,0,0,n4,2.043267,0.0
2.0606282,0.9147961,53,36,0,0,n5,2.043267,0.0
2.0632992,0.9094542,51,40,0,0,n6,2.043267,0.0
2.3864827,0.03205125,65,53,0,0,n7,2.043267,0.0
2.5133522,0.47142047,65,66,0,0,n8,2.513352,1.0
3.5857337,0.43936923,72,69,0,0,n9,3.063565,2.0
3.6111076,0.97622764,60,48,0,0,n10,3.063565,2.0
3.612443,0.96687937,56,42,0,0,n11,3.063565,2.0
3.6137784,0.99492425,63,52,0,0,n12,3.613778,3.0
3.6231267,1.0202981,44,36,0,0,n13,3.613778,3.0
3.6257977,0.96821487,51,42,0,0,n14,3.613778,3.0
3.6257977,0.9575311,53,33,0,0,n15,3.613778,3.0
3.9823678,0.042735,65,58,0,0,n16,3.613778,3.0
4.115915,0.4874461,65,68,0,0,n17,4.115915,4.0
5.204322,2.2756388,65,43,0,0,n18,4.6694665,5.0
5.221683,2.2582777,32,36,0,0,n19,4.6694665,5.0
5.223018,2.2569423,63,30,0,0,n20,5.223018,6.0
5.2270246,2.252936,60,22,0,0,n21,5.223018,6.0
5.2350373,2.2449229,39,31,0,0,n22,5.223018,6.0
5.751864,1.7280966,65,53,0,0,n23,5.223018,6.0
5.763883,1.7160773,60,40,0,0,n24,5.763883,7.0
5.763883,1.7160773,63,48,0,0,n25,5.763883,7.0
5.7745667,1.7053936,32,47,0,0,n26,5.763883,7.0
5.7852507,1.6947099,39,43,0,0,n27,5.763883,7.0
6.336799,1.1431613,65,61,0,0,n28,5.763883,7.0
6.350154,1.1298065,60,49,0,0,n29,5.763883,7.0
6.3528247,1.1271356,32,56,0,0,n30,5.763883,7.0
6.3541603,1.1258001,63,53,0,0,n31,6.352825,8.0
6.356831,1.1231292,39,55,0,0,n32,6.352825,8.0
7.1394157,2.3210447,66,60,0,0,n33,6.352825,8.0
7.1514354,2.3090255,63,51,0,0,n34,6.352825,8.0
7.1607833,2.2996771,60,46,0,0,n35,7.160783,9.0
7.1647897,2.2956707,33,45,0,0,n36,7.160783,9.0
7.176809,2.2836516,39,43,0,0,n37,7.160783,9.0
9.254799,3.1089714,66,64,0,0,n38,8.57816,11.0
9.280172,3.0835974,63,52,0,0,n39,8.57816,11.0
9.282844,3.0809264,51,46,0,0,n40,8.57816,11.0
9.290856,3.0729136,54,47,0,0,n41,9.28685,12.0
9.293527,3.0702426,60,42,0,0,n42,9.28685,12.0
9.296198,3.0675716,45,42,0,0,n43,9.28685,12.0
9.971945,2.3918245,66,80,0,0,n44,9.28685,12.0
9.995983,2.3677862,63,67,0,0,n45,9.28685,12.0
9.99999,2.3637798,60,64,0,0,n46,9.28685,12.0
10.01201,2.3517604,51,60,0,0,n47,10.006,13.0
10.020022,2.3437476,45,55,0,0,n48,10.006,13.0
10.024029,2.3397412,54,54,0,0,n49,10.006,13.0
10.811955,1.5518147,66,92,0,0,n50,10.006,13.0
10.845342,1.518428,51,70,0,0,n51,10.006,13.0
10.845342,1.518428,63,62,0,0,n52,10.006,13.0
10.848013,1.5157571,54,66,0,0,n53,10.846678,14.0
10.853354,1.5104152,60,56,0,0,n54,10.846678,14.0
10.85469,1.5090797,45,60,0,0,n55,10.846678,14.0
12.1033535,3.4374967,67,86,0,0,n56,10.846678,14.0
12.146089,3.3947616,58,55,0,0,n57,10.846678,14.0
12.146089,3.3947616,63,57,0,0,n58,10.846678,14.0
12.160778,3.3800714,51,48,0,0,n59,12.153433,15.0
12.162114,3.378736,55,47,0,0,n60,12.153433,15.0
12.170127,3.370723,46,45,0,0,n61,12.153433,15.0
15.695765,0.43002093,67,53,0,0,n62,14.531903,17.0
15.71179,0.41399533,56,35,0,0,n63,14.531903,17.0
15.730487,0.39529875,34,38,0,0,n64,15.721138,18.0
15.730487,0.39529875,46,35,0,0,n65,15.721138,18.0
15.88273,0.24305531,65,50,0,0,n66,15.721138,18.0
16.092398,0.07745719,65,62,0,0,n67,15.721138,18.0
16.111095,0.036057655,34,54,0,0,n68,16.111095,19.0
16.124449,0.037393127,46,44,0,0,n69,16.111095,19.0
16.193893,0.07612172,67,47,0,0,n70,16.111095,19.0
16.263338,0.08947641,65,47,0,0,n71,16.111095,19.0
16.352816,0.09615375,64,54,0,0,n72,16.111095,19.0
16.448969,0.19898485,65,52,0,0,n73,16.111095,19.0
16.470337,0.04540594,34,54,0,0,n74,16.111095,19.0
16.47835,0.036057655,46,47,0,0,n75,16.474342,20.0
16.503723,0.10817297,56,5,0,0,n76,16.474342,20.0
16.642612,0.05208328,67,54,0,0,n77,16.474342,20.0
16.862965,0.07478625,63,66,0,0,n78,16.474342,20.0
16.88166,0.056089688,55,53,0,0,n79,16.474342,20.0
16.891008,0.5675742,51,51,0,0,n80,16.886335,21.0
16.895016,0.5395294,39,49,0,0,n81,16.886335,21.0
16.965796,0.08146359,65,58,0,0,n82,16.886335,21.0
17.045923,0.08680547,63,63,0,0,n83,16.886335,21.0
17.139406,0.10416656,62,71,0,0,n84,16.886335,21.0
17.251585,0.037393127,63,69,0,0,n85,17.251585,22.0
17.387804,0.044070467,65,61,0,0,n86,17.251585,22.0
17.503988,0.037393127,67,64,0,0,n87,17.251585,22.0
17.626852,0.042735,68,68,0,0,n88,17.626852,23.0
17.749716,0.038728595,70,65,0,0,n89,17.626852,23.0
17.87525,0.04139953,72,60,0,0,n90,17.626852,23.0
18.012802,0.044070467,74,64,0,0,n91,18.012802,24.0
18.143679,0.03338672,75,44,0,0,n92,18.012802,24.0
18.265205,0.038728595,77,58,0,0,n93,18.012802,24.0
18.39074,0.038728595,78,68,0,0,n94,18.39074,25.0
18.51761,0.05208328,79,59,0,0,n95,18.39074,25.0
18.671188,0.05074781,80,26,0,0,n96,18.39074,25.0
18.784704,0.044070467,81,59,0,0,n97,18.784702,26.0
18.916914,0.03338672,82,54,0,0,n98,18.784702,26.0
19.04512,0.05074781,83,60,0,0,n99,18.784702,26.0
19.213388,0.37660217,84,69,0,0,n100,18.784702,26.0
