onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.51549095,0.6356831,56,40,0,0,n0,-10.0,-10.0
0.51549095,0.9027769,60,45,0,0,n1,-10.0,-10.0
0.51949733,0.69845015,51,43,0,0,n2,0.515491,0.0
0.6690698,0.065437965,32,42,0,0,n3,0.515491,0.0
0.80528766,0.05208328,36,46,0,0,n4,0.515491,0.0
0.9415055,0.04540594,39,53,0,0,n5,0.515491,0.0
1.0964198,0.044070467,44,52,0,0,n6,0.515491,0.0
1.2152766,0.04540594,32,53,0,0,n7,1.09642,1.0
1.3755329,0.30181593,61,83,0,0,n8,1.09642,1.0
1.3795393,0.29780954,51,66,0,0,n9,1.09642,1.0
1.3835456,0.29380313,55,69,0,0,n10,1.09642,1.0
1.390223,0.056089688,34,44,0,0,n11,1.09642,1.0
1.5077442,0.16960452,46,65,0,0,n12,1.09642,1.0
1.6853615,0.94017,63,67,0,0,n13,1.09642,1.0
1.689368,0.8560355,56,58,0,0,n14,1.689368,2.0
1.7027227,0.5248392,51,52,0,0,n15,1.689368,2.0
1.8322631,0.042735,36,44,0,0,n16,1.689368,2.0
1.9805001,0.040064063,39,54,0,0,n17,1.689368,2.0
2.1287372,0.038728595,44,56,0,0,n18,1.689368,2.0
2.2783096,0.04139953,48,55,0,0,n19,1.689368,2.0
2.5547516,0.35657015,65,79,0,0,n20,2.27831,3.0
2.5747838,0.6517087,53,68,0,0,n21,2.27831,3.0
2.5761192,0.044070467,37,64,0,0,n22,2.27831,3.0
2.740382,0.03338672,49,53,0,0,n23,2.27831,3.0
2.860574,0.046741407,34,60,0,0,n24,2.27831,3.0
2.8712578,0.29647407,61,66,0,0,n25,2.865916,4.0
3.0261722,0.037393127,46,54,0,0,n26,2.865916,4.0
3.1690674,0.036057655,31,64,0,0,n27,2.865916,4.0
3.1864285,0.10550203,58,54,0,0,n28,2.865916,4.0
3.1890993,0.29113218,63,59,0,0,n29,2.865916,4.0
3.3213108,0.048076876,43,53,0,0,n30,2.865916,4.0
3.458864,0.05341875,32,58,0,0,n31,2.865916,4.0
3.461535,0.038728595,60,65,0,0,n32,3.461535,5.0
3.4722188,0.038728595,51,59,0,0,n33,3.461535,5.0
3.6284685,0.042735,44,55,0,0,n34,3.461535,5.0
3.7673573,0.042735,56,66,0,0,n35,3.461535,5.0
3.7740347,0.046741407,36,61,0,0,n36,3.461535,5.0
3.7780411,0.037393127,51,43,0,0,n37,3.461535,5.0
3.93162,0.04540594,48,49,0,0,n38,3.461535,5.0
4.0624957,0.06276703,39,57,0,0,n39,3.461535,5.0
4.0638313,0.75453985,58,61,0,0,n40,4.063831,6.0
4.0731797,0.5235037,55,58,0,0,n41,4.063831,6.0
4.2200813,0.036057655,51,58,0,0,n42,4.063831,6.0
4.348286,0.048076876,51,65,0,0,n43,4.063831,6.0
4.517891,0.03338672,51,66,0,0,n44,4.063831,6.0
4.643425,0.17494641,51,73,0,0,n45,4.643425,7.0
4.7849846,0.049412344,55,68,0,0,n46,4.643425,7.0
4.7929974,0.04139953,49,67,0,0,n47,4.643425,7.0
4.931886,0.065437965,48,66,0,0,n48,4.643425,7.0
4.934557,0.042735,56,62,0,0,n49,4.643425,7.0
4.9425697,0.046741407,53,54,0,0,n50,4.643425,7.0
5.0667686,0.037393127,46,65,0,0,n51,4.643425,7.0
5.073446,0.040064063,55,64,0,0,n52,4.643425,7.0
5.085465,0.04540594,58,58,0,0,n53,4.643425,7.0
5.216341,0.058760624,44,57,0,0,n54,4.643425,7.0
5.2203474,0.4620722,56,56,0,0,n55,4.643425,7.0
5.2270246,0.96020204,60,61,0,0,n56,5.223686,8.0
5.2403793,0.6156511,51,52,0,0,n57,5.223686,8.0
5.3632426,0.06143156,32,60,0,0,n58,5.223686,8.0
5.5021315,0.04540594,36,63,0,0,n59,5.223686,8.0
5.658381,0.042735,39,61,0,0,n60,5.223686,8.0
5.809289,0.04540594,44,60,0,0,n61,5.809289,9.0
5.9388294,0.046741407,32,60,0,0,n62,5.809289,9.0
6.0924087,0.29647407,61,79,0,0,n63,5.809289,9.0
6.09775,0.046741407,34,58,0,0,n64,5.809289,9.0
6.09775,0.29113218,55,72,0,0,n65,5.809289,9.0
6.1070986,0.2817839,51,67,0,0,n66,5.809289,9.0
6.2353034,0.1535789,46,68,0,0,n67,5.809289,9.0
