onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.42735082,1.2190182,58,51,0,0,n0,-10.0,-10.0
1.2115396,0.43482947,63,62,0,0,n1,0.427351,-1.0
1.391027,2.495729,63,54,0,0,n2,0.427351,-1.0
1.4337621,2.4529939,55,35,0,0,n3,1.433762,0.0
1.442309,2.4444468,51,33,0,0,n4,1.433762,0.0
1.864318,2.0224378,58,37,0,0,n5,1.433762,0.0
2.241455,1.6453007,55,37,0,0,n6,2.241455,1.0
2.6132503,1.2735054,58,35,0,0,n7,2.241455,1.0
2.9423106,0.9871804,67,67,0,0,n8,2.241455,1.0
2.9818404,0.9049154,55,36,0,0,n9,2.962075,2.0
3.3824818,0.504274,58,39,0,0,n10,2.962075,2.0
3.4978666,0.38888925,63,67,0,0,n11,2.962075,2.0
3.697653,1.0491463,63,68,0,0,n12,2.962075,2.0
3.7339778,2.5010707,53,38,0,0,n13,2.962075,2.0
3.7393198,1.0074795,56,34,0,0,n14,3.733978,3.0
4.1826963,0.5641031,58,34,0,0,n15,3.733978,3.0
4.5320554,1.702993,62,61,0,0,n16,3.733978,3.0
4.589748,1.6453007,56,33,0,0,n17,4.560902,4.0
4.932697,1.3023517,58,36,0,0,n18,4.560902,4.0
5.306629,0.9284197,56,43,0,0,n19,5.306629,5.0
5.6292787,0.6057698,63,67,0,0,n20,5.306629,5.0
5.66133,0.5737185,55,40,0,0,n21,5.306629,5.0
5.6848345,0.5502142,51,39,0,0,n22,5.306629,5.0
6.097228,1.589745,65,64,0,0,n23,5.306629,5.0
6.1549206,1.5320528,53,41,0,0,n24,5.306629,5.0
6.1570573,0.14850442,58,42,0,0,n25,6.155988,6.0
6.164536,1.5224373,50,42,0,0,n26,6.155988,6.0
6.495733,1.1912404,58,47,0,0,n27,6.155988,6.0
6.862186,0.8247871,58,54,0,0,n28,6.862186,7.0
7.2147503,0.47222266,67,65,0,0,n29,6.862186,7.0
7.244665,0.4423081,58,48,0,0,n30,6.862186,7.0
7.277785,0.40918842,48,31,0,0,n31,6.862186,7.0
7.2863317,0.4006414,51,37,0,0,n32,6.862186,7.0
7.601503,0.5373937,68,71,0,0,n33,6.862186,7.0
7.638896,0.4978637,50,47,0,0,n34,7.638896,8.0
7.638896,0.4978637,58,42,0,0,n35,7.638896,8.0
7.6421013,0.4946586,46,41,0,0,n36,7.638896,8.0
7.6485114,0.48824832,65,41,0,0,n37,7.638896,8.0
7.98505,0.5651715,70,68,0,0,n38,7.638896,8.0
8.036332,0.5138894,58,46,0,0,n39,7.638896,8.0
8.04488,0.50534236,53,42,0,0,n40,7.638896,8.0
8.049153,0.11965823,65,47,0,0,n41,7.638896,8.0
8.067315,0.48290643,50,44,0,0,n42,7.638896,8.0
8.446589,0.9444453,68,64,0,0,n43,7.638896,8.0
8.4882555,0.9027786,51,42,0,0,n44,7.638896,8.0
8.501077,0.8899581,58,31,0,0,n45,8.494666,9.0
8.504282,0.88675296,65,35,0,0,n46,8.494666,9.0
8.90706,0.4839748,58,38,0,0,n47,8.494666,9.0
9.287402,1.0064112,67,44,0,0,n48,8.494666,9.0
9.314112,0.97970176,39,37,0,0,n49,8.494666,9.0
9.316248,0.18482924,58,22,0,0,n50,9.315179,10.0
9.335479,0.95833427,63,37,0,0,n51,9.315179,10.0
9.741463,0.55235094,58,33,0,0,n52,9.315179,10.0
10.139967,0.84081274,67,70,0,0,n53,9.315179,10.0
10.160266,0.8205136,51,53,0,0,n54,10.160266,11.0
10.174155,0.8066247,63,54,0,0,n55,10.160266,11.0
10.558771,0.42200896,63,61,0,0,n56,10.160266,11.0
10.681634,0.29914558,68,72,0,0,n57,10.160266,11.0
10.696591,0.2841883,53,55,0,0,n58,10.160266,11.0
10.903856,1.5876083,70,73,0,0,n59,10.160266,11.0
10.919882,1.5715827,55,58,0,0,n60,10.919882,12.0
10.933771,0.23183782,63,48,0,0,n61,10.919882,12.0
11.330139,1.1613259,63,44,0,0,n62,10.919882,12.0
11.68484,0.8066247,63,45,0,0,n63,11.68484,13.0
12.004285,0.4903851,67,71,0,0,n64,11.68484,13.0
12.053431,0.4380346,51,52,0,0,n65,11.68484,13.0
12.067319,0.4241457,63,48,0,0,n66,11.68484,13.0
12.408132,0.45512864,72,74,0,0,n67,11.68484,13.0
12.456208,0.40705168,56,56,0,0,n68,12.456208,14.0
12.474371,0.38888925,63,39,0,0,n69,12.456208,14.0
12.760695,0.5352569,68,76,0,0,n70,12.456208,14.0
12.769243,0.5267099,53,59,0,0,n71,12.456208,14.0
12.822661,0.47329104,63,43,0,0,n72,12.456208,14.0
13.186978,1.5630357,70,71,0,0,n73,12.456208,14.0
13.214756,1.5438049,55,49,0,0,n74,13.214756,15.0
13.228645,0.18055573,63,43,0,0,n75,13.214756,15.0
13.603645,1.1463686,63,33,0,0,n76,13.214756,15.0
13.93591,0.81410336,63,51,0,0,n77,13.214756,15.0
14.277791,0.5170945,71,73,0,0,n78,13.935911,16.0
14.313047,0.43696624,63,50,0,0,n79,13.935911,16.0
14.69339,0.52457315,72,67,0,0,n80,13.935911,16.0
14.7104845,0.50747913,63,46,0,0,n81,14.710484,17.0
14.713689,0.504274,56,43,0,0,n82,14.710484,17.0
15.081211,0.5918809,70,68,0,0,n83,14.710484,17.0
15.104715,0.5683766,63,47,0,0,n84,14.710484,17.0
15.112194,0.56089795,55,43,0,0,n85,14.710484,17.0
15.56198,0.59508604,70,54,0,0,n86,14.710484,17.0
15.599374,1.3076936,53,41,0,0,n87,15.599374,18.0
15.613263,0.54380393,60,41,0,0,n88,15.599374,18.0
16.056639,0.8953,68,57,0,0,n89,15.599374,18.0
16.057707,0.49252182,60,41,0,0,n90,15.599374,18.0
16.443392,0.46367565,61,51,0,0,n91,16.443392,19.0
16.816256,0.50106883,65,54,0,0,n92,16.443392,19.0
16.842964,0.47435942,46,44,0,0,n93,16.443392,19.0
16.850443,0.12713687,62,43,0,0,n94,16.443392,19.0
16.85899,0.45833376,58,40,0,0,n95,16.443392,19.0
17.259632,0.44765,67,54,0,0,n96,16.443392,19.0
17.287409,0.42628247,51,40,0,0,n97,16.443392,19.0
17.288479,0.4188038,58,38,0,0,n98,17.287945,20.0
17.319462,0.40918842,63,27,0,0,n99,17.287945,20.0
17.663479,0.5737185,70,52,0,0,n100,17.287945,20.0
17.688051,0.5491458,60,41,0,0,n101,17.287945,20.0
17.690187,0.54700905,44,34,0,0,n102,17.287945,20.0
17.842966,0.39423114,68,51,0,0,n103,17.287945,20.0
18.146385,1.0309839,67,50,0,0,n104,17.287945,20.0
18.180573,1.9220104,46,38,0,0,n105,18.180573,21.0
18.211555,0.96581286,63,34,0,0,n106,18.180573,21.0
18.635702,1.4668818,58,31,0,0,n107,18.180573,21.0
19.05771,1.0448728,65,37,0,0,n108,18.180573,21.0
19.081215,1.0213685,62,38,0,0,n109,19.069464,22.0
19.470104,0.63247925,44,43,0,0,n110,19.069464,22.0
19.910275,1.0224369,58,64,0,0,n111,19.069464,22.0
19.95301,0.91453075,43,45,0,0,n112,19.931643,23.0
20.41348,0.45406026,41,42,0,0,n113,19.931643,23.0
20.424164,0.44337648,56,51,0,0,n114,19.931643,23.0
20.568396,0.29914558,63,70,0,0,n115,19.931643,23.0
20.870747,1.7617538,63,68,0,0,n116,19.931643,23.0
20.889977,1.7425231,39,45,0,0,n117,20.889977,24.0
20.903866,1.7286341,55,41,0,0,n118,20.889977,24.0
21.37609,1.2564114,58,43,0,0,n119,20.889977,24.0
