onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
-0.5,0.5,-0.5,0.5,0,12,57,5,n3-1,-10.0,-10.0
-0.5,0.5,-0.5,0.5,0,12,69,1,n1-1,-10.0,-10.0
-0.5,0.5,-0.5,0.5,0,12,81,1,n2-1,-10.0,-10.0
0.0,1.0,0.0,1.0,12,24,52,5,n11-1,0.0,2.271632
0.0,1.0,0.0,1.0,12,24,64,1,n4-1,0.0,2.271632
0.0,1.0,0.0,1.0,12,24,76,1,n5-1,0.0,2.271632
1.5,0.125,1.5,0.125,48,3,52,5,n13-1,1.0,2.7240222
1.5,0.125,1.5,0.125,48,3,64,1,n7-1,1.0,2.7240222
1.625,0.125,1.625,0.125,51,3,50,5,n14-1,1.0,2.7240222
1.625,0.125,1.625,0.125,51,3,62,1,n8-1,1.0,2.7240222
1.75,0.125,1.75,0.125,54,3,49,5,n15-1,1.0,2.7240222
1.75,0.125,1.75,0.125,54,3,61,1,n9-1,1.0,2.7240222
1.875,0.125,1.875,0.125,57,3,47,5,n16-1,1.0,2.7240222
1.875,0.125,1.875,0.125,57,3,59,1,n10-1,1.0,2.7240222
2.0,1.0,2.0,1.0,60,24,45,5,n21-1,2.0,3.1764126
2.0,1.0,2.0,1.0,60,24,57,1,n17-1,2.0,3.1764126
3.5,0.5,3.5,0.5,96,12,57,5,n23-1,3.0,3.6354797
3.5,0.5,3.5,0.5,96,12,69,1,n19-1,3.0,3.6354797
3.5,0.5,3.5,0.5,96,12,81,1,n20-1,3.0,3.6354797
4.0,1.0,4.0,1.0,108,24,54,5,n31-1,4.0,4.094547
4.0,1.0,4.0,1.0,108,24,66,1,n24-1,4.0,4.094547
4.0,1.0,4.0,1.0,108,24,78,1,n25-1,4.0,4.094547
5.5,0.125,5.5,0.125,144,3,54,5,n33-1,5.0,4.530244
5.5,0.125,5.5,0.125,144,3,66,1,n27-1,5.0,4.530244
5.625,0.125,5.625,0.125,147,3,52,5,n34-1,5.0,4.530244
5.625,0.125,5.625,0.125,147,3,64,1,n28-1,5.0,4.530244
5.75,0.125,5.75,0.125,150,3,50,5,n35-1,5.0,4.530244
5.75,0.125,5.75,0.125,150,3,62,1,n29-1,5.0,4.530244
5.875,0.125,5.875,0.125,153,3,49,5,n36-1,5.0,4.530244
5.875,0.125,5.875,0.125,153,3,61,1,n30-1,5.0,4.530244
6.0,1.0,6.0,1.0,156,24,47,5,n41-1,6.0,4.9659405
6.0,1.0,6.0,1.0,156,24,59,1,n37-1,6.0,4.9659405
7.5,0.5,7.5,0.5,192,12,62,5,n43-1,7.0,5.4216695
7.5,0.5,7.5,0.5,192,12,74,1,n39-1,7.0,5.4216695
7.5,0.5,7.5,0.5,192,12,86,1,n40-1,7.0,5.4216695
8.0,1.0,8.0,1.0,204,24,59,5,n48-1,8.0,5.877398
8.0,1.0,8.0,1.0,204,24,71,1,n44-1,8.0,5.877398
8.0,1.0,8.0,1.0,204,24,83,1,n45-1,8.0,5.877398
9.0,1.0,9.0,1.0,228,24,56,5,n49-1,9.0,6.326115
9.0,1.0,9.0,1.0,228,24,68,1,n46-1,9.0,6.326115
9.0,1.0,9.0,1.0,228,24,80,1,n47-1,9.0,6.326115
10.0,1.0,10.0,1.0,252,24,52,5,n54-1,10.0,6.78151
10.0,1.0,10.0,1.0,252,24,64,1,n50-1,10.0,6.78151
10.0,1.0,10.0,1.0,252,24,76,1,n51-1,10.0,6.78151
11.0,1.0,11.0,1.0,276,24,50,5,n55-1,11.0,7.227557
11.0,1.0,11.0,1.0,276,24,62,1,n52-1,11.0,7.227557
11.0,1.0,11.0,1.0,276,24,74,1,n53-1,11.0,7.227557
12.0,1.0,12.0,1.0,300,24,47,5,n60-1,12.0,7.680281
12.0,1.0,12.0,1.0,300,24,59,1,n56-1,12.0,7.680281
12.0,1.0,12.0,1.0,300,24,71,1,n57-1,12.0,7.680281
13.0,1.0,13.0,1.0,324,24,44,5,n61-1,13.0,8.126327
13.0,1.0,13.0,1.0,324,24,56,2,n59-1,13.0,8.126327
13.0,1.0,13.0,1.0,324,24,68,1,n58-1,13.0,8.126327
14.0,1.0,14.0,1.0,348,24,40,5,n68-1,14.0,8.609767
14.0,1.0,14.0,1.0,348,24,52,2,n67-1,14.0,8.609767
14.0,1.0,14.0,1.0,348,24,64,1,n62-1,14.0,8.609767
15.5,0.16666667,15.5,0.16666667,384,4,57,1,n64-1,15.0,9.0057335
15.666667,0.16666667,15.666667,0.16666667,388,4,61,1,n65-1,15.0,9.0057335
15.833333,0.16666667,15.833333,0.16666667,392,4,64,1,n66-1,15.0,9.0057335
16.0,1.0,16.0,1.0,396,24,45,5,n74-1,16.0,9.401701
16.0,1.0,16.0,1.0,396,24,49,5,n75-1,16.0,9.401701
16.0,1.0,16.0,1.0,396,24,52,5,n76-1,16.0,9.401701
16.0,1.0,16.0,1.0,396,24,57,5,n77-1,16.0,9.401701
16.0,0.5,16.0,0.5,396,12,69,1,n70-1,16.0,9.401701
16.5,0.5,16.5,0.5,408,12,71,1,n71-1,16.0,9.401701
17.0,0.5,17.0,0.5,420,12,73,1,n72-1,17.0,9.927875
17.5,0.5,17.5,0.5,432,12,74,1,n73-1,17.0,9.927875
18.0,0.5,18.0,0.5,444,12,76,1,n79-1,18.0,10.320503
18.5,0.5,18.5,0.5,456,12,78,1,n80-1,18.0,10.320503
19.0,0.5,19.0,0.5,468,12,80,1,n81-1,19.0,10.761207
19.5,0.5,19.5,0.5,480,12,81,1,n82-1,19.0,10.761207
20.0,1.5,20.0,1.5,492,36,76,1,n84-1,20.0,11.228621
20.5,0.5,20.5,0.5,504,12,52,5,n90-1,20.0,11.228621
20.5,0.5,20.5,0.5,504,12,68,2,n86-1,20.0,11.228621
21.0,0.5,21.0,0.5,516,12,54,5,n91-1,21.0,11.684016
21.0,0.5,21.0,0.5,516,12,69,2,n87-1,21.0,11.684016
21.5,0.5,21.5,0.5,528,12,56,5,n92-1,21.0,11.684016
21.5,0.5,21.5,0.5,528,12,71,2,n88-1,21.0,11.684016
21.5,0.5,21.5,0.5,528,12,74,1,n85-1,21.0,11.684016
22.0,0.5,22.0,0.5,540,12,57,5,n97-1,22.0,12.168791
22.0,0.5,22.0,0.5,540,12,64,2,n96-1,22.0,12.168791
22.0,0.5,22.0,0.5,540,12,73,1,n93-1,22.0,12.168791
22.5,0.5,22.5,0.5,552,12,45,5,n98-1,22.0,12.168791
23.0,0.5,23.0,0.5,564,12,49,5,n99-1,23.0,12.586793
23.5,0.5,23.5,0.5,576,12,50,5,n100-1,23.0,12.586793
24.0,1.5,24.0,1.5,588,36,52,5,n108-1,24.0,13.03551
24.5,0.5,24.5,0.5,600,12,56,1,n102-1,24.0,13.03551
24.5,0.5,24.5,0.5,600,12,64,1,n103-1,24.0,13.03551
25.0,0.5,25.0,0.5,612,12,57,1,n104-1,25.0,13.502257
25.0,0.5,25.0,0.5,612,12,66,1,n105-1,25.0,13.502257
25.5,0.5,25.5,0.5,624,12,50,5,n109-1,25.0,13.502257
25.5,0.5,25.5,0.5,624,12,59,1,n106-1,25.0,13.502257
25.5,0.5,25.5,0.5,624,12,68,1,n107-1,25.0,13.502257
26.0,0.5,26.0,0.5,636,12,49,5,n115-1,26.0,13.951642
26.0,0.5,26.0,0.5,636,12,61,1,n110-1,26.0,13.951642
26.0,0.5,26.0,0.5,636,12,69,1,n111-1,26.0,13.951642
26.5,0.5,26.5,0.5,648,12,52,5,n116-1,26.0,13.951642
26.5,0.5,26.5,0.5,648,12,64,1,n112-1,26.0,13.951642
27.0,0.5,27.0,0.5,660,12,49,5,n117-1,27.0,14.411711
27.0,0.5,27.0,0.5,660,12,69,1,n113-1,27.0,14.411711
27.5,0.5,27.5,0.5,672,12,45,5,n118-1,27.0,14.411711
27.5,0.5,27.5,0.5,672,12,73,1,n114-1,27.0,14.411711
28.0,0.5,28.0,0.5,684,12,44,5,n125-1,28.0,14.869109
28.0,0.5,28.0,0.5,684,12,71,2,n121-1,28.0,14.869109
28.0,1.5,28.0,1.5,684,36,76,1,n119-1,28.0,14.869109
28.5,0.5,28.5,0.5,696,12,40,5,n126-1,28.0,14.869109
28.5,0.5,28.5,0.5,696,12,68,2,n122-1,28.0,14.869109
29.0,0.5,29.0,0.5,708,12,42,5,n127-1,29.0,15.320498
29.0,0.5,29.0,0.5,708,12,69,2,n123-1,29.0,15.320498
29.5,0.5,29.5,0.5,720,12,44,5,n128-1,29.0,15.320498
29.5,0.5,29.5,0.5,720,12,71,2,n124-1,29.0,15.320498
29.5,0.5,29.5,0.5,720,12,74,1,n120-1,29.0,15.320498
30.0,0.5,30.0,0.5,732,12,45,5,n135-1,30.0,15.77055
30.0,1.5,30.0,1.5,732,36,64,2,n133-1,30.0,15.77055
30.0,0.5,30.0,0.5,732,12,73,1,n129-1,30.0,15.77055
30.5,0.5,30.5,0.5,744,12,44,5,n136-1,30.0,15.77055
30.5,0.5,30.5,0.5,744,12,71,1,n130-1,30.0,15.77055
31.0,0.5,31.0,0.5,756,12,42,5,n137-1,31.0,16.211924
31.0,0.5,31.0,0.5,756,12,69,1,n131-1,31.0,16.211924
31.5,0.5,31.5,0.5,768,12,47,5,n138-1,31.0,16.211924
