xml_id	midi_id	track	channel	pitch	onset
n15-1	n0	0	0	36	1.5104151562500001
n16-1	n1	0	0	36	1.693374375
n18-1	n5	0	0	36	1.8883528125000004
n20-1	n9	0	0	36	2.0793248437500007
n17-1	n2	0	0	43	1.71340640625
n19-1	n6	0	0	43	1.8923592187500005
n21-1	n10	0	0	43	2.0846667187500008
n1-1	n4	0	0	48	1.7240901562500002
n3-1	n7	0	0	48	1.9017075000000006
n5-1	n12	0	0	48	2.1167179687500006
n2-1	n3	0	0	52	1.7174128125
n4-1	n8	0	0	52	1.9043784375000006
n6-1	n11	0	0	52	2.0993568750000007
n22-1	n15	0	0	36	2.2983417187500006
n24-1	n18	0	0	36	2.48797828125
n23-1	n13	0	0	43	2.2836515625000007
n25-1	n17	0	0	43	2.48530734375
n7-1	n16	0	0	48	2.3076900000000005
n9-1	n20	0	0	48	2.49866203125
n8-1	n14	0	0	52	2.294335312500001
n10-1	n19	0	0	52	2.494655625
n26-1	n23	0	0	36	2.6856276562499994
n28-1	n28	0	0	36	2.8685868749999988
n27-1	n21	0	0	43	2.6682665624999995
n29-1	n25	0	0	43	2.852561249999999
n11-1	n24	0	0	48	2.6923049999999993
n13-1	n27	0	0	48	2.867251406249999
n12-1	n22	0	0	52	2.6722729687499993
n14-1	n26	0	0	52	2.865915937499999
n46-1	n32	0	0	36	3.0649007812499978
n48-1	n36	0	0	36	3.246524531249997
n47-1	n29	0	0	43	3.063565312499998
n49-1	n34	0	0	43	3.237176249999997
n30-1	n30	0	0	48	3.063565312499998
n32-1	n35	0	0	48	3.243853593749997
n31-1	n31	0	0	52	3.063565312499998
n33-1	n33	0	0	52	3.234505312499997
n50-1	n39	0	0	36	3.428148281249997
n52-1	n42	0	0	36	3.6177848437499964
n51-1	n38	0	0	43	3.425477343749997
n53-1	n43	0	0	43	3.6204557812499965
n34-1	n40	0	0	48	3.4428384374999967
n36-1	n44	0	0	48	3.6244621874999963
n35-1	n37	0	0	52	3.421470937499997
n37-1	n41	0	0	52	3.6151139062499964
n54-1	n46	0	0	36	3.788724843749996
n56-1	n49	0	0	36	3.9690131249999956
n55-1	n45	0	0	43	3.782047499999996
n57-1	n51	0	0	43	3.9703485937499954
n38-1	n48	0	0	48	3.7940667187499955
n40-1	n50	0	0	48	3.9690131249999956
n39-1	n47	0	0	52	3.7900603124999956
n41-1	n52	0	0	52	3.9770259374999952
n58-1	n54	0	0	36	4.1626560937499955
n60-1	n60	0	0	36	4.337602499999995
n59-1	n55	0	0	45	4.165327031249995
n61-1	n57	0	0	45	4.325583281249995
n42-1	n56	0	0	50	4.165327031249995
n44-1	n58	0	0	50	4.329589687499995
n43-1	n53	0	0	54	4.158649687499995
n45-1	n59	0	0	54	4.330925156249995
n67-1	n62	0	0	35	4.555283906249995
n69-1	n66	0	0	35	4.748926874999995
n68-1	n63	0	0	43	4.5592903124999955
n70-1	n65	0	0	43	4.747591406249995
n62-1	n64	0	0	50	4.565967656249995
n63-1	n61	0	0	55	4.547271093749996
n71-1	n68	0	0	35	4.942569843749995
n73-1	n70	0	0	35	5.128199999999994
n72-1	n67	0	0	43	4.927879687499995
n74-1	n69	0	0	43	5.1268645312499945
n65-1	n72	0	0	57	5.208328124999994
n64-1	n71	0	0	59	5.132206406249995
n75-1	n74	0	0	35	5.308488281249994
n77-1	n77	0	0	35	5.499460312499994
n76-1	n73	0	0	43	5.300475468749994
n78-1	n76	0	0	43	5.495453906249994
n66-1	n75	0	0	55	5.311159218749993
n79-1	n79	0	0	35	5.693103281249994
n81-1	n81	0	0	35	5.868049687499993
n80-1	n78	0	0	43	5.686425937499994
n82-1	n80	0	0	43	5.857365937499993
n91-1	n84	0	0	35	6.044331562499993
n93-1	n87	0	0	35	6.235303593749992
n92-1	n85	0	0	43	6.044331562499993
n94-1	n86	0	0	43	6.227290781249993
n83-1	n82	0	0	85	5.957526093749993
n84-1	n83	0	0	86	6.037654218749993
n95-1	n89	0	0	35	6.431617499999993
n97-1	n91	0	0	35	6.594544687499993
n96-1	n88	0	0	43	6.427611093749992
n98-1	n92	0	0	43	6.6025574999999925
n88-1	n94	0	0	81	6.704053124999993
n87-1	n93	0	0	83	6.617247656249993
n86-1	n90	0	0	84	6.521093906249993
n99-1	n96	0	0	35	6.769491093749992
n101-1	n98	0	0	35	6.956456718749991
n100-1	n95	0	0	43	6.762813749999992
n102-1	n99	0	0	43	6.959127656249991
n89-1	n97	0	0	79	6.797535937499992
n103-1	n101	0	0	35	7.151435156249991
n105-1	n103	0	0	35	7.342407187499991
n104-1	n100	0	0	43	7.140751406249991
n106-1	n102	0	0	43	7.326381562499991
n123-1	n105	0	0	34	7.52937281249999
n125-1	n111	0	0	34	7.71500296874999
n124-1	n107	0	0	41	7.538721093749991
n126-1	n109	0	0	41	7.70832562499999
n107-1	n106	0	0	46	7.533379218749991
n109-1	n108	0	0	46	7.6936354687499895
n108-1	n104	0	0	50	7.526701874999991
n110-1	n110	0	0	50	7.71233203124999
n127-1	n113	0	0	34	7.8979621874999895
n129-1	n118	0	0	34	8.07023765624999
n128-1	n112	0	0	41	7.89128484374999
n130-1	n117	0	0	41	8.06356031249999
n111-1	n115	0	0	46	7.90196859374999
n113-1	n116	0	0	46	8.05821843749999
n112-1	n114	0	0	50	7.8979621874999895
n114-1	n119	0	0	50	8.07825046874999
n131-1	n123	0	0	34	8.26254515624999
n133-1	n125	0	0	34	8.449510781249987
n132-1	n122	0	0	41	8.25987421874999
n134-1	n126	0	0	41	8.449510781249987
n115-1	n120	0	0	46	8.25052593749999
n117-1	n124	0	0	46	8.444168906249988
n116-1	n121	0	0	50	8.25853874999999
n118-1	n127	0	0	50	8.458859062499988
n135-1	n130	0	0	34	8.628463593749986
n137-1	n134	0	0	34	8.811422812499984
n136-1	n128	0	0	41	8.623121718749987
n138-1	n132	0	0	41	8.807416406249985
n119-1	n129	0	0	46	8.627128124999986
n121-1	n133	0	0	46	8.807416406249985
n120-1	n131	0	0	50	8.640482812499986
n122-1	n135	0	0	50	8.816764687499983
n155-1	n136	0	0	34	8.989040156249985
n157-1	n142	0	0	34	9.181347656249983
n156-1	n137	0	0	41	8.991711093749984
n158-1	n140	0	0	41	9.174670312499984
n139-1	n138	0	0	46	8.998388437499985
n141-1	n141	0	0	46	9.180012187499983
n140-1	n139	0	0	50	9.001059374999985
n142-1	n143	0	0	50	9.189360468749983
n159-1	n144	0	0	34	9.356294062499982
n161-1	n150	0	0	34	9.555278906249983
n160-1	n145	0	0	41	9.356294062499982
n162-1	n148	0	0	41	9.545930624999983
n143-1	n146	0	0	46	9.368313281249982
n145-1	n149	0	0	46	9.552607968749983
n144-1	n147	0	0	50	9.374990624999983
n146-1	n151	0	0	50	9.563291718749984
n163-1	n152	0	0	34	9.731560781249984
n165-1	n157	0	0	34	9.915855468749985
n164-1	n153	0	0	41	9.731560781249984
n166-1	n156	0	0	41	9.907842656249985
n147-1	n154	0	0	46	9.739573593749984
n149-1	n158	0	0	46	9.922532812499986
n148-1	n155	0	0	50	9.751592812499984
n150-1	n159	0	0	50	9.922532812499986
n167-1	n160	0	0	34	10.101485624999986
n169-1	n165	0	0	34	10.281773906249986
n168-1	n161	0	0	43	10.113504843749986
n170-1	n164	0	0	43	10.268419218749987
n151-1	n162	0	0	48	10.117511249999986
n153-1	n167	0	0	48	10.297799531249987
n152-1	n163	0	0	52	10.120182187499985
n154-1	n166	0	0	52	10.288451249999987
n176-1	n169	0	0	33	10.492777968749985
n178-1	n173	0	0	33	10.670395312499984
n177-1	n171	0	0	41	10.502126249999986
n179-1	n172	0	0	41	10.665053437499985
n171-1	n170	0	0	48	10.494113437499985
n172-1	n168	0	0	53	10.491442499999986
n180-1	n174	0	0	33	10.870715624999985
n182-1	n176	0	0	33	11.060352187499985
n181-1	n175	0	0	41	10.872051093749985
n183-1	n177	0	0	41	11.063023124999985
n174-1	n179	0	0	55	11.156505937499986
n173-1	n178	0	0	57	11.073706874999985
n184-1	n180	0	0	33	11.239304999999986
n186-1	n184	0	0	33	11.427606093749986
n185-1	n181	0	0	41	11.239304999999986
n187-1	n183	0	0	41	11.426270624999987
n175-1	n182	0	0	53	11.256666093749987
n188-1	n185	0	0	33	11.609229843749986
n190-1	n188	0	0	33	11.790853593749985
n189-1	n186	0	0	41	11.611900781249986
n191-1	n187	0	0	41	11.781505312499984
