xml_id	midi_id	track	channel	pitch	onset
n15-1	n0	1	0	36	0.9864583333333334
n16-1	n1	1	0	36	1.1416666666666668
n18-1	n5	1	0	36	1.3156249999999998
n20-1	n10	1	0	36	1.5031249999999996
n17-1	n3	1	0	43	1.1968750000000001
n19-1	n7	1	0	43	1.3406249999999997
n21-1	n11	1	0	43	1.5187499999999996
n1-1	n4	1	0	48	1.2010416666666668
n3-1	n8	1	0	48	1.364583333333333
n5-1	deletion
n2-1	n2	1	0	52	1.1583333333333334
n4-1	n6	1	0	52	1.3291666666666664
n6-1	n9	1	0	52	1.4979166666666663
n22-1	n13	1	0	36	1.680208333333333
n24-1	n18	1	0	36	1.861458333333333
n23-1	n14	1	0	43	1.680208333333333
n25-1	n17	1	0	43	1.8541666666666663
n7-1	n15	1	0	48	1.705208333333333
n9-1	n19	1	0	48	1.8635416666666664
n8-1	n12	1	0	52	1.6604166666666664
n10-1	n16	1	0	52	1.8312499999999996
n26-1	n20	1	0	36	2.0197916666666664
n28-1	n26	1	0	36	2.192708333333334
n27-1	n21	1	0	43	2.027083333333333
n29-1	n27	1	0	43	2.2000000000000006
n11-1	n23	1	0	48	2.03125
n13-1	n25	1	0	48	2.188541666666667
n12-1	n22	1	0	52	2.027083333333333
n14-1	n24	1	0	52	2.1802083333333337
n46-1	n29	1	0	36	2.360416666666667
n48-1	n33	1	0	36	2.5416666666666674
n47-1	n28	1	0	43	2.3552083333333336
n49-1	n35	1	0	43	2.5510416666666673
n30-1	n30	1	0	48	2.360416666666667
n32-1	n34	1	0	48	2.5447916666666672
n31-1	n31	1	0	52	2.3656250000000005
n33-1	n32	1	0	52	2.531250000000001
n50-1	n36	1	0	36	2.700000000000001
n52-1	n40	1	0	36	2.876041666666668
n51-1	n39	1	0	43	2.709375000000001
n53-1	n41	1	0	43	2.8791666666666678
n34-1	n38	1	0	48	2.7072916666666678
n36-1	n42	1	0	48	2.8791666666666678
n35-1	n37	1	0	52	2.7052083333333345
n37-1	n43	1	0	52	2.8791666666666678
n54-1	n45	1	0	36	3.0489583333333345
n56-1	n51	1	0	36	3.215625000000001
n55-1	n47	1	0	43	3.0531250000000014
n57-1	n49	1	0	43	3.213541666666668
n38-1	n46	1	0	48	3.0489583333333345
n40-1	n50	1	0	48	3.213541666666668
n39-1	n44	1	0	52	3.041666666666668
n41-1	n48	1	0	52	3.2052083333333345
n58-1	n52	1	0	36	3.3791666666666678
n60-1	n58	1	0	36	3.5583333333333345
n59-1	n54	1	0	45	3.388541666666668
n61-1	n57	1	0	45	3.5489583333333345
n42-1	n55	1	0	50	3.4000000000000012
n44-1	deletion
n43-1	n53	1	0	54	3.3833333333333346
n45-1	n56	1	0	54	3.5312500000000013
n67-1	n61	1	0	35	3.735416666666668
n69-1	n64	1	0	35	3.9166666666666683
n68-1	n60	1	0	43	3.7333333333333347
n70-1	n63	1	0	43	3.9125000000000014
n62-1	n62	1	0	50	3.772916666666668
n63-1	n59	1	0	55	3.726041666666668
n71-1	n66	1	0	35	4.088541666666668
n73-1	n67	1	0	35	4.262500000000001
n72-1	n65	1	0	43	4.084375000000001
n74-1	n68	1	0	43	4.262500000000001
n65-1	n70	1	0	57	4.344791666666668
n64-1	n69	1	0	59	4.2666666666666675
n75-1	n73	1	0	35	4.436458333333334
n77-1	n75	1	0	35	4.609375
n76-1	n71	1	0	43	4.432291666666668
n78-1	n74	1	0	43	4.6
n66-1	n72	1	0	55	4.432291666666668
n79-1	n77	1	0	35	4.792708333333331
n81-1	n79	1	0	35	4.951041666666662
n80-1	n76	1	0	43	4.787499999999998
n82-1	n80	1	0	43	4.960416666666663
n91-1	n83	1	0	35	5.129166666666663
n93-1	n86	1	0	35	5.2968749999999964
n92-1	n82	1	0	43	5.1145833333333295
n94-1	n85	1	0	43	5.29270833333333
n83-1	n81	1	0	85	5.102083333333329
n84-1	n84	1	0	86	5.133333333333329
n95-1	n87	1	0	35	5.459374999999996
n97-1	n90	1	0	35	5.62916666666666
n96-1	n88	1	0	43	5.4635416666666625
n98-1	n91	1	0	43	5.645833333333327
n88-1	n93	1	0	81	5.730208333333326
n87-1	n92	1	0	83	5.645833333333327
n86-1	n89	1	0	84	5.578124999999995
n99-1	n94	1	0	35	5.795833333333325
n101-1	n98	1	0	35	5.992708333333323
n100-1	n95	1	0	43	5.8218749999999915
n102-1	n97	1	0	43	5.9760416666666565
n89-1	n96	1	0	79	5.8218749999999915
n103-1	n99	1	0	35	6.158333333333322
n105-1	n102	1	0	35	6.347916666666652
n104-1	n100	1	0	43	6.158333333333322
n106-1	n101	1	0	43	6.322916666666653
n123-1	n105	1	0	34	6.540624999999985
n125-1	n110	1	0	34	6.726041666666651
n124-1	n104	1	0	41	6.535416666666652
n126-1	n109	1	0	41	6.7093749999999845
n107-1	n106	1	0	46	6.544791666666652
n109-1	n107	1	0	46	6.6937499999999845
n108-1	n103	1	0	50	6.533333333333319
n110-1	n108	1	0	50	6.705208333333318
n127-1	n114	1	0	34	6.893749999999985
n129-1	n118	1	0	34	7.070833333333318
n128-1	n111	1	0	41	6.8656249999999845
n130-1	n116	1	0	41	7.043749999999984
n111-1	n112	1	0	46	6.8656249999999845
n113-1	n115	1	0	46	7.038541666666651
n112-1	n113	1	0	50	6.869791666666651
n114-1	n117	1	0	50	7.043749999999984
n131-1	n122	1	0	34	7.237499999999985
n133-1	n125	1	0	34	7.4281249999999845
n132-1	n119	1	0	41	7.220833333333318
n134-1	n126	1	0	41	7.4281249999999845
n115-1	n120	1	0	46	7.226041666666651
n117-1	n123	1	0	46	7.395833333333318
n116-1	n121	1	0	50	7.226041666666651
n118-1	n124	1	0	50	7.395833333333318
n135-1	n130	1	0	34	7.615624999999985
n137-1	n134	1	0	34	7.773958333333319
n136-1	n129	1	0	41	7.590624999999985
n138-1	n131	1	0	41	7.7458333333333185
n119-1	n127	1	0	46	7.571874999999985
n121-1	n132	1	0	46	7.7458333333333185
n120-1	n128	1	0	50	7.571874999999985
n122-1	n133	1	0	50	7.7458333333333185
n155-1	n138	1	0	34	7.966666666666653
n157-1	n141	1	0	34	8.124999999999988
n156-1	n137	1	0	41	7.936458333333319
n158-1	n140	1	0	41	8.11145833333332
n139-1	n135	1	0	46	7.9302083333333195
n141-1	n139	1	0	46	8.10208333333332
n140-1	n136	1	0	50	7.9302083333333195
n142-1	n142	1	0	50	8.124999999999988
n159-1	n146	1	0	34	8.329166666666655
n161-1	n150	1	0	34	8.46874999999999
n160-1	n145	1	0	41	8.303124999999989
n162-1	n149	1	0	41	8.463541666666655
n143-1	n144	1	0	46	8.280208333333322
n145-1	n147	1	0	46	8.444791666666655
n144-1	n143	1	0	50	8.276041666666655
n146-1	n148	1	0	50	8.449999999999989
n163-1	n154	1	0	34	8.64687499999999
