xml_id	midi_id	track	channel	pitch	onset
n15-1	n0	0	0	36	1.5130860937500001
n16-1	n1	0	0	36	1.6746778125000001
n18-1	n6	0	0	36	1.8790045312499999
n20-1	deletion
n17-1	n4	0	0	43	1.7027226562500002
n19-1	n7	0	0	43	1.8830109375
n23-1	n10	0	0	43	2.2142071875
n21-1	deletion
n1-1	n2	0	0	48	1.6853615625000002
n3-1	deletion
n5-1	deletion
n2-1	n3	0	0	52	1.6880325000000003
n4-1	n5	0	0	52	1.86030796875
n6-1	n8	0	0	52	2.0232351562499997
n24-1	n12	0	0	36	2.3717924999999997
n22-1	deletion
n25-1	n13	0	0	43	2.3798053125
n7-1	n11	0	0	48	2.24492296875
n9-1	deletion
n8-1	n9	0	0	52	2.2088653125
n10-1	n14	0	0	52	2.4238757812499996
n26-1	n15	0	0	36	2.5347196874999995
n28-1	n20	0	0	36	2.7176789062499997
n27-1	n16	0	0	43	2.5373906249999996
n29-1	n19	0	0	43	2.7096660937499997
n11-1	n17	0	0	48	2.5707773437499997
n13-1	n22	0	0	48	2.74572375
n12-1	n18	0	0	52	2.5707773437499997
n14-1	n21	0	0	52	2.73370453125
n46-1	n23	0	0	36	2.8792706249999993
n48-1	n27	0	0	36	3.0528815624999988
n47-1	n24	0	0	43	2.883277031249999
n49-1	n28	0	0	43	3.0528815624999988
n30-1	n25	0	0	48	2.911321874999999
n32-1	n30	0	0	48	3.079590937499999
n31-1	n26	0	0	52	2.9166637499999992
n33-1	n29	0	0	52	3.066236249999999
n50-1	n32	0	0	36	3.233169843749999
n52-1	n35	0	0	36	3.406780781249999
n51-1	n31	0	0	43	3.231834374999999
n53-1	n36	0	0	43	3.4134581249999987
n34-1	n33	0	0	48	3.235840781249999
n36-1	n38	0	0	48	3.4321546874999984
n35-1	n34	0	0	52	3.247859999999999
n37-1	n37	0	0	52	3.4228064062499985
n54-1	n39	0	0	36	3.5977528124999982
n56-1	n46	0	0	36	3.767357343749998
n55-1	n40	0	0	43	3.5977528124999982
n57-1	n44	0	0	43	3.760679999999998
n38-1	n42	0	0	48	3.601759218749998
n40-1	n43	0	0	48	3.749996249999998
n39-1	n41	0	0	52	3.5977528124999982
n41-1	n45	0	0	52	3.763350937499998
n58-1	n49	0	0	36	3.943639218749998
n60-1	n54	0	0	36	4.111908281249998
n59-1	n50	0	0	45	3.951652031249998
n61-1	n52	0	0	45	4.099889062499998
n42-1	n48	0	0	50	3.939632812499998
n44-1	n53	0	0	50	4.105230937499998
n43-1	n47	0	0	54	3.928949062499998
n45-1	n51	0	0	54	4.095882656249998
n67-1	n57	0	0	35	4.294867499999996
n69-1	n59	0	0	35	4.473820312499996
n68-1	n58	0	0	43	4.298873906249996
n70-1	n60	0	0	43	4.481833124999995
n62-1	n56	0	0	50	4.272164531249996
n63-1	n55	0	0	55	4.265487187499996
n71-1	n62	0	0	35	4.647431249999995
n73-1	n63	0	0	35	4.835732343749996
n72-1	n61	0	0	43	4.642089374999995
n74-1	n64	0	0	43	4.841074218749996
n65-1	n66	0	0	57	4.918531406249995
n64-1	n65	0	0	59	4.842409687499996
n75-1	n68	0	0	35	5.006672343749996
n77-1	n70	0	0	35	5.173605937499995
n76-1	n69	0	0	43	5.012014218749996
n78-1	n71	0	0	43	5.174941406249995
n66-1	n67	0	0	55	4.997324062499995
n79-1	n72	0	0	35	5.367248906249995
n81-1	n74	0	0	35	5.542195312499995
n80-1	n73	0	0	43	5.368584374999995
n82-1	n75	0	0	43	5.5462017187499955
n91-1	n77	0	0	35	5.722483593749995
