onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.5130861,0.04139953,36,59,0,0,n0,1.513086,0.0
1.6746778,0.04139953,36,56,0,0,n1,1.513086,0.0
1.6853615,0.042735,48,52,0,0,n2,1.513086,0.0
1.6880325,0.042735,52,52,0,0,n3,1.513086,0.0
1.7027227,0.048076876,43,37,0,0,n4,1.513086,0.0
1.8603079,0.034722187,52,51,0,0,n5,1.513086,0.0
1.8790045,0.058760624,36,15,0,0,n6,1.513086,0.0
1.883011,0.056089688,43,22,0,0,n7,1.879005,1.0
2.023235,0.04540594,52,50,0,0,n8,1.879005,1.0
2.2088654,0.05074781,52,51,0,0,n9,1.879005,1.0
2.2142072,0.05208328,43,31,0,0,n10,2.214207,2.0
2.2449229,0.056089688,48,22,0,0,n11,2.214207,2.0
2.3717926,0.044070467,36,33,0,0,n12,2.214207,2.0
2.3798053,0.037393127,43,52,0,0,n13,2.214207,2.0
2.4238758,0.05074781,52,24,0,0,n14,2.214207,2.0
2.5347197,0.046741407,36,59,0,0,n15,2.214207,2.0
2.5373907,0.04540594,43,57,0,0,n16,2.214207,2.0
2.5707774,0.049412344,48,27,0,0,n17,2.554084,3.0
2.5707774,0.037393127,52,32,0,0,n18,2.554084,3.0
2.709666,0.040064063,43,52,0,0,n19,2.554084,3.0
2.717679,0.038728595,36,50,0,0,n20,2.554084,3.0
2.7337046,0.040064063,52,51,0,0,n21,2.554084,3.0
2.7457237,0.040064063,48,45,0,0,n22,2.554084,3.0
2.8792706,0.042735,36,54,0,0,n23,2.554084,3.0
2.883277,0.040064063,43,45,0,0,n24,2.554084,3.0
2.9113219,0.042735,48,42,0,0,n25,2.897299,4.0
2.9166636,0.044070467,52,39,0,0,n26,2.897299,4.0
3.0528815,0.042735,36,57,0,0,n27,2.897299,4.0
3.0528815,0.042735,43,48,0,0,n28,2.897299,4.0
3.0662363,0.049412344,52,51,0,0,n29,2.897299,4.0
3.079591,0.040064063,48,40,0,0,n30,2.897299,4.0
3.2318344,0.040064063,43,48,0,0,n31,2.897299,4.0
3.2331698,0.04139953,36,53,0,0,n32,2.897299,4.0
3.2358408,0.042735,48,49,0,0,n33,3.234506,5.0
3.24786,0.046741407,52,50,0,0,n34,3.234506,5.0
3.4067807,0.044070467,36,61,0,0,n35,3.234506,5.0
3.413458,0.04139953,43,47,0,0,n36,3.234506,5.0
3.4228065,0.056089688,52,55,0,0,n37,3.234506,5.0
3.4321547,0.042735,48,45,0,0,n38,3.234506,5.0
3.5977528,0.038728595,36,51,0,0,n39,3.234506,5.0
3.5977528,0.044070467,43,42,0,0,n40,3.234506,5.0
3.5977528,0.0641025,52,45,0,0,n41,3.234506,5.0
3.6017592,0.034722187,48,50,0,0,n42,3.597753,6.0
3.7499962,0.046741407,48,54,0,0,n43,3.597753,6.0
3.76068,0.042735,43,55,0,0,n44,3.597753,6.0
3.763351,0.05341875,52,58,0,0,n45,3.597753,6.0
3.7673573,0.04139953,36,52,0,0,n46,3.597753,6.0
3.928949,0.042735,54,66,0,0,n47,3.597753,6.0
3.939633,0.03205125,50,55,0,0,n48,3.597753,6.0
3.9436393,0.036057655,36,56,0,0,n49,3.941636,7.0
3.951652,0.03205125,45,56,0,0,n50,3.941636,7.0
4.095883,0.05074781,54,67,0,0,n51,3.941636,7.0
4.0998893,0.044070467,45,64,0,0,n52,3.941636,7.0
4.105231,0.03205125,50,52,0,0,n53,3.941636,7.0
4.1119084,0.037393127,36,55,0,0,n54,3.941636,7.0
4.265487,0.5502131,55,59,0,0,n55,3.941636,7.0
4.2721643,0.64369595,50,43,0,0,n56,3.941636,7.0
4.2948675,0.05074781,35,64,0,0,n57,4.283517,8.0
4.298874,0.049412344,43,60,0,0,n58,4.283517,8.0
4.47382,0.036057655,35,60,0,0,n59,4.283517,8.0
4.481833,0.040064063,43,50,0,0,n60,4.283517,8.0
4.6420894,0.040064063,43,63,0,0,n61,4.283517,8.0
4.6474314,0.038728595,35,61,0,0,n62,4.64476,9.0
4.8357325,0.038728595,35,59,0,0,n63,4.64476,9.0
4.841074,0.038728595,43,52,0,0,n64,4.64476,9.0
4.8424096,0.128205,59,60,0,0,n65,4.64476,9.0
4.9185314,0.128205,57,60,0,0,n66,4.64476,9.0
4.997324,0.08547,55,54,0,0,n67,4.64476,9.0
5.0066724,0.037393127,35,59,0,0,n68,5.006672,10.0
5.0120144,0.04540594,43,52,0,0,n69,5.006672,10.0
5.173606,0.037393127,35,54,0,0,n70,5.006672,10.0
5.1749415,0.046741407,43,56,0,0,n71,5.006672,10.0
5.367249,0.038728595,35,48,0,0,n72,5.006672,10.0
5.368584,0.042735,43,44,0,0,n73,5.367916,11.0
5.5421953,0.037393127,35,52,0,0,n74,5.367916,11.0
5.5462017,0.040064063,43,48,0,0,n75,5.367916,11.0
5.7131352,0.06944437,85,62,0,0,n76,5.367916,11.0
5.7224836,0.048076876,35,55,0,0,n77,5.367916,11.0
5.7238193,0.057425156,43,52,0,0,n78,5.722484,12.0
5.731832,0.18963656,86,69,0,0,n79,5.722484,12.0
5.8960943,0.044070467,43,59,0,0,n80,5.722484,12.0
5.9054427,0.038728595,35,47,0,0,n81,5.722484,12.0
5.9214683,0.2310361,86,3,0,0,n82,5.722484,12.0
6.0697055,0.044070467,43,55,0,0,n83,5.722484,12.0
6.071041,0.042735,35,54,0,0,n84,6.070373,13.0
6.1578465,0.12553406,84,61,0,0,n85,6.070373,13.0
6.248658,0.120192185,83,55,0,0,n86,6.070373,13.0
6.256671,0.036057655,35,55,0,0,n87,6.070373,13.0
6.256671,0.040064063,43,51,0,0,n88,6.070373,13.0
6.344812,0.102831095,81,59,0,0,n89,6.070373,13.0
6.432953,0.042735,43,54,0,0,n90,6.070373,13.0
6.4396305,0.037393127,35,46,0,0,n91,6.43963,14.0
6.443637,0.17227547,79,56,0,0,n92,6.43963,14.0
6.603893,0.042735,35,54,0,0,n93,6.43963,14.0
6.6052284,0.042735,43,55,0,0,n94,6.43963,14.0
6.782846,0.037393127,35,56,0,0,n95,6.43963,14.0
6.784181,0.044070467,43,52,0,0,n96,6.783513,15.0
6.9511147,0.04139953,35,52,0,0,n97,6.783513,15.0
6.955121,0.038728595,43,51,0,0,n98,6.783513,15.0
7.124726,0.048076876,41,60,0,0,n99,6.783513,15.0
7.143422,0.040064063,34,45,0,0,n100,6.783513,15.0
7.1474285,0.036057655,50,54,0,0,n101,7.145426,16.0
7.148764,0.034722187,46,50,0,0,n102,7.145426,16.0
7.3010077,0.05208328,34,54,0,0,n103,7.145426,16.0
7.3090205,0.06143156,46,43,0,0,n104,7.145426,16.0
7.3237104,0.046741407,41,40,0,0,n105,7.145426,16.0
7.325046,0.046741407,50,56,0,0,n106,7.145426,16.0
7.4919796,0.040064063,34,51,0,0,n107,7.145426,16.0
7.494651,0.04540594,41,45,0,0,n108,7.145426,16.0
7.5106764,0.042735,46,41,0,0,n109,7.502663,17.0
7.5173535,0.034722187,50,49,0,0,n110,7.502663,17.0
7.6629195,0.044070467,34,52,0,0,n111,7.502663,17.0
7.666926,0.044070467,41,45,0,0,n112,7.502663,17.0
7.6682615,0.04540594,46,50,0,0,n113,7.502663,17.0
7.6816163,0.040064063,50,52,0,0,n114,7.502663,17.0
7.843208,0.040064063,34,54,0,0,n115,7.502663,17.0
7.845879,0.040064063,41,45,0,0,n116,7.502663,17.0
7.855227,0.04139953,46,42,0,0,n117,7.850553,18.0
7.868582,0.036057655,50,47,0,0,n118,7.850553,18.0
8.024832,0.036057655,34,51,0,0,n119,7.850553,18.0
8.024832,0.044070467,46,48,0,0,n120,7.850553,18.0
8.031509,0.048076876,41,35,0,0,n121,7.850553,18.0
8.040857,0.036057655,50,47,0,0,n122,7.850553,18.0
8.195772,0.044070467,34,53,0,0,n123,7.850553,18.0
