xml_id	midi_id	track	channel	pitch	onset
n15-1	n0	1	0	36	0.8385416666666666
n16-1	n3	1	0	36	1.0270833333333331
n18-1	n6	1	0	36	1.1937499999999999
n20-1	n10	1	0	36	1.3604166666666666
n17-1	n4	1	0	43	1.0385416666666665
n19-1	n8	1	0	43	1.2135416666666665
n21-1	deletion
n1-1	n1	1	0	48	1.0177083333333332
n3-1	n7	1	0	48	1.196875
n5-1	n11	1	0	48	1.3614583333333332
n2-1	n2	1	0	52	1.0187499999999998
n4-1	n5	1	0	52	1.1833333333333331
n6-1	n9	1	0	52	1.3510416666666667
n22-1	n14	1	0	36	1.5343749999999998
n24-1	n16	1	0	36	1.697916666666666
n25-1	n18	1	0	43	1.7322916666666661
n23-1	deletion
n7-1	n13	1	0	48	1.523958333333333
n9-1	n17	1	0	48	1.697916666666666
n8-1	n12	1	0	52	1.5197916666666664
n10-1	n15	1	0	52	1.6885416666666662
n26-1	n20	1	0	36	1.8666666666666663
n28-1	n25	1	0	36	2.0447916666666663
n27-1	n22	1	0	43	1.898958333333333
n29-1	n26	1	0	43	2.0729166666666665
n11-1	n21	1	0	48	1.8687499999999997
n13-1	n24	1	0	48	2.036458333333333
n12-1	n19	1	0	52	1.8604166666666662
n14-1	n23	1	0	52	2.030208333333333
n46-1	n28	1	0	36	2.205208333333333
n48-1	n33	1	0	36	2.390625000000001
n47-1	n30	1	0	43	2.238541666666667
n49-1	n34	1	0	43	2.4114583333333344
n30-1	n29	1	0	48	2.209375
n32-1	n32	1	0	48	2.386458333333334
n31-1	n27	1	0	52	2.2041666666666666
n33-1	n31	1	0	52	2.3791666666666673
n50-1	n36	1	0	36	2.5562500000000012
n52-1	n39	1	0	36	2.7239583333333344
n51-1	n38	1	0	43	2.586458333333334
n53-1	n42	1	0	43	2.7635416666666672
n34-1	n37	1	0	48	2.559375000000001
n36-1	n41	1	0	48	2.730208333333334
n35-1	n35	1	0	52	2.554166666666668
n37-1	n40	1	0	52	2.727083333333334
n54-1	n45	1	0	36	2.9104166666666678
n56-1	n49	1	0	36	3.0791666666666675
n55-1	n46	1	0	43	2.948958333333334
n57-1	n50	1	0	43	3.1197916666666674
n38-1	n44	1	0	48	2.9083333333333345
n40-1	n48	1	0	48	3.0770833333333343
n39-1	n43	1	0	52	2.903125000000001
n41-1	n47	1	0	52	3.064583333333334
n58-1	n52	1	0	36	3.261458333333334
n60-1	n57	1	0	36	3.438541666666667
n59-1	n53	1	0	45	3.267708333333334
n61-1	n56	1	0	45	3.4302083333333337
n42-1	n54	1	0	50	3.267708333333334
n44-1	n58	1	0	50	3.4437500000000005
n43-1	n51	1	0	54	3.257291666666667
n45-1	n55	1	0	54	3.422916666666667
n67-1	n61	1	0	35	3.6197916666666674
n69-1	n63	1	0	35	3.792708333333334
n68-1	n62	1	0	43	3.6260416666666675
n70-1	n64	1	0	43	3.7937500000000006
n62-1	n59	1	0	50	3.6135416666666673
n63-1	n60	1	0	55	3.6156250000000005
n71-1	n66	1	0	35	3.9843750000000004
n73-1	n67	1	0	35	4.170833333333334
n72-1	n65	1	0	43	3.979166666666667
n74-1	n68	1	0	43	4.1833333333333345
n65-1	n70	1	0	57	4.2562500000000005
n64-1	n69	1	0	59	4.1833333333333345
n75-1	n72	1	0	35	4.360416666666667
n77-1	n74	1	0	35	4.534374999999999
n76-1	n71	1	0	43	4.354166666666667
n78-1	n75	1	0	43	4.536458333333332
n66-1	n73	1	0	55	4.3625
n79-1	n76	1	0	35	4.711458333333331
n81-1	n78	1	0	35	4.8802083333333295
n80-1	n77	1	0	43	4.714583333333331
n82-1	n79	1	0	43	4.881249999999996
n91-1	n82	1	0	35	5.059374999999994
n93-1	n84	1	0	35	5.237499999999994
n92-1	n81	1	0	43	5.058333333333327
n94-1	n85	1	0	43	5.23854166666666
n83-1	n80	1	0	85	5.036458333333328
n84-1	n83	1	0	86	5.088541666666661
n95-1	n86	1	0	35	5.408333333333325
n97-1	n90	1	0	35	5.609374999999992
n96-1	n87	1	0	43	5.4156249999999915
n98-1	n89	1	0	43	5.607291666666659
n88-1	n92	1	0	81	5.702083333333325
n87-1	n91	1	0	83	5.629166666666658
n86-1	n88	1	0	84	5.535416666666658
n99-1	n94	1	0	35	5.789583333333326
n101-1	n96	1	0	35	5.969791666666658
n100-1	n95	1	0	43	5.790624999999992
n102-1	n97	1	0	43	5.971874999999991
n89-1	n93	1	0	79	5.7874999999999925
n103-1	n98	1	0	35	6.151041666666655
