xml_id	midi_id	track	channel	pitch	onset
n15-1	n0	1	0	36	0.7979166666666666
n16-1	n1	1	0	36	0.9822916666666666
n18-1	n8	1	0	36	1.1812500000000001
n20-1	n9	1	0	36	1.3302083333333332
n17-1	n4	1	0	43	1.0145833333333332
n19-1	n6	1	0	43	1.16875
n21-1	n12	1	0	43	1.3458333333333332
n1-1	n2	1	0	48	0.9947916666666665
n3-1	n5	1	0	48	1.165625
n5-1	n10	1	0	48	1.3354166666666665
n2-1	n3	1	0	52	0.9979166666666666
n4-1	n7	1	0	52	1.1708333333333334
n6-1	n11	1	0	52	1.3385416666666665
n22-1	n14	1	0	36	1.5093750000000004
n24-1	n17	1	0	36	1.6739583333333337
n23-1	n15	1	0	43	1.5156250000000004
n25-1	n18	1	0	43	1.6802083333333337
n7-1	n13	1	0	48	1.507291666666667
n9-1	n19	1	0	48	1.6812500000000004
n8-1	n16	1	0	52	1.516666666666667
n10-1	n20	1	0	52	1.688541666666667
n26-1	n21	1	0	36	1.8395833333333336
n28-1	n26	1	0	36	2.0197916666666673
n27-1	n22	1	0	43	1.8489583333333335
n29-1	n25	1	0	43	2.014583333333334
n11-1	n23	1	0	48	1.851041666666667
n13-1	n27	1	0	48	2.020833333333334
n12-1	n24	1	0	52	1.8531250000000004
n14-1	n28	1	0	52	2.0239583333333337
n46-1	n29	1	0	36	2.1854166666666677
n48-1	n33	1	0	36	2.3614583333333337
n47-1	n30	1	0	43	2.1927083333333344
n49-1	n34	1	0	43	2.3656250000000005
n30-1	n31	1	0	48	2.1947916666666676
n32-1	n35	1	0	48	2.3718750000000006
n31-1	n32	1	0	52	2.203125000000001
n33-1	n36	1	0	52	2.3760416666666675
n50-1	n37	1	0	36	2.5322916666666675
n52-1	n41	1	0	36	2.703125000000001
n51-1	n38	1	0	43	2.540625000000001
n53-1	n42	1	0	43	2.7104166666666676
n34-1	n39	1	0	48	2.5458333333333343
n36-1	n43	1	0	48	2.7104166666666676
n35-1	n40	1	0	52	2.548958333333334
n37-1	n44	1	0	52	2.712500000000001
n54-1	n45	1	0	36	2.8750000000000004
n56-1	n49	1	0	36	3.0520833333333335
n55-1	n46	1	0	43	2.882291666666667
n57-1	n52	1	0	43	3.0552083333333333
n38-1	n48	1	0	48	2.8927083333333337
n40-1	n50	1	0	48	3.0541666666666667
n39-1	n47	1	0	52	2.8833333333333337
n41-1	n51	1	0	52	3.0541666666666667
n58-1	n53	1	0	36	3.2177083333333334
n60-1	n57	1	0	36	3.3875
n59-1	n56	1	0	45	3.2354166666666666
n61-1	n58	1	0	45	3.3958333333333335
n42-1	n55	1	0	50	3.234375
n44-1	n60	1	0	50	3.40625
n43-1	n54	1	0	54	3.225
n45-1	n59	1	0	54	3.3958333333333335
n67-1	n63	1	0	35	3.577083333333333
n69-1	n65	1	0	35	3.755208333333333
n68-1	n64	1	0	43	3.579166666666666
n70-1	n66	1	0	43	3.7562499999999996
n62-1	n61	1	0	50	3.5697916666666663
n63-1	n62	1	0	55	3.573958333333333
n71-1	n68	1	0	35	3.9312499999999995
n73-1	n71	1	0	35	4.114583333333334
n72-1	n67	1	0	43	3.9270833333333326
n74-1	n70	1	0	43	4.10625
n65-1	n72	1	0	57	4.176041666666666
n64-1	n69	1	0	59	4.105208333333334
n75-1	n73	1	0	35	4.271875
n77-1	n77	1	0	35	4.444791666666665
n76-1	n74	1	0	43	4.276041666666666
n78-1	n76	1	0	43	4.440624999999999
n66-1	n75	1	0	55	4.276041666666666
n79-1	n79	1	0	35	4.624999999999998
n81-1	n80	1	0	35	4.785416666666665
n80-1	n78	1	0	43	4.618749999999999
n82-1	n81	1	0	43	4.785416666666665
n91-1	n83	1	0	35	4.962499999999998
n93-1	n87	1	0	35	5.141666666666664
n92-1	n82	1	0	43	4.958333333333331
n94-1	n86	1	0	43	5.136458333333331
n83-1	n84	1	0	85	4.964583333333331
n84-1	n85	1	0	86	5.021874999999998
n95-1	n89	1	0	35	5.314583333333331
n97-1	n91	1	0	35	5.493749999999998
n96-1	n88	1	0	43	5.313541666666665
n98-1	n92	1	0	43	5.505208333333331
n88-1	n94	1	0	81	5.5854166666666645
n87-1	n93	1	0	83	5.509374999999998
n86-1	n90	1	0	84	5.421874999999997
n99-1	n96	1	0	35	5.674999999999997
n101-1	n98	1	0	35	5.843749999999998
n100-1	n95	1	0	43	5.671874999999997
n102-1	n99	1	0	43	5.8510416666666645
n89-1	n97	1	0	79	5.683333333333331
n103-1	n100	1	0	35	6.0281249999999975
n105-1	n102	1	0	35	6.204166666666664
n104-1	n101	1	0	43	6.030208333333331
n106-1	n103	1	0	43	6.210416666666664
n123-1	n104	1	0	34	6.38333333333333
n125-1	n108	1	0	34	6.553124999999995
n124-1	n105	1	0	41	6.4062499999999964
n126-1	n111	1	0	41	6.589583333333328
n107-1	n107	1	0	46	6.417708333333329
n109-1	n110	1	0	46	6.5812499999999945
n108-1	n106	1	0	50	6.410416666666663
n110-1	n109	1	0	50	6.573958333333328
n127-1	n112	1	0	34	6.726041666666661
n129-1	n117	1	0	34	6.902083333333327
n128-1	n115	1	0	41	6.760416666666661
n130-1	n119	1	0	41	6.913541666666661
n111-1	n114	1	0	46	6.744791666666661
n113-1	n116	1	0	46	6.901041666666661
n112-1	n113	1	0	50	6.740624999999994
n114-1	n118	1	0	50	6.902083333333327
n131-1	n120	1	0	34	7.073958333333327
n133-1	n125	1	0	34	7.251041666666659
n132-1	n121	1	0	41	7.077083333333327
n134-1	n127	1	0	41	7.2593749999999915
n115-1	n122	1	0	46	7.083333333333327
n117-1	n124	1	0	46	7.246874999999992
n116-1	n123	1	0	50	7.086458333333327
n118-1	n126	1	0	50	7.258333333333325
n135-1	n128	1	0	34	7.419791666666658
n137-1	n135	1	0	34	7.604166666666657
n136-1	n130	1	0	41	7.424999999999991
n138-1	n133	1	0	41	7.601041666666657
n119-1	n131	1	0	46	7.429166666666657
n121-1	n134	1	0	46	7.601041666666657
n120-1	n129	1	0	50	7.4208333333333245
n122-1	n132	1	0	50	7.598958333333324
n155-1	n139	1	0	34	7.77499999999999
n157-1	n141	1	0	34	7.932291666666656
n156-1	n136	1	0	41	7.7729166666666565
n158-1	n142	1	0	41	7.932291666666656
n139-1	n137	1	0	46	7.773958333333323
n141-1	n140	1	0	46	7.93124999999999
n140-1	n138	1	0	50	7.773958333333323
n142-1	n143	1	0	50	7.938541666666656
n159-1	n145	1	0	34	8.108333333333324
n161-1	n150	1	0	34	8.277083333333326
n160-1	n147	1	0	41	8.111458333333324
n162-1	n151	1	0	41	8.278124999999994
n143-1	n144	1	0	46	8.101041666666656
n145-1	n148	1	0	46	8.272916666666658
n144-1	n146	1	0	50	8.108333333333324
n146-1	n149	1	0	50	8.273958333333326
n163-1	n154	1	0	34	8.448958333333328
n165-1	n157	1	0	34	8.635416666666663
n164-1	n155	1	0	41	8.476041666666662
n166-1	n156	1	0	41	8.634374999999995
n147-1	n152	1	0	46	8.44791666666666
n149-1	n159	1	0	46	8.646874999999996
n148-1	n153	1	0	50	8.44791666666666
n150-1	n158	1	0	50	8.637499999999996
n167-1	n160	1	0	34	8.809374999999996
n169-1	n164	1	0	34	8.977083333333331
n168-1	n163	1	0	43	8.835416666666664
n170-1	n166	1	0	43	8.987499999999997
n151-1	n162	1	0	48	8.828124999999996
n153-1	deletion
n152-1	n161	1	0	52	8.810416666666663
n154-1	n165	1	0	52	8.98333333333333
n176-1	n167	1	0	33	9.15520833333333
n178-1	n171	1	0	33	9.337499999999997
n177-1	n169	1	0	41	9.188541666666664
n179-1	n172	1	0	41	9.37395833333333
n171-1	n170	1	0	48	9.188541666666664
n172-1	n168	1	0	53	9.162499999999998
n180-1	n173	1	0	33	9.506249999999998
n182-1	n177	1	0	33	9.692708333333336
n181-1	n174	1	0	41	9.529166666666665
n183-1	n176	1	0	41	9.691666666666668
n174-1	n178	1	0	55	9.76979166666667
n173-1	n175	1	0	57	9.690625
n184-1	n179	1	0	33	9.861458333333337
n186-1	n183	1	0	33	10.052083333333337
n185-1	n181	1	0	41	9.862500000000004
n187-1	n182	1	0	41	10.05104166666667
n175-1	n180	1	0	53	9.861458333333337
