xml_id	midi_id	track	channel	pitch	onset
n12-1	n5	1	0	29	3.094007966666666
n6-1	n2	1	0	32	2.928410164583333
n4-1	n1	1	0	36	2.07371183125
n7-1	n4	1	0	53	3.0908028479166663
n3-1	n3	1	0	56	2.9369571479166665
n1-1	n0	1	0	60	2.050207627083333
n14-1	n7	1	0	32	4.9326777562499995
n9-1	n6	1	0	56	4.929472637499999
n16-1	n9	1	0	36	5.365368787499999
n23-1	n10	1	0	41	5.4860949270833315
n11-1	n8	1	0	60	5.346138074999999
n17-1	n11	1	0	65	5.499983774999998
n24-1	n12	1	0	44	6.067289793749998
n18-1	n13	1	0	68	6.067289793749998
n26-1	n15	1	0	48	6.510664554166664
n27-1	n17	1	0	53	6.654894897916664
n20-1	n14	1	0	72	6.501049197916664
n21-1	n16	1	0	77	6.651689779166664
n28-1	n18	1	0	56	7.259593968749997
n22-1	n19	1	0	65	7.276687935416664
n54-1	n22	1	0	52	8.081172741666665
n55-1	n21	1	0	55	8.079035995833332
n56-1	n23	1	0	60	8.091856470833331
n29-1	n20	1	0	72	8.068352266666665
n57-1	n27	1	0	53	9.26706667916667
n58-1	n26	1	0	56	9.259588068750002
n59-1	n28	1	0	59	9.26706667916667
n38-1	n25	1	0	72	9.252109458333335
n32-1	deletion
n31-1	n24	1	0	74	8.994631585416668
n39-1	n29	1	0	74	9.335442545833336
n33-1	deletion
n40-1	n30	1	0	76	9.42732261666667
n41-1	n31	1	0	74	9.50745058541667
n43-1	n33	1	0	74	9.63886045416667
n45-1	n35	1	0	74	9.794842900000004
n47-1	n37	1	0	74	9.918774158333337
n49-1	n39	1	0	74	10.042705416666669
n42-1	n32	1	0	76	9.585441808333337
n44-1	n34	1	0	76	9.721125168750003
n46-1	n36	1	0	76	9.855740156250004
n48-1	n38	1	0	76	9.974329550000002
n50-1	deletion
n69-1	n46	1	0	52	10.559797908333337
n70-1	n43	1	0	55	10.533088585416671
n71-1	n45	1	0	60	10.550182552083337
n35-1	n40	1	0	72	10.137790606250004
n60-1	n44	1	0	72	10.546977433333337
n37-1	n42	1	0	74	10.355738681250005
n51-1	deletion
n53-1	deletion
n36-1	n41	1	0	76	10.25424325416667
n52-1	deletion
n77-1	n47	1	0	37	12.85359456041667
n66-1	n48	1	0	61	12.87923551041667
n85-1	n51	1	0	30	13.917693985416673
n79-1	n49	1	0	34	13.753164556250006
n80-1	n52	1	0	54	13.926240968750006
n68-1	n50	1	0	58	13.765985031250006
n87-1	n54	1	0	34	15.774526114583338
n82-1	n53	1	0	58	15.767047504166671
n89-1	n55	1	0	37	16.167687347916672
n96-1	n58	1	0	42	16.31939630208334
n84-1	n56	1	0	61	16.180507822916674
n90-1	n57	1	0	66	16.295892097916674
n97-1	n60	1	0	46	16.896317677083342
n91-1	n59	1	0	70	16.88777069375001
n99-1	n62	1	0	49	17.29482077500001
n100-1	n64	1	0	54	17.445461356250007
n93-1	n61	1	0	73	17.27452168958334
n94-1	n63	1	0	78	17.442256237500008
n101-1	n66	1	0	58	18.07259625833334
n95-1	n65	1	0	66	18.05657066458334
n127-1	n70	1	0	53	18.880286183333343
n128-1	n69	1	0	56	18.864260589583342
n129-1	n68	1	0	61	18.86212384375001
n102-1	n67	1	0	73	18.84502987708334
n130-1	n73	1	0	54	20.001009372916684
n131-1	n74	1	0	57	20.004214491666684
n132-1	n75	1	0	60	20.006351237500017
n105-1	n72	1	0	73	19.96788981250002
n111-1	deletion
n104-1	n71	1	0	75	19.72109566875002
n112-1	n76	1	0	75	20.07259035833335
n106-1	deletion
n113-1	n77	1	0	77	20.13455598750002
n114-1	n78	1	0	75	20.217889075000016
n116-1	n80	1	0	75	20.365324537500015
n118-1	n82	1	0	75	20.512760000000018
n120-1	n84	1	0	75	20.635622885416687
n124-1	n86	1	0	75	20.78092160208336
n122-1	deletion
n115-1	n79	1	0	77	20.29374355208335
n117-1	n81	1	0	77	20.44758925208335
n119-1	n83	1	0	77	20.57045213750002
n121-1	deletion
n123-1	n85	1	0	77	20.727502956250024
n138-1	n91	1	0	53	21.256347550000033
n139-1	n92	1	0	56	21.256347550000033
n140-1	n90	1	0	61	21.253142431250033
n108-1	n87	1	0	73	20.86745980833336
n133-1	n93	1	0	73	21.259552668750032
n110-1	n89	1	0	75	21.0939548666667
n126-1	deletion
n109-1	n88	1	0	77	20.96468174375003
n125-1	deletion
n170-1	n95	1	0	64	23.920869604166697
n171-1	n96	1	0	67	23.92941658750003
n145-1	n94	1	0	72	23.89416028125003
n172-1	n101	1	0	65	25.068302116666715
n173-1	n99	1	0	68	25.06616537083338
n174-1	n98	1	0	71	25.061891879166716
n154-1	n100	1	0	72	25.06616537083338
n148-1	deletion
n147-1	n97	1	0	74	24.817234481250043
n155-1	n102	1	0	74	25.142019847916714
n149-1	deletion
n156-1	n103	1	0	76	25.217874325000047
n157-1	n104	1	0	74	25.27770320833338
n159-1	n106	1	0	74	25.45184799375005
n163-1	n108	1	0	74	25.584326235416718
n165-1	n110	1	0	74	25.702915629166718
n161-1	deletion
n158-1	n105	1	0	76	25.373856770833385
n162-1	n107	1	0	76	25.523428979166717
n164-1	n109	1	0	76	25.65163372916672
n166-1	n111	1	0	76	25.790522208333385
n160-1	deletion
n180-1	n117	1	0	64	26.260606291666722
n181-1	n118	1	0	67	26.264879783333388
n151-1	n113	1	0	72	25.941162789583384
n175-1	n116	1	0	72	26.243512325000054
n167-1	n112	1	0	74	25.85996644791672
n153-1	n115	1	0	74	26.131333168750054
n169-1	deletion
n152-1	n114	1	0	76	26.036247979166717
n168-1	deletion
n183-1	n119	1	0	37	26.8674421083334
n186-1	n122	1	0	36	27.488166772916735
n184-1	n120	1	0	37	27.06402272500007
n185-1	n121	1	0	37	27.267013579166733
n215-1	n126	1	0	67	28.93474370208341
n216-1	n124	1	0	70	28.930470210416743
n217-1	n125	1	0	73	28.930470210416743
n190-1	n123	1	0	76	28.91230787083341
n218-1	n128	1	0	68	30.13986835208342
n219-1	n131	1	0	70	30.150552081250083
n220-1	n129	1	0	73	30.13986835208342
n199-1	deletion
n193-1	deletion
n192-1	n127	1	0	77	29.830040206250086
n200-1	n132	1	0	77	30.272346593750086
n194-1	deletion
n201-1	n130	1	0	79	30.140936725000085
n202-1	n134	1	0	77	30.443286260416755
n204-1	n136	1	0	77	30.593926841666757
n208-1	n138	1	0	77	30.740293931250093
n210-1	n140	1	0	77	30.87170380000009
n212-1	n142	1	0	77	31.019139262500094
n206-1	deletion
n203-1	n133	1	0	79	30.34926944375009
n205-1	n135	1	0	79	30.53196121250009
n207-1	n137	1	0	79	30.663371081250094
n209-1	n139	1	0	79	30.79798606875009
n211-1	n141	1	0	79	30.93366942916676
n233-1	n148	1	0	67	31.4806763625001
n234-1	n146	1	0	70	31.462514022916764
n235-1	n147	1	0	73	31.4774712437501
n196-1	n143	1	0	76	31.09392536666676
n221-1	n149	1	0	76	31.487086600000097
n198-1	n145	1	0	77	31.32255717083343
n214-1	deletion
n197-1	n144	1	0	79	31.195420793750095
n213-1	deletion
n237-1	n150	1	0	37	32.16016153750009
n240-1	n153	1	0	36	32.827894610416756
n238-1	n151	1	0	37	32.351400289583424
n239-1	n152	1	0	37	32.569348364583426
n227-1	n155	1	0	76	33.62062731458342
n228-1	n154	1	0	79	33.59819148333342
n229-1	n156	1	0	76	33.83109677916676
n231-1	n159	1	0	76	34.074685804166755
n230-1	n157	1	0	79	33.83109677916676
n232-1	n158	1	0	79	34.06186532916676
n244-1	n161	1	0	79	34.43900096875009
n245-1	n160	1	0	82	34.40588140833342
n259-1	n162	1	0	37	35.40694683125004
n262-1	n165	1	0	36	36.66762687291672
n260-1	n163	1	0	37	35.724253587500044
n261-1	n164	1	0	37	36.081090141666714
n251-1	n167	1	0	79	38.08535773333338
n252-1	n166	1	0	82	38.06933213958338
n253-1	n169	1	0	79	38.33108350416671
n255-1	n171	1	0	79	38.533005985416715
n254-1	n168	1	0	82	38.32146814791671
n256-1	n170	1	0	82	38.526595747916716
n267-1	n173	1	0	82	38.79368897708338
n266-1	n172	1	0	88	38.70074053333338
n272-1	n179	1	0	88	39.214627906250044
