xml_id	midi_id	track	channel	pitch	onset
n12-1	n4	1	0	29	1.6523437499999998
n6-1	n3	1	0	32	1.5117187499999998
n4-1	n1	1	0	36	0.9973958333333334
n7-1	n5	1	0	53	1.6705729166666665
n3-1	n2	1	0	56	1.4947916666666663
n1-1	n0	1	0	60	0.98046875
n14-1	n7	1	0	32	3.39453125
n9-1	n6	1	0	56	3.3828125
n16-1	n9	1	0	36	3.803385416666667
n23-1	n10	1	0	41	3.9817708333333335
n11-1	n8	1	0	60	3.787760416666667
n17-1	n11	1	0	65	3.9817708333333335
n24-1	n13	1	0	44	4.587239583333334
n18-1	n12	1	0	68	4.576822916666667
n26-1	n15	1	0	48	5.018229166666667
n27-1	n17	1	0	53	5.188802083333334
n20-1	n14	1	0	72	4.993489583333334
n21-1	n16	1	0	77	5.144531250000001
n28-1	n19	1	0	56	5.795572916666668
n22-1	n18	1	0	65	5.792968750000001
n54-1	n22	1	0	52	6.619791666666665
n55-1	n21	1	0	55	6.587239583333332
n56-1	n23	1	0	60	6.626302083333332
n29-1	n20	1	0	72	6.546874999999999
n57-1	n25	1	0	53	7.812499999999997
n58-1	n27	1	0	56	7.84895833333333
n59-1	n26	1	0	59	7.81770833333333
n38-1	n28	1	0	72	7.86458333333333
n32-1	deletion
n31-1	n24	1	0	74	7.717447916666664
n33-1	deletion
n41-1	n29	1	0	74	7.9934895833333295
n39-1	deletion
n40-1	deletion
n43-1	n31	1	0	74	8.156249999999998
n45-1	n33	1	0	74	8.324218749999998
n47-1	n35	1	0	74	8.450520833333332
n49-1	n37	1	0	74	8.595052083333332
n42-1	n30	1	0	76	8.070312499999998
n44-1	n32	1	0	76	8.243489583333332
n46-1	n34	1	0	76	8.391927083333332
n48-1	n36	1	0	76	8.524739583333332
n50-1	n38	1	0	76	8.673177083333332
n69-1	n43	1	0	52	9.2265625
n70-1	n46	1	0	55	9.23828125
n71-1	n44	1	0	60	9.229166666666666
n35-1	n40	1	0	72	8.884114583333332
n60-1	n45	1	0	72	9.229166666666666
n51-1	n39	1	0	74	8.761718749999998
n37-1	n42	1	0	74	9.111979166666666
n53-1	deletion
n36-1	n41	1	0	76	8.989583333333332
n52-1	deletion
n77-1	n48	1	0	37	11.388020833333334
n66-1	n47	1	0	61	11.37890625
n85-1	n52	1	0	30	12.106770833333334
n79-1	n50	1	0	34	11.979166666666668
n80-1	n51	1	0	54	12.09765625
n68-1	n49	1	0	58	11.920572916666668
n87-1	n54	1	0	34	13.739583333333334
n82-1	n53	1	0	58	13.73046875
n89-1	n56	1	0	37	14.161458333333332
n96-1	n58	1	0	42	14.338541666666664
n84-1	n55	1	0	61	14.158854166666666
n90-1	n57	1	0	66	14.332031249999998
n97-1	n60	1	0	46	14.946614583333332
n91-1	n59	1	0	70	14.941406249999998
n99-1	n62	1	0	49	15.364583333333332
n100-1	n64	1	0	54	15.513020833333332
n93-1	n61	1	0	73	15.347656249999998
n94-1	n63	1	0	78	15.511718749999998
n101-1	n65	1	0	58	16.088541666666664
n95-1	n66	1	0	66	16.101562499999996
n127-1	n70	1	0	53	16.882812499999996
n128-1	n69	1	0	56	16.87630208333333
n129-1	n68	1	0	61	16.871093749999996
n102-1	n67	1	0	73	16.83723958333333
n130-1	n75	1	0	54	18.145833333333325
n131-1	n74	1	0	57	18.122395833333325
n132-1	n72	1	0	60	18.09505208333333
n105-1	n73	1	0	73	18.109374999999993
n111-1	deletion
n104-1	n71	1	0	75	17.98307291666666
n106-1	deletion
n112-1	n76	1	0	75	18.238281249999993
n113-1	n77	1	0	77	18.326822916666654
n116-1	n78	1	0	75	18.40755208333332
n118-1	n80	1	0	75	18.559895833333325
n120-1	n82	1	0	75	18.696614583333325
n122-1	n84	1	0	75	18.822916666666654
n114-1	deletion
n117-1	n79	1	0	77	18.48437499999999
n119-1	n81	1	0	77	18.63671874999999
n121-1	n83	1	0	77	18.77083333333332
n115-1	deletion
n123-1	deletion
n138-1	n90	1	0	53	19.41276041666666
n139-1	n89	1	0	56	19.378906249999993
n140-1	n92	1	0	61	19.425781249999993
n108-1	n86	1	0	73	19.065104166666657
n133-1	n91	1	0	73	19.41276041666666
n124-1	n85	1	0	75	18.998697916666657
n110-1	n88	1	0	75	19.270833333333325
n126-1	deletion
n109-1	n87	1	0	77	19.174479166666654
n125-1	deletion
n170-1	n94	1	0	64	21.739583333333325
n171-1	n95	1	0	67	21.743489583333325
n145-1	n93	1	0	72	21.730468749999993
n172-1	n99	1	0	65	22.915364583333314
n173-1	n100	1	0	68	22.924479166666647
n174-1	n98	1	0	71	22.910156249999982
n154-1	n97	1	0	72	22.899739583333314
n148-1	deletion
n147-1	n96	1	0	74	22.765624999999982
n149-1	deletion
n155-1	n101	1	0	74	23.02083333333331
n156-1	n102	1	0	76	23.096354166666643
n157-1	n103	1	0	74	23.16536458333331
n161-1	n105	1	0	74	23.33203124999998
n163-1	n107	1	0	74	23.45442708333331
n165-1	n109	1	0	74	23.57942708333331
n159-1	deletion
n160-1	n104	1	0	76	23.24609374999998
n162-1	n106	1	0	76	23.39062499999998
n164-1	n108	1	0	76	23.52473958333331
n166-1	n110	1	0	76	23.670572916666643
n158-1	deletion
n180-1	n115	1	0	64	24.095052083333314
n181-1	n116	1	0	67	24.105468749999982
n151-1	n112	1	0	72	23.84114583333331
n175-1	n117	1	0	72	24.131510416666647
n169-1	n111	1	0	74	23.75520833333331
n153-1	n114	1	0	74	23.98958333333331
