onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.0026041,0.61067706,36,38,1,0,n0,-10.0,-10.0
1.0052084,0.60807294,60,43,1,0,n1,1.003906,-3.0
1.4505209,0.16276042,56,49,1,0,n2,1.003906,-3.0
1.4570312,0.19791667,32,44,1,0,n3,1.003906,-3.0
1.5572916,1.9583334,53,51,1,0,n4,1.003906,-3.0
1.59375,1.9257812,29,39,1,0,n5,1.575521,0.0
3.295573,0.4388021,56,48,1,0,n6,2.7382812,6.0
3.34375,0.40234375,32,39,1,0,n7,3.3196616,9.0
3.7057292,0.13932292,36,48,1,0,n8,3.3196616,9.0
3.7135417,0.13411458,60,57,1,0,n9,3.3196616,9.0
3.8346355,0.60286456,65,60,1,0,n10,3.3196616,9.0
3.8385417,0.65234375,41,52,1,0,n11,3.8365884,12.0
4.3802085,0.45833334,68,67,1,0,n12,3.8365884,12.0
4.3958335,0.421875,44,49,1,0,n13,4.3880205,15.0
4.8072915,0.114583336,72,60,1,0,n14,4.3880205,15.0
4.8138022,0.13802083,48,51,1,0,n15,4.3880205,15.0
4.924479,0.671875,77,66,1,0,n16,4.3880205,15.0
4.9596353,0.63411456,53,43,1,0,n17,4.942057,18.0
5.5481772,0.796875,56,35,1,0,n18,4.942057,18.0
5.5611978,0.82161456,65,44,1,0,n19,5.5546875,21.0
6.190104,1.3828125,72,56,1,0,n20,5.5546875,21.0
6.1992188,1.3736979,52,34,1,0,n21,5.5546875,21.0
6.2018228,1.3710938,55,28,1,0,n22,6.200521,24.0
6.2135415,1.359375,60,42,1,0,n23,6.200521,24.0
7.1328125,0.44010416,74,54,1,0,n24,6.843099,27.0
7.4622397,0.110677086,72,54,1,0,n25,6.843099,27.0
7.484375,0.91276044,56,41,1,0,n26,6.843099,27.0
7.4856772,0.78125,59,44,1,0,n27,7.485677,30.0
7.5078125,0.75911456,53,43,1,0,n28,7.485677,30.0
7.53125,0.057291668,74,61,1,0,n29,7.485677,30.0
7.627604,0.04296875,76,57,1,0,n30,7.485677,30.0
7.703125,0.04296875,74,61,1,0,n31,7.485677,30.0
7.7721353,0.040364582,76,67,1,0,n32,7.485677,30.0
7.84375,0.040364582,74,65,1,0,n33,7.485677,30.0
7.9075522,0.041666668,76,69,1,0,n34,7.485677,30.0
7.9882812,0.040364582,74,69,1,0,n35,7.485677,30.0
8.057292,0.20963542,76,73,1,0,n36,7.485677,30.0
8.144531,0.122395836,74,67,1,0,n37,8.111979,33.0
8.2161455,0.05078125,76,72,1,0,n38,8.111979,33.0
8.290364,0.057291668,74,62,1,0,n39,8.111979,33.0
8.397136,0.08203125,72,62,1,0,n40,8.111979,33.0
8.490886,0.06640625,76,65,1,0,n41,8.111979,33.0
8.584636,0.08984375,74,56,1,0,n42,8.111979,33.0
8.697917,0.8958333,72,53,1,0,n43,8.111979,33.0
8.735677,0.85807294,55,24,1,0,n44,8.111979,33.0
8.740886,0.85286456,60,34,1,0,n45,8.738281,36.0
8.75,0.84375,52,25,1,0,n46,8.738281,36.0
11.0390625,0.6328125,61,48,1,0,n47,10.277344,42.0
11.0546875,0.6171875,37,37,1,0,n48,11.046875,45.0
11.516927,0.15494792,58,51,1,0,n49,11.046875,45.0
11.5182295,0.22916667,34,44,1,0,n50,11.046875,45.0
11.640625,1.8541666,54,55,1,0,n51,11.046875,45.0
11.660156,1.9257812,30,43,1,0,n52,11.650391,48.0
13.322917,0.46484375,58,49,1,0,n53,12.776258,54.0
13.355469,0.44010416,34,42,1,0,n54,13.339193,57.0
13.764323,0.13151042,37,52,1,0,n55,13.339193,57.0
13.766927,0.13020833,61,63,1,0,n56,13.339193,57.0
13.8776045,0.5807292,66,64,1,0,n57,13.339193,57.0
13.891927,0.70182294,42,50,1,0,n58,13.884766,60.0
14.391927,0.4700521,70,73,1,0,n59,13.884766,60.0
14.417969,0.3919271,46,50,1,0,n60,14.404948,63.0
14.808594,0.19010417,73,73,1,0,n61,14.404948,63.0
14.8125,0.14713542,49,50,1,0,n62,14.404948,63.0
14.947917,0.61067706,78,71,1,0,n63,14.404948,63.0
14.963542,0.63411456,54,51,1,0,n64,14.9557295,66.0
15.5442705,0.74348956,66,55,1,0,n65,14.9557295,66.0
15.5625,0.70703125,58,41,1,0,n66,15.553386,69.0
16.196615,1.296875,73,60,1,0,n67,15.553386,69.0
16.234375,1.2591146,56,39,1,0,n68,15.553386,69.0
16.236979,1.2565104,61,33,1,0,n69,16.235678,72.0
16.248697,1.2447916,53,38,1,0,n70,16.235678,72.0
17.145834,0.34765625,75,63,1,0,n71,16.858725,75.0
17.46224,0.092447914,73,60,1,0,n72,16.858725,75.0
17.479166,0.92578125,54,40,1,0,n73,16.858725,75.0
17.481771,0.92317706,60,39,1,0,n74,17.481771,78.0
17.483072,0.92838544,57,41,1,0,n75,17.481771,78.0
17.559896,0.087239586,75,68,1,0,n76,17.481771,78.0
