onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.0,1.5,0.0,1.5,0,30,50,5,n5-1,0.0,0.513672
0.0,1.5,0.0,1.5,0,30,54,5,n6-1,0.0,0.513672
0.0,1.5,0.0,1.5,0,30,66,1,n1-1,0.0,0.513672
0.0,1.5,0.0,1.5,0,30,72,1,n2-1,0.0,0.513672
1.5,0.5,1.5,0.5,30,10,49,5,n7-1,1.0,0.900391
1.5,0.5,1.5,0.5,30,10,56,5,n8-1,1.0,0.900391
1.5,0.5,1.5,0.5,30,10,65,1,n3-1,1.0,0.900391
1.5,0.5,1.5,0.5,30,10,73,1,n4-1,1.0,0.900391
2.0,0.5,2.0,0.5,40,10,47,5,n15-1,2.0,1.28711
2.0,0.5,2.0,0.5,40,10,49,5,n16-1,2.0,1.28711
2.0,0.5,2.0,0.5,40,10,65,1,n9-1,2.0,1.28711
2.0,0.5,2.0,0.5,40,10,68,1,n10-1,2.0,1.28711
3.5,0.5,3.5,0.5,70,10,46,5,n19-1,3.0,1.782878
3.5,0.5,3.5,0.5,70,10,49,5,n20-1,3.0,1.782878
3.5,0.5,3.5,0.5,70,10,66,1,n13-1,3.0,1.782878
3.5,0.5,3.5,0.5,70,10,70,1,n14-1,3.0,1.782878
4.0,0.75,4.0,0.75,80,15,44,5,n29-1,4.0,2.278646
4.0,0.75,4.0,0.75,80,15,63,1,n21-1,4.0,2.278646
4.0,0.75,4.0,0.75,80,15,71,1,n22-1,4.0,2.278646
4.75,0.25,4.75,0.25,95,5,46,5,n30-1,4.0,2.278646
4.75,0.25,4.75,0.25,95,5,61,1,n23-1,4.0,2.278646
4.75,0.25,4.75,0.25,95,5,70,1,n24-1,4.0,2.278646
5.0,0.5,5.0,0.5,100,10,47,5,n31-1,5.0,2.695312
5.0,0.5,5.0,0.5,100,10,59,1,n25-1,5.0,2.695312
5.0,0.5,5.0,0.5,100,10,68,1,n26-1,5.0,2.695312
5.5,0.5,5.5,0.5,110,10,48,5,n32-1,5.0,2.695312
5.5,0.5,5.5,0.5,110,10,58,1,n27-1,5.0,2.695312
5.5,0.5,5.5,0.5,110,10,66,1,n28-1,5.0,2.695312
6.0,1.0,6.0,1.0,120,20,49,5,n36-1,6.0,3.239583
6.0,1.0,6.0,1.0,120,20,56,1,n33-1,6.0,3.239583
6.0,1.0,6.0,1.0,120,20,65,1,n34-1,6.0,3.239583
8.0,1.5,8.0,1.5,160,30,64,5,n42-1,8.0,4.338542
8.0,1.5,8.0,1.5,160,30,67,5,n43-1,8.0,4.338542
8.0,1.5,8.0,1.5,160,30,70,1,n38-1,8.0,4.338542
8.0,1.5,8.0,1.5,160,30,73,1,n39-1,8.0,4.338542
9.5,0.5,9.5,0.5,190,10,63,5,n44-1,9.0,4.779623
9.5,0.5,9.5,0.5,190,10,66,5,n45-1,9.0,4.779623
9.5,0.5,9.5,0.5,190,10,71,1,n40-1,9.0,4.779623
9.5,0.5,9.5,0.5,190,10,75,1,n41-1,9.0,4.779623
10.0,1.0,10.0,1.0,200,20,61,5,n51-1,10.0,5.220703
10.0,1.0,10.0,1.0,200,20,64,5,n52-1,10.0,5.220703
10.0,1.0,10.0,1.0,200,20,73,1,n46-1,10.0,5.220703
10.0,1.0,10.0,1.0,200,20,76,1,n47-1,10.0,5.220703
11.5,0.5,11.5,0.5,230,10,59,5,n54-1,11.0,5.73112
11.5,0.5,11.5,0.5,230,10,63,5,n55-1,11.0,5.73112
11.5,0.5,11.5,0.5,230,10,75,1,n49-1,11.0,5.73112
11.5,0.5,11.5,0.5,230,10,78,1,n50-1,11.0,5.73112
12.0,1.0,12.0,1.0,240,20,52,6,n68-1,12.0,6.241537
12.0,0.75,12.0,0.75,240,15,56,5,n64-1,12.0,6.241537
