xml_id	midi_id	track	channel	pitch	onset
n6-1	n1	0	0	40	1.5117506250000001
n17-1	n10	0	0	40	1.8723271875000005
n7-1	n0	0	0	52	1.5090796875
n18-1	n7	0	0	52	1.8696562500000005
n1-1	n3	0	0	55	1.5130860937500001
n14-1	n8	0	0	55	1.8696562500000005
n2-1	n4	0	0	59	1.5197634375000002
n15-1	n9	0	0	59	1.8696562500000005
n3-1	n5	0	0	64	1.53178265625
n16-1	n11	0	0	64	1.9337587500000004
n4-1	n2	0	0	67	1.5117506250000001
n9-1	n6	0	0	67	1.8576370312500003
n10-1	n12	0	0	66	2.37846984375
n19-1	n15	0	0	40	2.5227004687499996
n20-1	n16	0	0	52	2.5267068749999995
n11-1	n14	0	0	55	2.5146876562499996
n12-1	n13	0	0	64	2.5106812499999998
n29-1	n21	0	0	38	2.934024843749999
n30-1	n19	0	0	50	2.9313539062499996
n22-1	n18	0	0	57	2.9166637499999997
n23-1	n20	0	0	66	2.9326893749999994
n24-1	n17	0	0	69	2.9059799999999996
n33-1	n23	0	0	62	3.763350937499999
n27-1	n24	0	0	66	3.766021874999999
n28-1	n22	0	0	69	3.745989843749999
n39-1	n27	0	0	60	4.17868171875
n40-1	n26	0	0	62	4.16799796875
n34-1	n28	0	0	66	4.18669453125
n35-1	n25	0	0	69	4.1586496875
n41-1	n31	0	0	59	4.7529332812500025
n42-1	n30	0	0	62	4.748926875000002
n36-1	n29	0	0	67	4.740914062500003
n43-1	n35	0	0	57	4.954589062500002
n44-1	n34	0	0	60	4.9398989062500025
n37-1	n33	0	0	66	4.927879687500003
n38-1	n32	0	0	69	4.915860468750003
n53-1	n39	0	0	55	5.396629218750004
n54-1	n36	0	0	59	5.345881406250005
n45-1	n38	0	0	67	5.364577968750004
n46-1	n37	0	0	71	5.348552343750004
n56-1	n45	0	0	43	6.077718281250004
n57-1	n43	0	0	55	6.073711875000004
n48-1	n41	0	0	59	6.064363593750005
n49-1	n42	0	0	62	6.071040937500005
n50-1	n44	0	0	67	6.076382812500004
n51-1	n40	0	0	71	6.061692656250005
n67-1	n50	0	0	43	6.431617500000002
n68-1	n48	0	0	55	6.426275625000002
n64-1	n49	0	0	59	6.427611093750002
n65-1	n51	0	0	62	6.435623906250003
n66-1	n52	0	0	67	6.475687968750003
n59-1	n47	0	0	71	6.4195982812500025
n60-1	n53	0	0	69	6.896360625000003
n69-1	n57	0	0	31	7.072642500000003
n70-1	n56	0	0	43	7.068636093750003
n61-1	n55	0	0	59	7.056616875000003
n62-1	n54	0	0	67	7.049939531250003
n79-1	n62	0	0	30	7.457257500000003
n80-1	n61	0	0	42	7.4452382812500035
n72-1	n59	0	0	61	7.431883593750003
n73-1	n60	0	0	70	7.441231875000003
n74-1	n58	0	0	73	7.427877187500003
n83-1	n64	0	0	66	8.243848593750005
n77-1	n65	0	0	70	8.251861406250004
n78-1	n63	0	0	73	8.238506718750006
n89-1	n69	0	0	64	8.673869531250011
n90-1	n68	0	0	66	8.669863125000012
n84-1	n67	0	0	70	8.657843906250012
n85-1	n66	0	0	73	8.652502031250012
n91-1	n72	0	0	62	9.253462968750016
n92-1	n70	0	0	66	9.221411718750016
n86-1	n71	0	0	71	9.238772812500017
n93-1	n76	0	0	61	9.483163593750017
n94-1	n75	0	0	64	9.457789687500018
n87-1	n73	0	0	70	9.444435000000018
n88-1	n74	0	0	73	9.452447812500019
n99-1	n78	0	0	59	9.951913125000022
n100-1	n80	0	0	62	9.954584062500022
n95-1	n79	0	0	71	9.953248593750022
n96-1	n77	0	0	74	9.943900312500022
n98-1	n81	0	0	74	11.048332968750032
n106-1	n84	0	0	59	11.599881562500036
n108-1	n82	0	0	62	11.559817500000037
n107-1	n83	0	0	67	11.562488437500036
n104-1	n85	0	0	79	11.988502968750035
n109-1	n86	0	0	64	12.379795312500036
n105-1	n87	0	0	76	12.389143593750036
n115-1	n89	0	0	57	12.803138906250037
n110-1	n88	0	0	74	12.781771406250037
n111-1	n90	0	0	72	13.186418437500041
n117-1	n93	0	0	63	13.607091093750043
n114-1	n91	0	0	66	13.592400937500043
n112-1	n92	0	0	72	13.592400937500043
n123-1	n94	0	0	62	14.023757343750049
n119-1	n95	0	0	81	14.395017656250056
n122-1	n97	0	0	66	14.809012968750057
n120-1	n96	0	0	72	14.790316406250058
n127-1	n98	0	0	67	15.220337343750058
n125-1	n99	0	0	71	15.610294218750067
n128-1	n100	0	0	55	16.02161859375007
n126-1	n101	0	0	71	16.02161859375007
n132-1	n102	0	0	52	16.426265625000077
n130-1	n103	0	0	67	16.805538750000082
n133-1	n104	0	0	64	17.255591718750086
n131-1	n105	0	0	67	17.260933593750085
n137-1	n106	0	0	60	17.66023875000009
n135-1	n107	0	0	64	18.070227656250093
n138-1	n109	0	0	48	18.549660937500086
n136-1	n108	0	0	64	18.541648125000087
n142-1	n110	0	0	36	19.094532187500086
n140-1	n111	0	0	55	19.59800390625008
n141-1	n112	0	0	52	20.201635781250083
n148-1	n116	0	0	35	21.211250156250085
n149-1	n115	0	0	47	21.189882656250084
n144-1	n114	0	0	51	21.185876250000085
n145-1	n113	0	0	59	21.165844218750085
n146-1	n117	0	0	76	24.059805000000125
n147-1	n118	0	0	88	24.065146875000124
n157-1	n121	0	0	43	24.758255156250126
n158-1	n120	0	0	52	24.739558593750125
n159-1	n119	0	0	59	24.679462500000124
n153-1	n123	0	0	75	25.332506718750125
n154-1	n122	0	0	87	25.313810156250124
n155-1	n125	0	0	76	25.516801406250124
n156-1	n124	0	0	88	25.508788593750126
n167-1	n129	0	0	45	26.009589375000118
n160-1	n128	0	0	60	25.99890562500012
n161-1	n127	0	0	64	25.99089281250012
n162-1	n126	0	0	66	25.97887359375012
n168-1	n132	0	0	46	26.778819375000122
n163-1	n133	0	0	61	26.78149031250012
n164-1	n131	0	0	64	26.772142031250123
n165-1	n130	0	0	66	26.754780937500126
n175-1	n136	0	0	47	27.21952406250012
n173-1	n135	0	0	57	27.21151125000012
n174-1	n137	0	0	63	27.234214218750118
n169-1	n134	0	0	66	27.208840312500122
n170-1	n138	0	0	67	27.805794843750125
n172-1	n140	0	0	67	28.149010312500124
n171-1	n139	0	0	69	28.003444218750126
n180-1	n141	0	0	48	28.364020781250126
n183-1	n143	0	0	55	28.389394687500126
n176-1	n142	0	0	66	28.378710937500127
n177-1	n144	0	0	64	28.775345156250133
n182-1	n148	0	0	45	29.421712031250134
n181-1	n145	0	0	47	29.226733593750136
n178-1	n147	0	0	76	29.261455781250135
n179-1	n146	0	0	88	29.230740000000136
n192-1	n149	0	0	43	29.610013125000133
n190-1	n150	0	0	52	29.668773750000135
n191-1	n151	0	0	59	29.763592031250134
n186-1	n153	0	0	75	30.376572187500134
n187-1	n152	0	0	87	30.368559375000135
n193-1	n155	0	0	44	30.572886093750135
n188-1	n156	0	0	76	30.584905312500133
n189-1	n154	0	0	88	30.563537812500137
n200-1	n158	0	0	45	31.109744531250136
n194-1	n160	0	0	60	31.148473125000137
n195-1	n159	0	0	64	31.125770156250137
n196-1	n157	0	0	66	31.107073593750137
n201-1	n161	0	0	46	32.009850468750145
n197-1	n162	0	0	61	32.03388890625014
n198-1	n164	0	0	64	32.04457265625014
n199-1	n163	0	0	66	32.03522437500014
n208-1	n168	0	0	35	32.65087546875011
n209-1	n166	0	0	47	32.64152718750011
n206-1	n167	0	0	57	32.64553359375011
n207-1	n169	0	0	63	32.670907500000105
n202-1	n165	0	0	66	32.63885625000011
n203-1	n170	0	0	69	33.529613906250056
n205-1	n172	0	0	66	34.385649375000014
n204-1	n171	0	0	67	33.958299375000045
n215-1	n173	0	0	40	35.01465515624999
n216-1	deletion
n210-1	deletion
n211-1	n174	0	0	64	35.026674374999985
n218-1	n177	0	0	35	37.2074948437498
n219-1	n178	0	0	47	37.2128367187498
n213-1	n176	0	0	59	37.1727726562498
n214-1	n175	0	0	71	37.1567470312498
n224-1	n181	0	0	35	37.61347734374979
n225-1	n179	0	0	47	37.605464531249794
n220-1	n182	0	0	59	37.61614828124979
n221-1	n180	0	0	71	37.60813546874979
n226-1	n185	0	0	40	38.294566406249785
n227-1	n184	0	0	52	38.293230937499786
n222-1	n183	0	0	64	38.291895468749786
n223-1	n186	0	0	76	38.297237343749785
n232-1	n190	0	0	40	38.66983312499975
n233-1	n187	0	0	52	38.66182031249975
n228-1	n189	0	0	64	38.66582671874975
n229-1	n188	0	0	76	38.66315578124975
n234-1	n194	0	0	47	39.340238437499714
n235-1	n191	0	0	59	39.328219218749716
n230-1	n192	0	0	71	39.338902968749714
n231-1	n193	0	0	83	39.338902968749714
n240-1	n198	0	0	47	39.74488546874969
n241-1	n195	0	0	59	39.70215046874969
n236-1	n197	0	0	71	39.71684062499969
n237-1	n196	0	0	83	39.71283421874969
n242-1	n201	0	0	52	40.41261984374968
n243-1	n199	0	0	64	40.391252343749684
n238-1	n202	0	0	76	40.41662624999968
n239-1	n200	0	0	88	40.40594249999968
n251-1	n205	0	0	52	40.80257671874964
n252-1	n203	0	0	64	40.787886562499644
n244-1	n206	0	0	76	40.80391218749964
n245-1	n204	0	0	88	40.79589937499964
n253-1	n209	0	0	55	41.501026874999624
n254-1	n214	0	0	59	41.51438156249962
n255-1	n213	0	0	62	41.51304609374962
n256-1	n208	0	0	65	41.499691406249624
n246-1	n210	0	0	77	41.501026874999624
n247-1	n212	0	0	83	41.50636874999962
n248-1	n211	0	0	86	41.502362343749624
n249-1	n207	0	0	89	41.493014062499626
n268-1	n219	0	0	55	41.85893249999962
n269-1	n220	0	0	59	41.86560984374962
n270-1	n217	0	0	62	41.85492609374962
n271-1	n215	0	0	65	41.84958421874962
n258-1	n218	0	0	77	41.85492609374962
n259-1	n221	0	0	83	41.86828078124962
n260-1	n222	0	0	86	41.872287187499616
n261-1	n216	0	0	89	41.84958421874962
n263-1	n224	0	0	86	42.463899843749594
n262-1	n223	0	0	88	42.36908156249961
n267-1	n228	0	0	79	42.809786249999576
n266-1	n227	0	0	81	42.74167734374957
n265-1	n226	0	0	83	42.64819453124957
n264-1	n225	0	0	84	42.55871812499958
n277-1	n232	0	0	72	43.15300171874954
n276-1	n231	0	0	74	43.080886406249554
n275-1	n230	0	0	76	43.006100156249566
n274-1	n229	0	0	77	42.900598124999576
n283-1	n238	0	0	62	43.62976406249948
n282-1	n237	0	0	64	43.5389521874995
n281-1	n236	0	0	65	43.47484968749951
n280-1	n235	0	0	67	43.40540531249952
n279-1	n234	0	0	69	43.33462546874953
n278-1	n233	0	0	71	43.24114265624954
n288-1	n243	0	0	54	43.96229578124946
n287-1	n242	0	0	55	43.870148437499466
n290-1	n244	0	0	55	44.01972093749946
n286-1	n241	0	0	57	43.80471046874947
n285-1	n240	0	0	59	43.76197546874947
n284-1	n239	0	0	60	43.69787296874947
n299-1	n249	0	0	35	44.71282921874944
n300-1	n248	0	0	47	44.70748734374944
n293-1	n247	0	0	55	44.70615187499944
n294-1	n250	0	0	62	44.71416468749944
n295-1	n246	0	0	65	44.70214546874944
n312-1	n251	0	0	36	45.11079890624944
n313-1	n252	0	0	48	45.11213437499944
n302-1	n253	0	0	55	45.11881171874944
n303-1	n255	0	0	60	45.13750828124944
n304-1	n254	0	0	64	45.12281812499944
n316-1	n259	0	0	52	45.869345156249416
n317-1	n263	0	0	56	45.885370781249414
n318-1	n262	0	0	59	45.880028906249414
n319-1	n258	0	0	62	45.86533874999942
n307-1	n257	0	0	74	45.85866140624942
n308-1	n260	0	0	80	45.870680624999416
n309-1	n261	0	0	83	45.870680624999416
n310-1	n256	0	0	86	45.85198406249942
n331-1	n267	0	0	52	46.257966562499405
n332-1	n270	0	0	56	46.2686503124994
n333-1	n269	0	0	59	46.265979374999404
n334-1	n266	0	0	62	46.256631093749405
n321-1	n265	0	0	74	46.249953749999406
n322-1	n268	0	0	80	46.263308437499404
n323-1	n271	0	0	83	46.2753276562494
n324-1	n264	0	0	86	46.24728281249941
n326-1	n273	0	0	83	46.90166249999939
n325-1	n272	0	0	84	46.8081796874994
n330-1	n277	0	0	76	47.27292281249937
n329-1	n276	0	0	78	47.17276265624936
n328-1	n275	0	0	80	47.09263453124937
n327-1	n274	0	0	81	47.00315812499937
n340-1	n281	0	0	69	47.61079640624937
n339-1	n280	0	0	71	47.52399093749937
n338-1	n279	0	0	72	47.44653374999937
n337-1	n278	0	0	74	47.34503812499937
n346-1	n287	0	0	59	48.06084937499934
n345-1	n286	0	0	60	48.03280453124935
n344-1	n285	0	0	62	47.921960624999365
n343-1	n284	0	0	64	47.84984531249936
n342-1	n283	0	0	66	47.76036890624937
n341-1	n282	0	0	68	47.69626640624937
n351-1	deletion
n350-1	n291	0	0	52	48.40540031249934
n349-1	n290	0	0	54	48.322601249999344
n348-1	n289	0	0	56	48.25048593749934
n347-1	n288	0	0	57	48.16368046874934
n353-1	deletion
n357-1	n297	0	0	32	49.1639465624993
n358-1	n294	0	0	44	49.1545982812493
n354-1	n296	0	0	52	49.1572692187493
n355-1	n295	0	0	62	49.1545982812493
n356-1	deletion
n364-1	n301	0	0	33	49.57527093749929
n365-1	n299	0	0	45	49.56458718749929
n359-1	n300	0	0	52	49.57259999999929
n360-1	n303	0	0	57	49.59797390624929
n361-1	n302	0	0	60	49.57927734374929
n367-1	n305	0	0	58	50.58488531249918
n363-1	n304	0	0	82	50.571530624999184
n375-1	n307	0	0	58	51.00689343749916
n368-1	n306	0	0	82	50.99353874999916
n370-1	n309	0	0	79	51.69866624999917
n369-1	n308	0	0	81	51.598506093749165
n374-1	n313	0	0	72	52.11266156249917
n373-1	n312	0	0	74	52.02184968749917
n372-1	n311	0	0	75	51.92168953124917
n371-1	n310	0	0	77	51.80817468749917
n379-1	n317	0	0	65	52.56137906249915
n378-1	n316	0	0	67	52.45053515624915
n377-1	n315	0	0	69	52.34503312499916
n376-1	n314	0	0	70	52.23285374999917
n382-1	n320	0	0	60	53.03680593749914
n381-1	n319	0	0	62	52.873878749999136
n380-1	n318	0	0	63	52.702938749999156
n383-1	n321	0	0	58	53.21976515624914
n387-1	n322	0	0	58	53.613728437499105
n390-1	n323	0	0	64	54.29748843749905
n393-1	n324	0	0	64	54.69278718749905
n394-1	n327	0	0	58	55.46201718749903
n395-1	n326	0	0	64	55.44465609374903
n392-1	n325	0	0	67	55.44198515624903
n399-1	n330	0	0	58	55.85063859374897
n400-1	n329	0	0	64	55.84663218749897
n396-1	n328	0	0	67	55.83861937499897
n401-1	n334	0	0	58	56.618533124998926
n402-1	n331	0	0	64	56.59449468749893
n397-1	n333	0	0	67	56.61586218749893
n398-1	n332	0	0	73	56.59716562499893
n408-1	n338	0	0	58	57.023180156248884
n409-1	n335	0	0	64	57.00581906249889
n403-1	n337	0	0	67	57.016502812498885
n404-1	n336	0	0	73	57.009825468748886
n411-1	n343	0	0	58	57.76302984374887
n412-1	n345	0	0	61	57.78973921874886
n413-1	n342	0	0	64	57.76169437499887
n410-1	n344	0	0	67	57.76703624999887
n405-1	n341	0	0	73	57.75768796874887
n406-1	n340	0	0	76	57.75501703124887
n407-1	n339	0	0	79	57.74700421874887
n420-1	n348	0	0	58	58.167676874998826
n421-1	n352	0	0	61	58.18103156249882
n422-1	n346	0	0	64	58.15832859374883
n418-1	n349	0	0	67	58.167676874998826
n416-1	n350	0	0	73	58.179696093748824
n417-1	n351	0	0	76	58.179696093748824
n414-1	n347	0	0	79	58.15966406249883
n419-1	n353	0	0	66	58.855443281248824
n415-1	n354	0	0	78	58.87146890624882
n429-1	n355	0	0	65	59.24406468749882
n423-1	n356	0	0	77	59.25474843749882
n434-1	n360	0	0	58	60.0707198437488
n435-1	n363	0	0	61	60.089416406248795
n436-1	n358	0	0	64	60.0667134374988
n430-1	n361	0	0	66	60.0707198437488
n427-1	n359	0	0	73	60.0680489062488
n428-1	n362	0	0	76	60.0747262499988
n424-1	n357	0	0	78	60.0613715624988
n440-1	n368	0	0	59	60.515430937498785
n443-1	n372	0	0	59	60.74780249999877
n441-1	n369	0	0	62	60.519437343748784
n444-1	n371	0	0	62	60.73044140624877
n442-1	n366	0	0	66	60.511424531248785
n445-1	n370	0	0	66	60.72376406249877
n438-1	n367	0	0	71	60.512759999998785
n439-1	n365	0	0	74	60.508753593748786
n437-1	n364	0	0	78	60.50074078124879
n446-1	n374	0	0	59	60.91607156249877
n449-1	n376	0	0	59	61.085676093748766
n447-1	n375	0	0	62	60.92675531249877
n450-1	n378	0	0	62	61.092353437498765
n448-1	n373	0	0	66	60.90672328124877
n451-1	n377	0	0	66	61.088347031248766
n452-1	n380	0	0	59	61.27130624999876
n455-1	n383	0	0	59	61.44091078124874
n453-1	n381	0	0	62	61.27264171874876
n456-1	n384	0	0	62	61.44224624999874
n454-1	n379	0	0	66	61.25260968749876
n457-1	n382	0	0	66	61.42755609374874
n461-1	n386	0	0	50	61.64790843749873
n464-1	n392	0	0	50	61.83487406249872
n462-1	n390	0	0	54	61.658592187498726
n465-1	n391	0	0	54	61.83353859374872
n463-1	n385	0	0	59	61.63188281249873
n466-1	n393	0	0	59	61.83487406249872
n459-1	n388	0	0	71	61.65325031249873
n460-1	n389	0	0	78	61.65592124999873
n458-1	n387	0	0	83	61.64790843749873
n467-1	n395	0	0	50	62.03118796874872
