onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.98828125,3.548177,40,27,1,0,n0,-10.0,-10.0
0.9921875,1.1184896,68,41,1,0,n1,-10.0,-10.0
0.99609375,1.1145834,52,16,1,0,n2,0.994141,0.0
1.0247396,1.0859375,64,24,1,0,n3,0.994141,0.0
1.4231771,0.6875,59,37,1,0,n4,0.994141,0.0
1.7135416,0.4140625,69,60,1,0,n5,0.994141,0.0
1.7330729,0.39583334,66,45,1,0,n6,0.994141,0.0
1.7539062,0.35677084,51,39,1,0,n7,0.994141,0.0
2.0664062,1.1627604,71,65,1,0,n8,0.994141,0.0
2.0846355,1.1445312,50,41,1,0,n9,2.084635,3.0
2.1002605,1.1289062,68,51,1,0,n10,2.084635,3.0
2.390625,0.8385417,64,41,1,0,n11,2.084635,3.0
2.701823,0.52734375,73,72,1,0,n12,2.084635,3.0
2.7122395,0.77473956,69,56,1,0,n13,2.084635,3.0
2.7226562,0.50651044,49,43,1,0,n14,2.084635,3.0
3.1002605,1.4361979,76,69,1,0,n15,2.084635,3.0
3.1184895,1.4179688,47,34,1,0,n16,3.109375,6.0
3.4817708,1.0546875,66,43,1,0,n17,3.109375,6.0
3.8671875,0.6692708,71,45,1,0,n18,3.109375,6.0
3.8710938,0.77734375,74,57,1,0,n19,3.109375,6.0
4.4023438,1.1953125,71,45,1,0,n20,3.109375,6.0
4.4140625,1.1835938,68,32,1,0,n21,4.414062,9.0
4.424479,1.1731771,40,23,1,0,n22,4.414062,9.0
5.5546875,1.5351562,69,40,1,0,n23,4.414062,9.0
6.091146,0.99869794,81,68,1,0,n24,4.414062,9.0
6.1184897,0.9713542,66,38,1,0,n25,6.104818,12.0
6.450521,0.70442706,69,34,1,0,n26,6.104818,12.0
6.7408853,0.3971354,80,73,1,0,n27,6.104818,12.0
6.7421875,0.34765625,64,38,1,0,n28,6.104818,12.0
7.0768228,1.0143229,62,43,1,0,n29,6.104818,12.0
7.0794272,1.0117188,78,72,1,0,n30,7.079427,15.0
7.0989585,0.9921875,57,34,1,0,n31,7.079427,15.0
7.4257812,0.66536456,69,52,1,0,n32,7.079427,15.0
7.7070312,0.3841146,76,69,1,0,n33,7.079427,15.0
7.7200522,0.37109375,61,45,1,0,n34,7.079427,15.0
8.055989,0.9765625,78,70,1,0,n35,7.079427,15.0
8.066406,0.9661458,61,29,1,0,n36,8.066406,18.0
8.067708,0.96484375,49,39,1,0,n37,8.066406,18.0
8.384114,0.6484375,69,44,1,0,n38,8.066406,18.0
8.665364,0.3671875,76,68,1,0,n39,8.066406,18.0
8.6848955,0.34765625,50,45,1,0,n40,8.066406,18.0
9.027344,0.43359375,76,56,1,0,n41,8.066406,18.0
9.040364,0.3580729,61,39,1,0,n42,8.066406,18.0
9.0807295,1.515625,52,32,1,0,n43,9.060547,21.0
9.404948,0.44791666,73,51,1,0,n44,9.060547,21.0
9.407552,0.4453125,57,40,1,0,n45,9.060547,21.0
9.425781,0.110677086,64,34,1,0,n46,9.060547,21.0
9.848958,0.7473958,71,37,1,0,n47,9.060547,21.0
9.852864,0.74348956,56,29,1,0,n48,9.060547,21.0
9.864583,0.7317708,64,22,1,0,n49,9.060547,21.0
10.529948,1.0247396,68,54,1,0,n50,9.060547,21.0
10.550781,2.0625,40,34,1,0,n51,9.060547,21.0
10.5546875,1.0,52,32,1,0,n52,10.552734,24.0
10.5546875,1.0,64,45,1,0,n53,10.552734,24.0
10.897136,0.65755206,59,43,1,0,n54,10.552734,24.0
11.180989,0.40104166,69,67,1,0,n55,10.552734,24.0
11.203125,0.3515625,66,51,1,0,n56,10.552734,24.0
11.213542,0.34114584,51,44,1,0,n57,10.552734,24.0
11.516927,1.0963541,71,72,1,0,n58,10.552734,24.0
11.529948,1.0833334,68,61,1,0,n59,11.529948,27.0
11.5390625,1.0742188,50,49,1,0,n60,11.529948,27.0
11.8255205,0.78776044,64,51,1,0,n61,11.529948,27.0
12.139323,0.47395834,73,81,1,0,n62,11.529948,27.0
12.149739,1.3072916,69,62,1,0,n63,11.529948,27.0
12.152344,0.4609375,49,50,1,0,n64,11.529948,27.0
12.561198,0.921875,76,77,1,0,n65,11.529948,27.0
12.572917,0.88411456,47,42,1,0,n66,12.572917,30.0
12.578125,0.87890625,40,39,1,0,n67,12.572917,30.0
12.954427,0.5026042,68,53,1,0,n68,12.572917,30.0
12.983073,0.47395834,52,46,1,0,n69,12.572917,30.0
13.438802,0.9166667,74,58,1,0,n70,12.572917,30.0
13.449219,0.90625,41,37,1,0,n71,12.572917,30.0
13.4557295,0.89973956,71,35,1,0,n72,12.572917,30.0
13.458333,0.89713544,53,30,1,0,n73,12.572917,30.0
13.46875,0.88671875,68,25,1,0,n74,12.572917,30.0
14.171875,3.220052,73,44,1,0,n75,12.572917,30.0
14.1796875,3.2122395,54,27,1,0,n76,12.572917,30.0
14.1848955,3.2070312,42,33,1,0,n77,14.182292,33.0
14.191406,3.2005208,69,34,1,0,n78,14.182292,33.0
16.320312,1.0716146,73,48,1,0,n79,14.182292,33.0
16.347656,1.0442709,54,22,1,0,n80,14.182292,33.0
16.355469,1.0364584,42,24,1,0,n81,16.351562,36.0
16.364584,1.0273438,69,33,1,0,n82,16.351562,36.0
16.69401,0.6979167,63,34,1,0,n83,16.351562,36.0
16.980469,0.41145834,75,68,1,0,n84,16.351562,36.0
17.019531,0.37239584,69,38,1,0,n85,16.351562,36.0
17.023438,0.3684896,71,39,1,0,n86,16.351562,36.0
17.330729,0.6354167,76,74,1,0,n87,16.351562,36.0
17.346354,0.6197917,52,50,1,0,n88,16.351562,36.0
17.347656,0.61848956,40,44,1,0,n89,17.347656,39.0
17.35026,0.61588544,68,53,1,0,n90,17.347656,39.0
17.359375,0.6067708,71,35,1,0,n91,17.347656,39.0
17.63151,0.3346354,64,55,1,0,n92,17.347656,39.0
17.9375,0.3372396,78,82,1,0,n93,17.347656,39.0
17.954428,0.111979164,66,59,1,0,n94,17.347656,39.0
17.957031,0.31770834,51,55,1,0,n95,17.347656,39.0
17.959635,0.31510416,71,52,1,0,n96,17.347656,39.0
17.960938,0.3138021,39,53,1,0,n97,17.347656,39.0
18.277344,0.58984375,80,82,1,0,n98,17.347656,39.0
18.285156,0.1171875,52,61,1,0,n99,17.347656,39.0
18.286459,0.1171875,40,56,1,0,n100,18.285807,42.0
18.291666,0.5755208,71,44,1,0,n101,18.285807,42.0
18.56901,0.2981771,68,70,1,0,n102,18.285807,42.0
18.864584,0.4296875,81,88,1,0,n103,18.285807,42.0
18.875,0.044270832,49,62,1,0,n104,18.285807,42.0
18.878906,0.4153646,69,69,1,0,n105,18.285807,42.0
18.888021,0.40625,76,48,1,0,n106,18.285807,42.0
18.889322,0.4049479,37,55,1,0,n107,18.285807,42.0
19.207031,0.68098956,83,91,1,0,n108,18.285807,42.0
19.210938,0.6770833,32,66,1,0,n109,18.285807,42.0
19.214844,0.67317706,44,62,1,0,n110,19.21289,45.0
19.226562,0.6614583,76,68,1,0,n111,19.21289,45.0
19.542969,0.3450521,71,68,1,0,n112,19.21289,45.0
19.867188,1.5638021,84,87,1,0,n113,19.21289,45.0
19.880209,1.5507812,32,54,1,0,n114,19.21289,45.0
19.880209,1.5507812,44,56,1,0,n115,19.21289,45.0
19.888021,0.114583336,75,65,1,0,n116,19.21289,45.0
19.904947,1.5260416,78,53,1,0,n117,19.21289,45.0
20.338541,2.2122395,84,85,1,0,n118,19.21289,45.0
20.35026,1.0807291,78,65,1,0,n119,19.21289,45.0
20.352865,1.078125,75,64,1,0,n120,20.352865,48.0
20.354166,1.0768229,44,51,1,0,n121,20.352865,48.0
20.360678,1.0703125,32,44,1,0,n122,20.352865,48.0
21.421875,1.1289062,45,42,1,0,n123,20.352865,48.0
21.427084,1.1236979,76,50,1,0,n124,20.352865,48.0
21.428385,1.1223959,33,42,1,0,n125,21.427734,51.0
21.438803,1.1119791,73,40,1,0,n126,21.427734,51.0
21.770834,0.77994794,87,80,1,0,n127,21.427734,51.0
22.079428,0.47135416,85,83,1,0,n128,21.427734,51.0
22.453125,1.4713541,78,77,1,0,n129,21.427734,51.0
22.459635,1.2083334,46,44,1,0,n130,21.427734,51.0
22.46224,1.2057291,34,44,1,0,n131,22.46224,54.0
22.467447,1.2005209,73,57,1,0,n132,22.46224,54.0
22.473959,1.1940104,76,62,1,0,n133,22.46224,54.0
23.509115,1.21875,69,35,1,0,n134,22.46224,54.0
23.509115,1.21875,75,48,1,0,n135,22.46224,54.0
23.516928,1.2109375,35,39,1,0,n136,23.513021,57.0
23.53776,1.1901041,47,20,1,0,n137,23.513021,57.0
23.84375,0.33072916,80,68,1,0,n138,23.513021,57.0
24.186197,0.5416667,81,67,1,0,n139,23.513021,57.0
24.657553,1.1106771,69,34,1,0,n140,23.513021,57.0
24.658854,1.109375,76,67,1,0,n141,23.513021,57.0
24.675781,1.0924479,49,36,1,0,n142,24.675781,60.0
24.6875,1.0807291,37,37,1,0,n143,24.675781,60.0
24.69401,0.083333336,64,38,1,0,n144,24.675781,60.0
24.777344,0.99088544,64,19,1,0,n145,24.675781,60.0
25.354166,0.4140625,75,68,1,0,n146,24.675781,60.0
25.71224,0.71744794,73,54,1,0,n147,24.675781,60.0
25.738281,0.67317706,66,36,1,0,n148,24.675781,60.0
25.740885,0.67057294,51,29,1,0,n149,25.740885,63.0
25.744791,0.6666667,39,36,1,0,n150,25.740885,63.0
25.759115,0.65234375,69,38,1,0,n151,25.740885,63.0
26.436197,0.70963544,71,46,1,0,n152,25.740885,63.0
26.446615,0.69921875,42,35,1,0,n153,25.740885,63.0
26.458334,0.6875,54,22,1,0,n154,25.740885,63.0
26.459635,0.68619794,63,24,1,0,n155,25.740885,63.0
26.467447,0.67838544,69,24,1,0,n156,25.740885,63.0
26.957031,1.6744791,59,41,1,0,n157,25.740885,63.0
26.959635,1.671875,71,53,1,0,n158,25.740885,63.0
26.971354,1.6601562,54,32,1,0,n159,26.971354,66.0
26.976562,1.6549479,63,29,1,0,n160,26.971354,66.0
26.989584,1.6419271,69,32,1,0,n161,26.971354,66.0
27.951822,0.6796875,75,59,1,0,n162,27.951822,69.0
28.282553,0.34895834,78,59,1,0,n163,27.951822,69.0
28.285156,0.34635416,59,36,1,0,n164,27.951822,69.0
28.307291,0.32421875,51,39,1,0,n165,27.951822,69.0
28.307291,0.32421875,66,47,1,0,n166,27.951822,69.0
28.613281,0.453125,76,62,1,0,n167,27.951822,69.0
28.632812,0.078125,59,45,1,0,n168,27.951822,69.0
28.651041,0.053385418,64,34,1,0,n169,27.951822,69.0
28.653646,0.0546875,52,41,1,0,n170,27.951822,69.0
28.667969,0.3984375,68,33,1,0,n171,27.951822,69.0
29.023438,0.76692706,71,58,1,0,n172,27.951822,69.0
29.02474,0.765625,69,34,1,0,n173,27.951822,69.0
29.042969,1.2708334,59,36,1,0,n174,27.951822,69.0
29.053385,1.2604166,63,31,1,0,n175,29.053385,72.0
29.059896,1.2539062,54,32,1,0,n176,29.053385,72.0
29.41276,0.37760416,73,62,1,0,n177,29.053385,72.0
29.541666,0.24869792,71,70,1,0,n178,29.053385,72.0
29.651041,0.13932292,70,75,1,0,n179,29.053385,72.0
29.772135,0.5416667,71,74,1,0,n180,29.053385,72.0
29.977865,0.3359375,83,77,1,0,n181,29.977865,75.0
30.292969,0.3033854,81,79,1,0,n182,29.977865,75.0
30.295572,0.2955729,63,51,1,0,n183,29.977865,75.0
30.298178,0.29296875,71,64,1,0,n184,29.977865,75.0
30.30599,0.28515625,54,42,1,0,n185,29.977865,75.0
30.309896,0.28125,59,44,1,0,n186,29.977865,75.0
30.604166,0.3658854,59,30,1,0,n187,29.977865,75.0
30.608072,0.36197916,80,81,1,0,n188,29.977865,75.0
30.611979,0.3580729,56,54,1,0,n189,29.977865,75.0
30.613281,0.057291668,71,58,1,0,n190,29.977865,75.0
30.61849,0.3515625,64,51,1,0,n191,29.977865,75.0
30.936197,0.61588544,80,76,1,0,n192,29.977865,75.0
30.938803,0.61328125,57,51,1,0,n193,29.977865,75.0
30.949219,0.60286456,61,47,1,0,n194,30.949219,78.0
30.950521,0.6015625,64,42,1,0,n195,30.949219,78.0
30.957031,0.59505206,73,48,1,0,n196,30.949219,78.0
31.240885,0.3111979,78,78,1,0,n197,30.949219,78.0
31.553385,0.39583334,76,81,1,0,n198,30.949219,78.0
31.567709,0.3815104,58,53,1,0,n199,30.949219,78.0
31.567709,0.3815104,61,53,1,0,n200,30.949219,78.0
31.56901,0.38020834,66,48,1,0,n201,30.949219,78.0
31.582031,0.3671875,73,55,1,0,n202,30.949219,78.0
31.884115,0.6484375,76,84,1,0,n203,30.949219,78.0
31.891928,0.6432292,63,50,1,0,n204,30.949219,78.0
31.893229,0.63932294,66,49,1,0,n205,31.893229,81.0
31.903646,0.6484375,59,47,1,0,n206,31.893229,81.0
31.911459,0.62109375,71,64,1,0,n207,31.893229,81.0
32.209637,0.32291666,75,84,1,0,n208,31.893229,81.0
32.533855,0.47395834,76,80,1,0,n209,31.893229,81.0
32.557293,0.084635414,70,56,1,0,n210,31.893229,81.0
32.558594,0.50130206,64,39,1,0,n211,31.893229,81.0
32.559895,0.44791666,66,53,1,0,n212,31.893229,81.0
32.567707,0.44010416,61,44,1,0,n213,31.893229,81.0
32.963543,0.6484375,71,76,1,0,n214,31.893229,81.0
32.979168,0.6588542,63,50,1,0,n215,31.893229,81.0
32.98047,0.26041666,66,57,1,0,n216,32.979816,84.0
32.98698,0.625,69,56,1,0,n217,32.979816,84.0
33.621094,0.38802084,71,67,1,0,n218,32.979816,84.0
33.632812,0.114583336,68,60,1,0,n219,32.979816,84.0
33.640625,0.3684896,64,48,1,0,n220,32.979816,84.0
33.997395,0.7317708,71,54,1,0,n221,32.979816,84.0
34.023438,0.7057292,66,44,1,0,n222,32.979816,84.0
