xml_id	midi_id	track	channel	pitch	onset
n15-1	n3	1	0	40	1.114583333333333
n13-1	n10	1	0	50	2.0572916666666665
n12-1	n6	1	0	51	1.751302083333333
n11-1	n2	1	0	52	1.1015624999999998
n6-1	n4	1	0	59	1.4570312499999998
n5-1	n1	1	0	64	1.0846354166666665
n7-1	n7	1	0	66	1.7578124999999998
n1-1	n0	1	0	68	1.0377604166666665
n8-1	n9	1	0	68	2.052083333333333
n2-1	n5	1	0	69	1.7187499999999998
n3-1	n8	1	0	71	2.01953125
n25-1	n16	1	0	47	3.031250000000001
n14-1	n14	1	0	49	2.626302083333334
n9-1	n11	1	0	64	2.321614583333334
n10-1	n13	1	0	69	2.609375000000001
n4-1	n12	1	0	73	2.5924479166666674
n16-1	n15	1	0	76	2.9934895833333344
n29-1	n22	1	0	40	4.244791666666667
n26-1	n23	1	0	52	4.277343750000001
n21-1	n17	1	0	66	3.354166666666668
n23-1	n21	1	0	68	4.235677083333334
n22-1	n19	1	0	71	3.716145833333335
n18-1	n20	1	0	71	4.214843750000001
n17-1	n18	1	0	74	3.6875000000000013
n38-1	n26	1	0	66	5.611979166666666
n19-1	n24	1	0	69	5.15625
n35-1	n27	1	0	69	5.895833333333334
n24-1	deletion
n30-1	n25	1	0	81	5.531249999999999
n42-1	n32	1	0	57	6.503906249999998
n40-1	n31	1	0	62	6.485677083333331
n39-1	n29	1	0	64	6.188802083333332
n32-1	n30	1	0	78	6.455729166666665
n31-1	n28	1	0	80	6.139322916666666
n57-1	n38	1	0	49	7.44661458333333
n41-1	n35	1	0	61	7.0468749999999964
n53-1	n37	1	0	61	7.42708333333333
n37-1	n33	1	0	69	6.757812499999997
n33-1	n34	1	0	76	7.0013020833333295
n43-1	n36	1	0	78	7.386718749999997
n58-1	n41	1	0	50	8.07942708333333
n59-1	n44	1	0	52	8.484374999999998
n54-1	n42	1	0	61	8.466145833333332
n49-1	n39	1	0	69	7.783854166666663
n44-1	n40	1	0	76	8.04427083333333
n74-1	n54	1	0	40	10.071614583333341
n70-1	n55	1	0	52	10.079427083333341
n56-1	n50	1	0	56	9.423177083333337
n55-1	n46	1	0	57	8.85546875
n51-1	n47	1	0	64	8.859375
n52-1	n51	1	0	64	9.503906250000004
n64-1	n53	1	0	64	10.019531250000007
n60-1	n52	1	0	68	9.98177083333334
n47-1	n48	1	0	71	9.372395833333337
n46-1	n45	1	0	73	8.822916666666668
n72-1	n62	1	0	50	11.03776041666668
n71-1	n58	1	0	51	10.730468750000012
n65-1	n56	1	0	59	10.42578125000001
n66-1	n59	1	0	66	10.730468750000012
n67-1	n61	1	0	68	11.032552083333346
n61-1	n57	1	0	69	10.696614583333345
n62-1	n60	1	0	71	10.993489583333346
n87-1	deletion
n83-1	n68	1	0	47	11.984375000000014
n73-1	n66	1	0	49	11.60286458333335
n68-1	n63	1	0	64	11.311197916666682
n69-1	n65	1	0	69	11.58723958333335
n63-1	n64	1	0	73	11.55598958333335
n75-1	n67	1	0	76	11.960937500000016
n88-1	n74	1	0	41	12.838541666666679
n89-1	n79	1	0	42	13.688802083333348
n84-1	n69	1	0	52	12.360677083333346
n85-1	n75	1	0	53	12.841145833333345
n86-1	n77	1	0	54	13.661458333333346
n79-1	n70	1	0	68	12.360677083333346
n80-1	n72	1	0	68	12.805989583333345
n82-1	n78	1	0	69	13.67057291666668
n81-1	n73	1	0	71	12.811197916666679
n77-1	n76	1	0	73	13.62369791666668
n76-1	n71	1	0	74	12.790364583333345
n103-1	n83	1	0	42	15.70963541666669
n104-1	n82	1	0	54	15.70182291666669
n95-1	n81	1	0	69	15.684895833333355
n90-1	n80	1	0	73	15.661458333333355
n105-1	n91	1	0	40	16.766927083333357
n106-1	n92	1	0	52	16.77994791666669
n96-1	n84	1	0	63	16.091145833333357
n99-1	n90	1	0	68	16.76041666666669
n97-1	n87	1	0	69	16.38932291666669
n98-1	n86	1	0	71	16.37369791666669
n92-1	n89	1	0	71	16.73307291666669
n91-1	n85	1	0	75	16.36979166666669
n93-1	n88	1	0	76	16.720052083333357
n107-1	n98	1	0	39	17.33463541666669
n121-1	n101	1	0	40	17.64322916666669
n108-1	n97	1	0	51	17.33203125000002
