xml_id	midi_id	track	channel	pitch	onset
n15-1	n0	0	0	40	1.5117506250000003
n13-1	n10	0	0	50	2.56543546875
n12-1	n7	0	0	51	2.23958109375
n11-1	n3	0	0	52	1.5665048437500004
n6-1	n4	0	0	59	1.9524553125
n5-1	n1	0	0	64	1.5157570312500004
n7-1	n6	0	0	66	2.2355746875
n1-1	n2	0	0	68	1.5224343750000005
n8-1	n9	0	0	68	2.5347196875
n2-1	n5	0	0	69	2.216878125
n3-1	n8	0	0	71	2.53338421875
n25-1	n16	0	0	47	3.5523468749999987
n14-1	n14	0	0	49	3.1503707812499995
n9-1	n11	0	0	64	2.8285228124999997
n10-1	n12	0	0	69	3.1343451562499993
n4-1	n13	0	0	73	3.1370160937499993
n16-1	n15	0	0	76	3.528308437499999
n29-1	n22	0	0	40	4.797003750000001
n26-1	n23	0	0	52	4.802345625000001
n21-1	n17	0	0	66	3.946310156249999
n23-1	n21	0	0	68	4.77162984375
n22-1	n19	0	0	71	4.289525625000001
n18-1	n20	0	0	71	4.742249531250001
n17-1	n18	0	0	74	4.276170937500002
n38-1	n26	0	0	66	6.100421250000009
n19-1	n24	0	0	69	5.650368281250006
n35-1	n27	0	0	69	6.400901718750013
n24-1	deletion
n30-1	n25	0	0	81	6.05635078125001
n42-1	n32	0	0	57	7.055281406250013
n40-1	n31	0	0	62	7.0472685937500135
n39-1	n29	0	0	64	6.7013821875000135
n32-1	n30	0	0	78	7.004533593750014
n31-1	n28	0	0	80	6.663989062500013
n57-1	n38	0	0	49	8.003464218750015
n41-1	n35	0	0	61	7.620184687500015
n53-1	n37	0	0	61	7.999457812500014
n37-1	n33	0	0	69	7.325046093750014
n33-1	n34	0	0	76	7.6068300000000155
n43-1	n36	0	0	78	7.976754843750014
n58-1	n41	0	0	50	8.659179375000024
n59-1	n43	0	0	52	9.114574218750022
n54-1	n44	0	0	61	9.121251562500023
n49-1	n39	0	0	69	8.307951093750019
n44-1	n40	0	0	76	8.617779843750025
n74-1	n54	0	0	40	10.551538593750044
n70-1	n55	0	0	52	10.611634687500045
n56-1	n51	0	0	56	10.050737812500033
n55-1	n47	0	0	57	9.532575937500031
n51-1	n48	0	0	64	9.539253281250032
n52-1	n50	0	0	64	10.029370312500033
n64-1	n53	0	0	64	10.526164687500042
