xml_id	midi_id	track	channel	pitch	onset
n66-1	n9	1	0	29	3.739583333333333
n58-1	n0	1	0	41	0.5
n67-1	n8	1	0	41	3.7265624999999996
n72-1	n13	1	0	41	8.554687499999996
n59-1	n1	1	0	53	1.0234375
n3-1	n2	1	0	53	1.3763020833333333
n73-1	n49	1	0	53	27.667968749999943
insertion	n12	1	0	53	8.53255208333333
n4-1	n3	1	0	65	1.6549479166666665
n62-1	n4	1	0	65	1.9023437499999998
n63-1	n5	1	0	77	2.153645833333333
n56-1	n6	1	0	77	2.5195312499999996
n7-1	n11	1	0	77	7.619791666666664
n11-1	n17	1	0	77	11.075520833333334
n17-1	n23	1	0	77	14.38932291666667
n8-1	n10	1	0	89	7.610677083333331
n12-1	n14	1	0	89	11.044270833333334
n20-1	n20	1	0	89	14.356770833333337
n77-1	n19	1	0	37	11.994791666666668
n78-1	n63	1	0	49	29.08593749999994
n131-1	n74	1	0	49	30.588541666666593
n134-1	deletion
n18-1	n15	1	0	80	11.059895833333334
n19-1	n27	1	0	85	17.97135416666666
n82-1	deletion
n83-1	deletion
n27-1	deletion
n28-1	deletion
n29-1	deletion
n30-1	deletion
n87-1	deletion
n88-1	n75	1	0	42	31.290364583333247
n135-1	deletion
n163-1	n83	1	0	42	33.72786458333327
n133-1	n71	1	0	48	29.958333333333268
n125-1	n59	1	0	53	28.66015624999994
n127-1	deletion
n129-1	deletion
n132-1	n66	1	0	54	29.39062499999994
n164-1	n82	1	0	54	33.699218749999936
insertion	n95	1	0	54	43.79947916666671
n126-1	n62	1	0	56	28.865885416666607
n128-1	deletion
n130-1	deletion
n108-1	deletion
n109-1	n61	1	0	65	28.861979166666607
n111-1	n73	1	0	65	30.56770833333326
n113-1	deletion
n115-1	deletion
n120-1	n48	1	0	65	27.414062499999947
n102-1	n67	1	0	66	29.39062499999994
n104-1	n70	1	0	66	29.953124999999936
n117-1	n77	1	0	66	31.975260416666572
n122-1	deletion
n106-1	deletion
n118-1	n40	1	0	66	25.632812499999954
n110-1	n58	1	0	68	28.631510416666607
n112-1	n64	1	0	68	29.09765624999994
n114-1	n72	1	0	68	30.526041666666593
n116-1	deletion
n99-1	n50	1	0	68	27.667968749999943
n119-1	n69	1	0	69	29.947916666666604
n55-1	n65	1	0	70	29.35546874999994
n97-1	n76	1	0	70	31.959635416666572
n101-1	deletion
n136-1	n80	1	0	70	32.84765624999992
n142-1	n107	1	0	70	45.33203125000004
n103-1	n60	1	0	71	28.833333333333275
n105-1	deletion
n107-1	deletion
n96-1	deletion
n137-1	n81	1	0	73	32.858072916666586
n49-1	deletion
n51-1	deletion
n53-1	deletion
n95-1	deletion
n93-1	n68	1	0	75	29.920572916666604
n94-1	deletion
n98-1	n39	1	0	75	25.359374999999957
n143-1	n114	1	0	75	45.68359375000004
n138-1	n79	1	0	78	32.842447916666586
n37-1	deletion
n50-1	deletion
n52-1	deletion
n54-1	deletion
