onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.98854166,0.940625,64,49,1,0,n0,-10.0,-10.0
0.9895833,1.3604167,55,36,1,0,n1,-10.0,-10.0
0.990625,0.93854165,60,44,1,0,n2,0.990104,0.0
0.9916667,1.3583333,48,35,1,0,n3,0.990104,0.0
1.95625,0.06979167,62,52,1,0,n4,1.474479,1.0
1.9614583,0.07083333,59,54,1,0,n5,1.958854,2.0
2.0510416,0.042708334,64,44,1,0,n6,1.958854,2.0
2.08125,0.0375,60,45,1,0,n7,1.958854,2.0
2.1333334,0.06458333,59,40,1,0,n8,1.958854,2.0
2.1375,0.0625,62,56,1,0,n9,1.958854,2.0
2.209375,0.038541667,64,50,1,0,n10,1.958854,2.0
2.2322917,0.088541664,60,55,1,0,n11,1.958854,2.0
2.3,0.05,65,61,1,0,n12,1.958854,2.0
2.3083334,0.04375,62,59,1,0,n13,2.3041666,3.0
2.5,0.040625,64,59,1,0,n14,2.3041666,3.0
2.503125,0.047916666,60,53,1,0,n15,2.3041666,3.0
2.6927083,0.05,62,65,1,0,n16,2.3041666,3.0
2.6979167,0.04375,59,58,1,0,n17,2.3041666,3.0
2.7145834,0.048958335,43,34,1,0,n18,2.70625,4.0
2.7260416,0.058333334,55,20,1,0,n19,2.70625,4.0
3.1177084,0.08020833,67,61,1,0,n20,2.70625,4.0
3.128125,0.060416665,59,63,1,0,n21,2.70625,4.0
3.1364584,0.057291668,43,38,1,0,n22,3.1322916,5.0
3.1510417,0.04375,55,40,1,0,n23,3.1322916,5.0
4.5822916,1.3166667,43,39,1,0,n24,4.107986,7.0
4.5958333,0.89270836,62,47,1,0,n25,4.595833,8.0
4.5958333,0.89270836,65,47,1,0,n26,4.595833,8.0
4.6052084,1.2416667,59,35,1,0,n27,4.595833,8.0
5.4583335,0.078125,64,61,1,0,n28,5.028906,9.0
5.465625,0.065625,61,51,1,0,n29,5.461979,10.0
5.5510416,0.045833334,65,52,1,0,n30,5.461979,10.0
5.60625,0.039583333,62,18,1,0,n31,5.461979,10.0
5.621875,0.08541667,61,54,1,0,n32,5.461979,10.0
5.6354165,0.0625,64,53,1,0,n33,5.461979,10.0
5.711458,0.041666668,65,44,1,0,n34,5.461979,10.0
5.75625,0.09166667,62,40,1,0,n35,5.461979,10.0
5.803125,0.06458333,67,57,1,0,n36,5.461979,10.0
5.811458,0.045833334,64,59,1,0,n37,5.8072915,11.0
6.003125,0.034375,65,55,1,0,n38,5.8072915,11.0
6.015625,0.039583333,62,35,1,0,n39,5.8072915,11.0
6.2083335,0.054166667,64,60,1,0,n40,5.8072915,11.0
6.2135415,0.046875,60,50,1,0,n41,5.8072915,11.0
6.2166667,0.06875,48,37,1,0,n42,6.2151046,12.0
6.235417,0.047916666,55,38,1,0,n43,6.2151046,12.0
6.6447916,0.088541664,72,56,1,0,n44,6.2151046,12.0
6.6520834,0.06666667,64,47,1,0,n45,6.2151046,12.0
6.6541667,0.079166666,48,31,1,0,n46,6.653125,13.0
6.664583,0.055208333,55,33,1,0,n47,6.653125,13.0
8.083333,0.8666667,72,50,1,0,n48,7.612847,15.0
8.092709,0.85729164,64,38,1,0,n49,8.092708,16.0
8.10625,1.6447917,55,29,1,0,n50,8.092708,16.0
8.507292,0.46875,48,36,1,0,n51,8.507292,17.0
8.942708,0.071875,71,55,1,0,n52,8.507292,17.0
8.957292,0.40625,50,27,1,0,n53,8.957292,18.0
9.017709,0.7552083,65,5,1,0,n54,8.957292,18.0
9.03125,0.054166667,72,62,1,0,n55,8.957292,18.0
9.13125,0.094791666,71,64,1,0,n56,8.957292,18.0
9.204166,0.108333334,72,57,1,0,n57,8.957292,18.0
9.309375,0.07604167,74,64,1,0,n58,8.957292,18.0
9.323958,0.2875,43,31,1,0,n59,9.316667,19.0
9.508333,0.044791665,71,66,1,0,n60,9.316667,19.0
9.727083,0.077083334,67,69,1,0,n61,9.727083,20.0
10.155209,0.49479166,72,76,1,0,n62,9.727083,20.0
10.15625,0.51458335,48,24,1,0,n63,9.727083,20.0
10.166667,0.48333332,64,68,1,0,n64,10.161459,21.0
10.178125,2.1145833,55,38,1,0,n65,10.161459,21.0
10.5625,0.0875,71,70,1,0,n66,10.161459,21.0
10.569792,0.8875,65,42,1,0,n67,10.569792,22.0
10.580209,0.37708333,50,45,1,0,n68,10.569792,22.0
10.642709,0.047916666,72,71,1,0,n69,10.569792,22.0
10.746875,0.10520833,71,73,1,0,n70,10.569792,22.0
10.813541,0.12604167,72,78,1,0,n71,10.569792,22.0
10.922916,0.08125,74,74,1,0,n72,10.569792,22.0
10.9375,0.43645832,43,45,1,0,n73,10.930208,23.0
11.110416,0.0625,71,70,1,0,n74,10.930208,23.0
11.354167,0.93854165,52,47,1,0,n75,10.930208,23.0
11.359375,0.93333334,67,64,1,0,n76,11.356771,24.0
11.788542,0.50416666,72,62,1,0,n77,11.356771,24.0
11.79375,0.49895832,48,43,1,0,n78,11.791146,25.0
12.208333,1.0041667,53,45,1,0,n79,11.791146,25.0
12.230208,0.98229164,57,47,1,0,n80,11.791146,25.0
12.234375,0.978125,62,47,1,0,n81,12.232291,26.0
12.239583,0.97291666,60,49,1,0,n82,12.232291,26.0
12.667708,0.54479164,69,51,1,0,n83,12.232291,26.0
12.686459,0.5260417,50,41,1,0,n84,12.677083,27.0
13.089583,0.44375,62,47,1,0,n85,12.677083,27.0
13.104167,0.48958334,59,44,1,0,n86,13.104167,28.0
13.110416,0.47083333,55,42,1,0,n87,13.104167,28.0
13.547916,0.42916667,67,40,1,0,n88,13.104167,28.0
13.555208,0.378125,43,25,1,0,n89,13.551562,29.0
13.917708,0.08958333,48,36,1,0,n90,13.551562,29.0
13.961458,0.759375,60,41,1,0,n91,13.961458,30.0
13.966666,0.76666665,64,47,1,0,n92,13.961458,30.0
14.094791,0.052083332,55,44,1,0,n93,13.961458,30.0
14.217709,0.047916666,54,62,1,0,n94,13.961458,30.0
14.3625,0.04375,53,57,1,0,n95,14.3625,31.0
14.4875,0.048958335,52,59,1,0,n96,14.3625,31.0
14.6125,0.039583333,50,58,1,0,n97,14.3625,31.0
14.75,0.42916667,48,69,1,0,n98,14.75,32.0
15.169791,0.8041667,67,69,1,0,n99,14.75,32.0
15.170834,0.82708335,55,62,1,0,n100,15.170833,33.0
15.175,0.434375,64,68,1,0,n101,15.170833,33.0
15.594791,0.077083334,47,55,1,0,n102,15.170833,33.0
15.6,0.083333336,62,59,1,0,n103,15.597396,34.0
15.692708,0.07083333,48,55,1,0,n104,15.597396,34.0
15.80625,0.08229167,47,49,1,0,n105,15.597396,34.0
15.8875,0.096875,48,56,1,0,n106,15.597396,34.0
15.96875,0.044791665,50,48,1,0,n107,15.597396,34.0
15.98125,0.4125,62,46,1,0,n108,15.98125,35.0
