xml_id	midi_id	track	channel	pitch	onset
n15-1	n3	0	0	48	2.0512799999999998
n16-1	n2	0	0	55	2.03926078125
n1-1	n1	0	0	60	2.0299125
n2-1	n0	0	0	64	2.00988046875
n3-1	n4	0	0	59	2.9620696875
n7-1	n8	0	0	59	3.1463643749999997
n5-1	n7	0	0	60	3.050210625
n9-1	n11	0	0	60	3.2425181249999997
n4-1	n5	0	0	62	2.9620696875
n8-1	n9	0	0	62	3.1543771874999997
n6-1	n6	0	0	64	3.0488751562500003
n10-1	n10	0	0	64	3.2398471874999997
n13-1	n15	0	0	60	3.5737143749999998
n11-1	n13	0	0	62	3.3506910937499996
n14-1	n14	0	0	64	3.55635328125
n12-1	n12	0	0	65	3.349355625
n22-1	n18	0	0	43	3.8034149999999998
n23-1	n19	0	0	55	3.8034149999999998
n17-1	n16	0	0	59	3.7900603125
n18-1	n17	0	0	62	3.79940859375
n24-1	n23	0	0	43	4.314899531249999
n25-1	n21	0	0	55	4.3015448437499995
n19-1	n22	0	0	59	4.3015448437499995
n20-1	n20	0	0	67	4.2761709375
n41-1	n27	0	0	43	5.972216250000003
n42-1	n25	0	0	59	5.949513281250003
n27-1	n26	0	0	62	5.952184218750003
n28-1	n24	0	0	65	5.938829531250003
n29-1	n28	0	0	61	6.825580781250003
n33-1	n32	0	0	61	6.999191718750004
n31-1	n30	0	0	62	6.9070443750000035
n35-1	n35	0	0	62	7.094010000000005
n30-1	n29	0	0	64	6.836264531250003
n34-1	n33	0	0	64	7.011210937500004
n32-1	n31	0	0	65	6.944437500000004
n36-1	n34	0	0	65	7.088668125000005
n39-1	n38	0	0	62	7.415857968750006
n37-1	n37	0	0	64	7.203518437500006
n40-1	n39	0	0	65	7.415857968750006
n38-1	n36	0	0	67	7.1941701562500056
n48-1	n43	0	0	48	7.672267968750006
n49-1	n42	0	0	55	7.6642551562500065
n43-1	n40	0	0	60	7.644223125000006
n44-1	n41	0	0	64	7.649565000000006
n50-1	n47	0	0	48	8.154372187500009
n51-1	n46	0	0	55	8.13968203125001
n45-1	n45	0	0	64	8.122320937500008
n46-1	n44	0	0	72	8.104959843750008
n62-1	n49	0	0	55	9.700845000000015
n60-1	n50	0	0	64	9.703515937500015
n53-1	n48	0	0	72	9.682148437500015
n63-1	n51	0	0	48	10.122853125000015
n64-1	n52	0	0	50	10.539519375000015
n61-1	n54	0	0	65	10.558215937500016
n54-1	n53	0	0	71	10.539519375000015
n56-1	n56	0	0	71	10.713130312500017
n55-1	n55	0	0	72	10.638344062500016
n57-1	n57	0	0	72	10.80527765625002
n65-1	n59	0	0	43	10.906773281250018
n59-1	n60	0	0	71	11.108429062500017
n58-1	n58	0	0	74	10.901431406250019
n66-1	n61	0	0	67	11.323439531250017
n79-1	n65	0	0	48	11.80420828125002
n77-1	n64	0	0	55	11.78284078125002
n74-1	n63	0	0	64	11.77883437500002
n67-1	n62	0	0	72	11.76147328125002
n80-1	n66	0	0	50	12.20351343750002
n75-1	n68	0	0	65	12.21419718750002
n68-1	n67	0	0	71	12.20351343750002
n70-1	n70	0	0	71	12.37445343750002
n69-1	n69	0	0	72	12.29298984375002
n71-1	n71	0	0	72	12.454581562500021
n81-1	n73	0	0	43	12.585457500000022
n73-1	n74	0	0	71	12.763074843750022
n72-1	n72	0	0	74	12.568096406250023
n90-1	n76	0	0	52	13.023491250000024
n82-1	n75	0	0	67	12.995446406250023
n91-1	n78	0	0	48	13.434815625000024
n83-1	n77	0	0	72	13.432144687500024
n92-1	n82	0	0	53	13.891545937500025
n89-1	n81	0	0	57	13.883533125000024
n86-1	n80	0	0	60	13.875520312500026
n87-1	n79	0	0	62	13.867507500000025
n84-1	deletion
n93-1	n84	0	0	50	14.310883125000025
n85-1	n83	0	0	69	14.305541250000026
n101-1	n86	0	0	55	14.755594218750025
n98-1	n87	0	0	59	14.762271562500025
n94-1	n85	0	0	62	14.747581406250024
n102-1	n89	0	0	43	15.170925000000025
n95-1	n88	0	0	67	15.168254062500026
n103-1	n92	0	0	48	15.579578437500025
n105-1	n94	0	0	54	15.841330312500027
n104-1	n93	0	0	55	15.702441562500026
n99-1	n91	0	0	60	15.576907500000026
n96-1	n90	0	0	64	15.575572031250026
n108-1	n97	0	0	50	16.24998375000003
n107-1	n96	0	0	52	16.10308218750003
n106-1	n95	0	0	53	15.973541718750027
n119-1	n98	0	0	48	16.39955625000003
n117-1	n100	0	0	55	16.821564375000026
n113-1	n101	0	0	64	16.825570781250025
n110-1	n99	0	0	67	16.814887031250027
n120-1	n102	0	0	47	17.254256250000026
n122-1	n105	0	0	47	17.458582968750022
n121-1	n104	0	0	48	17.361093750000023
n123-1	n106	0	0	48	17.548059375000022
n114-1	n103	0	0	62	17.256927187500025
n125-1	n110	0	0	47	17.845868906250022
n124-1	n108	0	0	50	17.648219531250025
n115-1	n109	0	0	62	17.654896875000023
n111-1	n107	0	0	65	17.645548593750025
n136-1	n113	0	0	43	18.076905000000018
n133-1	deletion
n129-1	n111	0	0	60	18.06355031250002
n126-1	n112	0	0	64	18.06889218750002
n137-1	n115	0	0	48	18.49757765625002
n134-1	n116	0	0	55	18.50024859375002
n130-1	n117	0	0	64	18.50425500000002
n127-1	n114	0	0	67	18.49090031250002
n138-1	n118	0	0	47	18.875515312500024
n140-1	n121	0	0	47	19.06248093750002
n139-1	n120	0	0	48	19.001049375000022
n141-1	n122	0	0	48	19.14928640625002
n131-1	n119	0	0	62	18.910237500000022
n143-1	n126	0	0	47	19.484489062500025
n142-1	n123	0	0	50	19.286839687500024
n132-1	n124	0	0	62	19.309542656250024
n155-1	n130	0	0	43	19.723537968750023
n151-1	n129	0	0	55	19.722202500000023
n144-1	n127	0	0	60	19.712854218750024
n145-1	n128	0	0	64	19.715525156250024
n156-1	n131	0	0	48	20.145546093750024
n153-1	n133	0	0	57	20.572896093750025
n147-1	n134	0	0	60	20.574231562500024
n148-1	n135	0	0	64	20.575567031250024
n149-1	n132	0	0	69	20.567554218750026
n157-1	deletion
n164-1	n139	0	0	55	21.419583281250027
n158-1	n140	0	0	60	21.420918750000027
n159-1	n141	0	0	64	21.427596093750026
n160-1	n138	0	0	67	21.415576875000028
n171-1	n143	0	0	43	21.80954015625002
n166-1	n145	0	0	50	22.25825765625002
n167-1	n146	0	0	53	22.25825765625002
n168-1	n147	0	0	55	22.25825765625002
n162-1	n144	0	0	59	22.25158031250002
n172-1	n149	0	0	31	22.65622734375002
n173-1	n148	0	0	43	22.653556406250022
n190-1	n151	0	0	36	23.08491281250002
n191-1	n154	0	0	40	23.092925625000017
n192-1	n153	0	0	43	23.090254687500018
n193-1	n150	0	0	48	23.07957093750002
n174-1	n152	0	0	60	23.08491281250002
n175-1	n155	0	0	64	23.170382812500016
