onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
2.0098805,1.0643686,64,48,0,0,n0,-10.0,-10.0
2.0299125,1.0443366,60,44,0,0,n1,-10.0,-10.0
2.0392609,1.342146,55,38,0,0,n2,2.034587,0.0
2.05128,1.3181076,48,38,0,0,n3,2.034587,0.0
2.9620697,0.112179376,59,46,0,0,n4,2.4983284,1.0
2.9620697,0.112179376,62,49,0,0,n5,2.4983284,1.0
3.048875,0.048076876,64,49,0,0,n6,2.96207,2.0
3.0502107,0.042735,60,40,0,0,n7,2.96207,2.0
3.1463645,0.05341875,59,45,0,0,n8,2.96207,2.0
3.1543772,0.09081188,62,51,0,0,n9,2.96207,2.0
3.2398472,0.078792654,64,55,0,0,n10,2.96207,2.0
3.2425182,0.09481828,60,50,0,0,n11,2.96207,2.0
3.3493557,0.07745719,65,60,0,0,n12,2.96207,2.0
3.350691,0.06143156,62,57,0,0,n13,3.3500235,3.0
3.5563533,0.056089688,64,52,0,0,n14,3.3500235,3.0
3.5737143,0.07745719,60,46,0,0,n15,3.3500235,3.0
3.7900603,0.097489215,59,50,0,0,n16,3.3500235,3.0
3.7994087,0.11485031,62,52,0,0,n17,3.3500235,3.0
3.803415,0.120192185,43,39,0,0,n18,3.801412,4.0
3.803415,0.116185784,55,39,0,0,n19,3.801412,4.0
4.2761707,0.17761734,67,46,0,0,n20,3.801412,4.0
4.3015447,0.18028829,55,34,0,0,n21,3.801412,4.0
4.3015447,0.20699766,59,40,0,0,n22,3.801412,4.0
4.3148994,0.18830109,43,27,0,0,n23,4.301545,5.0
5.9388294,1.1164519,65,66,0,0,n24,5.4010806,7.0
5.9495134,1.1057681,59,49,0,0,n25,5.4010806,7.0
5.952184,1.1030972,62,55,0,0,n26,5.9508486,8.0
5.972216,1.3287914,43,38,0,0,n27,5.9508486,8.0
6.8255806,0.22970062,61,49,0,0,n28,6.390886,9.0
6.8362646,0.21901688,64,50,0,0,n29,6.830923,10.0
6.9070444,0.14823703,62,47,0,0,n30,6.830923,10.0
6.9444375,0.110843904,65,54,0,0,n31,6.830923,10.0
6.9991918,0.056089688,61,57,0,0,n32,6.830923,10.0
7.011211,0.097489215,64,58,0,0,n33,6.830923,10.0
7.0886683,0.070779845,65,69,0,0,n34,6.830923,10.0
7.09401,0.10950844,62,54,0,0,n35,6.830923,10.0
7.19417,0.09214734,67,66,0,0,n36,6.830923,10.0
7.2035184,0.07745719,64,59,0,0,n37,7.198844,11.0
7.415858,0.08547,62,60,0,0,n38,7.198844,11.0
7.415858,0.049412344,65,61,0,0,n39,7.198844,11.0
7.644223,0.07345078,60,55,0,0,n40,7.198844,11.0
7.649565,0.10149562,64,52,0,0,n41,7.198844,11.0
7.664255,0.128205,55,38,0,0,n42,7.65691,12.0
7.672268,0.116185784,48,35,0,0,n43,7.65691,12.0
8.1049595,0.26175186,72,49,0,0,n44,7.65691,12.0
8.122321,0.20966859,64,44,0,0,n45,7.65691,12.0
8.139682,0.15491438,55,39,0,0,n46,8.131001,13.0
8.154372,0.21768141,48,36,0,0,n47,8.131001,13.0
9.682148,1.0964198,72,72,0,0,n48,9.177564,15.0
9.700845,1.626601,55,46,0,0,n49,9.700845,16.0
9.703516,1.0750524,64,53,0,0,n50,9.700845,16.0
10.122853,0.65571517,48,50,0,0,n51,10.122853,17.0
10.539519,0.4233436,50,47,0,0,n52,10.539519,18.0
10.539519,0.23904891,71,59,0,0,n53,10.539519,18.0
10.558216,0.78258467,65,52,0,0,n54,10.539519,18.0
10.638344,0.14022422,72,62,0,0,n55,10.539519,18.0
10.71313,0.078792654,71,69,0,0,n56,10.539519,18.0
10.805278,0.09615375,72,75,0,0,n57,10.539519,18.0
10.901431,0.06677344,74,78,0,0,n58,10.539519,18.0
10.906774,0.3285253,43,50,0,0,n59,10.904102,19.0
11.108429,0.03338672,71,70,0,0,n60,10.904102,19.0
11.32344,1.1378194,67,79,0,0,n61,11.32344,20.0
11.761474,0.69978565,72,79,0,0,n62,11.32344,20.0
11.778834,0.68242455,64,63,0,0,n63,11.32344,20.0
11.782841,1.7254256,55,49,0,0,n64,11.780837,21.0
11.804209,0.6570506,48,41,0,0,n65,11.780837,21.0
12.203513,0.39663422,50,56,0,0,n66,12.203513,22.0
12.203513,0.25774547,71,73,0,0,n67,12.203513,22.0
12.214197,0.78926206,65,63,0,0,n68,12.203513,22.0
12.29299,0.16826907,72,71,0,0,n69,12.203513,22.0
12.374454,0.08680547,71,67,0,0,n70,12.203513,22.0
12.454581,0.11752125,72,71,0,0,n71,12.203513,22.0
12.568096,0.04540594,74,79,0,0,n72,12.203513,22.0
12.585458,0.06944437,43,55,0,0,n73,12.576777,23.0
12.763075,0.03205125,71,73,0,0,n74,12.576777,23.0
12.995446,0.43002093,67,65,0,0,n75,12.576777,23.0
13.023491,0.47676235,52,32,0,0,n76,13.009468,24.0
13.432145,0.44738203,72,66,0,0,n77,13.009468,24.0
13.434815,0.44070467,48,44,0,0,n78,13.43348,25.0
13.867508,0.44738203,62,54,0,0,n79,13.43348,25.0
13.875521,0.46073672,60,49,0,0,n80,13.43348,25.0
13.8835335,0.45405936,57,47,0,0,n81,13.879526,26.0
13.891546,0.47142047,53,43,0,0,n82,13.879526,26.0
14.305541,0.46474314,69,59,0,0,n83,13.879526,26.0
14.3108835,0.42868546,50,46,0,0,n84,14.308212,27.0
14.7475815,0.88808674,62,46,0,0,n85,14.308212,27.0
14.755594,0.49412343,55,51,0,0,n86,14.755594,28.0
14.762272,0.49946532,59,39,0,0,n87,14.755594,28.0
15.168254,0.38995686,67,52,0,0,n88,14.755594,28.0
15.170925,0.40731797,43,48,0,0,n89,15.169589,29.0
15.575572,0.5408648,64,52,0,0,n90,15.169589,29.0
15.576907,0.66105705,60,51,0,0,n91,15.169589,29.0
15.579578,0.042735,48,53,0,0,n92,15.576908,30.0
15.702441,0.07612172,55,69,0,0,n93,15.576908,30.0
15.841331,0.07612172,54,71,0,0,n94,15.576908,30.0
15.973541,0.080128126,53,74,0,0,n95,15.576908,30.0
16.103083,0.06810891,52,83,0,0,n96,15.973542,31.0
16.249983,0.07211531,50,93,0,0,n97,15.973542,31.0
16.399557,0.8640483,48,94,0,0,n98,16.399555,32.0
16.814886,0.4487175,67,68,0,0,n99,16.399555,32.0
16.821564,1.2139411,55,71,0,0,n100,16.821564,33.0
16.825571,0.44204015,64,67,0,0,n101,16.821564,33.0
17.254257,0.09081188,47,79,0,0,n102,16.821564,33.0
17.256927,0.08279906,62,72,0,0,n103,17.255592,34.0
17.361094,0.07612172,48,73,0,0,n104,17.255592,34.0
17.458584,0.110843904,47,72,0,0,n105,17.255592,34.0
17.54806,0.08146359,48,71,0,0,n106,17.255592,34.0
17.645548,0.384615,65,77,0,0,n107,17.255592,34.0
17.64822,0.03338672,50,74,0,0,n108,17.64822,35.0
17.654898,0.44604656,62,69,0,0,n109,17.64822,35.0
17.84587,0.03071578,47,78,0,0,n110,17.64822,35.0
18.06355,0.53685844,60,70,0,0,n111,17.64822,35.0
18.068892,0.53151655,64,61,0,0,n112,18.068892,36.0
18.076904,0.5235037,43,66,0,0,n113,18.068892,36.0
18.4909,0.46474314,67,78,0,0,n114,18.068892,36.0
18.497578,0.45806578,48,95,0,0,n115,18.068892,36.0
18.500248,0.8547,55,76,0,0,n116,18.498913,37.0
18.504255,0.45138845,64,72,0,0,n117,18.498913,37.0
18.875515,0.10149562,47,72,0,0,n118,18.498913,37.0
18.910238,0.12286312,62,73,0,0,n119,18.892876,38.0
19.001049,0.034722187,48,61,0,0,n120,18.892876,38.0
19.06248,0.12152766,47,62,0,0,n121,18.892876,38.0
19.149286,0.12419859,48,72,0,0,n122,18.892876,38.0
19.28684,0.040064063,50,72,0,0,n123,18.892876,38.0
19.309544,0.93215716,62,71,0,0,n124,19.298191,39.0
19.310879,0.34054452,65,72,0,0,n125,19.298191,39.0
19.48449,0.03338672,47,76,0,0,n126,19.298191,39.0
19.712854,0.5288456,60,73,0,0,n127,19.298191,39.0
19.715525,0.52617466,64,63,0,0,n128,19.298191,39.0
19.722202,0.51949733,55,65,0,0,n129,19.718864,40.0
19.723537,0.5181619,43,70,0,0,n130,19.718864,40.0
20.145546,0.9281508,48,98,0,0,n131,20.145546,41.0
20.567554,0.5061427,69,90,0,0,n132,20.145546,41.0
20.572897,0.5008008,57,93,0,0,n133,20.145546,41.0
20.574232,0.49946532,60,95,0,0,n134,20.573565,42.0
20.575567,0.49812984,64,85,0,0,n135,20.573565,42.0
20.638334,0.43536282,65,27,0,0,n136,20.573565,42.0
20.98689,0.96821487,42,100,0,0,n137,20.98689,43.0
21.415577,0.5395294,67,93,0,0,n138,20.98689,43.0
21.419582,0.535523,55,94,0,0,n139,20.98689,43.0
21.42092,0.5341875,60,92,0,0,n140,21.420252,44.0
21.427597,0.52751017,64,83,0,0,n141,21.420252,44.0
21.458311,0.49679437,62,60,0,0,n142,21.420252,44.0
21.80954,1.085736,43,103,0,0,n143,21.80954,45.0
22.251581,0.64369595,59,93,0,0,n144,21.80954,45.0
22.258257,0.6370186,50,94,0,0,n145,21.80954,45.0
22.258257,0.6370186,53,99,0,0,n146,21.80954,45.0
22.258257,0.6370186,55,95,0,0,n147,21.80954,45.0
22.653557,0.24171984,43,96,0,0,n148,22.258259,46.0
22.656227,0.23904891,31,93,0,0,n149,22.654892,47.0
23.07957,0.42200813,48,102,0,0,n150,22.654892,47.0
23.084913,0.41666624,36,93,0,0,n151,23.084913,48.0
23.084913,0.41666624,60,93,0,0,n152,23.084913,48.0
23.090254,0.41132438,43,92,0,0,n153,23.084913,48.0
23.092926,0.40865344,40,89,0,0,n154,23.084913,48.0
23.170383,0.33119625,64,69,0,0,n155,23.084913,48.0
23.29458,0.20699766,67,70,0,0,n156,23.084913,48.0
23.3894,0.112179376,72,74,0,0,n157,23.084913,48.0
23.485554,0.06677344,60,89,0,0,n158,23.084913,48.0
