onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.9791667,0.95520836,64,58,1,0,n0,-10.0,-10.0
1.0,1.1635417,55,31,1,0,n1,1.0,0.0
1.0,0.934375,60,42,1,0,n2,1.0,0.0
1.0041667,1.178125,48,34,1,0,n3,1.0,0.0
1.8802084,0.059375,62,60,1,0,n4,1.443229,1.0
1.8927083,0.041666668,59,48,1,0,n5,1.886458,2.0
1.9635416,0.063541666,60,56,1,0,n6,1.886458,2.0
1.9760417,0.055208333,64,50,1,0,n7,1.886458,2.0
2.0427084,0.051041666,59,57,1,0,n8,1.886458,2.0
2.0541666,0.08958333,62,62,1,0,n9,1.886458,2.0
2.14375,0.1,64,69,1,0,n10,1.886458,2.0
2.1479166,0.055208333,60,45,1,0,n11,1.886458,2.0
2.203125,0.061458334,62,50,1,0,n12,1.886458,2.0
2.2083333,0.088541664,65,69,1,0,n13,2.205729,3.0
2.4,0.046875,60,60,1,0,n14,2.205729,3.0
2.4,0.05,64,69,1,0,n15,2.205729,3.0
2.5958333,0.04375,59,61,1,0,n16,2.205729,3.0
2.5958333,0.058333334,62,64,1,0,n17,2.205729,3.0
2.6,0.072916664,43,48,1,0,n18,2.5979166,4.0
2.6072917,0.039583333,55,43,1,0,n19,2.5979166,4.0
3.0104167,0.110416666,67,60,1,0,n20,2.5979166,4.0
3.0229166,0.08645833,59,46,1,0,n21,2.5979166,4.0
3.0447917,0.060416665,55,44,1,0,n22,3.0338545,5.0
3.0541666,0.0875,43,39,1,0,n23,3.0338545,5.0
4.3708334,0.98125,65,55,1,0,n24,3.9376736,7.0
4.389583,0.9625,43,42,1,0,n25,4.389583,8.0
4.389583,0.9625,59,48,1,0,n26,4.389583,8.0
4.389583,0.9625,62,48,1,0,n27,4.389583,8.0
5.235417,0.11666667,64,64,1,0,n28,4.813802,9.0
5.240625,0.11145833,61,50,1,0,n29,5.238021,10.0
5.325,0.08541667,65,64,1,0,n30,5.238021,10.0
5.329167,0.061458334,62,52,1,0,n31,5.238021,10.0
5.405208,0.059375,61,62,1,0,n32,5.238021,10.0
5.438542,0.054166667,64,52,1,0,n33,5.238021,10.0
5.496875,0.08541667,65,62,1,0,n34,5.238021,10.0
5.5125,0.053125,62,62,1,0,n35,5.238021,10.0
5.577083,0.08020833,67,70,1,0,n36,5.238021,10.0
5.5802083,0.05,64,74,1,0,n37,5.5786457,11.0
5.765625,0.045833334,62,64,1,0,n38,5.5786457,11.0
5.7697916,0.05625,65,60,1,0,n39,5.5786457,11.0
5.965625,0.083333336,64,75,1,0,n40,5.5786457,11.0
5.969792,0.059375,55,56,1,0,n41,5.5786457,11.0
5.977083,0.047916666,60,60,1,0,n42,5.9734373,12.0
5.98125,0.058333334,48,46,1,0,n43,5.9734373,12.0
6.4197917,0.14375,72,68,1,0,n44,5.9734373,12.0
6.438542,0.098958336,64,53,1,0,n45,5.9734373,12.0
6.445833,0.11354167,48,41,1,0,n46,6.4421873,13.0
6.4479165,0.092708334,55,44,1,0,n47,6.4421873,13.0
7.8177085,0.87916666,72,56,1,0,n48,7.3744793,15.0
7.840625,1.9739584,55,40,1,0,n49,7.840625,16.0
7.844792,0.8520833,64,39,1,0,n50,7.840625,16.0
8.225,0.471875,48,42,1,0,n51,8.225,17.0
8.620833,0.44583333,50,48,1,0,n52,8.225,17.0
8.64375,0.053125,71,60,1,0,n53,8.64375,18.0
8.6625,0.58020836,65,45,1,0,n54,8.64375,18.0
8.715625,0.061458334,72,66,1,0,n55,8.64375,18.0
8.8,0.08541667,71,64,1,0,n56,8.64375,18.0
8.88125,0.090625,72,73,1,0,n57,8.64375,18.0
8.966666,0.84791666,43,42,1,0,n58,8.64375,18.0
8.973958,0.053125,74,72,1,0,n59,8.970312,19.0
9.176042,0.05,71,58,1,0,n60,8.970312,19.0
9.388541,0.42604166,67,59,1,0,n61,8.970312,19.0
9.798959,0.49791667,72,80,1,0,n62,9.388542,20.0
9.819792,0.47708333,64,60,1,0,n63,9.388542,20.0
9.829166,0.47395834,48,41,1,0,n64,9.824479,21.0
9.838542,2.0354166,55,37,1,0,n65,9.824479,21.0
10.227083,0.06979167,71,65,1,0,n66,9.824479,21.0
10.24375,0.353125,50,53,1,0,n67,10.24375,22.0
10.247916,0.8072917,65,49,1,0,n68,10.24375,22.0
10.308333,0.06979167,72,68,1,0,n69,10.24375,22.0
10.390625,0.090625,71,66,1,0,n70,10.24375,22.0
10.467709,0.10729167,72,74,1,0,n71,10.24375,22.0
10.565625,0.072916664,74,78,1,0,n72,10.24375,22.0
10.584375,0.43958333,43,48,1,0,n73,10.575,23.0
10.7625,0.05625,71,73,1,0,n74,10.575,23.0
10.996875,0.87708336,67,72,1,0,n75,10.575,23.0
11.007292,0.8666667,52,49,1,0,n76,11.002084,24.0
11.3875,0.48645833,72,80,1,0,n77,11.002084,24.0
11.421875,0.45208332,48,46,1,0,n78,11.404688,25.0
11.801042,0.89166665,62,72,1,0,n79,11.404688,25.0
11.841666,0.8510417,57,42,1,0,n80,11.404688,25.0
11.841666,0.8510417,60,51,1,0,n81,11.404688,25.0
11.853125,0.83958334,53,36,1,0,n82,11.841667,26.0
12.225,0.46770832,69,63,1,0,n83,11.841667,26.0
12.245833,0.446875,50,41,1,0,n84,12.235416,27.0
12.655209,0.8385417,62,60,1,0,n85,12.235416,27.0
12.673959,0.8197917,59,47,1,0,n86,12.673958,28.0
12.679167,0.81458336,55,46,1,0,n87,12.673958,28.0
13.086458,0.40729168,67,56,1,0,n88,12.673958,28.0
13.10625,0.3875,43,41,1,0,n89,13.096354,29.0
13.503125,0.32083333,64,56,1,0,n90,13.096354,29.0
13.5125,0.30104166,48,49,1,0,n91,13.5125,30.0
13.5125,0.30104166,60,50,1,0,n92,13.5125,30.0
13.65,0.16354166,55,65,1,0,n93,13.5125,30.0
13.765625,0.07083333,54,80,1,0,n94,13.5125,30.0
13.886458,0.053125,53,75,1,0,n95,13.886458,31.0
14.003125,0.047916666,52,74,1,0,n96,13.886458,31.0
14.11875,0.059375,50,74,1,0,n97,13.886458,31.0
14.278125,0.8979167,48,75,1,0,n98,14.278125,32.0
14.694792,0.81354165,55,67,1,0,n99,14.694792,33.0
14.694792,1.1947917,67,83,1,0,n100,14.694792,33.0
14.696875,0.5052083,64,84,1,0,n101,14.694792,33.0
15.136458,0.067708336,47,53,1,0,n102,14.694792,33.0
15.145833,0.10520833,62,54,1,0,n103,15.141146,34.0
15.228125,0.06875,48,57,1,0,n104,15.141146,34.0
15.31875,0.11666667,47,71,1,0,n105,15.141146,34.0
15.4125,0.10104167,48,61,1,0,n106,15.141146,34.0
15.491667,0.31979167,65,64,1,0,n107,15.141146,34.0
15.508333,0.075,50,69,1,0,n108,15.508333,35.0
15.508333,0.165625,62,59,1,0,n109,15.508333,35.0
15.708333,0.052083332,47,66,1,0,n110,15.508333,35.0
15.9125,0.5,64,66,1,0,n111,15.508333,35.0
15.919791,0.49270833,55,57,1,0,n112,15.508333,35.0
15.93125,0.48125,43,55,1,0,n113,15.925521,36.0
15.936459,0.47604167,60,53,1,0,n114,15.925521,36.0
16.332293,0.778125,67,85,1,0,n115,15.925521,36.0
16.34375,0.8072917,55,75,1,0,n116,15.925521,36.0
16.346874,0.39270833,48,69,1,0,n117,16.345312,37.0
16.351042,0.4,64,78,1,0,n118,16.345312,37.0
16.76875,0.096875,47,59,1,0,n119,16.345312,37.0
16.783333,0.114583336,62,54,1,0,n120,16.776041,38.0
16.872917,0.084375,48,65,1,0,n121,16.776041,38.0
16.965626,0.115625,47,65,1,0,n122,16.776041,38.0
17.039583,0.13125,48,66,1,0,n123,16.776041,38.0
17.11875,0.103125,62,70,1,0,n124,16.776041,38.0
17.122917,0.35416666,65,65,1,0,n125,16.776041,38.0
17.139584,0.11666667,50,76,1,0,n126,17.129166,39.0
17.325,0.057291668,47,74,1,0,n127,17.129166,39.0
17.534374,0.5989583,64,72,1,0,n128,17.129166,39.0
17.538542,0.59479165,43,72,1,0,n129,17.129166,39.0
17.541666,0.59166664,55,61,1,0,n130,17.540104,40.0
17.5875,0.54583335,60,30,1,0,n131,17.540104,40.0
17.957293,0.98854166,48,88,1,0,n132,17.957293,41.0
18.363543,0.49270833,69,86,1,0,n133,17.957293,41.0
18.36875,0.59270835,57,83,1,0,n134,17.957293,41.0
18.377083,0.53229165,60,70,1,0,n135,18.372917,42.0
18.402082,0.45833334,64,50,1,0,n136,18.372917,42.0
18.783333,0.8333333,42,72,1,0,n137,18.783333,43.0
19.242708,0.35,67,81,1,0,n138,18.783333,43.0
19.247917,0.44166666,55,73,1,0,n139,18.783333,43.0
19.259375,0.38541666,60,62,1,0,n140,19.253647,44.0
19.266666,0.36666667,64,55,1,0,n141,19.253647,44.0
19.654167,0.54270834,43,92,1,0,n142,19.654167,45.0
20.060417,0.34791666,50,86,1,0,n143,19.654167,45.0
20.065624,0.88854164,59,83,1,0,n144,19.654167,45.0
20.109375,0.84479165,55,39,1,0,n145,20.0875,46.0
20.141666,0.284375,53,25,1,0,n146,20.0875,46.0
20.489584,0.46458334,43,86,1,0,n147,20.0875,46.0
20.511457,0.44270834,31,62,1,0,n148,20.50052,47.0
20.995832,0.45833334,60,106,1,0,n149,20.50052,47.0
21.0,0.45416668,48,102,1,0,n150,20.50052,47.0
21.0125,0.44166666,36,85,1,0,n151,21.0125,48.0
21.026041,0.428125,43,61,1,0,n152,21.0125,48.0
