xml_id	midi_id	track	channel	pitch	onset
n9-1	n2	1	0	40	0.5333333333333333
n11-1	n10	1	0	45	3.3468750000000025
n12-1	n9	1	0	51	3.339583333333336
n10-1	n3	1	0	52	0.5333333333333333
n7-1	n1	1	0	59	0.5208333333333334
n8-1	n8	1	0	59	3.3302083333333354
n2-1	n4	1	0	66	1.6572916666666668
n5-1	n7	1	0	66	3.3166666666666687
n1-1	n0	1	0	68	0.5
n3-1	n5	1	0	68	1.9520833333333338
n4-1	n6	1	0	69	2.5541666666666676
n24-1	n14	1	0	44	6.189583333333334
n25-1	n12	1	0	52	6.163541666666668
n21-1	n13	1	0	59	6.1677083333333345
n15-1	n15	1	0	63	7.208333333333333
n14-1	n11	1	0	64	6.1364583333333345
n16-1	n16	1	0	64	7.493749999999997
n30-1	n24	1	0	64	12.009375000000027
n34-1	deletion
n17-1	n17	1	0	66	8.117708333333333
n26-1	n19	1	0	42	8.928125000000007
n27-1	n20	1	0	51	8.93333333333334
n22-1	n22	1	0	57	8.956250000000008
n23-1	n21	1	0	59	8.946875000000007
n20-1	n23	1	0	59	11.285416666666693
n18-1	n18	1	0	63	8.918750000000006
n47-1	n35	1	0	45	13.896875000000042
n45-1	n29	1	0	51	12.680208333333365
n46-1	n31	1	0	52	13.250000000000037
n44-1	n25	1	0	56	12.026041666666693
n48-1	n36	1	0	57	13.896875000000042
n29-1	n26	1	0	59	12.037500000000026
n31-1	n28	1	0	59	12.670833333333364
n33-1	n32	1	0	59	13.250000000000037
n36-1	n34	1	0	61	13.883333333333375
n32-1	n27	1	0	66	12.662500000000032
n37-1	n37	1	0	66	13.917708333333376
n40-1	n38	1	0	66	14.688541666666714
n35-1	n30	1	0	68	13.240625000000037
n38-1	n33	1	0	69	13.867708333333375
n52-1	n44	1	0	45	16.676041666666727
n49-1	n40	1	0	47	14.721875000000047
n53-1	n42	1	0	54	16.658333333333392
n50-1	n41	1	0	59	14.721875000000047
n39-1	n39	1	0	63	14.70833333333338
n42-1	n45	1	0	63	16.676041666666727
n43-1	n43	1	0	71	16.660416666666727
n70-1	n57	1	0	40	18.650000000000066
n68-1	n53	1	0	42	18.052083333333396
n72-1	n61	1	0	45	19.315625000000075
n66-1	deletion
n69-1	n52	1	0	51	18.04791666666673
n71-1	n56	1	0	52	18.6270833333334
n74-1	n63	1	0	54	19.580208333333406
n67-1	n47	1	0	56	17.412500000000055
n73-1	n59	1	0	57	19.292708333333408
n56-1	n51	1	0	59	18.03229166666673
n58-1	n55	1	0	59	18.612500000000065
n60-1	n60	1	0	61	19.292708333333408
n54-1	n49	1	0	64	17.42604166666672
n59-1	n54	1	0	68	18.604166666666732
n57-1	n50	1	0	69	18.011458333333398
n62-1	n62	1	0	69	19.536458333333407
n55-1	n46	1	0	71	17.403125000000056
n61-1	n58	1	0	73	19.256250000000072
n75-1	n67	1	0	47	20.056250000000073
n76-1	n65	1	0	51	20.045833333333405
n63-1	n66	1	0	59	20.045833333333405
n64-1	n64	1	0	66	20.017708333333406
n86-1	n69	1	0	42	23.0552083333334
n87-1	n70	1	0	54	23.060416666666733
n84-1	n71	1	0	61	23.073958333333398
n79-1	n73	1	0	68	24.092708333333405
n78-1	n68	1	0	69	23.0520833333334
n80-1	n74	1	0	69	24.37708333333341
n81-1	n75	1	0	71	24.98645833333341
n88-1	n79	1	0	47	25.753125000000082
n89-1	n78	1	0	53	25.74791666666675
n85-1	n77	1	0	61	25.73854166666675
n82-1	n76	1	0	68	25.708333333333417
n102-1	n82	1	0	45	28.46145833333341
n103-1	n84	1	0	49	28.475000000000076
n104-1	n83	1	0	57	28.46145833333341
n99-1	n81	1	0	61	28.448958333333408
n92-1	n85	1	0	65	29.408333333333417
n91-1	n80	1	0	66	28.418750000000074
n93-1	n86	1	0	66	29.69166666666675
n94-1	n87	1	0	68	30.293750000000088
n105-1	n90	1	0	44	31.080208333333424
n106-1	n92	1	0	49	31.09375000000009
n109-1	n97	1	0	54	33.238541666666784
n107-1	n93	1	0	56	31.09375000000009
n100-1	n89	1	0	59	31.07187500000009
n101-1	n91	1	0	61	31.08437500000009
n110-1	n96	1	0	61	33.23333333333345
n97-1	n95	1	0	64	33.218750000000114
n95-1	n88	1	0	65	31.053125000000094
n98-1	n94	1	0	70	33.198958333333444
n127-1	n99	1	0	47	34.428125000000136
n130-1	n103	1	0	52	35.705208333333495
n128-1	n100	1	0	59	34.457291666666805
n131-1	n104	1	0	59	35.72187500000016
n116-1	n105	1	0	62	35.72187500000016
n113-1	n101	1	0	63	34.457291666666805
n117-1	n102	1	0	68	35.693750000000165
n114-1	n98	1	0	71	34.4229166666668
n134-1	n108	1	0	45	37.01354166666682
n137-1	n111	1	0	45	38.28333333333351
n135-1	n109	1	0	57	37.022916666666816
n138-1	n113	1	0	57	38.31354166666684
n120-1	n107	1	0	61	37.00208333333348
n123-1	n112	1	0	61	38.30937500000017
n124-1	n110	1	0	66	38.27395833333351
n121-1	n106	1	0	69	36.96458333333348
n150-1	n116	1	0	47	39.10729166666685
n146-1	n117	1	0	56	39.11666666666686
n147-1	n118	1	0	57	40.35520833333353
n139-1	n114	1	0	59	39.093750000000185
n141-1	n120	1	0	63	40.40729166666686
n140-1	n115	1	0	64	39.093750000000185
n142-1	n119	1	0	66	40.35520833333353
n151-1	n125	1	0	40	41.91250000000019
n152-1	n122	1	0	52	41.88645833333352
n154-1	n127	1	0	52	44.25833333333354
n155-1	n126	1	0	58	44.23958333333354
n148-1	n124	1	0	59	41.90312500000019
n143-1	n123	1	0	64	41.89166666666686
n144-1	n121	1	0	68	41.87291666666685
n171-1	n135	1	0	50	46.798958333333566
n168-1	n130	1	0	51	45.512500000000216
n172-1	n134	1	0	56	46.79062500000023
n169-1	n131	1	0	59	45.512500000000216
n156-1	n129	1	0	66	44.92916666666688
n158-1	n133	1	0	71	46.183333333333564
n157-1	n128	1	0	78	44.91666666666688
n159-1	n132	1	0	83	46.16458333333357
n175-1	n138	1	0	49	48.12395833333359
n176-1	n139	1	0	57	48.12395833333359
n161-1	n137	1	0	64	47.45625000000025
n163-1	n141	1	0	69	49.0395833333336
n162-1	n136	1	0	76	47.442708333333584
n164-1	n140	1	0	81	49.0177083333336
n183-1	n146	1	0	66	53.221875000000274
n181-1	n144	1	0	68	52.44062500000025
n182-1	n145	1	0	69	52.77708333333359
n179-1	n142	1	0	72	51.69062500000026
n180-1	n143	1	0	73	52.15208333333359
n189-1	n151	1	0	35	53.52604166666694
n190-1	n149	1	0	47	53.516666666666936
n186-1	n148	1	0	54	53.5083333333336
n187-1	n150	1	0	57	53.520833333333606
n184-1	n147	1	0	61	53.48437500000027
n185-1	n152	1	0	63	54.8864583333336
n207-1	n154	1	0	40	56.87500000000031
n208-1	n153	1	0	52	56.865625000000314
n192-1	n155	1	0	64	57.28437500000033
n197-1	n160	1	0	64	58.69583333333368
n200-1	n164	1	0	64	59.585416666667015
n193-1	n156	1	0	67	57.58750000000035
n194-1	n157	1	0	71	57.87916666666702
n196-1	n159	1	0	71	58.411458333333684
n198-1	n161	1	0	71	58.96666666666701
n195-1	n158	1	0	72	58.15000000000035
n209-1	n162	1	0	43	59.293750000000344
n210-1	n163	1	0	55	59.29895833333368
n205-1	n169	1	0	64	60.951041666667045
n201-1	n165	1	0	67	59.86666666666703
n202-1	n166	1	0	71	60.13541666666704
n204-1	n168	1	0	71	60.67500000000038
n206-1	n170	1	0	71	61.228125000000375
n203-1	n167	1	0	72	60.40520833333371
n227-1	n172	1	0	42	61.55937500000037
n228-1	n171	1	0	54	61.55104166666704
n212-1	n173	1	0	63	61.83854166666705
n217-1	n178	1	0	63	63.18958333333374
n213-1	n174	1	0	69	62.104166666667055
n214-1	n175	1	0	71	62.3687500000004
n216-1	n177	1	0	71	62.911458333333734
n218-1	n179	1	0	71	63.46770833333373
n215-1	n176	1	0	72	62.63541666666706
n229-1	n181	1	0	45	63.7781250000004
n230-1	n180	1	0	57	63.76354166666707
n220-1	n182	1	0	63	64.06041666666707
n225-1	n187	1	0	63	65.41770833333364
n221-1	n183	1	0	66	64.31666666666702
n222-1	n184	1	0	71	64.59375000000033
n224-1	n186	1	0	71	65.13645833333364
n226-1	n188	1	0	71	65.68020833333364
n223-1	n185	1	0	72	64.86145833333366
n247-1	n189	1	0	43	66.0343750000003
n248-1	n190	1	0	55	66.0343750000003
n232-1	n191	1	0	64	66.31979166666693
n238-1	n198	1	0	64	68.00729166666687
n233-1	n192	1	0	67	66.59687500000025
n237-1	n197	1	0	67	67.72187500000024
n234-1	n193	1	0	71	66.86354166666693
n236-1	n195	1	0	71	67.39791666666693
n235-1	n194	1	0	72	67.14166666666692
n250-1	n196	1	0	83	67.71458333333358
n241-1	n202	1	0	66	68.87708333333352
n243-1	n205	1	0	67	69.42187500000014
n240-1	n200	1	0	69	68.54583333333352
n245-1	n208	1	0	69	69.97604166666677
n244-1	n206	1	0	71	69.69375000000012
n242-1	n203	1	0	72	69.13020833333348
n246-1	n209	1	0	72	70.28020833333343
n254-1	n207	1	0	78	69.97083333333345
n253-1	n204	1	0	79	69.40729166666681
n252-1	n201	1	0	81	68.83541666666686
n251-1	n199	1	0	84	68.29791666666685
n271-1	n210	1	0	43	70.6739583333334
n272-1	n211	1	0	55	70.68750000000007
n256-1	n212	1	0	62	70.99479166666667
n262-1	n218	1	0	62	72.60624999999987
n257-1	n213	1	0	67	71.2645833333333
n261-1	n217	1	0	67	72.33229166666655
n258-1	n214	1	0	71	71.5166666666666
n260-1	n216	1	0	71	72.05520833333323
n259-1	n215	1	0	72	71.79687499999991
n273-1	n220	1	0	47	72.96666666666653
n274-1	n219	1	0	59	72.95937499999987
n264-1	n221	1	0	62	73.23958333333316
n270-1	n227	1	0	62	74.85624999999973
n269-1	n226	1	0	67	74.5833333333331
n265-1	deletion
n267-1	n224	1	0	73	74.03854166666643
n266-1	n223	1	0	74	73.7958333333331
n268-1	n225	1	0	74	74.31562499999977
n291-1	n229	1	0	45	75.1916666666664
n292-1	n228	1	0	57	75.1822916666664
n276-1	n230	1	0	66	75.46145833333306
n282-1	n236	1	0	66	77.07604166666631
n277-1	n231	1	0	69	75.73229166666633
n281-1	n235	1	0	69	76.80624999999964
n279-1	n233	1	0	71	76.26979166666632
n278-1	n232	1	0	72	75.98854166666632
n280-1	n234	1	0	72	76.53333333333298
n293-1	n238	1	0	48	77.43124999999964
n294-1	n237	1	0	60	77.42499999999964
n284-1	n239	1	0	66	77.70833333333296
n290-1	n245	1	0	66	79.37499999999959
n285-1	n240	1	0	69	77.97916666666625
n289-1	n244	1	0	69	79.06458333333292
n287-1	n242	1	0	74	78.5218749999996
n286-1	n241	1	0	75	78.25208333333293
n288-1	n243	1	0	75	78.79270833333293
n311-1	n247	1	0	47	79.71770833333291
n312-1	n246	1	0	59	79.71041666666625
n296-1	n248	1	0	62	80.04270833333287
n297-1	n249	1	0	67	80.3187499999995
n302-1	n255	1	0	67	81.732291666666
n298-1	n250	1	0	71	80.57604166666616
n301-1	n254	1	0	71	81.44999999999938
n299-1	n251	1	0	73	80.86249999999946
n300-1	n252	1	0	74	81.1406249999994
n314-1	n253	1	0	86	81.43124999999938
n303-1	n257	1	0	66	82.01458333333267
n305-1	n260	1	0	67	82.59479166666596
n304-1	n258	1	0	69	82.29583333333264
n307-1	n263	1	0	69	83.1395833333326
n306-1	n261	1	0	71	82.86354166666594
n309-1	n266	1	0	71	83.71770833333255
n308-1	n264	1	0	72	83.40937499999924
n310-1	n267	1	0	74	84.01666666666588
