xml_id	midi_id	track	channel	pitch	onset
n15-1	n7	0	0	51	3.165595125000003
n5-1	n2	0	0	52	2.4262796250000003
n6-1	n3	0	0	59	2.5598265000000002
n14-1	n6	0	0	63	3.0181593750000015
n10-1	n5	0	0	66	2.8782022500000006
n1-1	n0	0	0	68	2.0491432499999997
n2-1	deletion
n3-1	n1	0	0	71	2.251066125
n9-1	n4	0	0	71	2.7393135000000006
n7-1	deletion
n17-1	n10	0	0	49	3.6249963750000043
n18-1	n11	0	0	56	3.747859500000005
n11-1	n8	0	0	64	3.3258513750000027
n8-1	deletion
n12-1	n9	0	0	68	3.4839708750000034
n27-1	n15	0	0	47	4.266021375000007
n26-1	n14	0	0	59	4.147431750000006
n22-1	n13	0	0	63	4.030978875000006
n21-1	n12	0	0	68	3.8846115000000054
n19-1	deletion
n29-1	n18	0	0	45	4.730764500000009
n30-1	n19	0	0	52	4.85790112500001
n23-1	n16	0	0	61	4.4658075000000075
n20-1	deletion
n24-1	n17	0	0	64	4.597217625000009
n40-1	n23	0	0	44	5.410251000000013
n39-1	n22	0	0	56	5.279909250000012
n35-1	n21	0	0	59	5.169866625000012
n34-1	n20	0	0	64	5.01708900000001
n31-1	deletion
n42-1	n28	0	0	35	5.880336000000014
n43-1	n29	0	0	47	6.049139250000014
n36-1	n25	0	0	57	5.608968750000013
n37-1	n27	0	0	59	5.7382421250000135
n32-1	n26	0	0	63	5.616447375000013
n33-1	n24	0	0	66	5.580122625000013
n53-1	n35	0	0	40	6.8119590000000185
n52-1	n34	0	0	52	6.588668625000017
n47-1	n32	0	0	56	6.244651875000015
n48-1	n33	0	0	59	6.459395250000016
n44-1	n31	0	0	64	6.237173250000015
n45-1	n30	0	0	68	6.2126006250000145
n55-1	n38	0	0	52	7.48503525000002
n56-1	n39	0	0	59	7.610035125000021
n49-1	n36	0	0	68	7.135676625000018
n46-1	deletion
n50-1	n37	0	0	71	7.322642250000019
n65-1	n43	0	0	51	8.137812375000019
n64-1	n42	0	0	63	8.02349625000002
n60-1	n41	0	0	66	7.896359625000021
n59-1	n40	0	0	71	7.767086250000021
n57-1	deletion
n67-1	n47	0	0	49	8.618581125000015
n68-1	n48	0	0	54	8.75746987500001
n58-1	n45	0	0	64	8.330119875000017
n61-1	n44	0	0	70	8.324778000000018
n62-1	n46	0	0	76	8.487171000000016
n77-1	n53	0	0	47	9.400631624999999
n76-1	n52	0	0	59	9.245717250000004
n72-1	n50	0	0	63	8.971144875000007
n70-1	n51	0	0	71	9.097213125000007
n69-1	n49	0	0	75	8.93375175000001
n79-1	n56	0	0	54	9.899562749999992
n80-1	n57	0	0	66	10.030972874999991
n71-1	n54	0	0	71	9.612169874999996
n73-1	deletion
n74-1	n55	0	0	75	9.758537249999995
n90-1	n61	0	0	56	10.572638999999985
n89-1	n60	0	0	68	10.449775874999986
n84-1	n59	0	0	71	10.305545249999989
n83-1	n58	0	0	76	10.16665649999999
n81-1	deletion
n92-1	n65	0	0	52	11.022424874999984
n93-1	n66	0	0	64	11.162381999999985
n135-1	n86	0	0	64	15.448702499999978
n85-1	n62	0	0	68	10.716869624999985
n82-1	n63	0	0	71	10.720074749999984
n86-1	deletion
n87-1	n64	0	0	80	10.878194249999984
n104-1	n71	0	0	54	11.763877124999983
n103-1	n70	0	0	66	11.620714874999983
n98-1	n69	0	0	71	11.488236374999982
n99-1	n68	0	0	75	11.476484249999983
n110-1	n79	0	0	75	13.25960212499998
n114-1	deletion
n97-1	n67	0	0	78	11.309817749999985
n115-1	deletion
n94-1	deletion
n106-1	n75	0	0	42	12.475414874999979
n107-1	n76	0	0	54	12.817294874999979
n100-1	n73	0	0	70	11.976483749999982
n101-1	n72	0	0	73	11.971141874999983
n95-1	deletion
n96-1	n74	0	0	82	12.21686812499998
n148-1	n84	0	0	54	14.727549374999978
n149-1	deletion
n150-1	deletion
n134-1	n82	0	0	63	14.701908374999977
n112-1	n77	0	0	69	13.148491124999978
n108-1	deletion
n113-1	n78	0	0	72	13.206183374999979
n109-1	deletion
n111-1	n80	0	0	78	13.31088412499998
n116-1	n81	0	0	81	13.34614049999998
n151-1	n90	0	0	60	17.329042499999957
n152-1	n91	0	0	63	17.329042499999957
n136-1	n87	0	0	66	15.971137874999977
n137-1	n88	0	0	68	16.49570999999997
n138-1	n89	0	0	69	17.308743374999956
n123-1	n93	0	0	78	18.184810874999958
n122-1	n92	0	0	80	17.351478374999957
n139-1	n95	0	0	61	18.897416999999958
n146-1	n107	0	0	63	20.93694487499991
n140-1	n97	0	0	64	18.91878449999996
n144-1	n103	0	0	64	20.28737287499992
n142-1	n101	0	0	66	19.59827099999995
n147-1	n109	0	0	66	20.956175624999908
n141-1	n96	0	0	68	18.915579374999957
n145-1	n105	0	0	68	20.29378312499992
n130-1	n111	0	0	68	20.996773874999906
n143-1	n102	0	0	69	19.59933937499995
n126-1	n100	0	0	72	19.58865562499995
n131-1	n110	0	0	72	20.991431999999907
n124-1	n98	0	0	73	18.92305799999996
n128-1	n106	0	0	73	20.33117624999992
n127-1	n99	0	0	75	19.55980949999995
n125-1	n94	0	0	76	18.87818624999996
n129-1	n104	0	0	76	20.28737287499992
n132-1	n108	0	0	78	20.94976537499991
n177-1	n113	0	0	52	22.190148749999903
n190-1	n114	0	0	52	22.902754874999903
n191-1	n115	0	0	56	22.905959999999904
n178-1	n116	0	0	61	22.921985624999905
n179-1	n121	0	0	63	23.749976249999904
n154-1	n118	0	0	68	22.955105249999903
n155-1	n119	0	0	73	22.956173624999902
n156-1	n120	0	0	76	22.956173624999902
n153-1	n112	0	0	79	21.610021124999907
n157-1	n117	0	0	80	22.924122374999904
n193-1	n125	0	0	58	25.67625637499987
n180-1	n123	0	0	64	24.303394499999904
n181-1	n124	0	0	66	24.85253924999989
n182-1	n126	0	0	67	25.68052987499987
n175-1	n128	0	0	73	25.784162249999866
n163-1	n129	0	0	76	26.61322124999986
n162-1	n127	0	0	78	25.768136624999865
n188-1	n145	0	0	56	29.505312374999825
n185-1	n137	0	0	58	28.042706999999858
n183-1	n132	0	0	59	27.313006874999857
n187-1	n139	0	0	59	28.76599687499985
n189-1	n143	0	0	59	29.445483374999824
n186-1	n136	0	0	61	28.035228374999857
n184-1	n131	0	0	63	27.309801749999856
n169-1	n140	0	0	63	28.76920199999985
n166-1	n138	0	0	64	28.049117249999856
n172-1	n147	0	0	64	29.521337999999822
n164-1	n133	0	0	66	27.333305999999858
n167-1	n135	0	0	66	28.012792499999858
n170-1	n142	0	0	66	28.80873187499985
n173-1	n146	0	0	71	29.515996124999823
n168-1	n134	0	0	73	28.008518999999858
n165-1	n130	0	0	75	27.303391499999858
n171-1	n141	0	0	75	28.77988574999985
n174-1	n144	0	0	76	29.485013249999824
n210-1	n150	0	0	51	30.549114749999813
n212-1	n153	0	0	56	32.1420618749998
n211-1	n149	0	0	59	30.527747249999813
n213-1	n154	0	0	59	32.152745624999795
