onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
2.0218997,1.0737169,68,30,0,0,n0,-10.0,-10.0
2.3611088,0.7345078,71,43,0,0,n1,2.0219,-1.0
2.5827966,0.51282,52,25,0,0,n2,2.0219,-1.0
2.82051,0.27510655,59,28,0,0,n3,2.0219,-1.0
2.9700825,0.86939013,71,53,0,0,n4,2.0219,-1.0
3.1517062,0.09615375,66,44,0,0,n5,2.970083,0.0
3.3146334,0.5248392,63,39,0,0,n6,2.970083,0.0
3.4935863,0.3458864,51,19,0,0,n7,2.970083,0.0
3.640488,0.79193294,64,53,0,0,n8,3.640488,1.0
3.8154342,0.14423062,68,47,0,0,n9,3.640488,1.0
3.948981,0.48343968,49,34,0,0,n10,3.640488,1.0
4.122592,0.30982876,56,41,0,0,n11,3.640488,1.0
4.2895255,0.76655906,68,54,0,0,n12,3.640488,1.0
4.4431047,0.6129801,63,41,0,0,n13,4.289526,2.0
4.5966835,0.45940125,59,31,0,0,n14,4.289526,2.0
4.7395787,0.3165061,47,33,0,0,n15,4.289526,2.0
4.914525,0.7852556,61,53,0,0,n16,4.914525,3.0
5.0694394,0.63034123,64,40,0,0,n17,4.914525,3.0
5.1949735,0.5048072,45,45,0,0,n18,4.914525,3.0
5.373926,0.32585436,52,40,0,0,n19,4.914525,3.0
5.504802,0.78792655,64,66,0,0,n20,5.504802,4.0
5.661052,0.63167673,59,50,0,0,n21,5.504802,4.0
5.819973,0.47275594,56,43,0,0,n22,5.504802,4.0
5.9735518,0.31917703,44,43,0,0,n23,5.504802,4.0
6.160517,0.8760675,66,54,0,0,n24,5.504802,4.0
6.191233,0.8453517,63,41,0,0,n25,6.191233,5.0
6.199246,0.27644202,57,32,0,0,n26,6.191233,5.0
6.367515,0.6690698,59,35,0,0,n27,6.191233,5.0
6.5050683,0.53151655,35,32,0,0,n28,6.191233,5.0
6.7160726,0.3205125,47,38,0,0,n29,6.191233,5.0
6.892354,0.9281508,68,42,0,0,n30,6.191233,5.0
6.9297476,0.3124997,56,30,0,0,n31,6.929747,6.0
6.9511147,0.2777775,64,10,0,0,n32,6.929747,6.0
7.0873327,0.73317236,59,35,0,0,n33,6.929747,6.0
7.272963,0.5475422,52,29,0,0,n34,6.929747,6.0
7.45058,0.36992484,40,35,0,0,n35,6.929747,6.0
7.694971,0.73851424,68,43,0,0,n36,7.694971,7.0
7.908646,0.102831095,71,39,0,0,n37,7.694971,7.0
8.023497,0.4099889,52,39,0,0,n38,7.694971,7.0
8.19043,0.24305531,59,43,0,0,n39,7.694971,7.0
8.345345,0.71180487,71,61,0,0,n40,8.345344,8.0
8.498923,0.5582259,66,40,0,0,n41,8.345344,8.0
8.624457,0.43269187,63,39,0,0,n42,8.345344,8.0
8.780707,0.27644202,51,45,0,0,n43,8.345344,8.0
8.9489765,0.71046937,70,58,0,0,n44,8.345344,8.0
8.970344,0.6891019,64,47,0,0,n45,8.95966,9.0
9.111903,0.5475422,76,55,0,0,n46,8.95966,9.0
9.225418,0.43402734,49,43,0,0,n47,8.95966,9.0
9.378997,0.28044844,54,45,0,0,n48,8.95966,9.0
9.555279,0.71981764,75,69,0,0,n49,8.95966,9.0
9.6046915,0.6704053,63,35,0,0,n50,9.579985,10.0
9.730226,0.5448713,71,54,0,0,n51,9.579985,10.0
9.863772,0.41132438,59,48,0,0,n52,9.579985,10.0
10.017351,0.25774547,47,49,0,0,n53,9.579985,10.0
10.182949,0.6757472,71,70,0,0,n54,10.182949,11.0
10.332521,0.52617466,75,74,0,0,n55,10.182949,11.0
10.448708,0.4099889,54,59,0,0,n56,10.182949,11.0
10.599615,0.25908095,66,65,0,0,n57,10.182949,11.0
10.774562,0.7572108,76,77,0,0,n58,10.774562,12.0
10.929476,0.6022964,71,62,0,0,n59,10.774562,12.0
11.044327,0.4874461,68,63,0,0,n60,10.774562,12.0
11.18188,0.34989282,56,59,0,0,n61,10.774562,12.0
11.343472,0.26308733,71,84,0,0,n62,10.774562,12.0
11.360832,0.2777775,68,65,0,0,n63,11.352153,13.0
11.506399,0.61030924,80,85,0,0,n64,11.352153,13.0
11.667991,0.4487175,52,68,0,0,n65,11.352153,13.0
11.817563,0.299145,64,73,0,0,n66,11.352153,13.0
11.968471,0.26175186,78,89,0,0,n67,11.968471,14.0
12.130063,0.7091339,75,77,0,0,n68,11.968471,14.0
12.15143,0.07211531,71,64,0,0,n69,11.968471,14.0
12.267616,0.57158065,66,76,0,0,n70,11.968471,14.0
12.409176,0.43002093,54,76,0,0,n71,11.968471,14.0
12.577445,1.2807145,73,89,0,0,n72,11.968471,14.0
12.597477,1.2606825,70,67,0,0,n73,12.587461,15.0
12.784442,1.0737169,82,97,0,0,n74,12.587461,15.0
12.968737,0.8894222,42,78,0,0,n75,12.587461,15.0
13.20645,0.6517087,54,73,0,0,n76,12.587461,15.0
13.422796,4.127934,69,72,0,0,n77,13.422796,16.0
13.501589,3.356033,72,81,0,0,n78,13.422796,16.0
13.576375,3.2932658,75,85,0,0,n79,13.422796,16.0
13.68722,3.2238216,78,86,0,0,n80,13.422796,16.0
13.780702,3.7700284,81,89,0,0,n81,13.422796,16.0
15.01334,0.8039522,63,75,0,0,n82,13.422796,16.0
15.034707,1.3381397,60,59,0,0,n83,13.422796,16.0
15.038713,1.3341333,54,56,0,0,n84,13.422796,16.0
15.045391,1.3274559,57,50,0,0,n85,13.422796,16.0
15.690422,0.68242455,64,78,0,0,n86,13.422796,16.0
16.225945,0.63167673,66,81,0,0,n87,16.225945,17.0
16.753456,0.7972748,68,69,0,0,n88,16.225945,17.0
17.415848,1.4022422,80,56,0,0,n89,16.225945,17.0
17.437216,1.3808746,69,38,0,0,n90,16.225945,17.0
17.451906,1.3661845,63,35,0,0,n91,16.225945,17.0
17.459919,1.3581717,60,36,0,0,n92,16.225945,17.0
18.076904,0.7411851,78,52,0,0,n93,16.225945,17.0
18.665846,0.7251595,76,57,0,0,n94,16.225945,17.0
18.719265,0.64369595,68,24,0,0,n95,16.225945,17.0
18.7206,0.72115314,64,31,0,0,n96,18.7206,18.0
18.721937,0.6744117,61,28,0,0,n97,18.7206,18.0
18.724607,0.7518689,73,20,0,0,n98,18.7206,18.0
19.27749,0.69845015,75,55,0,0,n99,18.7206,18.0
19.302866,0.6730763,66,37,0,0,n100,18.7206,18.0
19.313549,0.6623925,72,29,0,0,n101,18.7206,18.0
19.326904,0.64903784,69,26,0,0,n102,18.7206,18.0
19.845066,0.6463669,76,71,0,0,n103,18.7206,18.0
19.87044,0.62099296,68,45,0,0,n104,18.7206,18.0
19.878452,0.6129801,73,48,0,0,n105,18.7206,18.0
19.895813,0.5956191,64,49,0,0,n106,18.7206,18.0
20.403292,0.77190095,78,84,0,0,n107,18.7206,18.0
20.42466,0.75053346,72,55,0,0,n108,18.7206,18.0
20.436678,0.73851424,66,58,0,0,n109,18.7206,18.0
20.436678,0.73851424,68,45,0,0,n110,18.7206,18.0
20.440685,0.7345078,63,51,0,0,n111,18.7206,18.0
21.005589,1.4062486,79,85,0,0,n112,21.005589,19.0
21.550459,0.86137736,52,78,0,0,n113,21.005589,19.0
22.220865,2.558758,80,88,0,0,n114,21.005589,19.0
22.240896,0.7558753,61,72,0,0,n115,21.005589,19.0
22.252916,1.9978613,68,58,0,0,n116,21.005589,19.0
22.262264,1.9030429,76,56,0,0,n117,21.005589,19.0
22.2636,1.2473278,52,59,0,0,n118,21.005589,19.0
22.2636,1.3381397,56,54,0,0,n119,21.005589,19.0
22.28096,0.13087593,73,41,0,0,n120,21.005589,19.0
22.386463,2.39316,73,16,0,0,n121,21.005589,19.0
22.844528,0.6663989,63,78,0,0,n122,21.005589,19.0
23.394741,0.68108904,64,71,0,0,n123,23.394741,20.0
23.956974,0.82264876,66,62,0,0,n124,23.394741,20.0
24.67145,1.7013872,78,52,0,0,n125,23.394741,20.0
24.71552,1.6573167,67,35,0,0,n126,23.394741,20.0
24.724869,1.6479684,73,25,0,0,n127,23.394741,20.0
24.731546,1.6412911,58,29,0,0,n128,23.394741,20.0
25.518137,0.8547,76,38,0,0,n129,23.394741,20.0
26.24196,0.834668,75,42,0,0,n130,23.394741,20.0
26.244633,0.83199704,59,37,0,0,n131,23.394741,20.0
26.259321,0.8173069,63,31,0,0,n132,26.251978,21.0
26.260658,0.81597143,66,32,0,0,n133,26.251978,21.0
26.968456,0.7305014,73,39,0,0,n134,26.251978,21.0
