xml_id	midi_id	track	channel	pitch	onset
n15-1	n7	0	0	51	2.6255315624999995
n5-1	n2	0	0	52	1.91239125
n6-1	n3	0	0	59	2.05128
n14-1	n6	0	0	63	2.4759590625
n10-1	n5	0	0	66	2.34641859375
n1-1	n0	0	0	68	1.5144215625000002
n12-1	n9	0	0	68	2.8579031249999995
n2-1	deletion
n3-1	n1	0	0	71	1.75079953125
n9-1	n4	0	0	71	2.22222
n7-1	deletion
n17-1	n10	0	0	49	2.9740889062499996
n18-1	n11	0	0	56	3.1009584374999997
n11-1	n8	0	0	64	2.73103359375
n8-1	deletion
n27-1	n15	0	0	47	3.6191203124999993
n26-1	n14	0	0	59	3.4829024999999993
n22-1	n13	0	0	63	3.3466846875
n21-1	n12	0	0	68	3.231834375
n19-1	deletion
n29-1	n18	0	0	45	3.9716840624999996
n30-1	n19	0	0	52	4.095882656250001
n23-1	n16	0	0	61	3.7339706249999995
n20-1	deletion
n24-1	n17	0	0	64	3.8621756249999994
n40-1	n23	0	0	44	4.615380000000004
n39-1	n22	0	0	56	4.4698139062500015
n35-1	n21	0	0	59	4.360305468750002
n34-1	n20	0	0	64	4.2227521875
n31-1	deletion
n42-1	n28	0	0	35	5.078787656250008
n43-1	n29	0	0	47	5.219011875000011
n36-1	n26	0	0	57	4.8010101562500065
n37-1	n27	0	0	59	4.926544218750008
n32-1	n25	0	0	63	4.780978125000006
n33-1	n24	0	0	66	4.7729653125000056
n53-1	n35	0	0	40	5.904107343750014
n52-1	n34	0	0	52	5.750528437500015
n47-1	n30	0	0	56	5.417996718750012
n48-1	n33	0	0	59	5.592943125000013
n44-1	n31	0	0	64	5.422003125000012
n45-1	n32	0	0	68	5.430015937500012
n55-1	n38	0	0	52	6.41559187500002
n56-1	n39	0	0	59	6.535784062500022
n49-1	n36	0	0	68	6.0977503125000165
n46-1	deletion
n50-1	n37	0	0	71	6.251329218750019
n65-1	n43	0	0	51	7.049939531250025
n64-1	n42	0	0	63	6.927076406250023
n60-1	n41	0	0	66	6.7788393750000235
n59-1	n40	0	0	71	6.667995468750022
n57-1	deletion
n67-1	n47	0	0	49	7.489308750000029
n68-1	n48	0	0	54	7.66559062500003
n58-1	n45	0	0	64	7.184821875000025
n61-1	n44	0	0	70	7.178144531250025
n62-1	n46	0	0	76	7.326381562500027
n77-1	n53	0	0	47	8.243848593750034
n76-1	n52	0	0	59	8.112972656250033
n72-1	n50	0	0	63	7.845878906250032
n70-1	n51	0	0	71	7.991445000000033
n69-1	n49	0	0	75	7.841872500000032
n79-1	n56	0	0	54	8.63380546875004
n80-1	n57	0	0	66	8.73663656250004
n71-1	n54	0	0	71	8.364040781250035
n73-1	deletion
n74-1	n55	0	0	75	8.496252187500039
n90-1	n61	0	0	56	9.249456562500045
n89-1	n60	0	0	68	9.133270781250044
n84-1	n59	0	0	71	8.997052968750042
n83-1	n58	0	0	76	8.87285437500004
n81-1	deletion
n92-1	n65	0	0	52	9.652768125000048
n93-1	n66	0	0	64	9.768953906250047
n135-1	n86	0	0	64	13.560349687500084
n85-1	n62	0	0	68	9.389680781250046
n82-1	n63	0	0	71	9.395022656250045
n86-1	deletion
n87-1	n64	0	0	80	9.520556718750045
n104-1	n71	0	0	54	10.316496093750052
n107-1	n76	0	0	54	11.11377093750006
n103-1	n70	0	0	66	10.16692359375005
n98-1	n69	0	0	71	10.03070578125005
n99-1	n68	0	0	75	10.02135750000005
n110-1	n79	0	0	75	11.403567656250061
n114-1	deletion
n97-1	n67	0	0	78	9.895823437500047
n115-1	deletion
n94-1	deletion
n106-1	n75	0	0	42	10.892083125000056
n100-1	n73	0	0	70	10.498119843750052
n101-1	n72	0	0	73	10.490107031250052
n95-1	deletion
n96-1	n74	0	0	82	10.670395312500053
n148-1	n85	0	0	54	12.996781875000073
n149-1	deletion
n150-1	deletion
n134-1	n82	0	0	63	12.942027656250072
n112-1	n77	0	0	69	11.27002078125006
n108-1	deletion
n113-1	n78	0	0	72	11.324775000000061
n109-1	deletion
n111-1	n80	0	0	78	11.467670156250062
n116-1	n81	0	0	81	11.537114531250062
n151-1	n90	0	0	60	15.474076406250115
n152-1	n92	0	0	63	15.492772968750113
n136-1	n87	0	0	66	14.069163281250091
n137-1	n88	0	0	68	14.612699062500099
n138-1	n91	0	0	69	15.476747343750114
n123-1	n93	0	0	78	16.204577812500123
n122-1	n89	0	0	80	15.428670468750115
n139-1	n96	0	0	61	17.021884687500126
n146-1	n112	0	0	63	18.84479953125013
n140-1	n98	0	0	64	17.055271406250124
n144-1	n106	0	0	64	18.263870625000134
n142-1	n102	0	0	66	17.723005781250134
n147-1	n111	0	0	66	18.83678671875013
n141-1	n97	0	0	68	17.024555625000126
n145-1	n107	0	0	68	18.263870625000134
n130-1	n110	0	0	68	18.83278031250013
n143-1	n101	0	0	69	17.716328437500135
n126-1	n99	0	0	72	17.661574218750133
n131-1	n109	0	0	72	18.822096562500132
n124-1	n95	0	0	73	16.993839843750127
n128-1	n105	0	0	73	18.23983218750013
n127-1	n100	0	0	75	17.662909687500132
n125-1	n94	0	0	76	16.969801406250127
n129-1	n104	0	0	76	18.222471093750134
n132-1	n108	0	0	78	18.786038906250134
n177-1	n114	0	0	52	20.021347500000136
n190-1	n118	0	0	52	20.74784250000014
n191-1	n121	0	0	56	20.76787453125014
n178-1	n117	0	0	61	20.72914593750014
n179-1	n122	0	0	63	21.271346250000146
n154-1	n119	0	0	68	20.75318437500014
n155-1	n120	0	0	73	20.755855312500138
n156-1	n116	0	0	76	20.70110109375014
n153-1	n113	0	0	79	19.45377328125013
n157-1	n115	0	0	80	20.67038531250014
n193-1	n128	0	0	58	23.278555781250173
n180-1	n123	0	0	64	21.806869218750155
n181-1	n124	0	0	66	22.38379171875016
n182-1	n127	0	0	67	23.273213906250174
n175-1	n126	0	0	73	23.265201093750175
n163-1	n129	0	0	76	24.00371531250018
n162-1	n125	0	0	78	23.242498125000175
n188-1	n147	0	0	56	26.701362187500198
n185-1	n137	0	0	58	25.544846250000187
n183-1	n132	0	0	59	24.809002968750182
n187-1	n142	0	0	59	26.099065781250193
n189-1	n146	0	0	59	26.6986912500002
n186-1	n138	0	0	61	25.550188125000187
n184-1	n133	0	0	63	24.83571234375018
n169-1	n141	0	0	63	26.092388437500194
n166-1	n136	0	0	64	25.524814218750187
n172-1	n145	0	0	64	26.6893429687502
n164-1	n131	0	0	66	24.78897093750018
n167-1	n135	0	0	66	25.520807812500188
n170-1	n140	0	0	66	26.084375625000195
n173-1	n144	0	0	71	26.6786592187502
n168-1	n134	0	0	73	25.49009203125019
n165-1	n130	0	0	75	24.760926093750182
n171-1	n139	0	0	75	26.060337187500192
n174-1	n143	0	0	76	26.6412660937502
n210-1	n150	0	0	51	27.487953281250203
n212-1	n154	0	0	56	28.848795937500224
n211-1	n149	0	0	59	27.479940468750204
n213-1	n153	0	0	59	28.836776718750222
n195-1	n151	0	0	71	28.206435468750218
n197-1	n155	0	0	76	29.29884890625023
n194-1	n148	0	0	78	27.419844375000203
n196-1	n152	0	0	78	28.77935156250022
n214-1	n158	0	0	54	29.965247812500234
n216-1	n161	0	0	54	31.10440265625024
n215-1	n157	0	0	59	29.93987390625023
n217-1	n160	0	0	59	31.07101593750024
n218-1	n159	0	0	63	31.054990312500237
n198-1	n156	0	0	75	29.883784218750232
n219-1	n165	0	0	54	32.323685625000245
n222-1	n174	0	0	54	33.28121671875018
n223-1	n173	0	0	57	33.27587484375018
n220-1	n164	0	0	58	32.31166640625025
n224-1	n172	0	0	60	33.26385562500018
n221-1	n163	0	0	61	32.30098265625025
n225-1	n171	0	0	63	33.25984921875018
n202-1	n168	0	0	72	32.96604609375019
n199-1	n162	0	0	73	32.23554468750025
n201-1	n167	0	0	73	32.80979625000019
n203-1	n169	0	0	73	33.09959296875019
n200-1	n166	0	0	75	32.59077937500021
n204-1	n170	0	0	75	33.249165468750185
n205-1	n175	0	0	76	33.39473156250017
n206-1	n176	0	0	77	33.532284843750155
n207-1	n177	0	0	78	33.660489843750156
n208-1	n178	0	0	79	33.78201750000016
n209-1	n179	0	0	80	33.91556437500016
n256-1	n181	0	0	30	34.14125859375016
n257-1	n182	0	0	42	34.14392953125016
n233-1	n189	0	0	69	35.80792359375013
n232-1	n188	0	0	72	35.62095796875013
n231-1	n187	0	0	75	35.421973125000136
n226-1	n180	0	0	81	34.13725218750016
n230-1	n186	0	0	81	35.21898187500014
n229-1	n185	0	0	84	35.01866156250014
n228-1	n184	0	0	87	34.81166390625014
n227-1	n183	0	0	93	34.54457015625015
n239-1	n195	0	0	45	36.967110468750136
n238-1	n194	0	0	48	36.77613843750014
n240-1	n196	0	0	48	37.10867015625014
n237-1	n193	0	0	51	36.57181171875013
