xml_id	midi_id	track	channel	pitch	onset
n9-1	n2	1	0	44	1.0635416666666666
n11-1	n7	1	0	48	2.707291666666667
n10-1	n1	1	0	51	1.0552083333333333
n12-1	n6	1	0	51	2.6958333333333337
n6-1	n5	1	0	63	2.682291666666667
n5-1	n3	1	0	68	1.0697916666666667
n2-1	n4	1	0	68	2.632291666666667
n1-1	n0	1	0	72	1.0208333333333333
n13-1	n11	1	0	48	3.2395833333333335
n15-1	n15	1	0	48	4.029166666666667
n14-1	n10	1	0	51	3.222916666666667
n16-1	n14	1	0	51	4.010416666666667
n7-1	n9	1	0	63	3.207291666666667
n8-1	n13	1	0	63	3.9927083333333337
n3-1	n8	1	0	68	3.1802083333333337
n4-1	n12	1	0	68	3.9614583333333337
n21-1	n19	1	0	46	4.4156249999999995
n22-1	n18	1	0	51	4.397916666666666
n17-1	n17	1	0	67	4.394791666666666
n18-1	n16	1	0	73	4.346875
n23-1	n23	1	0	49	5.638541666666666
n24-1	n22	1	0	51	5.628124999999999
n19-1	n21	1	0	67	5.626041666666666
n20-1	n20	1	0	70	5.5770833333333325
n39-1	n27	1	0	48	7.8812499999999925
n33-1	n26	1	0	51	7.879166666666659
n34-1	n28	1	0	56	8.43229166666666
n25-1	n25	1	0	68	7.84166666666666
n26-1	n24	1	0	75	7.802083333333327
n40-1	n33	1	0	53	9.754166666666658
n36-1	n32	1	0	58	9.733333333333325
n35-1	n29	1	0	60	9.059374999999994
n27-1	n31	1	0	68	9.72291666666666
n28-1	n30	1	0	73	9.689583333333326
n42-1	n41	1	0	49	10.92291666666666
n41-1	n36	1	0	51	10.277083333333326
n37-1	n37	1	0	60	10.277083333333326
n38-1	n40	1	0	61	10.920833333333327
n29-1	n35	1	0	68	10.258333333333326
n31-1	n39	1	0	68	10.903124999999994
n30-1	n34	1	0	75	10.221874999999992
n32-1	n38	1	0	77	10.868749999999993
n65-1	n45	1	0	51	11.809375000000003
n66-1	n44	1	0	58	11.804166666666669
n54-1	n43	1	0	67	11.777083333333335
n44-1	n46	1	0	74	12.74895833333334
n43-1	n42	1	0	75	11.74791666666667
n67-1	n50	1	0	51	13.344791666666671
n68-1	n49	1	0	58	13.316666666666672
n45-1	n48	1	0	67	13.291666666666671
n48-1	n71	1	0	72	16.44479166666667
n46-1	n47	1	0	73	13.277083333333339
n56-1	n52	1	0	73	13.887500000000008
n58-1	n58	1	0	73	14.41458333333334
n47-1	n68	1	0	73	15.109375000000004
n49-1	n72	1	0	73	16.73333333333334
insertion	n54	1	0	73	14.10208333333334
insertion	n62	1	0	73	14.692708333333337
insertion	n74	1	0	73	17.21458333333334
n60-1	n64	1	0	73	14.831250000000004
insertion	n56	1	0	73	14.259375000000007
n64-1	n70	1	0	73	15.267708333333337
insertion	n60	1	0	73	14.548958333333339
n55-1	n51	1	0	75	13.726041666666674
n57-1	n53	1	0	75	14.003125000000008
n59-1	n63	1	0	75	14.777083333333337
insertion	n55	1	0	75	14.178125000000007
n61-1	n67	1	0	75	15.047916666666671
insertion	n57	1	0	75	14.346875000000008
