xml_id	midi_id	track	channel	pitch	onset
n9-1	n3	1	0	44	1.0429687499999998
n11-1	n7	1	0	48	2.889322916666666
n10-1	n1	1	0	51	1.0104166666666665
n12-1	n6	1	0	51	2.8867187499999996
n6-1	n5	1	0	63	2.8828124999999996
n5-1	n2	1	0	68	1.0312499999999998
n2-1	n4	1	0	68	2.8710937499999996
n1-1	n0	1	0	72	1.0091145833333333
n13-1	n11	1	0	48	3.473958333333332
n15-1	n13	1	0	48	4.239583333333331
n14-1	n10	1	0	51	3.462239583333332
n16-1	n14	1	0	51	4.248697916666664
n7-1	n9	1	0	63	3.454427083333332
n8-1	n15	1	0	63	4.257812499999997
n3-1	n8	1	0	68	3.4453124999999987
n4-1	n12	1	0	68	4.238281249999998
n21-1	n19	1	0	46	4.61848958333333
n22-1	n18	1	0	51	4.617187499999997
n17-1	n17	1	0	67	4.611979166666664
n18-1	n16	1	0	73	4.579427083333331
n23-1	n23	1	0	49	5.8880208333333295
n24-1	n20	1	0	51	5.8606770833333295
n19-1	n22	1	0	67	5.8723958333333295
n20-1	n21	1	0	70	5.8671874999999964
n39-1	n26	1	0	48	8.126302083333329
n33-1	n25	1	0	51	8.100260416666663
n34-1	n28	1	0	56	8.733072916666664
n25-1	n27	1	0	68	8.139322916666663
n26-1	n24	1	0	75	8.095052083333329
n40-1	n33	1	0	53	9.778645833333332
n36-1	n30	1	0	58	9.766927083333332
n35-1	n29	1	0	60	9.252604166666664
n27-1	n32	1	0	68	9.770833333333332
n28-1	n31	1	0	73	9.769531249999998
n42-1	n41	1	0	49	10.933593750000002
n41-1	n35	1	0	51	10.315104166666668
n37-1	n36	1	0	60	10.317708333333334
n38-1	n39	1	0	61	10.92447916666667
n29-1	n37	1	0	68	10.32421875
n31-1	n40	1	0	68	10.930989583333336
n30-1	n34	1	0	75	10.307291666666668
n32-1	n38	1	0	77	10.91276041666667
n65-1	n45	1	0	51	11.906250000000005
n66-1	n43	1	0	58	11.885416666666671
n54-1	n44	1	0	67	11.897135416666671
n44-1	n46	1	0	74	12.901041666666679
n43-1	n42	1	0	75	11.881510416666671
n67-1	n48	1	0	51	13.299479166666677
n68-1	n47	1	0	58	13.28515625000001
