onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.0091146,3.6835938,72,53,1,0,n0,-10.0,-10.0
1.0104166,3.6822917,51,39,1,0,n1,-10.0,-10.0
1.03125,3.6614583,68,45,1,0,n2,1.0208335,0.0
1.0429688,3.6497395,44,28,1,0,n3,1.0208335,0.0
2.8710938,1.8216146,68,31,1,0,n4,2.2395835,1.0
2.8828125,1.8098959,63,32,1,0,n5,2.2395835,1.0
2.8867188,1.8059896,51,23,1,0,n6,2.2395835,1.0
2.889323,1.8033854,48,31,1,0,n7,2.2395835,1.0
3.4453125,1.2473959,68,58,1,0,n8,2.2395835,1.0
3.454427,1.2382812,63,47,1,0,n9,2.2395835,1.0
3.4622395,1.2304688,51,31,1,0,n10,3.4583335,2.0
3.4739583,1.21875,48,32,1,0,n11,3.4583335,2.0
4.2382812,0.4544271,68,72,1,0,n12,3.4583335,2.0
4.2395835,0.453125,48,40,1,0,n13,3.4583335,2.0
4.2486978,0.4440104,51,38,1,0,n14,3.4583335,2.0
4.2578125,0.44921875,63,48,1,0,n15,3.4583335,2.0
4.5794272,1.4752604,73,65,1,0,n16,3.4583335,2.0
4.611979,1.4427084,67,47,1,0,n17,3.4583335,2.0
4.6171875,1.4375,51,35,1,0,n18,4.6145835,3.0
4.6184897,1.4544271,46,37,1,0,n19,4.6145835,3.0
5.8606772,2.3710938,51,26,1,0,n20,4.6145835,3.0
5.8671875,2.3645833,70,44,1,0,n21,4.6145835,3.0
5.872396,2.359375,67,33,1,0,n22,5.869792,4.0
5.888021,2.34375,49,26,1,0,n23,5.869792,4.0
8.095052,1.7617188,75,55,1,0,n24,6.9915366,5.0
8.100261,1.7565104,51,39,1,0,n25,6.9915366,5.0
8.126302,1.7304688,48,25,1,0,n26,8.113281,6.0
8.139323,1.7174479,68,33,1,0,n27,8.113281,6.0
8.733073,1.1236979,56,47,1,0,n28,8.113281,6.0
9.2526045,0.61328125,60,51,1,0,n29,9.252604,7.0
9.766927,0.625,58,45,1,0,n30,9.252604,7.0
9.769531,0.67578125,73,60,1,0,n31,9.252604,7.0
9.770833,0.62109375,68,45,1,0,n32,9.252604,7.0
9.7786455,0.61328125,53,36,1,0,n33,9.252604,7.0
10.307292,0.68880206,75,79,1,0,n34,9.252604,7.0
10.3151045,0.68098956,51,43,1,0,n35,9.252604,7.0
10.317708,0.67838544,60,45,1,0,n36,10.316406,8.0
10.324219,0.671875,68,57,1,0,n37,10.316406,8.0
10.912761,1.1028646,77,82,1,0,n38,10.316406,8.0
10.9244795,1.1679688,61,44,1,0,n39,10.316406,8.0
10.930989,1.0846354,68,57,1,0,n40,10.316406,8.0
10.933594,1.0820312,49,43,1,0,n41,10.316406,8.0
11.881511,1.5260416,75,46,1,0,n42,10.316406,8.0
11.885417,1.5221354,58,37,1,0,n43,10.316406,8.0
11.897136,1.5104166,67,35,1,0,n44,11.891276,9.0
11.90625,1.5013021,51,25,1,0,n45,11.891276,9.0
12.901042,0.50651044,74,56,1,0,n46,11.891276,9.0
13.285156,3.6627605,58,34,1,0,n47,11.891276,9.0
13.2994795,3.6328125,51,34,1,0,n48,11.891276,9.0
13.395833,3.5364583,67,37,1,0,n49,13.347656,10.0
13.402344,3.529948,73,45,1,0,n50,13.347656,10.0
13.761719,3.170573,75,49,1,0,n51,13.347656,10.0
13.958333,2.9739583,73,47,1,0,n52,13.347656,10.0
14.119792,2.8125,75,49,1,0,n53,13.347656,10.0
14.255208,2.6770833,73,46,1,0,n54,13.347656,10.0
14.332031,2.6002605,75,38,1,0,n55,13.347656,10.0
14.4244795,2.5078125,73,44,1,0,n56,13.347656,10.0
14.5026045,2.4296875,75,39,1,0,n57,13.347656,10.0
14.619792,2.3125,73,34,1,0,n58,13.347656,10.0
14.673177,2.2591145,75,48,1,0,n59,13.347656,10.0
14.7473955,2.1848958,73,42,1,0,n60,13.347656,10.0
14.834636,2.0976562,75,49,1,0,n61,13.347656,10.0
14.899739,2.032552,73,47,1,0,n62,13.347656,10.0
14.967448,1.9648438,75,48,1,0,n63,13.347656,10.0
15.045573,1.8867188,73,53,1,0,n64,13.347656,10.0
15.1223955,1.8098959,75,50,1,0,n65,13.347656,10.0
15.197917,1.734375,73,49,1,0,n66,13.347656,10.0
15.2630205,1.6692709,75,60,1,0,n67,13.347656,10.0
15.3359375,1.5963541,73,53,1,0,n68,13.347656,10.0
15.4036455,1.5286459,75,62,1,0,n69,13.347656,10.0
15.463542,1.46875,73,70,1,0,n70,13.347656,10.0
15.552083,1.3802084,75,64,1,0,n71,13.347656,10.0
15.626302,1.3059896,73,55,1,0,n72,13.347656,10.0
15.71875,1.2135416,75,55,1,0,n73,13.347656,10.0
15.776042,1.15625,73,49,1,0,n74,13.347656,10.0
15.8932295,1.0390625,75,43,1,0,n75,13.347656,10.0
15.973958,0.9583333,73,40,1,0,n76,13.347656,10.0
16.048178,0.88411456,75,59,1,0,n77,13.347656,10.0
16.208334,0.7239583,73,55,1,0,n78,13.347656,10.0
16.348959,0.5833333,72,55,1,0,n79,13.347656,10.0
16.467447,0.46484375,73,63,1,0,n80,13.347656,10.0
16.570312,0.36197916,75,70,1,0,n81,13.347656,10.0
16.713541,0.21875,73,68,1,0,n82,13.347656,10.0
16.842447,0.29296875,75,74,1,0,n83,13.347656,10.0
17.122396,0.9192708,77,61,1,0,n84,17.122396,11.0
18.0,0.38802084,75,46,1,0,n85,17.122396,11.0
18.317709,0.3111979,73,42,1,0,n86,17.122396,11.0
18.619791,3.2526042,56,31,1,0,n87,17.122396,11.0
