xml_id	midi_id	track	channel	pitch	onset
n9-1	n1	0	0	44	1.5264407812500003
n11-1	n7	0	0	48	3.3092915625000003
n10-1	n3	0	0	51	1.5798595312500003
n12-1	n6	0	0	51	3.2986078125000002
n6-1	n5	0	0	63	3.2785757812500003
n5-1	n2	0	0	68	1.5558210937500003
n2-1	n4	0	0	68	3.2545373437500005
n1-1	n0	0	0	72	1.5237698437500002
n13-1	n10	0	0	48	3.8127632812500005
n15-1	n15	0	0	48	4.652773125
n14-1	n11	0	0	51	3.8167696875000003
n16-1	n13	0	0	51	4.604696250000001
n7-1	n9	0	0	63	3.8047504687500004
n8-1	n14	0	0	63	4.616715468750001
n3-1	n8	0	0	68	3.7860539062500003
n4-1	n12	0	0	68	4.588670625000001
n21-1	n19	0	0	46	4.971950156249999
n22-1	n18	0	0	51	4.96927921875
n17-1	n17	0	0	67	4.96660828125
n18-1	n16	0	0	73	4.9492471875
n23-1	n22	0	0	49	6.232632656250002
n24-1	n23	0	0	51	6.259342031250002
n19-1	n21	0	0	67	6.228626250000001
n20-1	n20	0	0	70	6.208594218750001
n39-1	n25	0	0	48	8.883538125000012
n33-1	n26	0	0	51	8.891550937500012
n34-1	n28	0	0	56	9.536582343750021
n25-1	n27	0	0	68	8.899563750000013
n26-1	n24	0	0	75	8.850151406250012
n40-1	n31	0	0	53	10.490107031250021
n36-1	n33	0	0	58	10.492777968750021
insertion	n35	0	0	58	10.612970156250022
n35-1	n29	0	0	60	9.998654531250022
n27-1	n32	0	0	68	10.491442500000021
insertion	n34	0	0	68	10.555545000000022
n28-1	n30	0	0	73	10.471410468750022
n42-1	n43	0	0	49	11.551804687500024
n41-1	n38	0	0	51	10.985565937500024
n37-1	n37	0	0	60	10.984230468750024
n38-1	n44	0	0	61	11.559817500000023
n29-1	n39	0	0	68	11.005597968750022
n31-1	n42	0	0	68	11.547798281250024
n30-1	n36	0	0	75	10.969540312500024
n32-1	n41	0	0	77	11.527766250000024
n65-1	n46	0	0	51	12.385137187500025
n66-1	n47	0	0	58	12.385137187500025
n54-1	n48	0	0	67	12.391814531250024
n44-1	n49	0	0	74	13.600413750000028
n43-1	n45	0	0	75	12.370447031250025
n67-1	n51	0	0	51	14.001054375000027
n68-1	n50	0	0	58	13.995712500000028
n45-1	n52	0	0	67	14.059815000000029
n48-1	n71	0	0	72	16.03764421875003
n46-1	n53	0	0	73	14.059815000000029
n56-1	n54	0	0	73	14.12258203125003
n58-1	n56	0	0	73	14.676801562500032
n47-1	n62	0	0	73	15.32984578125003
n64-1	n64	0	0	73	15.48876656250003
n49-1	n70	0	0	73	15.90676828125003
insertion	n60	0	0	73	15.161576718750029
insertion	n68	0	0	73	15.771885937500032
insertion	n72	0	0	73	16.13379796875003
n60-1	n58	0	0	73	14.974611093750031
insertion	n66	0	0	73	15.631661718750031
n55-1	n55	0	0	75	14.469803906250032
n61-1	n61	0	0	75	15.25773046875003
insertion	n67	0	0	75	15.706447968750032
n57-1	n57	0	0	75	14.858425312500032
n63-1	n63	0	0	75	15.43267687500003
insertion	n69	0	0	75	15.830646562500032
n59-1	n59	0	0	75	15.07477125000003
n50-1	n73	0	0	75	16.22060343750003
