xml_id	midi_id	track	channel	pitch	onset
n9-1	n2	1	0	44	1.0130208333333333
n11-1	n7	1	0	48	3.1940104166666665
n10-1	n3	1	0	51	1.0260416666666665
n12-1	n5	1	0	51	3.1705729166666665
n6-1	n6	1	0	63	3.1705729166666665
n5-1	n1	1	0	68	0.9947916666666666
n2-1	n4	1	0	68	3.12890625
n1-1	n0	1	0	72	0.9856770833333333
n13-1	n10	1	0	48	3.7239583333333326
n15-1	n14	1	0	48	4.377604166666666
n14-1	n11	1	0	51	3.729166666666666
n16-1	n15	1	0	51	4.406249999999999
n22-1	n17	1	0	51	4.622395833333331
n7-1	n9	1	0	63	3.713541666666666
n8-1	n12	1	0	63	4.367187499999999
n3-1	n8	1	0	68	3.7031249999999996
n4-1	n13	1	0	68	4.371093749999999
n21-1	n19	1	0	46	4.647135416666664
n17-1	n18	1	0	67	4.635416666666664
n18-1	n16	1	0	73	4.593749999999998
n23-1	n22	1	0	49	5.855468749999998
n24-1	n23	1	0	51	5.863281249999998
n19-1	n21	1	0	67	5.841145833333331
n20-1	n20	1	0	70	5.815104166666664
n39-1	n26	1	0	48	8.002604166666664
n33-1	n25	1	0	51	7.988281249999997
n34-1	n28	1	0	56	8.648437499999996
n25-1	n27	1	0	68	8.01302083333333
n26-1	n24	1	0	75	7.95052083333333
n40-1	n32	1	0	53	9.6015625
n36-1	n31	1	0	58	9.5859375
n35-1	n29	1	0	60	9.119791666666666
n27-1	n33	1	0	68	9.6015625
n28-1	n30	1	0	73	9.56640625
n42-1	n41	1	0	49	10.683593750000002
n41-1	n36	1	0	51	10.067708333333336
n37-1	n35	1	0	60	10.058593750000002
n38-1	n39	1	0	61	10.665364583333336
n29-1	n37	1	0	68	10.079427083333336
n31-1	n40	1	0	68	10.669270833333336
n30-1	n34	1	0	75	10.041666666666668
n32-1	n38	1	0	77	10.641927083333336
n65-1	n45	1	0	51	11.74479166666667
n66-1	n44	1	0	58	11.72526041666667
n54-1	n43	1	0	67	11.718750000000004
n44-1	n46	1	0	74	12.789062500000004
n43-1	n42	1	0	75	11.692708333333337
n67-1	n49	1	0	51	13.177083333333337
n68-1	n48	1	0	58	13.162760416666671
n45-1	n50	1	0	67	13.177083333333337
n48-1	n79	1	0	72	15.85677083333334
n46-1	n47	1	0	73	13.134114583333337
n56-1	n52	1	0	73	13.670572916666673
n58-1	n54	1	0	73	13.917968750000007
n60-1	n56	1	0	73	14.102864583333341
n47-1	n62	1	0	73	14.546875000000007
n64-1	n64	1	0	73	14.687500000000007
n49-1	n70	1	0	73	15.093750000000005
insertion	n58	1	0	73	14.253906250000009
insertion	n60	1	0	73	14.411458333333341
n55-1	n51	1	0	75	13.507812500000005
n57-1	n53	1	0	75	13.799479166666673
n59-1	n55	1	0	75	14.036458333333341
n61-1	n59	1	0	75	14.330729166666675
n63-1	n63	1	0	75	14.605468750000007
insertion	n57	1	0	75	14.177083333333341
n50-1	n75	1	0	75	15.462239583333337
insertion	n61	1	0	75	14.470052083333341
n53-1	n86	1	0	73	17.923177083333336
n52-1	n85	1	0	75	17.522135416666668
n51-1	n84	1	0	77	16.414062500000004
n74-1	n88	1	0	56	18.428385416666668
n77-1	n90	1	0	60	18.845052083333332
n79-1	n93	1	0	60	19.263020833333336
n82-1	n95	1	0	60	19.684895833333336
n84-1	n98	1	0	60	19.87630208333334
n86-1	n99	1	0	60	20.083333333333336
n89-1	n103	1	0	60	20.472656250000004
n75-1	deletion
n76-1	n89	1	0	63	18.82421875
n78-1	n91	1	0	63	19.040364583333332
n83-1	n96	1	0	63	19.688802083333336
n80-1	n92	1	0	63	19.236979166666668
n87-1	n100	1	0	63	20.102864583333336
n90-1	n102	1	0	63	20.458333333333336
n85-1	deletion
n71-1	n87	1	0	72	18.420572916666668
n81-1	n94	1	0	56	19.5078125
n72-1	n97	1	0	75	19.85026041666667
n88-1	n101	1	0	56	20.289062500000004
n91-1	n106	1	0	60	20.69791666666667
n93-1	n108	1	0	60	20.878906250000007
n92-1	n105	1	0	63	20.69010416666667
n94-1	n107	1	0	63	20.85286458333334
n73-1	n104	1	0	80	20.65364583333334
n97-1	n110	1	0	58	21.184895833333343
n98-1	n112	1	0	61	21.480468750000014
n102-1	n115	1	0	61	21.89583333333335
n100-1	deletion
n99-1	n111	1	0	63	21.446614583333346
n101-1	n113	1	0	63	21.687500000000014
n103-1	n114	1	0	63	21.893229166666682
n95-1	n109	1	0	80	21.178385416666675
n104-1	n116	1	0	58	22.135416666666682
n105-1	n118	1	0	61	22.368489583333357
n107-1	n121	1	0	61	22.587239583333353
n109-1	n123	1	0	61	22.779947916666686
n106-1	n119	1	0	63	22.37369791666669
n108-1	n120	1	0	63	22.56640625000002
n110-1	n122	1	0	63	22.768229166666686
n96-1	n117	1	0	79	22.151041666666682
n111-1	n124	1	0	58	22.958333333333353
n112-1	n126	1	0	61	23.157552083333353
n114-1	n128	1	0	61	23.36848958333335
n116-1	n130	1	0	61	23.56380208333335
n113-1	n125	1	0	63	23.149739583333353
n115-1	n127	1	0	63	23.34895833333335
n117-1	n129	1	0	63	23.55598958333335
n121-1	n132	1	0	61	23.873697916666682
n122-1	n134	1	0	63	24.167968750000014
n125-1	n136	1	0	63	24.36848958333335
n128-1	deletion
n123-1	n135	1	0	67	24.169270833333346
n126-1	n138	1	0	67	24.393229166666682
n129-1	n139	1	0	67	24.583333333333346
n124-1	n133	1	0	70	24.151041666666682
n127-1	n137	1	0	70	24.381510416666682
n130-1	n140	1	0	70	24.583333333333346
n118-1	n131	1	0	82	23.85286458333335
n131-1	n141	1	0	61	24.763020833333346
n132-1	n144	1	0	63	24.989583333333346
n135-1	n147	1	0	63	25.18750000000001
n138-1	n150	1	0	63	25.378906250000014
n133-1	n143	1	0	67	24.973958333333346
n136-1	n148	1	0	67	25.19531250000001
n139-1	n149	1	0	67	25.360677083333346
n134-1	n142	1	0	70	24.960937500000014
n137-1	n146	1	0	70	25.16796875000001
n140-1	n151	1	0	70	25.380208333333346
n119-1	n145	1	0	79	25.13151041666668
n141-1	n152	1	0	61	25.548177083333343
n142-1	n154	1	0	63	25.75260416666668
n145-1	n159	1	0	63	25.968750000000007
n148-1	deletion
n143-1	n155	1	0	67	25.76562500000001
n146-1	n158	1	0	67	25.963541666666675
n149-1	n161	1	0	67	26.143229166666675
n144-1	n153	1	0	70	25.75000000000001
n147-1	n157	1	0	70	25.928385416666675
n150-1	n160	1	0	70	26.122395833333343
n120-1	n156	1	0	75	25.923177083333343
n153-1	n163	1	0	60	26.420572916666675
n154-1	n165	1	0	63	26.70052083333334
n156-1	n166	1	0	63	26.89973958333334
n158-1	n168	1	0	63	27.07942708333334
n155-1	n164	1	0	68	26.68619791666667
n157-1	n167	1	0	68	26.89973958333334
n159-1	n169	1	0	68	27.10677083333334
n151-1	n162	1	0	75	26.386718750000007
n160-1	n171	1	0	60	27.36588541666667
n161-1	n172	1	0	63	27.54427083333334
n163-1	n174	1	0	63	27.76822916666667
n165-1	n176	1	0	63	27.920572916666675
n162-1	n173	1	0	68	27.54557291666667
n164-1	n175	1	0	68	27.77473958333334
n166-1	n177	1	0	68	27.958333333333343
n152-1	n170	1	0	80	27.31119791666667
n167-1	n178	1	0	60	28.14453125000001
n168-1	n179	1	0	63	28.319010416666675
n170-1	n181	1	0	63	28.533854166666675
n172-1	n183	1	0	63	28.718750000000007
n169-1	n180	1	0	68	28.324218750000007
n171-1	n182	1	0	68	28.540364583333343
n173-1	n184	1	0	68	28.734375000000007
n177-1	n186	1	0	66	28.99479166666667
n178-1	n189	1	0	68	29.251302083333336
n181-1	n192	1	0	68	29.444010416666664
n184-1	n195	1	0	68	29.64713541666666
n179-1	n188	1	0	72	29.230468750000004
n182-1	n191	1	0	72	29.442708333333332
n185-1	n194	1	0	72	29.62630208333333
n180-1	n187	1	0	75	29.212239583333336
n183-1	n190	1	0	75	29.419270833333332
n186-1	n193	1	0	75	29.61848958333333
n174-1	n185	1	0	80	28.95572916666667
n187-1	n196	1	0	66	29.82291666666666
n188-1	n199	1	0	68	30.042968749999993
n191-1	n203	1	0	68	30.24479166666666
n194-1	deletion
