xml_id	midi_id	track	channel	pitch	onset
n9-1	n2	1	0	44	1.0195312499999998
n11-1	n7	1	0	48	3.0364583333333326
n10-1	n3	1	0	51	1.0273437499999998
n12-1	n6	1	0	51	3.0247395833333326
n6-1	n4	1	0	63	2.9791666666666656
n5-1	n1	1	0	68	1.0182291666666665
n2-1	n5	1	0	68	2.984374999999999
n1-1	n0	1	0	72	0.9999999999999998
n13-1	n10	1	0	48	3.5598958333333326
n15-1	n15	1	0	48	4.403645833333334
n14-1	n11	1	0	51	3.569010416666666
n16-1	n13	1	0	51	4.376302083333334
n7-1	n9	1	0	63	3.558593749999999
n8-1	n14	1	0	63	4.390625000000001
n3-1	n8	1	0	68	3.533854166666666
n4-1	n12	1	0	68	4.361979166666667
n21-1	n18	1	0	46	4.701822916666667
n22-1	n17	1	0	51	4.690104166666667
n17-1	n19	1	0	67	4.704427083333334
n18-1	n16	1	0	73	4.686197916666667
n23-1	n23	1	0	49	6.182291666666665
n24-1	n21	1	0	51	6.177083333333332
n19-1	n22	1	0	67	6.177083333333332
n20-1	n20	1	0	70	6.152343749999999
n39-1	n26	1	0	48	8.834635416666664
n33-1	n25	1	0	51	8.82942708333333
n34-1	n28	1	0	56	9.442708333333334
n25-1	n27	1	0	68	8.835937499999998
n26-1	n24	1	0	75	8.792968749999996
n40-1	n33	1	0	53	10.602864583333334
n36-1	n31	1	0	58	10.580729166666668
n35-1	n29	1	0	60	10.028645833333334
n27-1	n32	1	0	68	10.600260416666668
n28-1	n30	1	0	73	10.563802083333334
n42-1	n40	1	0	49	11.807291666666673
n41-1	n35	1	0	51	11.214843750000004
n37-1	n36	1	0	60	11.216145833333337
n38-1	n39	1	0	61	11.804687500000007
n29-1	n37	1	0	68	11.220052083333337
n31-1	n41	1	0	68	11.812500000000007
n30-1	n34	1	0	75	11.20182291666667
n32-1	n38	1	0	77	11.789062500000007
n65-1	n45	1	0	51	12.709635416666679
n66-1	n44	1	0	58	12.697916666666679
n54-1	n43	1	0	67	12.688802083333345
n44-1	n46	1	0	74	14.006510416666682
n43-1	n42	1	0	75	12.657552083333345
n67-1	n50	1	0	51	14.457031250000018
n68-1	n49	1	0	58	14.453125000000018
n45-1	n48	1	0	67	14.447916666666684
n48-1	n73	1	0	72	16.895833333333346
n46-1	n47	1	0	73	14.43489583333335
n56-1	n52	1	0	73	14.944010416666684
n60-1	n58	1	0	73	15.662760416666682
n47-1	n62	1	0	73	15.99218750000002
n64-1	n66	1	0	73	16.307291666666686
n49-1	n72	1	0	73	16.800781250000014
insertion	n56	1	0	73	15.44010416666668
insertion	n60	1	0	73	15.805989583333352
insertion	n68	1	0	73	16.502604166666686
insertion	n70	1	0	73	16.640625000000018
insertion	n74	1	0	73	17.06640625000001
n58-1	n54	1	0	73	15.208333333333348
insertion	n64	1	0	73	16.167968750000018
n55-1	n51	1	0	75	14.764322916666682
n61-1	n61	1	0	75	15.915364583333353
n50-1	n75	1	0	75	17.216145833333346
insertion	n57	1	0	75	15.558593750000014
insertion	n69	1	0	75	16.56770833333335
insertion	n77	1	0	75	17.44921875000001
n57-1	n53	1	0	75	15.076822916666684
n63-1	n63	1	0	75	16.084635416666686
insertion	n59	1	0	75	15.710937500000018
insertion	n71	1	0	75	16.710937500000014
n59-1	n55	1	0	75	15.324218750000014
insertion	n67	1	0	75	16.407552083333353
n53-1	n80	1	0	73	18.975260416666668
n52-1	n79	1	0	75	18.58072916666667
n51-1	n78	1	0	77	17.60937500000001
n74-1	n81	1	0	56	19.420572916666668
n75-1	n83	1	0	60	19.882812499999996
n77-1	n86	1	0	60	20.165364583333325
n79-1	n87	1	0	60	20.428385416666657
n82-1	n90	1	0	60	20.93229166666665
n76-1	n84	1	0	63	19.890624999999996
n78-1	n85	1	0	63	20.160156249999993
n80-1	n88	1	0	63	20.428385416666657
n85-1	n91	1	0	63	21.165364583333314
n71-1	n82	1	0	72	19.479166666666664
n81-1	n89	1	0	56	20.65104166666665
n84-1	n93	1	0	60	21.18229166666665
n86-1	n95	1	0	60	21.446614583333318
n87-1	n94	1	0	63	21.423177083333318
n83-1	deletion
n72-1	n92	1	0	75	21.173177083333314
n88-1	n96	1	0	56	21.70312499999998
n89-1	n98	1	0	60	21.94921874999997
n91-1	n100	1	0	60	22.183593749999975
