onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
2.0491433,1.7980751,44,27,0,0,n0,-10.0,-10.0
2.0726476,1.7745708,51,29,0,0,n1,-10.0,-10.0
2.0747843,1.8162374,72,54,0,0,n2,2.073716,0.0
2.0918782,1.7553401,68,39,0,0,n3,2.073716,0.0
3.8194406,1.4636737,68,52,0,0,n4,3.1904347,1.0
3.8226457,1.4604686,48,31,0,0,n5,3.1904347,1.0
3.8333294,1.4497849,51,33,0,0,n6,3.1904347,1.0
3.8557653,1.427349,63,29,0,0,n7,3.1904347,1.0
4.290594,0.9925204,68,76,0,0,n8,3.1904347,1.0
4.305551,0.97756314,48,39,0,0,n9,3.1904347,1.0
4.3087564,0.974358,51,38,0,0,n10,4.3071537,2.0
4.310893,0.97222126,63,48,0,0,n11,4.3071537,2.0
5.013884,0.2692305,51,49,0,0,n12,4.3071537,2.0
5.017089,0.26602536,48,51,0,0,n13,4.3071537,2.0
5.017089,0.2916664,68,80,0,0,n14,4.3071537,2.0
5.0267043,0.25641,63,63,0,0,n15,4.3071537,2.0
5.2756357,1.316238,73,69,0,0,n16,4.3071537,2.0
5.2809777,1.3108962,46,39,0,0,n17,4.3071537,2.0
5.3002086,1.2916653,51,35,0,0,n18,5.290593,3.0
5.3023453,1.2895286,67,52,0,0,n19,5.290593,3.0
6.4369593,2.5737154,51,38,0,0,n20,5.290593,3.0
6.4369593,2.5737154,70,61,0,0,n21,5.290593,3.0
6.4476433,2.5630317,49,41,0,0,n22,6.442301,4.0
6.4540534,2.5566213,67,42,0,0,n23,6.442301,4.0
8.82264,1.5993574,75,59,0,0,n24,7.6343403,5.0
8.8237095,1.5918788,48,35,0,0,n25,7.6343403,5.0
8.829051,1.5865369,68,41,0,0,n26,8.82638,6.0
8.838666,1.5769215,51,32,0,0,n27,8.82638,6.0
9.387811,1.0277767,56,46,0,0,n28,8.82638,6.0
9.879264,0.53632426,60,53,0,0,n29,9.879264,7.0
10.368579,0.59615326,73,73,0,0,n30,9.879264,7.0
10.382468,0.58226436,58,37,0,0,n31,9.879264,7.0
10.3856735,0.57905924,53,38,0,0,n32,9.879264,7.0
10.39422,0.57051224,68,52,0,0,n33,9.879264,7.0
10.876058,0.6538455,75,81,0,0,n34,9.879264,7.0
10.894219,0.6356831,51,44,0,0,n35,9.879264,7.0
10.896357,0.63354635,60,44,0,0,n36,10.895288,8.0
10.911314,0.6185891,68,47,0,0,n37,10.895288,8.0
11.445501,0.79807615,77,83,0,0,n38,10.895288,8.0
11.458322,0.7852556,61,46,0,0,n39,10.895288,8.0
11.462595,0.78098214,49,44,0,0,n40,10.895288,8.0
11.473279,0.77029836,68,61,0,0,n41,10.895288,8.0
12.122851,1.3098278,75,76,0,0,n42,10.895288,8.0
12.132466,1.3002124,67,52,0,0,n43,10.895288,8.0
12.1346035,1.2980757,51,40,0,0,n44,12.133535,9.0
12.138877,1.2938021,58,39,0,0,n45,12.133535,9.0
13.049132,0.38354662,74,59,0,0,n46,12.133535,9.0
13.356824,2.1570492,58,32,0,0,n47,12.133535,9.0
13.368576,0.31837574,73,54,0,0,n48,12.133535,9.0
13.378192,2.1356816,67,37,0,0,n49,13.373384,10.0
13.3835335,2.1303399,51,24,0,0,n50,13.373384,10.0
13.720072,1.7938017,75,40,0,0,n51,13.373384,10.0
13.877123,1.6367505,73,51,0,0,n52,13.373384,10.0
13.989303,1.5245712,75,49,0,0,n53,13.373384,10.0
14.098276,1.4155968,73,57,0,0,n54,13.373384,10.0
14.213661,1.3002124,75,53,0,0,n55,13.373384,10.0
14.316225,1.1976484,73,57,0,0,n56,13.373384,10.0
14.413447,1.1004262,75,57,0,0,n57,13.373384,10.0
14.517079,0.99679387,73,59,0,0,n58,13.373384,10.0
14.636738,0.8771359,75,50,0,0,n59,13.373384,10.0
14.74037,0.7735035,73,25,0,0,n60,13.373384,10.0
14.795925,0.717948,75,46,0,0,n61,13.373384,10.0
14.913446,0.60042673,73,54,0,0,n62,13.373384,10.0
15.023489,0.49038413,72,58,0,0,n63,13.373384,10.0
15.148489,0.36538425,73,63,0,0,n64,13.373384,10.0
15.271352,0.24252112,75,57,0,0,n65,13.373384,10.0
15.403831,0.110042624,73,59,0,0,n66,13.373384,10.0
15.517078,0.12286312,75,57,0,0,n67,13.373384,10.0
15.677335,0.59294814,77,46,0,0,n68,15.677335,11.0
16.258532,0.282051,75,53,0,0,n69,15.677335,11.0
16.52135,0.28952962,73,54,0,0,n70,15.677335,11.0
16.820496,3.199783,56,28,0,0,n71,16.820496,12.0
16.820496,3.199783,72,51,0,0,n72,16.820496,12.0
17.20511,2.8151681,63,30,0,0,n73,16.820496,12.0
17.220068,2.800211,60,28,0,0,n74,16.820496,12.0
17.461521,2.558758,63,33,0,0,n75,16.820496,12.0
17.47541,2.5448692,60,32,0,0,n76,16.820496,12.0
17.719,2.3012798,60,36,0,0,n77,16.820496,12.0
17.719,2.3012798,63,36,0,0,n78,16.820496,12.0
17.951904,2.068374,56,54,0,0,n79,17.951904,13.0
18.204042,1.8162374,63,31,0,0,n80,17.951904,13.0
18.218998,1.8012803,60,35,0,0,n81,17.951904,13.0
18.470066,1.5502121,75,70,0,0,n82,17.951904,13.0
18.479683,1.5405967,63,40,0,0,n83,17.951904,13.0
18.490366,1.529913,60,31,0,0,n84,17.951904,13.0
18.71793,1.3023491,60,36,0,0,n85,17.951904,13.0
18.721134,1.299144,63,40,0,0,n86,17.951904,13.0
18.950836,1.0694433,56,56,0,0,n87,18.950836,14.0
19.189083,0.8311958,63,41,0,0,n88,18.950836,14.0
19.196562,0.8237171,60,39,0,0,n89,18.950836,14.0
19.430536,0.589743,63,45,0,0,n90,18.950836,14.0
19.434809,0.5854695,80,74,0,0,n91,18.950836,14.0
19.436947,0.5833328,60,38,0,0,n92,18.950836,14.0
19.665579,0.3547005,63,45,0,0,n93,18.950836,14.0
19.674126,0.3461535,60,39,0,0,n94,18.950836,14.0
19.918783,1.1228621,58,46,0,0,n95,18.950836,14.0
19.99357,1.0576912,80,70,0,0,n96,19.956177,15.0
20.25639,0.7852556,63,40,0,0,n97,19.956177,15.0
20.271347,0.77029836,61,30,0,0,n98,19.956177,15.0
20.509594,0.5320507,61,43,0,0,n99,19.956177,15.0
20.523483,0.5181619,63,44,0,0,n100,19.956177,15.0
20.746775,0.2948715,63,41,0,0,n101,19.956177,15.0
20.75639,0.28525612,61,42,0,0,n102,19.956177,15.0
20.978611,2.2232883,58,42,0,0,n103,19.956177,15.0
21.003183,2.1987157,79,62,0,0,n104,20.990898,16.0
21.24891,1.9529895,63,39,0,0,n105,20.990898,16.0
21.257458,1.9444425,61,31,0,0,n106,20.990898,16.0
21.507458,1.6944427,61,29,0,0,n107,20.990898,16.0
21.51173,1.6901692,63,40,0,0,n108,20.990898,16.0
21.741432,1.4604686,63,38,0,0,n109,20.990898,16.0
21.7425,1.4594003,61,37,0,0,n110,20.990898,16.0
22.001047,1.2008535,58,43,0,0,n111,22.001045,17.0
22.245705,0.95619565,63,36,0,0,n112,22.001045,17.0
22.25532,0.94658023,61,29,0,0,n113,22.001045,17.0
22.493567,0.7083326,61,39,0,0,n114,22.001045,17.0
22.502113,0.69978565,63,37,0,0,n115,22.001045,17.0
22.736088,0.4658115,63,44,0,0,n116,22.001045,17.0
22.751045,0.45085424,61,36,0,0,n117,22.001045,17.0
23.054464,3.131407,61,50,0,0,n118,22.001045,17.0
23.143139,3.042732,82,72,0,0,n119,23.0988,18.0
23.428396,2.7574759,70,43,0,0,n120,23.0988,18.0
23.4316,2.7542708,63,34,0,0,n121,23.0988,18.0
23.456173,2.7296982,67,31,0,0,n122,23.0988,18.0
23.67519,2.5106812,70,42,0,0,n123,23.0988,18.0
23.678394,2.507476,67,28,0,0,n124,23.0988,18.0
23.896343,2.2895277,63,29,0,0,n125,23.0988,18.0
23.905958,2.2799122,70,49,0,0,n126,23.0988,18.0
23.916643,2.2692285,67,33,0,0,n127,23.0988,18.0
24.13566,2.0502117,61,55,0,0,n128,24.13566,19.0
24.38459,1.8012803,63,35,0,0,n129,24.13566,19.0
24.40489,1.7809812,70,36,0,0,n130,24.13566,19.0
24.410233,1.7756393,67,31,0,0,n131,24.13566,19.0
24.666641,1.5192293,79,72,0,0,n132,24.13566,19.0
24.678394,1.5074772,70,37,0,0,n133,24.13566,19.0
24.685873,1.4999985,63,30,0,0,n134,24.13566,19.0
24.686941,1.4989301,67,27,0,0,n135,24.13566,19.0
24.925188,1.2606825,70,32,0,0,n136,24.13566,19.0
24.93053,1.2553406,67,33,0,0,n137,24.13566,19.0
24.932667,1.2532039,63,38,0,0,n138,24.13566,19.0
25.146343,1.0395288,61,52,0,0,n139,25.146341,20.0
25.408094,0.777777,70,35,0,0,n140,25.146341,20.0
25.413437,0.7724351,63,30,0,0,n141,25.146341,20.0
25.425188,0.760683,67,22,0,0,n142,25.146341,20.0
25.650616,0.53525585,75,63,0,0,n143,25.146341,20.0
25.655958,0.529914,67,33,0,0,n144,25.146341,20.0
25.657026,0.5288456,63,26,0,0,n145,25.146341,20.0
25.661299,0.52457213,70,30,0,0,n146,25.146341,20.0
25.882452,0.3034185,70,39,0,0,n147,25.146341,20.0
25.885658,0.30021337,67,37,0,0,n148,25.146341,20.0
26.111086,3.188031,60,40,0,0,n149,25.146341,20.0
26.17305,3.1260653,75,56,0,0,n150,26.142069,21.0
26.454033,2.8450825,63,33,0,0,n151,26.142069,21.0
26.461512,2.837604,68,31,0,0,n152,26.142069,21.0
26.711512,2.5876043,63,30,0,0,n153,26.142069,21.0
26.714716,2.5843992,68,40,0,0,n154,26.142069,21.0
26.920914,2.3782027,68,37,0,0,n155,26.142069,21.0
26.932665,2.3664505,63,33,0,0,n156,26.142069,21.0
27.148478,2.1506388,60,39,0,0,n157,26.142069,21.0
27.164503,2.1346133,80,54,0,0,n158,27.15649,22.0
27.42305,1.8760664,68,40,0,0,n159,27.15649,22.0
27.441212,1.8579041,63,24,0,0,n160,27.15649,22.0
27.667707,1.6314086,68,30,0,0,n161,27.15649,22.0
27.68587,1.6132462,63,34,0,0,n162,27.15649,22.0
27.90275,1.3963661,63,40,0,0,n163,27.15649,22.0
27.905954,1.393161,68,38,0,0,n164,27.15649,22.0
28.120699,1.1784177,60,49,0,0,n165,28.120699,23.0
28.384586,0.914529,63,33,0,0,n166,28.120699,23.0
28.38886,0.9102555,68,38,0,0,n167,28.120699,23.0
28.624971,0.6741446,68,37,0,0,n168,28.120699,23.0
28.627108,0.67200786,63,40,0,0,n169,28.120699,23.0
28.858946,0.4401705,63,39,0,0,n170,28.120699,23.0
