onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.5117506,3.3546975,72,57,0,0,n0,-10.0,-10.0
1.5170925,3.3493557,44,31,0,0,n1,-10.0,-10.0
1.5264407,3.3400073,68,44,0,0,n2,1.521767,0.0
1.5478083,3.3186398,51,28,0,0,n3,1.521767,0.0
3.0956166,1.7708316,68,51,0,0,n4,2.6014936,1.0
3.1410224,1.7254256,48,26,0,0,n5,2.6014936,1.0
3.1530416,1.7134064,63,5,0,0,n6,2.6014936,1.0
3.159719,1.706729,51,13,0,0,n7,2.6014936,1.0
3.6458297,1.2206185,68,59,0,0,n8,2.6014936,1.0
3.6738746,1.1925735,63,41,0,0,n9,2.6014936,1.0
3.6885648,1.1778834,51,35,0,0,n10,3.68122,2.0
3.6992486,1.1671997,48,29,0,0,n11,3.68122,2.0
4.4030404,0.46340767,68,71,0,0,n12,3.68122,2.0
4.424408,0.44204015,51,46,0,0,n13,3.68122,2.0
4.4270787,0.43936923,48,42,0,0,n14,3.68122,2.0
4.42975,0.4366983,63,47,0,0,n15,3.68122,2.0
4.75694,1.4409708,73,66,0,0,n16,3.68122,2.0
4.776972,1.3261205,67,54,0,0,n17,3.68122,2.0
4.7849846,1.3514944,46,45,0,0,n18,4.7809787,3.0
4.78632,1.3167722,51,34,0,0,n19,4.7809787,3.0
5.909449,2.0552864,70,49,0,0,n20,4.7809787,3.0
5.9388294,2.025906,67,41,0,0,n21,4.7809787,3.0
5.952184,2.0125513,51,30,0,0,n22,5.945507,4.0
5.9668746,1.9978613,49,30,0,0,n23,5.945507,4.0
7.7791057,1.8629789,75,64,0,0,n24,6.878332,5.0
7.7937956,1.7361094,68,45,0,0,n25,6.878332,5.0
7.828518,1.7013872,48,34,0,0,n26,7.811157,6.0
7.828518,1.7013872,51,29,0,0,n27,7.811157,6.0
8.497587,1.0323174,56,53,0,0,n28,7.811157,6.0
8.981028,0.54887766,60,63,0,0,n29,8.981027,7.0
9.473815,0.5515486,73,71,0,0,n30,8.981027,7.0
9.492512,0.53285205,68,53,0,0,n31,8.981027,7.0
9.497853,0.52751017,58,47,0,0,n32,8.981027,7.0
9.507202,0.5181619,53,44,0,0,n33,8.981027,7.0
10.022693,0.66506344,75,78,0,0,n34,8.981027,7.0
10.032042,0.65571517,60,63,0,0,n35,8.981027,7.0
10.036048,0.6517087,68,64,0,0,n36,10.034044,8.0
10.040054,0.64770234,51,60,0,0,n37,10.034044,8.0
10.665053,1.022969,77,78,0,0,n38,10.034044,8.0
10.682414,1.005608,68,61,0,0,n39,10.034044,8.0
10.689092,0.99893063,61,60,0,0,n40,10.034044,8.0
10.697104,0.9909178,49,54,0,0,n41,10.034044,8.0
11.655972,1.4089196,75,52,0,0,n42,10.034044,8.0
11.676003,1.3888875,67,45,0,0,n43,10.034044,8.0
11.68001,1.3848811,51,40,0,0,n44,11.678006,9.0
11.688023,1.3768682,58,26,0,0,n45,11.678006,9.0
12.600147,0.46474314,74,45,0,0,n46,11.678006,9.0
13.004795,2.800478,67,34,0,0,n47,11.678006,9.0
13.008801,0.2644228,73,38,0,0,n48,11.678006,9.0
13.016814,2.7884588,58,29,0,0,n49,13.016814,10.0
13.03551,2.7697623,51,28,0,0,n50,13.016814,10.0
13.3319845,2.473288,75,41,0,0,n51,13.016814,10.0
13.482892,2.32238,73,44,0,0,n52,13.016814,10.0
13.615104,2.1901689,75,50,0,0,n53,13.016814,10.0
13.753993,2.05128,73,43,0,0,n54,13.016814,10.0
13.866172,1.9391006,75,38,0,0,n55,13.016814,10.0
13.969003,1.8362695,73,40,0,0,n56,13.016814,10.0
14.061151,1.7441221,75,53,0,0,n57,13.016814,10.0
14.166653,1.6386201,73,48,0,0,n58,13.016814,10.0
14.282838,1.5224344,75,46,0,0,n59,13.016814,10.0
14.360295,1.4449772,73,55,0,0,n60,13.016814,10.0
14.469804,1.3354688,75,61,0,0,n61,13.016814,10.0
14.567293,1.2379795,73,58,0,0,n62,13.016814,10.0
14.658105,1.1471677,75,56,0,0,n63,13.016814,10.0
14.740904,1.0643686,73,61,0,0,n64,13.016814,10.0
14.841064,0.9642084,75,61,0,0,n65,13.016814,10.0
14.92787,0.87740296,73,61,0,0,n66,13.016814,10.0
15.028029,0.77724284,75,56,0,0,n67,13.016814,10.0
15.126855,0.6784181,73,58,0,0,n68,13.016814,10.0
15.202976,0.6022964,75,60,0,0,n69,13.016814,10.0
15.28711,0.5181619,73,56,0,0,n70,13.016814,10.0
15.360561,0.4447111,75,50,0,0,n71,13.016814,10.0
15.428671,0.37660217,73,64,0,0,n72,13.016814,10.0
15.628991,0.555555,72,65,0,0,n73,13.016814,10.0
15.787911,0.128205,73,70,0,0,n74,13.016814,10.0
15.917452,0.12686953,75,68,0,0,n75,13.016814,10.0
16.04165,0.39529875,73,74,0,0,n76,13.016814,10.0
16.16585,0.4821042,75,74,0,0,n77,13.016814,10.0
16.486362,0.69845015,77,68,0,0,n78,16.486362,11.0
17.048594,0.45539483,75,51,0,0,n79,16.486362,11.0
17.40383,0.44070467,73,49,0,0,n80,16.486362,11.0
17.820496,0.29780954,56,36,0,0,n81,17.820496,12.0
17.820496,3.0649009,72,41,0,0,n82,17.820496,12.0
18.17573,2.709666,63,31,0,0,n83,17.820496,12.0
18.183743,2.7016532,60,32,0,0,n84,17.820496,12.0
18.474874,2.410521,63,10,0,0,n85,17.820496,12.0
18.657833,2.227562,63,38,0,0,n86,17.820496,12.0
18.66184,2.2235556,60,20,0,0,n87,17.820496,12.0
18.916914,1.968481,56,40,0,0,n88,17.820496,12.0
19.143944,1.7414513,63,32,0,0,n89,18.916916,13.0
19.150621,1.7347739,60,33,0,0,n90,18.916916,13.0
19.37231,1.5705112,75,60,0,0,n91,18.916916,13.0
19.41905,1.4663447,60,19,0,0,n92,18.916916,13.0
19.588655,1.2967402,63,24,0,0,n93,18.916916,13.0
19.630054,1.2553406,60,32,0,0,n94,18.916916,13.0
19.813015,1.0723814,56,41,0,0,n95,19.813013,14.0
20.045385,0.84000987,63,43,0,0,n96,19.813013,14.0
20.05607,0.8293261,60,39,0,0,n97,19.813013,14.0
20.263067,0.62232846,80,71,0,0,n98,19.813013,14.0
20.317822,0.5675742,63,36,0,0,n99,19.813013,14.0
20.335182,0.5502131,60,22,0,0,n100,19.813013,14.0
20.508793,0.37660217,63,48,0,0,n101,19.813013,14.0
20.518143,0.3672539,60,42,0,0,n102,19.813013,14.0
20.822628,2.9834373,80,67,0,0,n103,19.813013,14.0
20.860022,0.20566219,58,37,0,0,n104,20.841326,15.0
21.104412,2.7016532,63,38,0,0,n105,20.841326,15.0
21.116432,2.689634,61,32,0,0,n106,20.841326,15.0
21.344797,2.461269,61,21,0,0,n107,20.841326,15.0
21.348803,2.4572625,63,42,0,0,n108,20.841326,15.0
21.566484,2.239581,63,31,0,0,n109,20.841326,15.0
21.573162,2.2329037,61,10,0,0,n110,20.841326,15.0
21.780159,2.13675,79,59,0,0,n111,20.841326,15.0
21.80687,1.9991968,58,31,0,0,n112,21.793514,16.0
22.016539,1.7895281,61,38,0,0,n113,21.793514,16.0
22.029892,1.7761735,63,34,0,0,n114,21.793514,16.0
22.256922,1.5491438,63,36,0,0,n115,21.793514,16.0
22.26093,1.5451373,61,31,0,0,n116,21.793514,16.0
22.483952,1.3221141,61,32,0,0,n117,21.793514,16.0
22.503984,1.3020821,63,39,0,0,n118,21.793514,16.0
22.723001,1.0830652,58,43,0,0,n119,22.723001,17.0
22.955372,0.8506936,61,39,0,0,n120,22.723001,17.0
22.955372,0.8506936,63,44,0,0,n121,22.723001,17.0
23.177061,0.6290058,63,45,0,0,n122,22.723001,17.0
23.2011,0.60496736,61,29,0,0,n123,22.723001,17.0
23.396076,0.4099889,61,43,0,0,n124,22.723001,17.0
23.400084,0.4059825,63,56,0,0,n125,22.723001,17.0
23.701899,3.0261722,82,71,0,0,n126,22.723001,17.0
23.756653,2.8512259,61,43,0,0,n127,23.729277,18.0
23.974335,2.6335444,70,48,0,0,n128,23.729277,18.0
23.997038,2.6108415,63,40,0,0,n129,23.729277,18.0
23.998373,2.609506,67,38,0,0,n130,23.729277,18.0
24.23475,2.373128,70,40,0,0,n131,23.729277,18.0
24.248106,2.3597734,63,29,0,0,n132,23.729277,18.0
24.42706,2.1808205,70,45,0,0,n133,23.729277,18.0
24.435072,2.1728077,63,37,0,0,n134,23.729277,18.0
24.45911,2.1487691,67,3,0,0,n135,23.729277,18.0
24.666107,1.9417715,61,50,0,0,n136,24.666107,19.0
24.903822,1.7040582,70,34,0,0,n137,24.666107,19.0
24.907827,1.7000517,63,36,0,0,n138,24.666107,19.0
24.909163,1.6987163,67,36,0,0,n139,24.666107,19.0
25.108149,1.5504792,79,70,0,0,n140,24.666107,19.0
25.146877,1.4610028,70,38,0,0,n141,24.666107,19.0
25.150883,1.4569964,63,36,0,0,n142,24.666107,19.0
25.177593,1.430287,67,22,0,0,n143,24.666107,19.0
25.333841,1.2740372,63,30,0,0,n144,24.666107,19.0
25.353874,1.2540052,70,39,0,0,n145,24.666107,19.0
25.40195,1.2059283,67,25,0,0,n146,24.666107,19.0
25.566214,1.0416657,61,48,0,0,n147,25.566214,20.0
25.803926,0.8039522,70,43,0,0,n148,25.566214,20.0
25.807934,0.7999458,63,39,0,0,n149,25.566214,20.0
25.83865,0.76923,67,26,0,0,n150,25.566214,20.0
26.018938,0.5889417,75,68,0,0,n151,25.566214,20.0
26.025616,0.58226436,63,18,0,0,n152,25.566214,20.0
26.06835,0.5395294,70,29,0,0,n153,25.566214,20.0
26.099066,0.5088136,67,15,0,0,n154,25.566214,20.0
26.233948,0.37393126,70,53,0,0,n155,25.566214,20.0
26.25398,0.3538992,67,35,0,0,n156,25.566214,20.0
26.542442,2.946044,75,62,0,0,n157,25.566214,20.0
26.587847,2.900638,60,38,0,0,n158,26.565144,21.0
26.794846,2.6936405,63,43,0,0,n159,26.565144,21.0
26.79618,2.692305,68,44,0,0,n160,26.565144,21.0
27.029888,2.458598,68,46,0,0,n161,26.565144,21.0
27.057932,2.4305532,63,36,0,0,n162,26.565144,21.0
27.26493,2.2235556,68,23,0,0,n163,26.565144,21.0
27.268936,2.2195492,63,37,0,0,n164,26.565144,21.0
27.497301,1.9911839,80,66,0,0,n165,26.565144,21.0
27.540037,1.9484489,60,31,0,0,n166,27.51867,22.0
27.714983,1.7735025,68,46,0,0,n167,27.51867,22.0
27.735016,1.7534704,63,39,0,0,n168,27.51867,22.0
27.966051,1.5224344,68,43,0,0,n169,27.51867,22.0
27.975399,1.5130861,63,42,0,0,n170,27.51867,22.0
28.177055,1.3114303,68,44,0,0,n171,27.51867,22.0
28.18106,1.307424,63,46,0,0,n172,27.51867,22.0
28.42011,1.068375,60,52,0,0,n173,28.42011,23.0
28.633785,0.8547,68,48,0,0,n174,28.42011,23.0
28.637793,0.8506936,63,47,0,0,n175,28.42011,23.0
28.860815,0.6276703,68,50,0,0,n176,28.42011,23.0
28.868828,0.6196575,63,47,0,0,n177,28.42011,23.0
29.065142,0.4233436,63,52,0,0,n178,28.42011,23.0
29.070484,0.4180017,68,56,0,0,n179,28.42011,23.0
29.395002,2.9153283,80,70,0,0,n180,28.42011,23.0
29.411028,2.8993027,66,51,0,0,n181,29.403015,24.0
29.666103,2.6442282,75,48,0,0,n182,29.403015,24.0
29.671444,2.6388862,68,46,0,0,n183,29.403015,24.0
29.680794,2.629538,72,46,0,0,n184,29.403015,24.0
29.897139,2.413192,75,48,0,0,n185,29.403015,24.0
29.906487,2.4038436,68,45,0,0,n186,29.403015,24.0
29.922512,2.387818,72,41,0,0,n187,29.403015,24.0
30.108143,2.202188,75,51,0,0,n188,29.403015,24.0
30.110813,2.199517,72,44,0,0,n189,29.403015,24.0
30.124168,2.1861622,68,52,0,0,n190,29.403015,24.0
30.345856,1.9644746,66,59,0,0,n191,30.345856,25.0
30.55152,1.7588123,75,52,0,0,n192,30.345856,25.0
30.564873,1.7454576,68,50,0,0,n193,30.345856,25.0
30.57155,1.7387803,72,47,0,0,n194,30.345856,25.0
30.770535,1.6025625,84,74,0,0,n195,30.345856,25.0
30.803923,1.5064087,75,47,0,0,n196,30.345856,25.0
30.817276,1.493054,68,46,0,0,n197,30.345856,25.0
30.826626,1.4837058,72,32,0,0,n198,30.345856,25.0
30.990889,1.3194431,75,53,0,0,n199,30.345856,25.0
30.992224,1.3181076,72,49,0,0,n200,30.345856,25.0
31.001572,1.3087593,68,54,0,0,n201,30.345856,25.0
31.209906,1.1004262,66,66,0,0,n202,31.209906,26.0
31.435598,0.874732,68,57,0,0,n203,31.209906,26.0
31.43827,0.8720611,75,59,0,0,n204,31.209906,26.0
31.45296,0.8573709,72,48,0,0,n205,31.209906,26.0
31.65061,0.65972155,87,86,0,0,n206,31.209906,26.0
31.677319,0.6330122,75,50,0,0,n207,31.209906,26.0
31.681326,0.6290058,68,47,0,0,n208,31.209906,26.0
31.716047,0.5942836,72,37,0,0,n209,31.209906,26.0
31.866955,0.44337562,72,55,0,0,n210,31.209906,26.0
31.869627,0.44070467,75,61,0,0,n211,31.209906,26.0
31.878975,0.4313564,68,43,0,0,n212,31.209906,26.0
32.176785,1.8643143,87,76,0,0,n213,31.209906,26.0
32.232872,1.8082247,65,43,0,0,n214,32.20483,27.0
32.465244,1.5758531,68,52,0,0,n215,32.20483,27.0
32.471924,0.06810891,73,55,0,0,n216,32.20483,27.0
32.688267,1.3528298,73,57,0,0,n217,32.20483,27.0
32.706966,1.3341333,68,49,0,0,n218,32.20483,27.0
32.896603,1.1444967,73,59,0,0,n219,32.20483,27.0
32.897938,1.1431613,68,57,0,0,n220,32.20483,27.0
33.11829,0.9228089,65,70,0,0,n221,33.11829,28.0
33.331966,0.7091339,73,71,0,0,n222,33.11829,28.0
33.3333,0.7077984,68,66,0,0,n223,33.11829,28.0
33.546974,0.6129801,85,79,0,0,n224,33.11829,28.0
33.581696,0.45940125,73,59,0,0,n225,33.11829,28.0
33.58704,0.45405936,68,61,0,0,n226,33.11829,28.0
33.764656,0.34722188,73,71,0,0,n227,33.11829,28.0
33.774006,0.2817839,68,75,0,0,n228,33.11829,28.0
33.994358,0.55288404,87,90,0,0,n229,33.11829,28.0
34.022404,0.5248392,63,65,0,0,n230,34.00838,29.0
34.230736,0.3165061,68,64,0,0,n231,34.00838,29.0
34.23474,0.3124997,72,71,0,0,n232,34.00838,29.0
34.47379,0.64770234,89,96,0,0,n233,34.00838,29.0
34.508514,0.6129801,61,61,0,0,n234,34.00838,29.0
34.728867,0.3926278,70,69,0,0,n235,34.00838,29.0
34.731537,0.38995686,68,64,0,0,n236,34.00838,29.0
35.045372,1.9764937,89,82,0,0,n237,34.00838,29.0
35.080093,1.9417715,63,50,0,0,n238,35.062733,30.0
35.361877,0.070779845,68,52,0,0,n239,35.062733,30.0
35.368553,0.065437965,72,50,0,0,n240,35.062733,30.0
35.64366,1.3782037,87,72,0,0,n241,35.062733,30.0
35.654346,1.36752,68,36,0,0,n242,35.062733,30.0
35.662357,1.3595072,72,33,0,0,n243,35.062733,30.0
35.89206,1.1298065,72,36,0,0,n244,35.062733,30.0
35.8974,1.1244646,68,33,0,0,n245,35.062733,30.0
36.087036,0.9348281,63,46,0,0,n246,36.087036,31.0
36.32742,0.69444376,72,43,0,0,n247,36.087036,31.0
36.33944,0.68242455,68,36,0,0,n248,36.087036,31.0
36.543766,0.47809783,85,63,0,0,n249,36.087036,31.0
36.575817,0.44604656,68,41,0,0,n250,36.087036,31.0
36.578487,0.44337562,72,41,0,0,n251,36.087036,31.0
36.76679,0.30181593,84,66,0,0,n252,36.087036,31.0
36.80285,0.21901688,68,38,0,0,n253,36.087036,31.0
36.80285,0.21901688,72,29,0,0,n254,36.087036,31.0
37.0232,1.0777233,87,64,0,0,n255,36.087036,31.0
37.05258,1.1030972,63,34,0,0,n256,37.03789,32.0
37.268925,0.83199704,85,56,0,0,n257,37.03789,32.0
37.272934,0.82799065,70,46,0,0,n258,37.03789,32.0
37.280945,0.8199778,73,38,0,0,n259,37.03789,32.0
37.544033,0.5568905,79,60,0,0,n260,37.03789,32.0
37.561394,0.5395294,70,35,0,0,n261,37.03789,32.0
37.566734,0.5341875,73,32,0,0,n262,37.03789,32.0
37.76839,0.33253172,73,42,0,0,n263,37.03789,32.0
37.779076,0.32184798,70,35,0,0,n264,37.03789,32.0
