onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.5088136,0.5074781,72,56,0,0,n0,-10.0,-10.0
0.51282,0.30582234,41,57,0,0,n1,-10.0,-10.0
0.5248392,0.3031514,68,49,0,0,n2,0.5188295,0.0
0.5381939,0.28044844,53,43,0,0,n3,0.5188295,0.0
0.78392017,0.30048046,70,69,0,0,n4,0.5188295,0.0
0.7852556,0.28445485,64,61,0,0,n5,0.5188295,0.0
0.7999458,0.21634594,43,49,0,0,n6,0.792601,1.0
0.80528766,0.21100406,55,49,0,0,n7,0.792601,1.0
1.0216336,0.080128126,68,60,0,0,n8,0.792601,1.0
1.043001,0.41933718,65,60,0,0,n9,0.792601,1.0
1.0470074,0.04139953,44,50,0,0,n10,1.0450045,2.0
1.0536848,0.04139953,56,46,0,0,n11,1.0450045,2.0
1.239315,0.22302328,67,69,0,0,n12,1.0450045,2.0
1.2406504,0.22168781,64,63,0,0,n13,1.0450045,2.0
1.2593471,0.20299125,58,66,0,0,n14,1.259347,3.0
1.2646888,0.19764937,46,55,0,0,n15,1.259347,3.0
1.2753726,0.18696563,61,44,0,0,n16,1.259347,3.0
1.5117506,0.03338672,59,73,0,0,n17,1.259347,3.0
1.5130861,0.037393127,47,69,0,0,n18,1.513086,4.0
1.5130861,0.046741407,65,61,0,0,n19,1.513086,4.0
1.5197635,0.029380312,56,61,0,0,n20,1.513086,4.0
1.5304472,0.044070467,62,49,0,0,n21,1.513086,4.0
1.729432,0.07745719,65,60,0,0,n22,1.513086,4.0
1.7334385,0.04139953,47,69,0,0,n23,1.513086,4.0
1.7454576,0.03338672,59,51,0,0,n24,1.513086,4.0
1.7588123,0.04540594,62,28,0,0,n25,1.745458,5.0
1.7601478,0.044070467,56,31,0,0,n26,1.745458,5.0
1.9791647,0.038728595,48,77,0,0,n27,1.745458,5.0
1.9898485,0.03338672,60,53,0,0,n28,1.745458,5.0
1.9925194,0.48878157,64,66,0,0,n29,1.9911835,6.0
1.9978613,0.034722187,55,48,0,0,n30,1.9911835,6.0
2.2769742,0.20432672,42,13,0,0,n31,2.2375777,7.0
2.4772944,0.03071578,48,96,0,0,n32,2.2375777,7.0
2.47863,0.9415055,79,88,0,0,n33,2.2375777,7.0
2.4839718,0.037393127,36,82,0,0,n34,2.2375777,7.0
2.4879782,0.078792654,72,86,0,0,n35,2.483972,8.0
2.4999976,0.049412344,76,80,0,0,n36,2.483972,8.0
2.7203498,0.69978565,76,85,0,0,n37,2.483972,8.0
2.7283626,0.6917728,72,76,0,0,n38,2.483972,8.0
2.7296982,0.6904373,52,84,0,0,n39,2.729698,9.0
2.7363756,0.68376,40,79,0,0,n40,2.729698,9.0
2.7537365,0.6663989,67,43,0,0,n41,2.729698,9.0
2.9593987,0.46073672,67,81,0,0,n42,2.729698,9.0
2.9607341,0.45940125,55,89,0,0,n43,2.960734,10.0
2.9607341,0.45940125,64,81,0,0,n44,2.960734,10.0
2.9607341,0.45940125,72,92,0,0,n45,2.960734,10.0
2.9647405,0.45539483,43,87,0,0,n46,2.960734,10.0
3.1757448,0.24439079,72,85,0,0,n47,2.960734,10.0
3.1837575,0.23637797,60,81,0,0,n48,2.960734,10.0
3.1837575,0.23637797,64,74,0,0,n49,2.960734,10.0
3.1837575,0.23637797,67,77,0,0,n50,2.960734,10.0
3.1890993,0.2310361,48,80,0,0,n51,3.183758,11.0
3.4081163,0.06677344,72,90,0,0,n52,3.183758,11.0
3.4094517,0.029380312,55,88,0,0,n53,3.183758,11.0
3.410787,0.036057655,43,86,0,0,n54,3.410787,12.0
3.413458,0.03205125,67,80,0,0,n55,3.410787,12.0
3.4201355,0.03071578,64,71,0,0,n56,3.410787,12.0
3.6204557,0.03205125,71,83,0,0,n57,3.410787,12.0
3.6217914,0.028044844,67,81,0,0,n58,3.621791,13.0
3.6217914,0.14690156,74,94,0,0,n59,3.621791,13.0
3.6271331,0.04139953,45,72,0,0,n60,3.621791,13.0
3.6298041,0.044070467,31,63,0,0,n61,3.621791,13.0
3.6418233,0.044070467,33,58,0,0,n62,3.621791,13.0
3.6485007,0.048076876,43,44,0,0,n63,3.621791,13.0
3.8768659,0.45405936,76,93,0,0,n64,3.621791,13.0
3.8875496,0.44337562,72,83,0,0,n65,3.621791,13.0
3.888885,0.44204015,48,89,0,0,n66,3.888885,14.0
3.888885,0.44204015,67,91,0,0,n67,3.888885,14.0
3.8902204,0.078792654,36,69,0,0,n68,3.888885,14.0
4.4337564,0.299145,68,60,0,0,n69,4.1619883,15.0
4.4337564,0.49412343,72,67,0,0,n70,4.1619883,15.0
4.436427,0.26175186,41,62,0,0,n71,4.4350915,16.0
4.4511175,0.102831095,53,54,0,0,n72,4.4350915,16.0
4.680818,0.28846124,64,66,0,0,n73,4.4350915,16.0
4.683489,0.29380313,70,67,0,0,n74,4.4350915,16.0
4.7021856,0.034722187,55,53,0,0,n75,4.692837,17.0
4.718211,0.05475422,43,45,0,0,n76,4.692837,17.0
4.9238734,0.2697647,65,52,0,0,n77,4.692837,17.0
4.9252086,0.037393127,56,51,0,0,n78,4.692837,17.0
