idx,matchtype,partid,ppartid
0,0,n5-1,n1
1,0,n7-1,n6
2,0,n6-1,n3
3,0,n8-1,n7
4,0,n3-1,n5
5,0,n1-1,n2
6,0,n4-1,n4
7,0,n2-1,n0
8,0,n14-1,n10
9,0,n15-1,n11
10,0,n9-1,n9
11,0,n10-1,n8
12,0,n16-1,n15
13,0,n17-1,n14
14,0,n11-1,n16
15,0,n12-1,n13
16,0,n13-1,n12
17,0,n24-1,n18
18,0,n18-1,n20
19,0,n25-1,n17
20,0,n19-1,n21
21,0,n20-1,n19
22,0,n26-1,n23
23,0,n21-1,n26
24,0,n27-1,n24
25,0,n22-1,n25
26,0,n23-1,n22
27,0,n30-1,n27
28,0,n28-1,n30
29,0,n31-1,n28
30,0,n29-1,n29
31,0,n38-1,n34
32,0,n39-1,n32
33,0,n32-1,n35
34,0,n33-1,n36
35,0,n34-1,n33
36,0,n40-1,n40
37,0,n41-1,n39
38,0,n35-1,n41
39,0,n36-1,n38
40,0,n37-1,n37
41,0,n48-1,n46
42,0,n49-1,n43
43,0,n42-1,n44
44,0,n43-1,n42
45,0,n44-1,n45
46,0,n50-1,n51
47,0,n51-1,n48
48,0,n45-1,n49
49,0,n46-1,n50
50,0,n47-1,n47
51,0,n58-1,n54
52,0,n59-1,n53
53,0,n52-1,n56
54,0,n53-1,n55
55,0,n54-1,n52
56,0,n60-1,n61
57,0,n61-1,n63
58,0,n55-1,n58
59,0,n56-1,n57
60,0,n57-1,n59
61,0,n65-1,n68
62,0,n66-1,n66
63,0,n62-1,n67
64,0,n63-1,n65
65,0,n64-1,n64
66,0,n5-2,n71
67,0,n6-2,n72
68,0,n1-2,n69
69,0,n2-2,n70
70,0,n7-2,n76
71,0,n8-2,n75
72,0,n3-2,n73
73,0,n4-2,n74
74,0,n14-2,n80
75,0,n15-2,n78
76,0,n9-2,n77
77,0,n10-2,n79
78,0,n16-2,n82
79,0,n17-2,n83
80,0,n11-2,n84
81,0,n12-2,n85
82,0,n13-2,n81
83,0,n24-2,n87
84,0,n18-2,n89
85,0,n25-2,n86
86,0,n19-2,n90
87,0,n20-2,n88
88,0,n26-2,n91
89,0,n21-2,n95
90,0,n27-2,n93
91,0,n22-2,n94
92,0,n23-2,n92
93,0,n30-2,n96
94,0,n28-2,n99
95,0,n31-2,n97
96,0,n29-2,n98
97,0,n38-2,n102
98,0,n39-2,n101
99,0,n32-2,n103
100,0,n33-2,n104
101,0,n34-2,n100
102,0,n40-2,n109
103,0,n41-2,n107
104,0,n35-2,n110
105,0,n36-2,n108
106,0,n37-2,n106
107,0,n48-2,n113
108,0,n49-2,n114
109,0,n42-2,n115
110,0,n43-2,n112
111,0,n44-2,n111
112,0,n50-2,n121
113,0,n51-2,n120
114,0,n45-2,n117
115,0,n46-2,n118
116,0,n47-2,n119
117,0,n58-2,n122
118,0,n59-2,n124
119,0,n52-2,n126
120,0,n53-2,n125
121,0,n54-2,n123
122,0,n60-2,n127
123,0,n61-2,n131
124,0,n55-2,n130
125,0,n56-2,n128
126,0,n57-2,n129
127,0,n65-2,n136
128,0,n66-2,n134
129,0,n62-2,n133
130,0,n63-2,n135
131,0,n64-2,n132
132,0,n71-1,n140
133,0,n72-1,n138
134,0,n67-1,n139
135,0,n68-1,n137
136,0,n73-1,n142
137,0,n74-1,n143
138,0,n69-1,n145
139,0,n70-1,n144
140,0,n78-1,n149
141,0,n79-1,n147
142,0,n77-1,n148
143,0,n75-1,n146
144,0,n76-1,n151
145,0,n80-1,n152
146,0,n81-1,n154
147,0,n91-1,n157
148,1,n88-1,undefined
149,0,n86-1,n156
150,0,n87-1,n153
151,0,n83-1,n155
152,0,n96-1,n161
153,0,n97-1,n159
154,0,n92-1,n160
155,0,n89-1,n158
156,0,n98-1,n162
157,0,n105-1,n167
158,0,n106-1,n165
159,0,n102-1,n164
160,0,n99-1,n163
161,0,n110-1,n169
162,0,n107-1,n168
163,0,n114-1,n173
164,0,n115-1,n171
165,0,n111-1,n172
166,0,n108-1,n170
167,0,n122-1,n178
168,0,n123-1,n176
169,0,n118-1,n174
170,0,n119-1,n177
171,0,n116-1,n175
172,0,n124-1,n182
173,0,n125-1,n180
174,0,n120-1,n181
175,1,n121-1,undefined
176,0,n117-1,n179
177,0,n128-1,n185
178,0,n129-1,n184
179,0,n127-1,n186
180,0,n126-1,n183
181,0,n130-1,n187
182,0,n133-1,n189
183,0,n134-1,n190
184,0,n131-1,n188
185,0,n138-1,n192
186,0,n139-1,n193
187,0,n136-1,n194
188,0,n135-1,n191
189,0,n137-1,n195
190,0,n141-1,n196
191,0,n142-1,n197
192,0,n146-1,n199
193,0,n147-1,n200
194,0,n143-1,n201
195,0,n144-1,n198
196,0,n154-1,n205
197,0,n155-1,n204
198,0,n150-1,n206
199,0,n148-1,n203
200,0,n151-1,n207
201,0,n149-1,n202
202,0,n152-1,n209
203,0,n153-1,n208
204,0,n157-1,n211
205,0,n158-1,n210
206,0,n162-1,n214
207,0,n163-1,n215
208,0,n159-1,n212
209,0,n160-1,n213
210,0,n168-1,n219
211,0,n169-1,n217
212,0,n164-1,n218
213,0,n165-1,n216
214,0,n170-1,n223
215,0,n171-1,n220
216,0,n166-1,n222
217,0,n167-1,n221
218,0,n176-1,n226
219,0,n177-1,n224
220,0,n172-1,n227
221,0,n173-1,n225
222,0,n178-1,n231
223,0,n179-1,n228
224,0,n174-1,n230
225,0,n175-1,n229
226,0,n184-1,n234
227,0,n185-1,n232
228,0,n180-1,n235
229,0,n181-1,n233
230,0,n186-1,n239
231,0,n187-1,n238
232,0,n182-1,n237
233,0,n183-1,n236
234,0,n190-1,n240
235,0,n191-1,n241
236,0,n188-1,n242
237,0,n192-1,n243
238,0,n193-1,n245
239,0,n189-1,n244
240,0,n197-1,n248
241,0,n198-1,n247
242,0,n195-1,n249
243,0,n194-1,n246
244,0,n196-1,n250
245,0,n200-1,n252
246,0,n201-1,n251
247,0,n205-1,n256
248,0,n206-1,n255
249,0,n202-1,n253
250,0,n203-1,n254
251,0,n213-1,n260
252,0,n214-1,n259
253,0,n209-1,n261
254,0,n207-1,n257
255,0,n210-1,n262
256,0,n208-1,n258
257,0,n211-1,n264
258,0,n212-1,n263
259,0,n216-1,n265
260,0,n217-1,n266
261,0,n221-1,n267
262,0,n222-1,n268
263,0,n218-1,n269
264,0,n219-1,n270
265,0,n227-1,n272
266,0,n228-1,n271
267,0,n223-1,n273
268,0,n224-1,n274
269,0,n229-1,n277
270,0,n230-1,n278
271,0,n225-1,n275
272,0,n226-1,n276
273,0,n235-1,n279
274,0,n236-1,n282
275,0,n231-1,n281
276,0,n232-1,n280
277,0,n237-1,n286
278,0,n238-1,n285
279,0,n233-1,n283
280,0,n234-1,n284
281,0,n241-1,n288
282,0,n242-1,n290
283,0,n239-1,n289
284,0,n240-1,n287
285,0,n246-1,n292
286,0,n247-1,n293
287,0,n245-1,n294
288,0,n243-1,n291
289,0,n244-1,n295
290,0,n252-1,n296
291,0,n250-1,n298
292,0,n248-1,n297
293,0,n251-1,n300
294,0,n249-1,n299
295,0,n257-1,n301
296,0,n255-1,n303
297,0,n253-1,n302
298,0,n256-1,n305
299,0,n254-1,n304
300,0,n262-1,n309
301,0,n263-1,n308
302,0,n258-1,n307
303,0,n259-1,n306
304,0,n264-1,n313
305,0,n265-1,n312
306,0,n260-1,n311
307,0,n261-1,n310
308,0,n276-1,n316
309,0,n277-1,n317
310,0,n270-1,n315
311,0,n271-1,n318
312,0,n272-1,n314
313,0,n278-1,n320
314,0,n279-1,n322
315,0,n273-1,n319
316,0,n274-1,n323
317,0,n275-1,n321
318,0,n283-1,n325
319,0,n284-1,n324
320,0,n280-1,n326
321,0,n285-1,n330
322,0,n286-1,n327
323,0,n281-1,n328
324,0,n282-1,n329
325,0,n293-1,n332
326,0,n294-1,n333
327,0,n289-1,n334
328,0,n290-1,n331
329,0,n78-2,n337
330,0,n79-2,n336
331,0,n77-2,n338
332,0,n75-2,n335
333,0,n76-2,n339
334,0,n80-2,n340
335,0,n81-2,n342
336,0,n91-2,n346
337,1,n88-2,undefined
338,0,n86-2,n343
339,0,n87-2,n341
340,0,n83-2,n344
341,0,n96-2,n349
342,0,n97-2,n347
343,0,n92-2,n350
344,0,n89-2,n348
345,0,n98-2,n351
346,0,n105-2,n356
347,0,n106-2,n352
348,0,n102-2,n354
349,0,n99-2,n353
350,0,n110-2,n358
351,0,n107-2,n357
352,0,n114-2,n361
353,0,n115-2,n362
354,0,n111-2,n360
355,0,n108-2,n359
356,0,n122-2,n367
357,0,n123-2,n366
358,0,n118-2,n364
359,0,n119-2,n365
360,0,n116-2,n363
361,0,n124-2,n371
362,0,n125-2,n368
363,0,n120-2,n369
364,0,n121-2,n372
365,0,n117-2,n370
366,0,n128-2,n375
367,0,n129-2,n373
368,0,n127-2,n376
369,0,n126-2,n374
370,0,n130-2,n377
371,0,n133-2,n380
372,0,n134-2,n379
373,0,n131-2,n378
374,0,n138-2,n383
375,0,n139-2,n382
