xml_id	midi_id	track	channel	pitch	onset
n5-1	n1	0	0	41	0.5154909375000001
n7-1	n7	0	0	43	0.7505334375
n6-1	n3	0	0	53	0.5515485937500001
n8-1	n6	0	0	55	0.74919796875
n3-1	n5	0	0	64	0.74652703125
n1-1	n2	0	0	68	0.5301810937500001
n4-1	n4	0	0	70	0.7291659375
n2-1	n0	0	0	72	0.51148453125
n14-1	n9	0	0	44	0.9495182812499999
n15-1	n10	0	0	56	0.9575310937499999
n9-1	deletion
n10-1	n8	0	0	68	0.94150546875
n16-1	n13	0	0	46	1.1578514062499998
n17-1	n14	0	0	58	1.1671996875
n11-1	n12	0	0	61	1.14316125
n12-1	deletion
n13-1	n11	0	0	67	1.1338129687499998
n24-1	n17	0	0	47	1.3715264062499999
n18-1	n19	0	0	56	1.3915584374999999
n25-1	n15	0	0	59	1.3688554687499999
n19-1	n16	0	0	62	1.3688554687499999
n20-1	n18	0	0	65	1.3715264062499999
n26-1	n24	0	0	47	1.6185881249999998
n21-1	n21	0	0	56	1.5945496874999998
n27-1	n23	0	0	59	1.6105753124999997
n22-1	n22	0	0	62	1.6065689062499997
n23-1	n20	0	0	65	1.5918787499999998
n30-1	n27	0	0	48	1.8402759374999997
n28-1	n25	0	0	55	1.8335985937499997
n31-1	n28	0	0	60	1.8402759374999997
n29-1	n26	0	0	64	1.8362695312499997
n38-1	n33	0	0	36	2.2970062499999995
n39-1	n31	0	0	48	2.2943353124999994
n32-1	n32	0	0	72	2.2943353124999994
n33-1	n34	0	0	76	2.3023481249999995
n34-1	n30	0	0	79	2.2876579687499996
n40-1	n38	0	0	40	2.541397031249999
n41-1	n39	0	0	52	2.541397031249999
n35-1	n36	0	0	67	2.5360551562499993
n36-1	n37	0	0	72	2.537390624999999
n37-1	n35	0	0	76	2.5307132812499993
n48-1	n46	0	0	43	2.7897942187499982
n49-1	n43	0	0	55	2.764420312499998
n42-1	n42	0	0	64	2.7470592187499983
n43-1	n41	0	0	67	2.7457237499999985
n44-1	n40	0	0	72	2.7377109374999984
n50-1	n53	0	0	48	2.9954564062499967
n51-1	n51	0	0	60	2.9553923437499967
n45-1	n49	0	0	64	2.948714999999997
n46-1	n48	0	0	67	2.947379531249997
n47-1	n47	0	0	72	2.939366718749997
n58-1	n54	0	0	43	3.157048124999996
n59-1	n58	0	0	55	3.1637254687499956
n52-1	n57	0	0	64	3.159719062499996
n53-1	n55	0	0	67	3.157048124999996
n54-1	n56	0	0	72	3.158383593749996
n60-1	n63	0	0	31	3.3840778124999953
n61-1	n64	0	0	43	3.393426093749995
n55-1	n61	0	0	67	3.3774004687499954
n56-1	n62	0	0	71	3.3800714062499955
n57-1	n60	0	0	74	3.3680521874999956
n65-1	n70	0	0	36	3.6565134374999944
n66-1	n69	0	0	48	3.6511715624999943
n62-1	n67	0	0	67	3.6458296874999947
n63-1	n68	0	0	72	3.6498360937499945
n64-1	n66	0	0	76	3.6431587499999947
n5-2	n72	0	0	41	4.172004374999993
n6-2	n73	0	0	53	4.180017187499993
n1-2	n74	0	0	68	4.192036406249993
n2-2	n71	0	0	72	4.165327031249993
n7-2	n76	0	0	43	4.392356718749993
n8-2	n77	0	0	55	4.392356718749993
n3-2	n78	0	0	64	4.405711406249993
n4-2	n75	0	0	70	4.388350312499993
n14-2	n81	0	0	44	4.619386406249992
n15-2	n82	0	0	56	4.630070156249992
n9-2	n80	0	0	65	4.6180509374999925
n10-2	n79	0	0	68	4.611373593749993
n16-2	n85	0	0	46	4.839738749999992
n17-2	n87	0	0	58	4.855764374999993
n11-2	n86	0	0	61	4.849087031249993
n12-2	n84	0	0	64	4.838403281249993
n13-2	n83	0	0	67	4.826384062499993
n24-2	n90	0	0	47	5.065432968749992
n18-2	n93	0	0	56	5.09748421874999
n25-2	n89	0	0	59	5.0614265624999915
n19-2	n91	0	0	62	5.086800468749991
n20-2	n92	0	0	65	5.09080687499999
n26-2	n97	0	0	47	5.3071528124999885
n21-2	n95	0	0	56	5.285785312499989
n27-2	n98	0	0	59	5.315165624999988
n22-2	n96	0	0	62	5.304481874999989
n23-2	n94	0	0	65	5.284449843749989
n30-2	n102	0	0	48	5.559556406249987
n28-2	n99	0	0	55	5.540859843749987
n31-2	n101	0	0	60	5.5515435937499875
