onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.5168264,0.21901688,72,47,0,0,n0,-10.0,-10.0
0.53151655,0.20432672,68,38,0,0,n1,-10.0,-10.0
0.54353577,0.1923075,41,15,0,0,n2,0.537527,0.0
0.5475422,0.18830109,53,18,0,0,n3,0.537527,0.0
0.72783047,0.17628187,70,51,0,0,n4,0.537527,0.0
0.7478625,0.15624985,43,51,0,0,n5,0.747862,1.0
0.7478625,0.15624985,64,50,0,0,n6,0.747862,1.0
0.75453985,0.1495725,55,45,0,0,n7,0.747862,1.0
0.9348281,0.20699766,44,55,0,0,n8,0.747862,1.0
0.9348281,0.20699766,68,74,0,0,n9,0.747862,1.0
0.94284093,0.040064063,65,55,0,0,n10,0.938835,2.0
0.95886654,0.18295921,56,47,0,0,n11,0.938835,2.0
1.1324775,0.037393127,67,65,0,0,n12,0.938835,2.0
1.1458322,0.036057655,61,59,0,0,n13,0.938835,2.0
1.1471677,0.03338672,58,50,0,0,n14,0.938835,2.0
1.1485032,0.034722187,64,47,0,0,n15,1.147168,3.0
1.2019218,0.0026709375,46,3,0,0,n16,1.147168,3.0
1.3408107,0.036057655,56,67,0,0,n17,1.147168,3.0
1.3408107,0.037393127,65,69,0,0,n18,1.147168,3.0
1.3461525,0.037393127,59,60,0,0,n19,1.147168,3.0
1.3568362,0.038728595,47,45,0,0,n20,1.346153,4.0
1.3568362,0.03205125,62,50,0,0,n21,1.346153,4.0
1.5544857,0.04139953,65,44,0,0,n22,1.346153,4.0
1.5584921,0.03338672,56,53,0,0,n23,1.558492,5.0
1.5584921,0.04139953,62,43,0,0,n24,1.558492,5.0
1.5718467,0.049412344,59,10,0,0,n25,1.558492,5.0
1.7868571,0.070779845,55,57,0,0,n26,1.558492,5.0
1.7908636,0.45005298,60,48,0,0,n27,1.558492,5.0
1.7962055,0.4447111,48,47,0,0,n28,1.793534,6.0
1.7962055,0.4447111,64,55,0,0,n29,1.793534,6.0
2.2088654,0.38862142,48,73,0,0,n30,2.005206,7.0
2.2128718,0.384615,79,93,0,0,n31,2.005206,7.0
2.2168782,0.046741407,36,79,0,0,n32,2.216878,8.0
2.2168782,0.3806086,72,81,0,0,n33,2.216878,8.0
2.2235556,0.37393126,76,74,0,0,n34,2.216878,8.0
2.4238758,0.17361094,67,87,0,0,n35,2.216878,8.0
2.4278822,0.16960452,40,77,0,0,n36,2.427882,9.0
2.4278822,0.16960452,52,73,0,0,n37,2.427882,9.0
2.4278822,0.16960452,76,68,0,0,n38,2.427882,9.0
2.4292176,0.16826907,72,78,0,0,n39,2.427882,9.0
2.612177,0.213675,55,74,0,0,n40,2.427882,9.0
2.614848,0.21100406,72,82,0,0,n41,2.427882,9.0
2.6201897,0.042735,64,80,0,0,n42,2.427882,9.0
