onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.5,2.6276042,46,37,1,0,n0,-10.0,-10.0
0.51171875,2.6158855,77,47,1,0,n1,-10.0,-10.0
0.51692706,2.610677,34,33,1,0,n2,0.514323,0.0
0.54036456,2.5872395,73,36,1,0,n3,0.514323,0.0
2.7226562,0.4049479,77,62,1,0,n4,0.514323,0.0
2.7382812,0.3893229,73,42,1,0,n5,0.514323,0.0
2.7395833,0.38802084,46,40,1,0,n6,0.514323,0.0
2.748698,0.37890625,34,38,1,0,n7,0.514323,0.0
3.0117188,1.2747396,75,53,1,0,n8,0.514323,0.0
3.0117188,1.2747396,78,68,1,0,n9,0.514323,0.0
3.0416667,1.2447916,34,31,1,0,n10,3.026693,1.0
3.0533855,1.2330729,46,30,1,0,n11,3.026693,1.0
4.0950522,1.4283854,66,44,1,0,n12,3.026693,1.0
4.0976562,1.4257812,46,39,1,0,n13,3.026693,1.0
4.111979,1.4114584,34,33,1,0,n14,3.026693,1.0
4.1145835,1.4088541,63,39,1,0,n15,3.026693,1.0
4.1158853,1.4075521,69,54,1,0,n16,3.026693,1.0
4.1236978,1.3997396,60,33,1,0,n17,3.026693,1.0
5.408854,1.4479166,70,48,1,0,n18,3.026693,1.0
5.4101562,6.5117188,46,36,1,0,n19,3.026693,1.0
5.4127603,1.4440104,65,31,1,0,n20,5.41276,2.0
5.4309897,6.4908853,34,28,1,0,n21,5.41276,2.0
5.4322915,1.4244791,61,33,1,0,n22,5.41276,2.0
6.7721353,1.6901041,77,63,1,0,n23,5.41276,2.0
6.8164062,1.6458334,74,24,1,0,n24,5.41276,2.0
8.118489,1.6601562,80,67,1,0,n25,5.41276,2.0
8.130208,3.7916667,75,44,1,0,n26,8.124349,3.0
9.600261,2.3216145,78,39,1,0,n27,8.124349,3.0
11.6901045,2.4270833,47,34,1,0,n28,8.124349,3.0
11.7057295,2.4114583,35,34,1,0,n29,8.124349,3.0
11.709636,2.407552,78,51,1,0,n30,11.707682,4.0
11.729167,2.3880208,75,36,1,0,n31,11.707682,4.0
13.920573,2.4934895,80,68,1,0,n32,11.707682,4.0
13.921875,2.4921875,71,47,1,0,n33,11.707682,4.0
13.927083,2.4869792,52,41,1,0,n34,13.924479,5.0
13.936198,2.4778645,40,43,1,0,n35,13.924479,5.0
16.15625,1.9778646,61,60,1,0,n36,13.924479,5.0
16.157553,1.9765625,59,52,1,0,n37,13.924479,5.0
16.170572,4.1992188,54,31,1,0,n38,16.164062,6.0
16.19401,4.1757812,42,40,1,0,n39,16.164062,6.0
18.023438,2.3463542,64,60,1,0,n40,16.164062,6.0
18.042969,2.326823,61,48,1,0,n41,18.042969,7.0
18.044271,2.3255208,58,44,1,0,n42,18.042969,7.0
20.244791,1.2643229,58,36,1,0,n43,18.042969,7.0
20.251303,2.842448,63,45,1,0,n44,18.042969,7.0
20.25651,0.4388021,43,40,1,0,n45,20.25651,8.0
20.261719,0.17447917,61,35,1,0,n46,20.25651,8.0
20.266928,1.2421875,55,40,1,0,n47,20.25651,8.0
21.414062,1.6796875,59,37,1,0,n48,20.25651,8.0
21.423178,1.6705729,56,28,1,0,n49,20.25651,8.0
21.43099,1.6627604,44,20,1,0,n50,20.25651,8.0
22.984375,1.2070312,64,50,1,0,n51,20.25651,8.0
22.996094,2.5716145,49,37,1,0,n52,20.25651,8.0
23.007812,0.42578125,58,40,1,0,n53,23.007812,9.0
23.020834,2.546875,37,34,1,0,n54,23.007812,9.0
23.02474,0.3971354,56,26,1,0,n55,23.007812,9.0
24.217447,1.3502604,76,62,1,0,n56,23.007812,9.0
25.445312,2.8489583,51,46,1,0,n57,23.007812,9.0
25.447916,2.8463542,39,41,1,0,n58,25.446615,10.0
26.75,1.8255209,58,46,1,0,n59,25.446615,10.0
26.773438,1.59375,56,36,1,0,n60,25.446615,10.0
28.088541,20.223959,39,36,1,0,n61,25.446615,10.0
29.717447,18.595053,63,37,1,0,n62,28.088543,11.0
29.734375,18.578125,58,21,1,0,n63,28.088543,11.0
29.753906,18.558594,55,19,1,0,n64,28.088543,11.0
32.28255,16.029947,39,35,1,0,n65,32.28255,12.0
32.927082,15.385417,43,38,1,0,n66,32.28255,12.0
33.316406,14.996094,46,42,1,0,n67,32.28255,12.0
33.614582,14.697917,49,35,1,0,n68,32.28255,12.0
33.89323,14.4192705,51,36,1,0,n69,32.28255,12.0
34.147137,14.165364,55,35,1,0,n70,32.28255,12.0
34.403645,13.9088545,58,35,1,0,n71,32.28255,12.0
34.652344,13.660156,61,33,1,0,n72,32.28255,12.0
34.941406,13.371094,63,31,1,0,n73,32.28255,12.0
35.239582,13.072917,67,40,1,0,n74,32.28255,12.0
35.596355,12.7161455,70,34,1,0,n75,32.28255,12.0
36.684895,11.6276045,73,62,1,0,n76,36.684895,9.0
40.285156,8.027344,70,47,1,0,n77,38.84831,10.0
41.01172,7.3007812,68,52,1,0,n78,41.01172,11.0
42.329426,5.9830728,67,43,1,0,n79,41.01172,11.0
44.441406,3.8710938,70,44,1,0,n80,41.01172,11.0
44.828125,3.484375,73,58,1,0,n81,44.54492,12.0
45.34245,2.970052,76,59,1,0,n82,44.54492,12.0
45.940105,2.3723958,75,51,1,0,n83,44.54492,12.0
47.152344,1.1601562,70,40,1,0,n84,44.54492,12.0
48.066406,1.4049479,73,33,1,0,n85,44.54492,12.0
48.078125,4.1315103,59,34,1,0,n86,48.078125,13.0
48.097656,4.111979,56,33,1,0,n87,48.078125,13.0
49.28776,2.921875,71,32,1,0,n88,48.078125,13.0
50.9375,1.2721354,59,46,1,0,n89,48.078125,13.0
50.945312,1.2643229,56,38,1,0,n90,48.078125,13.0
50.95573,1.2539062,40,30,1,0,n91,48.078125,13.0
50.959637,1.25,52,23,1,0,n92,48.078125,13.0
52.117188,1.2643229,57,69,1,0,n93,48.078125,13.0
52.139324,1.2421875,49,45,1,0,n94,48.078125,13.0
52.145832,1.2356771,52,53,1,0,n95,52.14258,14.0
52.164062,1.2174479,37,44,1,0,n96,52.14258,14.0
53.29427,2.6927083,57,64,1,0,n97,52.14258,14.0
53.304688,2.6822917,54,53,1,0,n98,52.14258,14.0
53.31901,2.6679688,51,54,1,0,n99,52.14258,14.0
53.320312,2.6666667,47,47,1,0,n100,52.14258,14.0
53.333332,0.24609375,35,43,1,0,n101,52.14258,14.0
55.303387,23.8125,69,38,1,0,n102,52.14258,14.0
55.33073,23.785156,57,38,1,0,n103,52.14258,14.0
55.335938,23.779947,54,37,1,0,n104,55.335938,19.0
55.338543,23.777344,51,40,1,0,n105,55.335938,19.0
55.339844,23.776041,47,39,1,0,n106,55.335938,19.0
56.127605,22.988281,81,58,1,0,n107,55.335938,19.0
58.679688,20.436197,81,64,1,0,n108,58.508682,9.083333
59.213543,19.902344,81,37,1,0,n109,58.508682,9.083333
59.653645,19.46224,81,71,1,0,n110,58.508682,9.083333
60.183594,18.932291,81,39,1,0,n111,58.508682,9.083333
61.016926,18.098959,81,43,1,0,n112,58.508682,9.083333
62.27474,16.841146,81,32,1,0,n113,61.681423,10.166667
62.920574,16.195312,81,36,1,0,n114,61.681423,10.166667
63.369793,15.746094,81,34,1,0,n115,61.681423,10.166667
63.70703,15.4088545,81,62,1,0,n116,61.681423,10.166667
64.032555,15.083333,81,45,1,0,n117,61.681423,10.166667
64.30599,14.8098955,81,76,1,0,n118,61.681423,10.166667
64.595055,14.520833,81,47,1,0,n119,61.681423,10.166667
64.854164,14.261719,81,85,1,0,n120,64.854164,11.25
65.45443,13.661458,81,84,1,0,n121,64.854164,11.25
65.76823,13.347656,81,50,1,0,n122,64.854164,11.25
66.217445,12.8984375,81,79,1,0,n123,64.854164,11.25
66.22266,12.8932295,54,36,1,0,n124,64.854164,11.25
66.23307,12.8828125,59,47,1,0,n125,64.854164,11.25
66.25651,12.859375,47,40,1,0,n126,64.854164,11.25
66.25912,12.8567705,51,46,1,0,n127,64.854164,11.25
66.61719,12.498698,81,44,1,0,n128,64.854164,11.25
66.92057,12.1953125,81,76,1,0,n129,64.854164,11.25
67.25,11.865886,81,19,1,0,n130,64.854164,11.25
67.520836,11.595052,81,65,1,0,n131,64.854164,11.25
67.80469,11.311198,81,39,1,0,n132,64.854164,11.25
68.19401,10.921875,81,53,1,0,n133,68.044014,12.333333
69.05599,10.0598955,81,44,1,0,n134,68.044014,12.333333
69.813805,9.302083,81,22,1,0,n135,68.044014,12.333333
72.67969,6.4361978,78,36,1,0,n136,71.23386,13.416667
73.546875,5.5690103,75,59,1,0,n137,71.23386,13.416667
74.354164,4.7617188,69,53,1,0,n138,71.23386,13.416667
75.48307,3.6328125,73,53,1,0,n139,74.4237,14.5
76.404945,2.7109375,71,41,1,0,n140,74.4237,14.5
77.376305,1.7395834,69,38,1,0,n141,74.4237,14.5
78.93229,2.0078125,59,33,1,0,n142,77.61354,15.583333
78.94531,1.9947916,52,39,1,0,n143,77.61354,15.583333
78.96094,0.62369794,68,39,1,0,n144,77.61354,15.583333
78.96875,1.9713541,56,27,1,0,n145,77.61354,15.583333
79.979164,0.96744794,76,72,1,0,n146,77.61354,15.583333
80.78776,2.1848958,55,58,1,0,n147,77.61354,15.583333
80.80338,2.1692708,52,58,1,0,n148,80.80338,16.666666
80.80338,2.1692708,58,55,1,0,n149,80.80338,16.666666
80.80599,2.1666667,49,54,1,0,n150,80.80338,16.666666
81.489586,1.4830729,67,73,1,0,n151,80.80338,16.666666
82.82162,2.641927,71,59,1,0,n152,80.80338,16.666666
82.82943,2.6940105,53,53,1,0,n153,80.80338,16.666666
82.83594,2.7278645,50,52,1,0,n154,82.83594,28.75
82.83594,2.6276042,56,46,1,0,n155,82.83594,28.75
82.83724,2.626302,59,50,1,0,n156,82.83594,28.75
85.35807,1.0130209,70,62,1,0,n157,85.35807,9.75
86.28125,1.2890625,68,56,1,0,n158,85.35807,9.75
87.467445,2.2851562,67,49,1,0,n159,87.467445,11.5
89.64453,0.37760416,68,41,1,0,n160,87.467445,11.5
90.58724,3.0247395,68,30,1,0,n161,90.58724,13.25
93.27604,16.380209,63,31,1,0,n162,90.58724,13.25
96.604164,13.052083,51,27,1,0,n163,90.58724,13.25
96.609375,13.046875,63,29,1,0,n164,96.60677,15.0
97.13672,12.519531,63,38,1,0,n165,96.60677,15.0
97.154945,12.501302,51,28,1,0,n166,96.60677,15.0
97.572914,12.083333,51,32,1,0,n167,96.60677,15.0
97.57943,12.076823,63,28,1,0,n168,96.60677,15.0
98.01432,11.641927,63,29,1,0,n169,96.60677,15.0
98.020836,11.635417,51,37,1,0,n170,98.01758,16.75
98.46094,11.1953125,63,30,1,0,n171,98.01758,16.75
98.46224,11.194011,51,31,1,0,n172,98.01758,16.75
98.86719,10.7890625,63,34,1,0,n173,98.01758,16.75
98.8724,10.7838545,51,33,1,0,n174,98.01758,16.75
99.30599,10.350261,47,24,1,0,n175,98.01758,16.75
99.313805,10.342448,59,29,1,0,n176,98.01758,16.75
99.31641,10.339844,63,29,1,0,n177,99.3151,39.25
99.33073,10.3255205,51,29,1,0,n178,99.3151,39.25
99.739586,9.916667,59,31,1,0,n179,99.3151,39.25
99.748695,9.907552,47,32,1,0,n180,99.3151,39.25
99.75521,9.901042,63,35,1,0,n181,99.3151,39.25
99.77344,9.8828125,51,35,1,0,n182,99.3151,39.25
100.15625,9.5,63,44,1,0,n183,99.3151,39.25
100.16927,9.4869795,59,34,1,0,n184,99.3151,39.25
100.17578,9.480469,47,28,1,0,n185,99.3151,39.25
100.17969,9.4765625,51,41,1,0,n186,99.3151,39.25
100.55469,9.1015625,63,36,1,0,n187,99.3151,39.25
100.5599,9.0963545,59,41,1,0,n188,99.3151,39.25
100.58984,9.066406,47,38,1,0,n189,100.57487,42.25
100.60677,9.0494795,51,34,1,0,n190,100.57487,42.25
100.96224,8.694011,63,42,1,0,n191,100.57487,42.25
100.979164,8.677083,59,44,1,0,n192,100.57487,42.25
100.98047,8.675781,47,35,1,0,n193,100.57487,42.25
100.99349,8.662761,51,41,1,0,n194,100.57487,42.25
101.36068,8.295573,63,49,1,0,n195,100.57487,42.25
