onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
2.0491393,2.8279831,77,39,1,0,n0,-10.0,-10.0
2.0662332,2.8108892,73,33,1,0,n1,-10.0,-10.0
2.0993528,2.7777696,34,23,1,0,n2,2.082793,0.0
2.1100366,2.7670858,46,20,1,0,n3,2.082793,0.0
4.407038,0.47008407,77,52,1,0,n4,2.082793,0.0
4.4241323,0.4529901,73,42,1,0,n5,2.082793,0.0
4.4593887,0.41773382,46,16,1,0,n6,2.082793,0.0
4.4690037,0.40811846,34,16,1,0,n7,2.082793,0.0
4.7563963,1.647431,78,52,1,0,n8,2.082793,0.0
4.763875,1.6399524,75,47,1,0,n9,2.082793,0.0
4.7745585,1.6292686,46,26,1,0,n10,4.769217,1.0
4.777764,1.6260636,34,22,1,0,n11,4.769217,1.0
6.182674,1.5587561,69,45,1,0,n12,4.769217,1.0
6.201905,1.5395254,60,38,1,0,n13,4.769217,1.0
6.2104516,1.5309784,63,30,1,0,n14,4.769217,1.0
6.218999,1.5224314,46,21,1,0,n15,4.769217,1.0
6.233956,1.5074742,34,22,1,0,n16,4.769217,1.0
6.2414346,0.16239269,66,24,1,0,n17,4.769217,1.0
7.586516,1.8589689,70,37,1,0,n18,4.769217,1.0
7.6078835,1.8376014,61,28,1,0,n19,4.769217,1.0
7.6110888,1.8343962,65,32,1,0,n20,4.769217,1.0
7.6271143,6.0405803,46,22,1,0,n21,7.611089,2.0
7.6335244,6.03417,34,25,1,0,n22,7.611089,2.0
9.257451,1.5619612,77,50,1,0,n23,7.611089,2.0
9.274546,1.4722179,74,42,1,0,n24,7.611089,2.0
10.441209,1.5138844,80,58,1,0,n25,7.611089,2.0
10.445482,3.2222128,75,43,1,0,n26,10.443345,3.0
11.7927,1.8749945,78,45,1,0,n27,10.443345,3.0
13.414491,2.7093937,78,41,1,0,n28,10.443345,3.0
13.430516,2.6933682,75,35,1,0,n29,10.443345,3.0
13.474319,2.6495647,47,15,1,0,n30,13.452417,4.0
13.479661,2.644223,35,21,1,0,n31,13.452417,4.0
15.873885,2.6378126,80,57,1,0,n32,13.452417,4.0
15.879227,2.6324708,71,44,1,0,n33,13.452417,4.0
15.905936,2.6057615,52,30,1,0,n34,15.892582,5.0
15.934782,2.5769155,40,31,1,0,n35,15.892582,5.0
18.262766,2.3899503,61,52,1,0,n36,15.892582,5.0
18.270245,2.3824716,59,45,1,0,n37,15.892582,5.0
18.298023,4.6538324,42,35,1,0,n38,18.284134,6.0
18.298023,4.6538324,54,38,1,0,n39,18.284134,6.0
20.440111,2.5117447,64,49,1,0,n40,18.284134,6.0
20.451862,2.4999926,58,39,1,0,n41,20.451862,7.0
20.45293,2.4989243,61,36,1,0,n42,20.451862,7.0
22.810831,2.707257,63,50,1,0,n43,20.451862,7.0
22.82365,1.3066201,61,43,1,0,n44,20.451862,7.0
22.825787,1.3044833,58,39,1,0,n45,22.825787,8.0
22.841812,1.2884578,55,33,1,0,n46,22.825787,8.0
22.864248,1.2660218,43,32,1,0,n47,22.825787,8.0
23.995655,1.5224314,59,40,1,0,n48,22.825787,8.0
24.003134,1.5149528,56,33,1,0,n49,22.825787,8.0
24.027706,1.4903802,44,34,1,0,n50,22.825787,8.0
25.414455,2.9871707,64,39,1,0,n51,22.825787,8.0
25.416592,2.985034,56,30,1,0,n52,22.825787,8.0
25.427275,2.9743502,49,29,1,0,n53,25.427275,9.0
25.434753,2.9668715,58,26,1,0,n54,25.427275,9.0
