idx,matchtype,partid,ppartid
0,0,n19-1,n1
1,0,n21-1,n5
2,0,n23-1,n10
3,0,n25-1,n14
4,0,n20-1,n3
5,0,n22-1,n7
6,0,n24-1,n11
7,1,n26-1,undefined
8,0,n7-1,n16
9,0,n8-1,n15
10,0,n9-1,n13
11,0,n10-1,n12
12,0,n1-1,n2
13,0,n3-1,n6
14,0,n5-1,n9
15,0,n2-1,n0
16,0,n4-1,n4
17,0,n6-1,n8
18,0,n27-1,n20
19,0,n28-1,n21
20,0,n11-1,n19
21,0,n12-1,n18
22,0,n13-1,n17
23,0,n14-1,n23
24,0,n15-1,n22
25,0,n18-1,n25
26,0,n17-1,n26
27,0,n16-1,n24
28,0,n38-1,n30
29,0,n39-1,n27
30,0,n29-1,n29
31,0,n30-1,n28
32,0,n40-1,n34
33,0,n41-1,n33
34,0,n31-1,n32
35,0,n32-1,n31
36,0,n42-1,n37
37,0,n43-1,n38
38,0,n35-1,n36
39,0,n33-1,n35
40,0,n36-1,n41
41,0,n37-1,n40
42,0,n34-1,n39
43,0,n59-1,n45
44,0,n61-1,n47
45,1,n60-1,undefined
46,0,n62-1,n48
47,0,n56-1,n44
48,0,n58-1,n46
49,0,n57-1,n43
50,0,n44-1,n42
51,0,n63-1,n50
52,0,n64-1,n52
53,0,n45-1,n53
54,0,n46-1,n51
55,0,n70-1,n68
56,0,n47-1,n49
57,0,n48-1,n54
58,0,n65-1,n55
59,0,n66-1,n66
60,0,n92-1,n95
61,0,n99-1,n125
62,2,undefined,n164
63,2,undefined,n170
64,0,n50-1,n84
65,2,undefined,n57
66,0,n51-1,n56
67,0,n67-1,n58
68,0,n53-1,n61
69,0,n54-1,n60
70,0,n55-1,n59
71,0,n95-1,n62
72,0,n96-1,n63
73,0,n97-1,n64
74,0,n98-1,n91
75,0,n108-1,n150
76,2,undefined,n65
77,0,n69-1,n67
78,0,n71-1,n69
79,0,n72-1,n70
80,2,undefined,n162
81,0,n73-1,n76
82,2,undefined,n71
83,2,undefined,n159
84,0,n74-1,n77
85,0,n77-1,n81
