xml_id	midi_id	track	channel	pitch	onset
n19-1	n2	0	0	34	1.5651693750000004
n21-1	n7	0	0	34	4.460465625
n23-1	n10	0	0	34	4.919866875
n25-1	n14	0	0	34	6.183220312500005
n20-1	n3	0	0	46	1.5705112500000005
n22-1	n6	0	0	46	4.452452812500001
n24-1	n12	0	0	46	4.95325359375
n26-1	n16	0	0	46	6.220613437500005
n7-1	n15	0	0	60	6.200581406250005
n8-1	n18	0	0	63	6.258006562500006
n9-1	n17	0	0	66	6.220613437500005
insertion	n19	0	0	66	6.323444531250005
n10-1	n13	0	0	69	6.165859218750005
n1-1	n1	0	0	73	1.5464728125000005
n3-1	n8	0	0	73	4.48851046875
n5-1	n11	0	0	75	4.934557031250001
n2-1	n0	0	0	77	1.5144215625000004
n4-1	n5	0	0	77	4.416395156250001
n6-1	n9	0	0	78	4.89716390625
n27-1	n21	0	0	34	7.522695468750009
n28-1	n23	0	0	46	7.538721093750009
n11-1	n22	0	0	61	7.528037343750009
n12-1	n24	0	0	65	7.54272750000001
n13-1	n20	0	0	70	7.510676250000009
n14-1	n26	0	0	74	8.978356406250015
n15-1	n25	0	0	77	8.950311562500016
n18-1	n28	0	0	75	10.514145468750035
n17-1	n30	0	0	78	12.118043437500054
insertion	n29	0	0	78	12.056611875000053
n16-1	n27	0	0	80	10.452713906250036
n38-1	n34	0	0	35	14.34426984375007
n39-1	n32	0	0	47	14.33358609375007
n29-1	n33	0	0	75	14.33358609375007
n30-1	n31	0	0	78	14.32156687500007
n40-1	n37	0	0	40	16.9577821875001
n41-1	n38	0	0	52	16.971136875000102
n31-1	n36	0	0	71	16.9524403125001
n32-1	n35	0	0	80	16.927066406250102
n42-1	n41	0	0	42	19.599339375000124
n43-1	n42	0	0	54	19.610023125000122
n35-1	n40	0	0	59	19.585984687500122
n33-1	n39	0	0	61	19.552597968750124
n36-1	n45	0	0	58	22.076633906250148
n37-1	n44	0	0	61	22.06461468750015
n34-1	n43	0	0	64	22.02588609375015
n59-1	n48	0	0	43	24.735552187500172
n61-1	n53	0	0	44	25.985550937500182
n60-1	n47	0	0	55	24.724868437500174
n62-1	n52	0	0	56	25.977538125000184
n56-1	n49	0	0	58	24.73822312500017
n58-1	n51	0	0	59	25.974867187500184
n57-1	n50	0	0	61	24.74890687500017
n44-1	n46	0	0	63	24.683468906250173
n63-1	n54	0	0	37	27.203498437500198
n64-1	n58	0	0	49	27.236885156250196
n45-1	n57	0	0	56	27.223530468750198
n46-1	n56	0	0	58	27.222195000000198
