xml_id	midi_id	track	channel	pitch	onset
n39-1	n9	1	0	30	2.72265625
n37-1	n3	1	0	42	1.2161458333333333
n40-1	n8	1	0	42	2.7135416666666665
n41-1	n15	1	0	42	2.9895833333333335
n2-1	n1	1	0	51	1.0052083333333333
n38-1	n2	1	0	54	1.2083333333333333
n42-1	n10	1	0	54	2.9791666666666665
n3-1	n0	1	0	63	0.9973958333333333
n6-1	n5	1	0	63	2.7096354166666665
n10-1	n11	1	0	63	2.98046875
n7-1	n6	1	0	69	2.712239583333333
n11-1	n12	1	0	69	2.9830729166666665
n8-1	n7	1	0	72	2.712239583333333
n12-1	n14	1	0	72	2.984375
n9-1	n4	1	0	75	2.708333333333333
n13-1	n13	1	0	75	2.9830729166666665
n45-1	n19	1	0	54	5.648437500000001
n46-1	n18	1	0	63	5.643229166666668
n18-1	n17	1	0	69	5.641927083333335
n19-1	n16	1	0	72	5.638020833333335
n47-1	n23	1	0	54	5.951822916666668
n48-1	n20	1	0	63	5.941406250000001
n23-1	n22	1	0	69	5.949218750000001
n21-1	n38	1	0	71	7.373697916666667
n20-1	n21	1	0	72	5.946614583333334
n26-1	n25	1	0	72	6.247395833333335
n28-1	n27	1	0	72	6.417968750000002
n30-1	n31	1	0	72	6.694010416666668
n32-1	n33	1	0	72	6.832031250000002
n34-1	n35	1	0	72	6.959635416666669
n36-1	n37	1	0	72	7.25
n22-1	n39	1	0	72	7.609375
insertion	n29	1	0	72	6.537760416666668
n25-1	n24	1	0	74	6.143229166666668
n27-1	n26	1	0	74	6.342447916666668
n29-1	n28	1	0	74	6.479166666666668
n31-1	n32	1	0	74	6.759114583333334
n33-1	n34	1	0	74	6.906250000000002
n35-1	n36	1	0	74	7.154947916666667
insertion	n30	1	0	74	6.626302083333335
n65-1	n43	1	0	55	7.964843749999999
n66-1	n42	1	0	62	7.957031249999999
n49-1	n41	1	0	67	7.953124999999999
n50-1	n40	1	0	71	7.934895833333333
n68-1	n46	1	0	48	9.472656249999998
n69-1	n49	1	0	55	9.483072916666664
n70-1	n48	1	0	60	9.476562499999998
n52-1	n45	1	0	63	9.466145833333332
n53-1	n47	1	0	67	9.475260416666664
n54-1	n44	1	0	72	9.451822916666666
n72-1	n50	1	0	35	10.597656250000002
n80-1	n64	1	0	35	11.359375000000007
n73-1	n51	1	0	38	10.718750000000004
n74-1	n52	1	0	43	10.794270833333337
n81-1	n65	1	0	43	11.421875000000007
n75-1	n53	1	0	47	10.878906250000005
n82-1	n63	1	0	47	11.355468750000007
n76-1	n54	1	0	50	10.917968750000005
n77-1	n55	1	0	55	10.971354166666671
n78-1	n56	1	0	59	11.045572916666671
n57-1	n57	1	0	62	11.13802083333334
n60-1	n62	1	0	62	11.348958333333341
n58-1	n58	1	0	67	11.20442708333334
n61-1	n61	1	0	67	11.347656250000007
n59-1	n59	1	0	71	11.261718750000005
n62-1	n60	1	0	74	11.342447916666673
n123-1	n75	1	0	35	15.906250000000009
n121-1	n69	1	0	47	14.481770833333341
n124-1	n74	1	0	47	15.899739583333343
n86-1	n67	1	0	56	14.279947916666675
n122-1	n68	1	0	59	14.477864583333341
n87-1	n66	1	0	68	14.274739583333341
n90-1	n71	1	0	68	15.895833333333343
n91-1	n72	1	0	74	15.898437500000009
n92-1	n73	1	0	77	15.898437500000009
n93-1	n70	1	0	80	15.894531250000009
n125-1	n81	1	0	47	16.16015625000001
n126-1	n79	1	0	59	16.157552083333343
n94-1	n77	1	0	68	16.149739583333343
n95-1	n80	1	0	74	16.157552083333343
n96-1	n78	1	0	77	16.151041666666675
n97-1	n76	1	0	80	16.145833333333343
n129-1	n84	1	0	59	18.871093750000004
n130-1	n83	1	0	68	18.867187500000004
n102-1	n85	1	0	74	18.871093750000004
n103-1	n82	1	0	77	18.864583333333336
n131-1	n87	1	0	59	19.13411458333334
n132-1	n89	1	0	68	19.13802083333334
n107-1	n88	1	0	74	19.136718750000007
n105-1	n107	1	0	76	20.671875
n104-1	n86	1	0	77	19.13151041666667
n110-1	n91	1	0	77	19.458333333333336
n112-1	n93	1	0	77	19.611979166666668
n114-1	n97	1	0	77	19.884114583333336
n116-1	n101	1	0	77	20.167968750000007
n118-1	n103	1	0	77	20.28125
n120-1	n106	1	0	77	20.5703125
n106-1	n108	1	0	77	20.873697916666668
insertion	n95	1	0	77	19.731770833333336
insertion	n99	1	0	77	20.010416666666668
insertion	n104	1	0	77	20.447916666666668
n109-1	n90	1	0	79	19.36067708333334
n111-1	n92	1	0	79	19.540364583333336
n113-1	n94	1	0	79	19.690104166666668
n115-1	n98	1	0	79	19.949218750000004
n117-1	n102	1	0	79	20.218750000000004
n119-1	n105	1	0	79	20.47265625
insertion	n96	1	0	79	19.803385416666668
insertion	n100	1	0	79	20.097656250000004
n150-1	n112	1	0	58	21.205729166666668
n151-1	n110	1	0	61	21.1953125
n133-1	n111	1	0	67	21.19921875
n134-1	n109	1	0	76	21.184895833333332
n153-1	n115	1	0	56	22.703124999999996
n154-1	n117	1	0	60	22.705729166666664
n136-1	n114	1	0	65	22.701822916666664
n137-1	n116	1	0	72	22.703124999999996
n138-1	n113	1	0	77	22.694010416666664
n156-1	n118	1	0	40	23.88020833333333
n163-1	n132	1	0	40	24.589843749999996
n157-1	n119	1	0	43	23.992187499999996
n158-1	n120	1	0	48	24.05989583333333
n164-1	deletion
n159-1	n121	1	0	52	24.124999999999996
n165-1	n131	1	0	52	24.584635416666664
n160-1	n122	1	0	55	24.154947916666664
n161-1	n123	1	0	60	24.205729166666664
n141-1	n124	1	0	64	24.272135416666664
n142-1	n125	1	0	67	24.375
n145-1	n129	1	0	67	24.580729166666664
n143-1	n126	1	0	72	24.44140625
n146-1	n130	1	0	72	24.580729166666664
n144-1	n127	1	0	76	24.493489583333332
n147-1	n128	1	0	79	24.572916666666664
n203-1	n137	1	0	40	27.684895833333332
n205-1	n143	1	0	41	29.282552083333332
n168-1	n134	1	0	49	27.50390625
n204-1	n136	1	0	52	27.682291666666664
n206-1	n142	1	0	53	29.279947916666664
n169-1	n133	1	0	61	27.497395833333332
n172-1	n139	1	0	73	29.274739583333332
n173-1	n140	1	0	77	29.274739583333332
n174-1	n141	1	0	82	29.276041666666664
n175-1	n138	1	0	85	29.272135416666664
n207-1	n149	1	0	41	29.566406249999993
n208-1	n145	1	0	53	29.55989583333333
n176-1	n147	1	0	73	29.56119791666666
n177-1	n146	1	0	77	29.55989583333333
n178-1	n148	1	0	82	29.56119791666666
n179-1	n144	1	0	85	29.554687499999996
n211-1	n154	1	0	53	32.36458333333332
n212-1	n153	1	0	58	32.36197916666666
n213-1	n152	1	0	61	32.36067708333332
n184-1	n151	1	0	73	32.35677083333332
n185-1	n150	1	0	82	32.35286458333332
n214-1	n159	1	0	53	32.71874999999999
n215-1	n157	1	0	58	32.71093749999999
n216-1	n158	1	0	61	32.71093749999999
n189-1	n156	1	0	73	32.70703124999999
n187-1	n178	1	0	81	34.304687500000014
n186-1	n155	1	0	82	32.70312499999999
n192-1	n161	1	0	82	33.079427083333336
n194-1	n163	1	0	82	33.2578125
n198-1	n173	1	0	82	33.91666666666668
n202-1	n177	1	0	82	34.17317708333335
insertion	n167	1	0	82	33.51041666666667
insertion	n171	1	0	82	33.78385416666667
n196-1	n169	1	0	82	33.65625000000001
n200-1	n175	1	0	82	34.057291666666686
