xml_id	midi_id	track	channel	pitch	onset
n39-1	n9	1	0	30	2.1575520833333326
n37-1	n3	1	0	42	1.046875
n40-1	n8	1	0	42	2.108072916666666
n41-1	n15	1	0	42	2.371093749999999
n2-1	n1	1	0	51	0.94921875
n38-1	n2	1	0	54	1.0442708333333333
n42-1	n13	1	0	54	2.3645833333333326
n3-1	n0	1	0	63	0.9453125
n6-1	n5	1	0	63	2.0911458333333326
n10-1	n10	1	0	63	2.356770833333332
n7-1	n7	1	0	69	2.0976562499999996
n11-1	n12	1	0	69	2.3619791666666656
n8-1	n6	1	0	72	2.096354166666666
n12-1	n14	1	0	72	2.3645833333333326
n9-1	n4	1	0	75	2.088541666666666
n13-1	n11	1	0	75	2.356770833333332
n45-1	n18	1	0	54	4.703124999999998
n46-1	n19	1	0	63	4.704427083333331
n18-1	n17	1	0	69	4.699218749999998
n19-1	n16	1	0	72	4.691406249999998
n47-1	n23	1	0	54	4.8437499999999964
n48-1	n22	1	0	63	4.81770833333333
n23-1	n21	1	0	69	4.812499999999997
n21-1	n36	1	0	71	6.136718749999994
n20-1	n20	1	0	72	4.807291666666664
n26-1	n25	1	0	72	5.1575520833333295
n28-1	n27	1	0	72	5.324218749999996
n30-1	n29	1	0	72	5.489583333333329
n32-1	n31	1	0	72	5.639322916666662
n34-1	n33	1	0	72	5.802083333333328
n36-1	n35	1	0	72	5.966145833333328
n22-1	n37	1	0	72	6.332031249999994
n25-1	n24	1	0	74	5.0390624999999964
n29-1	n28	1	0	74	5.404947916666662
n33-1	n32	1	0	74	5.720052083333328
n27-1	n26	1	0	74	5.2486979166666625
n31-1	n30	1	0	74	5.570312499999995
n35-1	n34	1	0	74	5.890624999999995
n65-1	n41	1	0	55	6.709635416666659
n66-1	n39	1	0	62	6.701822916666659
n49-1	n40	1	0	67	6.701822916666659
n50-1	n38	1	0	71	6.690104166666659
n68-1	n46	1	0	48	8.087239583333327
n69-1	n47	1	0	55	8.08854166666666
n70-1	n45	1	0	60	8.085937499999993
n52-1	n43	1	0	63	8.070312499999993
n53-1	n44	1	0	67	8.078124999999993
n54-1	n42	1	0	72	8.050781249999993
n72-1	n48	1	0	35	8.92317708333333
n80-1	n62	1	0	35	9.832031250000004
n73-1	n49	1	0	38	9.057291666666664
n74-1	n50	1	0	43	9.145833333333332
n81-1	deletion
n75-1	n51	1	0	47	9.199218749999998
n82-1	n61	1	0	47	9.82682291666667
n76-1	n52	1	0	50	9.3203125
n77-1	n53	1	0	55	9.389322916666668
n78-1	n54	1	0	59	9.446614583333334
n57-1	n55	1	0	62	9.459635416666668
n60-1	n58	1	0	62	9.821614583333336
n58-1	n56	1	0	67	9.544270833333336
n61-1	n59	1	0	67	9.825520833333336
n59-1	n57	1	0	71	9.626302083333336
n62-1	n60	1	0	74	9.825520833333336
n123-1	n67	1	0	35	14.134114583333341
n121-1	n66	1	0	47	13.085937500000007
n124-1	n68	1	0	47	14.140625000000007
n86-1	n64	1	0	56	12.947916666666675
n122-1	n65	1	0	59	13.078125000000007
n87-1	n63	1	0	68	12.944010416666675
n90-1	n69	1	0	68	14.145833333333341
n91-1	n71	1	0	74	14.154947916666675
n92-1	n72	1	0	77	14.156250000000009
n93-1	n70	1	0	80	14.145833333333341
n125-1	n75	1	0	47	14.41536458333334
n126-1	n77	1	0	59	14.421875000000007
n94-1	n73	1	0	68	14.412760416666673
n95-1	n76	1	0	74	14.420572916666673
n96-1	n78	1	0	77	14.423177083333341
n97-1	n74	1	0	80	14.412760416666673
n129-1	n79	1	0	59	16.911458333333346
n130-1	n82	1	0	68	16.917968750000014
n102-1	n81	1	0	74	16.914062500000014
n103-1	n80	1	0	77	16.911458333333346
n131-1	n86	1	0	59	17.057291666666682
n132-1	n85	1	0	68	17.042968750000014
n107-1	n84	1	0	74	17.035156250000014
n105-1	n99	1	0	76	18.354166666666675
n104-1	n83	1	0	77	17.031250000000014
n110-1	n88	1	0	77	17.376302083333346
n112-1	n90	1	0	77	17.553385416666675
n114-1	n92	1	0	77	17.708333333333343
n116-1	n94	1	0	77	17.868489583333346
n118-1	n96	1	0	77	18.01822916666668
n120-1	n98	1	0	77	18.19921875000001
n106-1	n100	1	0	77	18.54817708333334
n109-1	n87	1	0	79	17.26302083333335
n115-1	n93	1	0	79	17.78125000000001
n111-1	n89	1	0	79	17.47265625000001
n117-1	n95	1	0	79	17.93619791666668
n113-1	n91	1	0	79	17.628906250000007
n119-1	n97	1	0	79	18.09765625000001
n150-1	n103	1	0	58	19.016927083333336
n151-1	n104	1	0	61	19.018229166666668
n133-1	n101	1	0	67	18.972656250000004
n134-1	n102	1	0	76	18.976562500000004
n153-1	n109	1	0	56	20.374999999999993
n154-1	n108	1	0	60	20.372395833333325
n136-1	n106	1	0	65	20.359374999999993
n137-1	n107	1	0	72	20.363281249999993
n138-1	n105	1	0	77	20.343749999999993
n156-1	n110	1	0	40	21.23697916666665
n163-1	n121	1	0	40	22.19791666666663
n157-1	n111	1	0	43	21.376302083333314
n158-1	n112	1	0	48	21.47656249999998
n164-1	deletion
n159-1	n113	1	0	52	21.54296874999998
n165-1	n123	1	0	52	22.200520833333297
n160-1	n114	1	0	55	21.664062499999975
n161-1	n115	1	0	60	21.727864583333307
n141-1	n116	1	0	64	21.802083333333304
n142-1	n117	1	0	67	21.82421874999997
n145-1	n122	1	0	67	22.19791666666663
n143-1	n118	1	0	72	21.920572916666632
n146-1	n124	1	0	72	22.200520833333297
n144-1	n119	1	0	76	22.007812499999964
n147-1	n120	1	0	79	22.196614583333297
n203-1	n128	1	0	40	25.674479166666615
n205-1	n133	1	0	41	26.93098958333328
n168-1	n126	1	0	49	25.520833333333286
n204-1	n127	1	0	52	25.661458333333282
n206-1	n132	1	0	53	26.92838541666661
n169-1	n125	1	0	61	25.515624999999954
n172-1	n130	1	0	73	26.919270833333275
n173-1	n131	1	0	77	26.921874999999943
n174-1	n134	1	0	82	26.93098958333328
n175-1	n129	1	0	85	26.917968749999943
n207-1	n140	1	0	41	27.141927083333275
n208-1	n139	1	0	53	27.136718749999943
n176-1	n136	1	0	73	27.12239583333328
n177-1	n137	1	0	77	27.12369791666661
n178-1	n138	1	0	82	27.134114583333275
n179-1	n135	1	0	85	27.117187499999947
n211-1	n143	1	0	53	29.817708333333265
n212-1	n144	1	0	58	29.819010416666597
n213-1	n145	1	0	61	29.82421874999993
n184-1	n142	1	0	73	29.808593749999932
n185-1	n141	1	0	82	29.7955729166666
n214-1	n150	1	0	53	29.97005208333326
n215-1	n149	1	0	58	29.96614583333326
n216-1	n148	1	0	61	29.95833333333326
n189-1	n147	1	0	73	29.94531249999993
n187-1	n163	1	0	81	31.424479166666583
n186-1	n146	1	0	82	29.940104166666597
n192-1	n152	1	0	82	30.298177083333254
n194-1	n154	1	0	82	30.50911458333325
n196-1	n156	1	0	82	30.670572916666583
n198-1	n158	1	0	82	30.83203124999992
n200-1	n160	1	0	82	31.018229166666586
n202-1	n162	1	0	82	31.204427083333247
n188-1	n164	1	0	82	31.695312499999915
n191-1	n151	1	0	84	30.152343749999925
n197-1	n157	1	0	84	30.73828124999992
n193-1	n153	1	0	84	30.397135416666586
n199-1	n159	1	0	84	30.90624999999992
n195-1	n155	1	0	84	30.58333333333325
n201-1	n161	1	0	84	31.104166666666583
n238-1	n167	1	0	54	32.378906249999915
n241-1	deletion
n239-1	n170	1	0	58	32.39583333333325
n242-1	n174	1	0	58	33.93749999999992
n245-1	n180	1	0	58	34.15755208333326
n240-1	n169	1	0	61	32.38151041666658
n243-1	n173	1	0	61	33.93489583333326
n246-1	n178	1	0	61	34.15364583333326
n217-1	n166	1	0	73	32.367187499999915
n220-1	n175	1	0	73	33.947916666666586
n218-1	n168	1	0	75	32.378906249999915
